"Index" "PH.Open" "PH.High" "PH.Low" "PH.Close" "PH.Volume" "PH.Adjusted"
2013-01-02 87.449997 88.580002 86.510002 87.660004 1962800 82.757512
2013-01-03 87.599998 88.730003 87.449997 88.339996 1336100 83.399476
2013-01-04 88.650002 88.919998 88.300003 88.82 775700 83.852634
2013-01-07 88.080002 88.349998 87.260002 88.25 1447300 83.314513
2013-01-08 88.669998 88.980003 87.510002 88.32 1242600 83.380597
2013-01-09 88.620003 90.25 88.589996 90.169998 1482500 85.127132
2013-01-10 90.639999 90.730003 88.639999 89.599998 1636500 84.589011
2013-01-11 89.519997 89.519997 88.349998 89.040001 903000 84.060332
2013-01-14 88.989998 89.489998 88.480003 89.32 957800 84.324671
2013-01-15 88.57 90 88.540001 89.639999 833500 84.626775
2013-01-16 89.120003 89.949997 88.730003 89.839996 933400 84.815586
2013-01-17 90 91.93 89.699997 91.360001 2330600 86.250583
2013-01-18 92.5 93.699997 90 93.699997 4266000 88.459712
2013-01-22 93.260002 93.57 91.910004 93.279999 1933900 88.063203
2013-01-23 93.239998 93.650002 92.669998 93.050003 1378400 87.84607
2013-01-24 92.989998 94.690002 92.830002 93.970001 1225700 88.714616
2013-01-25 94.379997 94.57 93.690002 94.370003 723900 89.092247
2013-01-28 94.75 94.809998 93.580002 93.82 1262500 88.573003
2013-01-29 93.580002 94.300003 93.279999 94.150002 952600 88.884549
2013-01-30 94.099998 94.769997 93.089996 93.279999 1052800 88.063203
2013-01-31 93.410004 94.139999 92.800003 92.970001 1199400 87.770542
2013-02-01 93.919998 94.110001 93.339996 93.849998 1509100 88.601324
2013-02-04 93.050003 93.639999 92.449997 92.510002 1032000 87.336269
2013-02-05 93.540001 94.360001 93.050003 93.949997 1709000 88.69573
2013-02-06 92.879997 93.830002 92.129997 93.449997 1010000 88.629344
2013-02-07 93.68 94.639999 93.07 93.800003 1047700 88.961295
2013-02-08 93.830002 94.480003 93.690002 94.32 566500 89.454467
2013-02-11 94.099998 94.57 93.43 94.389999 640000 89.520856
2013-02-12 94.279999 95.589996 93.949997 95.18 1152700 90.270104
2013-02-13 95.599998 96.57 95.370003 96.330002 1549900 91.360782
2013-02-14 95.769997 97.029999 95.529999 96.309998 1044900 91.34181
2013-02-15 96.269997 97.290001 95.709999 96.040001 1215200 91.085741
2013-02-19 96.309998 97.5 96.279999 97.459999 1113000 92.432488
2013-02-20 97.43 97.43 94.75 95.019997 1364000 90.118354
2013-02-21 94.580002 94.580002 92.620003 93.260002 1335500 88.44915
2013-02-22 93.889999 94.639999 93.620003 94.540001 898900 89.663119
2013-02-25 95.089996 95.25 90.830002 90.900002 1650500 86.210891
2013-02-26 91.629997 92.269997 91.040001 91.650002 1576600 86.922202
2013-02-27 91.5 93.769997 91.449997 93.559998 1144800 88.73367
2013-02-28 93.650002 95.260002 93.059998 94.480003 1036700 89.606217
2013-03-01 93.82 94.900002 92.75 94.449997 924200 89.577758
2013-03-04 94.150002 94.169998 92.519997 93.650002 960800 88.819031
2013-03-05 94.540001 96.720001 94.540001 96.449997 1281200 91.474588
2013-03-06 96.980003 97.209999 95.93 96.419998 741800 91.446136
2013-03-07 96.629997 97.75 96.419998 97.239998 1067500 92.223836
2013-03-08 97.669998 98.150002 97.040001 97.949997 971800 92.89721
2013-03-11 97.599998 98.059998 97.32 97.93 602500 92.878244
2013-03-12 97.699997 97.75 96.029999 97.050003 1078600 92.043642
2013-03-13 97.07 97.220001 96.239998 96.989998 644800 91.986732
2013-03-14 97.309998 97.949997 97.07 97.25 1006800 92.233322
2013-03-15 96.709999 97.32 96.300003 96.720001 1174900 91.730664
2013-03-18 95.559998 96.739998 94.959999 96.080002 1106900 91.123679
2013-03-19 96.269997 96.459999 93.870003 95.18 1120800 90.270104
2013-03-20 95.639999 95.919998 94.379997 94.970001 1107800 90.070938
2013-03-21 93.800003 94.209999 91.900002 92.019997 1700400 87.27311
2013-03-22 91.879997 92.370003 91.709999 92.080002 1342800 87.33002
2013-03-25 92.68 92.809998 90.330002 90.980003 1177300 86.286766
2013-03-26 91.839996 91.839996 90.190002 90.279999 1549800 85.622871
2013-03-27 89.440002 90.32 88.690002 90.150002 1458500 85.49958
2013-03-28 90.269997 91.580002 89.669998 91.580002 1241700 86.855813
2013-04-01 91.389999 91.599998 89.510002 89.650002 895900 85.025372
2013-04-02 90.139999 90.360001 88.309998 88.790001 1164200 84.209735
2013-04-03 88.660004 88.940002 87.209999 87.529999 1824700 83.014731
2013-04-04 87.760002 89.669998 87.730003 89.419998 1686400 84.807234
2013-04-05 87.769997 89.669998 87.709999 89.379997 1767300 84.769296
2013-04-08 89.290001 90.220001 89.089996 89.900002 969500 85.262476
2013-04-09 90.330002 91.089996 89.709999 90.550003 777400 85.878947
2013-04-10 90.690002 91.089996 89.989998 90.410004 1387800 85.74617
2013-04-11 90.510002 90.610001 89.709999 89.959999 1429400 85.319379
2013-04-12 89.510002 89.739998 88.470001 89.040001 1037200 84.446839
2013-04-15 88.370003 88.480003 85.959999 85.959999 1795400 81.52572
2013-04-16 86.93 88.120003 86.419998 88.019997 1159200 83.479452
2013-04-17 87.080002 88.059998 85.959999 87.75 1593900 83.223383
2013-04-18 87.800003 88.040001 85.589996 85.93 901400 81.497269
2013-04-19 86.410004 86.519997 85.129997 85.550003 1529000 81.136874
2013-04-22 85.82 87.370003 84.5 86.629997 1438700 82.161156
2013-04-23 87.059998 87.870003 86.779999 87.68 959700 83.156994
2013-04-24 88.089996 89.519997 88.050003 89.370003 1316300 84.759818
2013-04-25 89.599998 91.25 89.300003 90.550003 1336600 85.878947
2013-04-26 90.660004 91.120003 88.07 88.739998 894900 84.162312
2013-04-29 89.389999 89.989998 88.57 88.830002 762800 84.247673
2013-04-30 88.68 88.730003 87.309998 88.57 1540100 84.001083
2013-05-01 88.040001 88.279999 87.059998 87.199997 1288300 82.701752
2013-05-02 87.599998 88.57 87.360001 88.489998 1068900 83.925208
2013-05-03 89.959999 92.730003 89.959999 91.379997 1327900 86.666126
2013-05-06 91.220001 92.18 91.019997 91.879997 1076600 87.140333
2013-05-07 92.260002 93.489998 92.07 93.139999 854000 88.335337
2013-05-08 92.5 93.230003 92.18 93.230003 1054600 88.849972
2013-05-09 93.150002 93.879997 92.790001 92.949997 825400 88.583121
2013-05-10 93.150002 94.449997 93.120003 94.050003 920900 89.631448
2013-05-13 93.75 94.900002 93.279999 93.989998 917300 89.574262
