"Index" "PLE.Open" "PLE.High" "PLE.Low" "PLE.Close" "PLE.Volume" "PLE.Adjusted"
2014-11-26 1.51 1.51 1.35 1.4 45900 1.1
2014-11-27 1.44 1.44 1.36 1.4 14400 1.1
2014-11-28 1.4 1.45 1.36 1.45 19600 1.14
2014-12-01 1.48 1.48 1.4 1.45 5700 1.14
2014-12-02 1.47 1.47 1.37 1.44 5300 1.13
2014-12-03 1.38 1.44 1.33 1.39 9200 1.09
2014-12-04 1.39 1.39 1.27 1.35 7700 1.06
2014-12-05 1.39 1.39 1.33 1.39 5700 1.09
2014-12-08 1.41 1.44 1.29 1.29 5900 1.01
2014-12-09 1.35 1.35 1.24 1.34 12400 1.05
2014-12-10 1.32 1.32 1.24 1.26 3200 0.99
2014-12-11 1.34 1.34 1.08 1.3 12700 1.02
2014-12-12 1.24 1.24 1.13 1.23 11000 0.97
2014-12-15 1.23 1.23 1.15 1.15 4000 0.9
2014-12-16 1.2 1.24 1.12 1.12 5100 0.88
2014-12-17 1.2 1.28 1.2 1.28 5200 1.01
2014-12-18 1.27 1.27 1.24 1.27 4700 1
2014-12-19 1.27 1.29 1.27 1.29 1500 1.01
2014-12-22 1.29 1.29 1.2 1.25 2600 0.98
2014-12-23 1.25 1.26 1.21 1.26 1200 0.99
2014-12-24 1.26 1.26 1.26 1.26 0 0.99
2014-12-25 1.26 1.26 1.26 1.26 0 0.99
2014-12-26 1.26 1.26 1.26 1.26 0 0.99
2014-12-29 1.25 1.25 1.2 1.25 1200 0.98
2014-12-30 1.24 1.27 1.24 1.27 0 1
2014-12-31 1.27 1.27 1.27 1.27 0 1
2015-01-01 1.27 1.27 1.27 1.27 0 1
2015-01-02 1.27 1.27 1.27 1.27 0 1
2015-01-05 1.25 1.25 1.2 1.22 3100 0.96
2015-01-06 1.22 1.22 1.22 1.22 0 0.96
2015-01-07 1.18 1.18 0.95 1.14 31200 0.9
2015-01-08 1.03 1.04 0.9 0.93 7400 0.73
2015-01-09 0.89 0.98 0.83 0.96 14800 0.76
2015-01-12 0.8 0.91 0.78 0.91 14900 0.72
2015-01-13 0.8 0.9 0.8 0.9 11800 0.71
2015-01-14 0.9 0.9 0.79 0.85 5100 0.67
2015-01-15 0.82 0.82 0.67 0.82 17700 0.65
2015-01-16 0.79 0.88 0.78 0.88 12600 0.69
2015-01-19 0.88 1.05 0.86 1.05 15700 0.83
2015-01-20 1.04 1.04 0.86 0.99 2400 0.78
2015-01-21 0.92 0.98 0.88 0.93 4900 0.73
2015-01-22 0.87 0.94 0.86 0.94 1600 0.74
2015-01-23 0.94 0.94 0.94 0.94 0 0.74
2015-01-26 0.87 0.89 0.79 0.87 4000 0.68
2015-01-27 0.85 0.9 0.79 0.88 8200 0.69
2015-01-28 0.87 0.88 0.78 0.88 6400 0.69
2015-01-29 0.81 0.85 0.81 0.85 2800 0.67
2015-01-30 0.85 0.98 0.81 0.98 4800 0.77
2015-02-02 0.95 0.95 0.87 0.92 1500 0.72
2015-02-03 0.92 0.92 0.92 0.92 0 0.72
