"Index" "PLN.Open" "PLN.High" "PLN.Low" "PLN.Close" "PLN.Volume" "PLN.Adjusted"
2013-01-01 1.85 1.85 1.85 1.85 0 1.85
2013-01-02 1.85 1.85 1.85 1.85 0 1.85
2013-01-03 1.85 1.85 1.85 1.85 0 1.85
2013-01-04 1.85 1.85 1.85 1.85 0 1.85
2013-01-07 1.85 1.85 1.85 1.85 0 1.85
2013-01-08 1.85 1.85 1.85 1.85 0 1.85
2013-01-09 1.85 1.85 1.85 1.85 0 1.85
2013-01-10 1.85 1.85 1.85 1.85 0 1.85
2013-01-11 1.85 1.85 1.85 1.85 0 1.85
2013-01-14 1.85 1.85 1.85 1.85 0 1.85
2013-01-15 1.85 1.85 1.85 1.85 0 1.85
2013-01-16 1.85 1.85 1.85 1.85 0 1.85
2013-01-17 1.85 1.85 1.85 1.85 0 1.85
2013-01-18 1.85 1.85 1.85 1.85 0 1.85
2013-01-21 1.85 1.85 1.85 1.85 0 1.85
2013-01-22 1.85 1.85 1.85 1.85 0 1.85
2013-01-23 1.85 1.85 1.85 1.85 0 1.85
2013-01-24 1.85 1.85 1.85 1.85 0 1.85
2013-01-25 1.85 1.85 1.85 1.85 0 1.85
2013-01-28 1.85 1.85 1.85 1.85 0 1.85
2013-01-29 1.85 1.85 1.85 1.85 0 1.85
2013-01-30 1.85 1.85 1.85 1.85 0 1.85
2013-01-31 1.85 1.85 1.85 1.85 0 1.85
2013-02-01 1.85 1.85 1.85 1.85 0 1.85
2013-02-04 1.85 1.85 1.85 1.85 0 1.85
2013-02-05 1.85 1.85 1.85 1.85 0 1.85
2013-02-06 1.85 1.85 1.85 1.85 0 1.85
2013-02-07 1.85 1.85 1.85 1.85 0 1.85
2013-02-08 1.85 1.85 1.85 1.85 0 1.85
2013-02-11 1.85 1.85 1.85 1.85 0 1.85
2013-02-12 1.85 1.85 1.85 1.85 0 1.85
