"Index" "PSF.Open" "PSF.High" "PSF.Low" "PSF.Close" "PSF.Volume" "PSF.Adjusted"
2013-01-02 27.17 27.25 26.93 27.25 56200 21.078116
2013-01-03 27.25 27.370001 26.940001 27.129999 59600 20.985294
2013-01-04 27.27 27.4 27.200001 27.389999 39600 21.186407
2013-01-07 27.469999 27.780001 27.459999 27.77 49400 21.480341
2013-01-08 27.75 28.049999 27.75 28 37000 21.658248
2013-01-09 28.08 28.16 27.82 27.969999 43000 21.635042
2013-01-10 28.18 28.59 28.02 28.58 70700 22.106883
2013-01-11 28.6 28.77 28.34 28.6 54200 22.122353
2013-01-14 28.6 28.65 28.41 28.65 30900 22.161028
2013-01-15 28.65 28.65 28.08 28.33 45900 21.913506
2013-01-16 28.540001 28.540001 27.93 27.950001 8400 21.751633
2013-01-17 28.16 28.290001 27.889999 28.01 45300 21.798326
2013-01-18 28.08 28.129999 27.68 27.98 75100 21.774979
2013-01-22 27.99 28.129999 27.879999 27.9 43500 21.71272
2013-01-23 28.040001 28.049999 27.9 28.030001 32900 21.813891
2013-01-24 28 28.049999 27.860001 27.91 42100 21.720503
2013-01-25 27.85 27.93 27.469999 27.52 67500 21.416992
2013-01-28 27.6 27.6 27.030001 27.25 74600 21.206869
2013-01-29 27.299999 27.299999 27.18 27.290001 44600 21.237999
2013-01-30 27.299999 27.309999 27.030001 27.190001 45900 21.160175
2013-01-31 27.25 27.25 27.110001 27.139999 34600 21.121262
2013-02-01 27.25 27.389999 27.24 27.360001 34800 21.292475
2013-02-04 27.389999 27.42 27.26 27.42 34200 21.339168
2013-02-05 27.52 27.57 27.4 27.440001 27100 21.354733
2013-02-06 27.57 27.65 27.459999 27.620001 25500 21.494816
2013-02-07 27.52 27.690001 27.52 27.6 43000 21.479251
2013-02-08 27.65 27.91 27.639999 27.91 34000 21.720503
2013-02-11 28.030001 28.129999 27.950001 28.110001 28600 21.87615
2013-02-12 28.139999 28.139999 27.790001 28.09 27700 21.860585
2013-02-13 28.059999 28.059999 27.809999 27.940001 24700 21.877813
2013-02-14 27.940001 28 27.82 27.9 36200 21.846491
2013-02-15 27.940001 27.99 27.92 27.93 21900 21.869982
2013-02-19 28.040001 28.059999 27.82 27.84 27800 21.79951
2013-02-20 27.9 28 27.82 27.950001 27900 21.885643
2013-02-21 28.040001 28.040001 27.84 28.02 46200 21.940455
2013-02-22 28.049999 28.110001 28 28.110001 17100 22.010928
2013-02-25 27.99 28.110001 27.870001 28.049999 41300 21.963945
2013-02-26 27.940001 28.290001 27.940001 28.1 55000 22.003097
2013-02-27 28.040001 28.26 27.99 28.26 39500 22.128382
2013-02-28 28.309999 28.6 28.280001 28.559999 47800 22.36329
2013-03-01 28.6 28.690001 28.530001 28.66 14100 22.441593
2013-03-04 28.610001 28.700001 28.58 28.700001 22800 22.472915
2013-03-05 28.719999 28.91 28.32 28.629999 31500 22.418101
2013-03-06 28.809999 28.82 28.43 28.66 21900 22.441593
2013-03-07 28.5 28.75 28.07 28.290001 54800 22.151873
2013-03-08 28.17 28.299999 28.01 28.01 43400 21.932625
2013-03-11 27.690001 28.25 27.690001 28.120001 39300 22.018758
2013-03-12 28.299999 28.459999 28.030001 28.459999 33800 22.284987
2013-03-13 28.5 28.5 28.209999 28.280001 37300 22.144043
2013-03-14 28.450001 28.450001 28.139999 28.24 45100 22.112721
2013-03-15 28 28.18 27.940001 28.049999 15400 22.098539
2013-03-18 28.209999 28.280001 27.93 27.93 24200 22.004
2013-03-19 28 28.120001 27.82 27.82 23900 21.917339
2013-03-20 27.99 28.25 27.620001 28.18 40900 22.200957
2013-03-21 27.9 28.17 27.65 27.790001 53000 21.893705
2013-03-22 27.84 27.91 27.709999 27.870001 16000 21.956731
2013-03-25 28.040001 28.040001 27.65 27.709999 25900 21.830678
2013-03-26 27.77 27.85 27.700001 27.83 24700 21.925217
2013-03-27 27.75 27.959999 27.75 27.799999 30600 21.901582
2013-03-28 27.92 27.92 27.549999 27.549999 58100 21.704625
2013-04-01 27.549999 27.67 27.299999 27.4 43300 21.586452
2013-04-02 27.43 27.68 27.35 27.549999 24000 21.704625
2013-04-03 27.469999 27.540001 27.389999 27.43 30600 21.610087
2013-04-04 27.41 27.65 27.41 27.59 39200 21.736139
2013-04-05 27.5 27.5 27.41 27.469999 40500 21.641599
2013-04-08 27.549999 27.809999 27.51 27.790001 22000 21.893705
