"Index" "PTM.Open" "PTM.High" "PTM.Low" "PTM.Close" "PTM.Volume" "PTM.Adjusted"
2013-01-02 17.98 18.18 17.879999 17.9 43000 17.9
2013-01-03 17.639999 18.040001 17.639999 17.84 13800 17.84
2013-01-04 17.879999 17.940001 17.790001 17.84 13200 17.84
2013-01-07 17.9 17.9 17.75 17.75 8700 17.75
2013-01-08 17.950001 18.09 17.950001 18.09 1400 18.09
2013-01-09 18.15 18.34 18.15 18.33 24000 18.33
2013-01-10 18.559999 18.76 18.540001 18.700001 10800 18.700001
2013-01-11 18.51 18.74 18.51 18.610001 6100 18.610001
2013-01-14 18.83 19.129999 18.83 19.01 25400 19.01
2013-01-15 19.15 19.889999 19.15 19.57 60400 19.57
2013-01-16 19.75 20 19.450001 19.559999 6500 19.559999
2013-01-17 19.709999 19.709999 19.4 19.440001 27000 19.440001
2013-01-18 19.540001 19.540001 19.09 19.1 12200 19.1
2013-01-22 19.35 19.51 19.35 19.450001 14200 19.450001
2013-01-23 19.41 19.530001 19.35 19.360001 6200 19.360001
2013-01-24 19.49 19.49 19.25 19.309999 6700 19.309999
2013-01-25 19.24 19.450001 19.219999 19.42 6900 19.42
2013-01-28 19.299999 19.33 19.030001 19.040001 13800 19.040001
2013-01-29 19.139999 19.26 19.1 19.209999 14500 19.209999
2013-01-30 19.360001 19.360001 19.26 19.280001 5400 19.280001
2013-01-31 19.219999 19.27 19.1 19.26 10000 19.26
2013-02-01 19.76 19.76 19.25 19.299999 35500 19.299999
2013-02-04 19.51 19.540001 19.360001 19.41 34400 19.41
2013-02-05 19.379999 19.559999 19.35 19.48 110200 19.48
2013-02-06 19.59 19.99 19.59 19.9 55800 19.9
2013-02-07 20 20 19.68 19.68 35400 19.68
2013-02-08 19.74 19.84 19.59 19.690001 26300 19.690001
2013-02-11 19.809999 19.809999 19.25 19.299999 31800 19.299999
2013-02-12 19.530001 19.639999 19.5 19.629999 27600 19.629999
2013-02-13 19.75 19.780001 19.66 19.700001 28700 19.700001
2013-02-14 19.82 19.82 19.540001 19.540001 19000 19.540001
2013-02-15 19.35 19.35 19.09 19.15 62900 19.15
2013-02-19 19 19.41 19 19.33 10900 19.33
2013-02-20 18.93 18.93 18.65 18.790001 54100 18.790001
2013-02-21 18.9 18.9 18.280001 18.4 30700 18.4
2013-02-22 18.379999 18.459999 18.299999 18.370001 19100 18.370001
2013-02-25 18.290001 19.25 18.290001 18.41 19800 18.41
2013-02-26 18.35 18.51 18.27 18.49 4700 18.49
2013-02-27 18.33 18.33 18.15 18.209999 8900 18.209999
2013-02-28 18.16 18.16 18.02 18.040001 11500 18.040001
2013-03-01 17.91 18.02 17.9 17.92 18800 17.92
2013-03-04 17.98 18.01 17.82 17.860001 4300 17.860001
2013-03-05 17.85 18.110001 17.85 18.09 12500 18.09
2013-03-06 18.040001 18.110001 17.959999 18.09 6900 18.09
2013-03-07 18.18 18.26 18.139999 18.200001 12900 18.200001
2013-03-08 18.15 18.4 18.120001 18.280001 27000 18.280001
2013-03-11 18.23 18.35 18.07 18.280001 26700 18.280001
2013-03-12 18.33 18.440001 18.190001 18.190001 12100 18.190001
2013-03-13 18.16 18.16 18.1 18.129999 4100 18.129999
2013-03-14 18 18.16 18 18.129999 15900 18.129999
2013-03-15 18.16 18.16 18.1 18.1 3800 18.1
2013-03-18 18.01 18.030001 17.959999 17.959999 11100 17.959999
2013-03-19 17.84 17.959999 17.67 17.719999 6600 17.719999
2013-03-20 17.610001 17.959999 17.610001 17.950001 4200 17.950001
2013-03-21 17.75 18.030001 17.75 17.950001 7600 17.950001
2013-03-22 18.01 18.07 17.99 18.030001 5700 18.030001
2013-03-25 18.1 18.1 17.98 18.07 5300 18.07
2013-03-26 17.84 18.01 17.84 17.940001 7500 17.940001
2013-03-27 17.799999 18.02 17.799999 18.02 9000 18.02
2013-03-28 17.940001 17.959999 17.809999 17.889999 33600 17.889999
2013-04-01 18 18.209999 18 18.16 4800 18.16
2013-04-02 17.93 17.93 17.809999 17.9 22800 17.9
2013-04-03 17.77 17.77 17.4 17.5 15200 17.5
2013-04-04 17.35 17.370001 17.23 17.34 10300 17.34
2013-04-05 17.370001 17.48 17.32 17.450001 3700 17.450001
2013-04-08 17.450001 17.469999 17.4 17.450001 12600 17.450001
2013-04-09 17.33 17.709999 17.33 17.6 6500 17.6
2013-04-10 17.5 17.51 17.299999 17.35 12600 17.35
2013-04-11 17.41 17.49 17.389999 17.42 11800 17.42
2013-04-12 17.200001 17.200001 16.860001 16.92 33400 16.92
2013-04-15 16.620001 16.620001 15.87 15.87 62000 15.87
2013-04-16 15.88 16.559999 15.88 16.43 28700 16.43
2013-04-17 16.27 16.370001 16.16 16.190001 12700 16.190001
2013-04-18 16.120001 16.209999 16.08 16.09 15200 16.09
2013-04-19 16.030001 16.139999 16.030001 16.1 8000 16.1
2013-04-22 16.15 16.27 16.15 16.24 6600 16.24
2013-04-23 16.030001 16.09 15.95 16.01 14700 16.01
2013-04-24 16.23 16.23 16.08 16.200001 7200 16.200001
2013-04-25 16.51 16.639999 16.51 16.639999 7400 16.639999
2013-04-26 16.780001 16.950001 16.67 16.77 7700 16.77
2013-04-29 17 17.24 16.9 17.110001 12800 17.110001
2013-04-30 17.09 17.1 16.950001 16.950001 11600 16.950001
2013-05-01 16.5 16.77 16.5 16.610001 14200 16.610001
