"Index" "PW.Open" "PW.High" "PW.Low" "PW.Close" "PW.Volume" "PW.Adjusted"
2013-01-02 10.25 10.26 10.1 10.12 3400 10.023343
2013-01-03 10 10.15 10 10.03 3500 9.934202
2013-01-04 10 10.15 10 10.15 9300 10.053056
2013-01-07 10.35 10.35 10.07 10.07 2500 9.97382
2013-01-08 10.18 10.26 10.12 10.2 2700 10.102579
2013-01-09 10.2 10.47 10.17 10.47 3500 10.37
2013-01-10 10.24 11.16 10.2 11.16 11200 11.16
2013-01-11 10.96 11.2 10.89 11.14 6800 11.14
2013-01-14 11.1 11.1 10.71 10.8 1400 10.8
2013-01-15 10.4 10.4 10.2 10.21 6900 10.21
2013-01-16 10.37 10.37 10.2 10.2 1800 10.2
2013-01-17 10.2 10.2 10.2 10.2 600 10.2
2013-01-18 10.5 10.5 10.34 10.48 1400 10.48
2013-01-22 10.65 10.83 10.5 10.5 4400 10.5
2013-01-23 10.65 10.9 10.5 10.51 5200 10.51
2013-01-24 10.75 10.9 10.65 10.89 9400 10.89
2013-01-25 10.99 10.99 10.78 10.78 1700 10.78
2013-01-28 10.8 11 10.8 11 1600 11
2013-01-29 10.92 11.09 10.89 11 11300 11
2013-01-30 11.2 11.2 11.1 11.2 3500 11.2
2013-01-31 11.2 11.41 11 11.2 5200 11.2
2013-02-01 11.15 11.2 11.07 11.15 1200 11.15
2013-02-04 11.1 11.19 11 11 2700 11
2013-02-05 11.08 11.37 10.98 11.1 7300 11.1
2013-02-06 10.98 11 10.95 10.96 1900 10.96
2013-02-07 10.88 10.88 10.78 10.8 1000 10.8
2013-02-08 10.87 10.97 10.75 10.9 3900 10.9
2013-02-11 11.1 11.25 11 11 1800 11
2013-02-12 10.9 10.92 10.75 10.85 5600 10.85
2013-02-13 10.85 10.85 10.57 10.6 1400 10.6
2013-02-14 10.75 10.75 10.5 10.5 7800 10.5
2013-02-15 10.5 10.6 10.41 10.5 2900 10.5
2013-02-19 10.6 11.1 10.6 11 1500 11
2013-02-20 10.65 11.01 10.55 10.75 4400 10.75
2013-02-21 10.8 10.8 10.8 10.8 200 10.8
2013-02-22 10.7 10.79 10.7 10.79 200 10.79
2013-02-25 10.8 10.8 10.5 10.5 4200 10.5
2013-02-26 10.51 10.54 10.41 10.54 800 10.54
2013-02-27 10.5 11.2 10.4 10.7 14600 10.7
2013-02-28 10.8 10.9 10.4 10.6 5700 10.6
2013-03-01 10.7 10.79 10.52 10.52 9200 10.52
2013-03-04 10.69 10.95 10.69 10.8 1700 10.8
2013-03-05 10.86 10.99 10.86 10.99 900 10.99
