"Index" "PZ.Open" "PZ.High" "PZ.Low" "PZ.Close" "PZ.Volume" "PZ.Adjusted"
2013-01-01 28 28 28 28 0 26.165
2013-01-02 28 28 28 28 376700 26.165
2013-01-03 28 28 27.56 27.56 158300 25.754
2013-01-04 27.56 27.56 27.56 27.56 106800 25.754
2013-01-07 27.56 28.01 27.56 28.01 966100 26.174
2013-01-08 28.01 28.05 28.05 28.05 397800 26.212
2013-01-09 28.05 28.05 28.05 28.05 176800 26.212
2013-01-10 28.05 28.05 28.01 28.05 1152700 26.212
2013-01-11 28.05 28.12 28.05 28.12 302700 26.277
2013-01-14 28.12 28.12 28.12 28.12 176500 26.277
2013-01-15 28.12 28.12 28.12 28.12 158400 26.277
2013-01-16 28.12 30.93 28.12 30.93 2569900 28.903
2013-01-17 30.93 30.93 29.61 30.93 429000 28.903
2013-01-18 30.93 30.93 30.93 30.93 200600 28.903
2013-01-21 30.93 30.93 30.28 30.6 330400 28.595
2013-01-22 30.6 30.6 30.6 30.6 744900 28.595
2013-01-23 30.6 30.6 30.6 30.6 369600 28.595
2013-01-24 30.6 30.6 30.6 30.6 0 28.595
2013-01-25 30.6 31.5 30.6 31.5 509200 29.436
2013-01-28 31.5 31.5 31.5 31.5 227200 29.436
2013-01-29 31.5 32.1 31.5 32.1 744900 29.996
2013-01-30 32.1 35 32.1 34 815100 31.772
2013-01-31 34 34 34 34 288700 31.772
2013-02-01 34 35.63 34 35.63 1272100 33.295
2013-02-04 35.63 39.19 35.63 39.19 1036000 36.622
2013-02-05 39.19 41.02 39.19 41.02 505400 38.332
2013-02-06 39.19 41.1 39.19 40.5 6816800 37.846
2013-02-07 40.5 40.5 38 40.44 1053000 37.79
2013-02-08 40.44 40.44 40.44 40.44 421500 37.79
2013-02-11 40.44 44.48 40 44.48 1408200 41.565
2013-02-12 44.48 44.48 43.1 43.1 293200 40.276
2013-02-13 43.1 43.1 41.85 41.85 437100 39.108
2013-02-14 41.85 41.85 38 40.25 2943500 37.612
2013-02-15 40.25 40.25 40.25 40.25 171600 37.612
2013-02-18 40.25 40.25 40.25 40.25 666000 37.612
2013-02-19 40.25 40.25 40.25 40.25 293300 37.612
2013-02-20 40.25 40.25 37 37 1153500 34.575
2013-02-21 37 40.7 37 40 2201300 37.379
2013-02-22 40 40.5 39 40.5 10489200 37.846
2013-02-25 40.5 40.5 40.5 40.5 392500 37.846
2013-02-26 40.5 40.5 38 38 322400 35.51
2013-02-27 38 40.4 37.81 40.4 525000 37.753
2013-02-28 40.4 40.4 40.4 40.4 162900 37.753
2013-03-01 40.4 40.4 40.4 40.4 183600 37.753
2013-03-04 40.4 40.4 37.75 37.75 205000 35.276
2013-03-05 37.75 37.75 37.75 37.75 381600 35.276
2013-03-06 37.75 37.75 37.75 37.75 318400 35.276
2013-03-07 37.75 38.02 37.75 38.02 338700 35.528
2013-03-08 38.02 40.4 38.02 40.4 733700 37.753
2013-03-11 40.4 40.4 40.4 40.4 665500 37.753
2013-03-12 40.4 40.4 40.4 40.4 501500 37.753
2013-03-13 40.4 40.4 40.01 40.06 562900 37.435
2013-03-14 40.06 40.25 40.06 40.25 1332200 37.612
2013-03-15 40.25 41 40.23 41 12942400 38.313
2013-03-18 41 41 41 41 139500 38.313
2013-03-19 41 41 39.5 39.5 206800 36.912
2013-03-20 39.5 39.9 39.5 39.9 693000 37.285
2013-03-21 39.9 40.5 39.9 40.5 4396000 37.846
2013-03-22 40.5 40.5 39.5 39.5 329700 36.912
2013-03-25 39.5 39.5 39 39 267300 36.444
2013-03-26 39 39 39 39 115000 36.444
2013-03-27 39 39 36.7 36.7 501400 34.295
2013-03-28 36.7 36.71 36.7 36.71 255400 34.304
2013-03-29 36.71 36.71 36.71 36.71 0 34.304
2013-04-01 36.71 36.71 36.71 36.71 0 34.304
2013-04-02 36.71 36.71 36.71 36.71 275800 34.304
2013-04-03 36.71 36.71 36 36 338500 33.641
2013-04-04 36 36 36 36 267200 33.641
2013-04-05 36 36 36 36 111300 33.641
2013-04-08 36 36 35 35 439900 32.706
2013-04-09 35 38 35 35.2 16078200 32.893
2013-04-10 35.2 35.5 35.2 35.5 225500 33.174
2013-04-11 35.5 35.5 35.5 35.5 211500 33.174
2013-04-12 35.5 35.5 35.5 35.5 449200 33.174
2013-04-15 35.5 35.5 35.5 35.5 187000 33.174
2013-04-16 35.5 35.67 35.5 35.67 680100 33.332
2013-04-17 35.67 39.01 35.67 39 1060400 36.444
2013-04-18 39 39.2 39 39.2 584600 36.631
