"Index" "R6.Open" "R6.High" "R6.Low" "R6.Close" "R6.Volume" "R6.Adjusted"
2013-01-01 397.96 397.96 397.96 397.96 0 397.96
2013-01-02 403.47 403.47 403.47 403.47 0 403.47
2013-01-03 403.9 403.9 403.9 403.9 0 403.9
2013-01-04 405.64 405.64 405.64 405.64 0 405.64
2013-01-07 406.27 406.27 406.27 406.27 0 406.27
2013-01-08 405.97 405.97 405.97 405.97 0 405.97
2013-01-09 408.71 408.71 408.71 408.71 0 408.71
2013-01-10 409.05 409.05 409.05 409.05 0 409.05
2013-01-11 408.97 408.97 408.97 408.97 0 408.97
2013-01-14 408.81 408.81 408.81 408.81 0 408.81
2013-01-15 407.82 407.82 407.82 407.82 0 407.82
2013-01-16 409.12 409.12 409.12 409.12 0 409.12
2013-01-17 409.74 409.74 409.74 409.74 0 409.74
2013-01-18 412.21 412.21 412.21 412.21 0 412.21
2013-01-21 412.43 412.43 412.43 412.43 0 412.43
2013-01-22 413.27 413.27 413.27 413.27 0 413.27
2013-01-23 414.51 414.51 414.51 414.51 0 414.51
2013-01-24 414.3 414.3 414.3 414.3 0 414.3
2013-01-25 415.57 415.57 415.57 415.57 0 415.57
2013-01-28 418.63 418.63 418.63 418.63 0 418.63
2013-01-29 418.67 418.67 418.67 418.67 0 418.67
2013-01-30 417.49 417.49 417.49 417.49 0 417.49
2013-01-31 413.44 413.44 413.44 413.44 0 413.44
2013-02-01 417.92 417.92 417.92 417.92 0 417.92
2013-02-04 417.92 417.92 417.92 417.92 0 417.92
2013-02-05 417.01 417.01 417.01 417.01 0 417.01
2013-02-06 416.16 416.16 416.16 416.16 0 416.16
2013-02-07 411.33 411.33 411.33 411.33 0 411.33
2013-02-08 412.11 412.11 412.11 412.11 0 412.11
2013-02-11 411.91 411.91 411.91 411.91 0 411.91
2013-02-12 410.16 410.16 410.16 410.16 0 410.16
2013-02-13 403.44 403.44 403.44 403.44 0 403.44
2013-02-14 401.53 401.53 401.53 401.53 0 401.53
2013-02-15 403.75 403.75 403.75 403.75 0 403.75
2013-02-18 403.97 403.97 403.97 403.97 0 403.97
2013-02-19 408.5 408.5 408.5 408.5 0 408.5
2013-02-20 404.87 404.87 404.87 404.87 0 404.87
2013-02-21 403.67 403.67 403.67 403.67 0 403.67
2013-02-22 401.55 401.55 401.55 401.55 0 401.55
2013-02-25 398.06 398.06 398.06 398.06 0 398.06
2013-02-26 398.06 398.06 398.06 398.06 0 398.06
2013-02-27 400.97 400.97 400.97 400.97 0 400.97
2013-02-28 404 404 404 404 0 404
2013-03-01 403.31 403.31 403.31 403.31 0 403.31
2013-03-04 402.64 402.64 402.64 402.64 0 402.64
2013-03-05 404.08 404.08 404.08 404.08 0 404.08
2013-03-06 405.47 405.47 405.47 405.47 0 405.47
2013-03-07 404.21 404.21 404.21 404.21 0 404.21
2013-03-08 407.31 407.31 407.31 407.31 0 407.31
2013-03-11 404.33 404.33 404.33 404.33 0 404.33
