"Index" "RB.Open" "RB.High" "RB.Low" "RB.Close" "RB.Volume" "RB.Adjusted"
2014-11-03 24.725 24.725 24.725 24.725 0 24.506
2014-11-04 24.725 24.725 24.725 24.725 0 24.506
2014-11-05 24.725 24.725 24.725 24.725 0 24.506
2014-11-06 24.725 24.725 24.725 24.725 0 24.506
2014-11-07 24.725 24.725 24.725 24.725 0 24.506
2014-11-10 24.725 24.725 24.725 24.725 0 24.506
2014-11-11 24.725 24.725 24.725 24.725 0 24.506
2014-11-12 24.725 24.725 24.725 24.725 0 24.506
2014-11-13 24.725 24.725 24.725 24.725 0 24.506
2014-11-14 24.725 24.725 24.725 24.725 0 24.506
2014-11-17 24.725 24.725 24.725 24.725 0 24.506
2014-11-18 24.725 24.725 24.725 24.725 0 24.506
2014-11-19 24.725 24.725 24.725 24.725 0 24.506
2014-11-20 24.725 24.725 24.725 24.725 0 24.506
2014-11-21 24.725 24.725 24.725 24.725 0 24.506
2014-11-24 24.725 24.725 24.725 24.725 0 24.506
2014-11-25 24.725 24.725 24.725 24.725 0 24.506
2014-11-26 24.725 24.725 24.725 24.725 0 24.506
2014-11-27 24.725 24.725 24.725 24.725 0 24.506
2014-11-28 24.725 24.725 24.725 24.725 0 24.506
2014-12-01 24.725 24.725 24.725 24.725 0 24.506
2014-12-02 24.725 24.725 24.725 24.725 0 24.506
2014-12-03 24.725 24.725 24.725 24.725 0 24.506
2014-12-04 24.725 24.725 24.725 24.725 0 24.506
2014-12-05 24.725 24.725 24.725 24.725 0 24.506
2014-12-08 24.725 24.725 24.725 24.725 0 24.506
2014-12-09 24.725 24.725 24.725 24.725 0 24.506
2014-12-10 24.725 24.725 24.725 24.725 0 24.506
2014-12-11 24.725 24.725 24.725 24.725 0 24.506
2014-12-12 24.725 24.725 24.725 24.725 0 24.506
2014-12-15 24.725 24.725 24.725 24.725 0 24.506
2014-12-16 24.725 24.725 24.725 24.725 0 24.506
2014-12-17 24.725 24.725 24.725 24.725 0 24.506
2014-12-18 24.725 24.725 24.725 24.725 0 24.506
