"Index" "RF.Open" "RF.High" "RF.Low" "RF.Close" "RF.Volume" "RF.Adjusted"
2013-01-02 7.32 7.37 7.17 7.31 17693800 6.986779
2013-01-03 7.3 7.37 7.2 7.33 22191900 7.005895
2013-01-04 7.37 7.59 7.37 7.59 22613400 7.254399
2013-01-07 7.59 7.59 7.41 7.46 13545500 7.130147
2013-01-08 7.44 7.48 7.28 7.4 14243500 7.0728
2013-01-09 7.42 7.46 7.27 7.3 15827800 6.977221
2013-01-10 7.33 7.39 7.24 7.35 17753800 7.02501
2013-01-11 7.36 7.36 7.15 7.24 18322100 6.919874
2013-01-14 7.24 7.28 7.16 7.19 13721500 6.872085
2013-01-15 7.15 7.32 7.13 7.29 19088600 6.967663
2013-01-16 7.33 7.45 7.3 7.38 21398100 7.053684
2013-01-17 7.41 7.55 7.35 7.45 20294300 7.120589
2013-01-18 7.47 7.57 7.35 7.43 18960500 7.101473
2013-01-22 7.47 7.81 7.45 7.76 37498500 7.416882
2013-01-23 7.75 7.85 7.64 7.66 22621500 7.321303
2013-01-24 7.66 7.73 7.63 7.67 12471000 7.330861
2013-01-25 7.73 7.77 7.63 7.69 12567700 7.349977
2013-01-28 7.67 7.75 7.59 7.71 11641200 7.369093
2013-01-29 7.68 7.75 7.67 7.71 19986400 7.369093
2013-01-30 7.71 7.88 7.65 7.81 23375700 7.464671
2013-01-31 7.61 7.81 7.56 7.78 26415700 7.435998
2013-02-01 7.84 7.96 7.8 7.88 17800100 7.531576
2013-02-04 7.82 7.87 7.75 7.81 10836800 7.464671
2013-02-05 7.87 7.97 7.81 7.93 15305000 7.579365
2013-02-06 7.9 7.99 7.86 7.94 16963200 7.588923
2013-02-07 7.96 8 7.87 7.96 13759800 7.608038
2013-02-08 7.96 7.96 7.9 7.93 8908400 7.579365
2013-02-11 7.95 7.97 7.87 7.94 17158600 7.588923
2013-02-12 7.96 7.97 7.87 7.93 11306400 7.579365
2013-02-13 7.96 7.97 7.84 7.85 18352200 7.502902
2013-02-14 7.82 7.91 7.81 7.91 12751900 7.560249
2013-02-15 7.92 7.95 7.82 7.85 10253700 7.502902
2013-02-19 7.86 7.97 7.85 7.96 12233800 7.608038
2013-02-20 7.92 7.94 7.7 7.71 14877000 7.369093
2013-02-21 7.68 7.75 7.54 7.59 23973600 7.254399
2013-02-22 7.66 7.78 7.63 7.77 15388000 7.42644
2013-02-25 7.83 7.86 7.48 7.48 18348500 7.149262
2013-02-26 7.53 7.57 7.42 7.5 15518100 7.168378
2013-02-27 7.5 7.66 7.47 7.62 11430600 7.283072
2013-02-28 7.64 7.72 7.56 7.65 11554400 7.311746
2013-03-01 7.6 7.72 7.55 7.71 17651400 7.369093
2013-03-04 7.67 7.88 7.65 7.85 18824200 7.502902
2013-03-05 7.92 8 7.88 7.92 17692800 7.569807
2013-03-06 7.98 8.2 7.97 8.04 28197600 7.684501
2013-03-07 8.07 8.24 8.05 8.22 14117700 7.856542
2013-03-08 8.31 8.36 8.05 8.15 23946100 7.789637
2013-03-11 8.15 8.35 8.14 8.31 12761300 7.942563
2013-03-12 8.28 8.33 8.12 8.13 16614700 7.770522
2013-03-13 8.14 8.27 8.05 8.25 15792200 7.894927
2013-03-14 8.29 8.34 8.16 8.31 22810100 7.952345
2013-03-15 8.33 8.42 8.29 8.36 28238200 8.000192
2013-03-18 8.27 8.34 8.21 8.27 10948100 7.914066
2013-03-19 8.31 8.34 8.22 8.29 15083100 7.933205
2013-03-20 8.37 8.44 8.32 8.4 13419700 8.03847
2013-03-21 8.36 8.39 8.21 8.22 10010700 7.866218
2013-03-22 8.26 8.27 8.17 8.21 17160700 7.856648
2013-03-25 8.29 8.31 8.17 8.28 9926500 7.923635
2013-03-26 8.32 8.35 8.22 8.3 13455100 7.942775
2013-03-27 8.24 8.24 8.12 8.22 11296300 7.866218
2013-03-28 8.2 8.24 8.11 8.19 7841100 7.837509
2013-04-01 8.19 8.22 7.97 8.02 9929800 7.674826
2013-04-02 8.03 8.09 7.97 8.04 20246800 7.693965
2013-04-03 8.01 8.04 7.81 7.87 15034200 7.531281
2013-04-04 7.87 7.99 7.86 7.97 8922800 7.626977
2013-04-05 7.81 8.02 7.76 7.99 14532400 7.646117
2013-04-08 7.96 8.04 7.84 8.04 10312400 7.693965
2013-04-09 8.07 8.12 7.96 8.08 15188100 7.732243
2013-04-10 8.12 8.25 8.09 8.23 11696600 7.875787
2013-04-11 8.24 8.25 8.11 8.22 7872600 7.866218
2013-04-12 8.15 8.24 8.07 8.11 9023200 7.760952
2013-04-15 8.11 8.12 7.8 7.8 14878900 7.464294
2013-04-16 7.91 7.99 7.88 7.97 16890900 7.626977
2013-04-17 7.88 7.9 7.71 7.79 12784800 7.454725
2013-04-18 7.81 7.83 7.62 7.67 15995200 7.339889
2013-04-19 7.74 7.84 7.63 7.83 12312800 7.493003
2013-04-22 7.86 7.86 7.68 7.73 13024700 7.397307
2013-04-23 7.92 8.12 7.85 8.01 24312100 7.665256
2013-04-24 8.02 8.23 7.99 8.22 16023300 7.866218
2013-04-25 8.23 8.39 8.23 8.32 15781600 7.961914
2013-04-26 8.38 8.39 8.25 8.37 18355800 8.009762
2013-04-29 8.4 8.44 8.37 8.42 12958600 8.05761
2013-04-30 8.38 8.49 8.36 8.49 19998800 8.124597
2013-05-01 8.46 8.52 8.42 8.43 17214600 8.06718
2013-05-02 8.43 8.55 8.37 8.46 13190500 8.095888
2013-05-03 8.55 8.65 8.54 8.58 13233900 8.210724
2013-05-06 8.57 8.71 8.56 8.71 7999100 8.335129
2013-05-07 8.77 8.8 8.65 8.73 12495400 8.354267
2013-05-08 8.72 8.84 8.7 8.81 10197100 8.430825
2013-05-09 8.8 8.92 8.78 8.81 15172600 8.430825
2013-05-10 8.81 8.89 8.73 8.81 9702400 8.430825
2013-05-13 8.83 8.91 8.78 8.84 9172900 8.459534
2013-05-14 8.86 9 8.85 9 13326800 8.612647
2013-05-15 8.98 9.19 8.95 9.14 15372000 8.746622
2013-05-16 9.13 9.18 8.9 8.95 14737300 8.564799
2013-05-17 9 9.09 8.97 9.05 15019300 8.660495
2013-05-20 9.04 9.19 9.03 9.15 13365200 8.756191
2013-05-21 9.19 9.23 9.12 9.16 10670600 8.765761
2013-05-22 9.15 9.34 8.98 9.02 16338900 8.631787
2013-05-23 8.92 9.09 8.82 8.99 15793900 8.603077
2013-05-24 8.95 9.11 8.95 9.1 12234400 8.708344
2013-05-28 9.23 9.31 9.19 9.23 15628300 8.832748
2013-05-29 9.15 9.34 9.13 9.26 14873500 8.861457
2013-05-30 9.26 9.48 9.25 9.38 15413600 8.976292
2013-05-31 9.36 9.44 9.13 9.13 17333800 8.737052
2013-06-03 9.16 9.22 8.9 9.12 22932200 8.727482
2013-06-04 9.13 9.21 8.94 8.98 19924900 8.593508
2013-06-05 8.94 9 8.82 8.88 18810000 8.497812
2013-06-06 8.87 9.04 8.83 9.03 15185500 8.641356
2013-06-07 9.1 9.25 8.98 9.21 20071900 8.813609
2013-06-10 9.3 9.4 9.16 9.36 22035500 8.957153
2013-06-11 9.24 9.37 9.19 9.22 18512700 8.823179
2013-06-12 9.25 9.35 8.99 9.07 18000900 8.707968
2013-06-13 9.06 9.18 8.97 9.17 11367700 8.803977
2013-06-14 9.14 9.17 8.91 8.98 14164100 8.62156
2013-06-17 9.08 9.08 8.92 8.97 14743500 8.61196
2013-06-18 9 9.13 8.92 9.11 14771100 8.746372
2013-06-19 9.07 9.15 9.02 9.07 18897200 8.707968
2013-06-20 8.96 9.16 8.95 9.06 29187500 8.698368
2013-06-21 9.15 9.18 9.02 9.1 29187300 8.736771
2013-06-24 9.01 9.61 8.96 9.1 26617900 8.736771
2013-06-25 9.19 9.31 9.13 9.27 13056800 8.899986
2013-06-26 9.41 9.54 9.37 9.53 22702400 9.149607
2013-06-27 9.6 9.71 9.54 9.71 20494800 9.322423
2013-06-28 9.7 9.71 9.52 9.53 15855500 9.149607
2013-07-01 9.62 9.8 9.61 9.74 12806200 9.351225
2013-07-02 9.75 9.94 9.73 9.82 18019700 9.428032
2013-07-03 9.75 9.89 9.65 9.88 9560100 9.485637
2013-07-05 10.01 10.18 9.96 10.18 13319200 9.773663
2013-07-08 10.31 10.34 10.15 10.15 16502800 9.74486
2013-07-09 10.24 10.27 10.04 10.2 19810500 9.792864
2013-07-10 10.21 10.22 10.01 10.13 18114300 9.725658
2013-07-11 10.28 10.29 9.73 9.88 25174700 9.485637
2013-07-12 9.94 10.02 9.88 10 14176600 9.600847
2013-07-15 10.08 10.12 9.92 9.93 13011300 9.533642
2013-07-16 9.94 9.97 9.71 9.74 25940500 9.351225
2013-07-17 9.78 9.99 9.77 9.98 13162600 9.581645
2013-07-18 9.96 10.27 9.88 10.23 16414100 9.821666
2013-07-19 10.27 10.28 10.1 10.23 13346400 9.821666
2013-07-22 10.23 10.42 10.21 10.42 19519500 10.004083
2013-07-23 10.36 10.43 10.15 10.42 34590500 10.004083
2013-07-24 10.46 10.52 10.22 10.22 19704400 9.812066
2013-07-25 10.21 10.33 10.1 10.18 16872400 9.773663
2013-07-26 10.1 10.25 10.07 10.23 10978700 9.821666
2013-07-29 10.23 10.24 10.01 10.06 13308000 9.658453
2013-07-30 10.13 10.19 9.99 10.04 17276200 9.639251
2013-07-31 10.09 10.28 10 10.01 27569700 9.610448
2013-08-01 10.12 10.3 10.05 10.26 18890800 9.85047
2013-08-02 10.22 10.31 10.14 10.24 12861300 9.831267
2013-08-05 10.23 10.29 10.17 10.25 7204200 9.840869
2013-08-06 10.24 10.24 10.01 10.02 13452000 9.620049
2013-08-07 10 10 9.87 9.91 12508300 9.51444
2013-08-08 10 10.05 9.88 9.93 11255100 9.533642
2013-08-09 9.92 10.05 9.91 9.92 10860200 9.524041
2013-08-12 9.86 9.97 9.81 9.85 15257800 9.456835
2013-08-13 9.9 9.96 9.76 9.88 11294200 9.485637
2013-08-14 9.87 9.98 9.85 9.95 12576200 9.552843
2013-08-15 9.83 9.9 9.76 9.81 14222200 9.418432
2013-08-16 9.78 9.95 9.78 9.84 14188700 9.447234
2013-08-19 9.84 9.88 9.68 9.68 14287800 9.293621
2013-08-20 9.68 9.96 9.66 9.86 21645800 9.466435
2013-08-21 9.84 9.97 9.72 9.84 18017000 9.447234
2013-08-22 9.86 10.1 9.83 10.06 12848900 9.658453
2013-08-23 10.1 10.13 9.89 9.94 9969400 9.543242
2013-08-26 9.93 9.95 9.8 9.81 10436100 9.418432
2013-08-27 9.69 9.7 9.45 9.46 20356800 9.082402
2013-08-28 9.45 9.53 9.34 9.44 14454000 9.0632
2013-08-29 9.41 9.62 9.39 9.49 10545600 9.111204
2013-08-30 9.53 9.54 9.35 9.4 9168700 9.024796
2013-09-03 9.53 9.65 9.28 9.35 14264700 8.976793
2013-09-04 9.37 9.59 9.34 9.49 16323600 9.111204
2013-09-05 9.5 9.64 9.5 9.57 9079300 9.188011
2013-09-06 9.64 9.66 9.38 9.55 13253900 9.168809
2013-09-09 9.59 9.6 9.43 9.54 15267000 9.159208
2013-09-10 9.6 9.74 9.58 9.66 16719000 9.274418
2013-09-11 9.64 9.67 9.5 9.55 8174000 9.197373
2013-09-12 9.54 9.57 9.44 9.48 8416300 9.129957
2013-09-13 9.46 9.54 9.4 9.52 6917000 9.168481
2013-09-16 9.64 9.65 9.54 9.59 9681800 9.235896
2013-09-17 9.6 9.64 9.54 9.64 11419200 9.284049
2013-09-18 9.64 9.75 9.56 9.61 15766600 9.255157
2013-09-19 9.62 9.64 9.15 9.21 36857600 8.869927
2013-09-20 9.24 9.32 9.18 9.29 20894200 8.946973
2013-09-23 9.25 9.26 9.03 9.07 22966200 8.735096
2013-09-24 9 9.27 8.84 9.19 23539200 8.850665
2013-09-25 9.18 9.35 9.04 9.25 19929600 8.90845
2013-09-26 9.25 9.32 9.13 9.18 7553500 8.841035
2013-09-27 9.24 9.47 9.19 9.3 20922200 8.956604
2013-09-30 9.16 9.33 9.12 9.26 13037600 8.918081
2013-10-01 9.26 9.42 9.26 9.4 12132200 9.052911
2013-10-02 9.29 9.41 9.25 9.33 9730600 8.985496
2013-10-03 9.33 9.43 9.23 9.3 17761100 8.956604
2013-10-04 9.32 9.47 9.31 9.43 11716900 9.081804
2013-10-07 9.33 9.39 9.27 9.27 9151500 8.927712
2013-10-08 9.28 9.41 9.21 9.22 14940800 8.879558
2013-10-09 9.25 9.33 9.19 9.28 14863400 8.937342
2013-10-10 9.42 9.55 9.38 9.47 25179500 9.120327
2013-10-11 9.43 9.65 9.4 9.59 16567100 9.235896
2013-10-14 9.54 9.73 9.5 9.72 12353600 9.361095
2013-10-15 9.7 9.72 9.53 9.57 11439100 9.216634
2013-10-16 9.65 9.83 9.64 9.81 13392200 9.447772
2013-10-17 9.77 9.95 9.72 9.94 16369300 9.572971
2013-10-18 9.95 10.12 9.9 10.11 31126400 9.736694
2013-10-21 10.05 10.13 9.96 10.04 20361200 9.669279
2013-10-22 9.76 9.95 9.53 9.68 51792600 9.322572
2013-10-23 9.59 9.68 9.51 9.59 22468800 9.235896
2013-10-24 9.5 9.56 9.41 9.54 17386300 9.187742
2013-10-25 9.54 9.58 9.4 9.49 16669800 9.139588
2013-10-28 9.51 9.64 9.44 9.56 11539600 9.207004
2013-10-29 9.6 9.63 9.49 9.5 15554200 9.149219
2013-10-30 9.53 9.6 9.49 9.54 16111500 9.187742
2013-10-31 9.55 9.68 9.49 9.63 46873700 9.274419
2013-11-01 9.62 9.75 9.53 9.55 14832000 9.197373
2013-11-04 9.56 9.61 9.45 9.45 12847000 9.101065
2013-11-05 9.44 9.58 9.37 9.54 14482500 9.187742
2013-11-06 9.59 9.59 9.35 9.45 21563400 9.101065
2013-11-07 9.48 9.5 9.25 9.26 18588100 8.918081
