"Index" "RG.Open" "RG.High" "RG.Low" "RG.Close" "RG.Volume" "RG.Adjusted"
2013-01-01 275.03 275.03 275.03 275.03 0 275.03
2013-01-02 280.72 280.72 280.72 280.72 0 280.72
2013-01-03 279.47 279.47 279.47 279.47 0 279.47
2013-01-04 280.9 280.9 280.9 280.9 0 280.9
2013-01-07 280.19 280.19 280.19 280.19 0 280.19
2013-01-08 280.15 280.15 280.15 280.15 0 280.15
2013-01-09 282.4 282.4 282.4 282.4 0 282.4
2013-01-10 284.75 284.75 284.75 284.75 0 284.75
2013-01-11 283.42 283.42 283.42 283.42 0 283.42
2013-01-14 282.66 282.66 282.66 282.66 0 282.66
2013-01-15 280.76 280.76 280.76 280.76 0 280.76
2013-01-16 283.49 283.49 283.49 283.49 0 283.49
2013-01-17 282.45 282.45 282.45 282.45 0 282.45
2013-01-18 285.6 285.6 285.6 285.6 0 285.6
2013-01-21 285.9 285.9 285.9 285.9 0 285.9
2013-01-22 285.7 285.7 285.7 285.7 0 285.7
2013-01-23 285.57 285.57 285.57 285.57 0 285.57
2013-01-24 284.96 284.96 284.96 284.96 0 284.96
2013-01-25 285.06 285.06 285.06 285.06 0 285.06
2013-01-28 286.18 286.18 286.18 286.18 0 286.18
2013-01-29 285.87 285.87 285.87 285.87 0 285.87
2013-01-30 286.42 286.42 286.42 286.42 0 286.42
2013-01-31 287.24 287.24 287.24 287.24 0 287.24
2013-02-01 287.34 287.34 287.34 287.34 0 287.34
2013-02-04 287.34 287.34 287.34 287.34 0 287.34
2013-02-05 288.38 288.38 288.38 288.38 0 288.38
2013-02-06 287.41 287.41 287.41 287.41 0 287.41
2013-02-07 284.14 284.14 284.14 284.14 0 284.14
2013-02-08 282.35 282.35 282.35 282.35 0 282.35
2013-02-11 278.58 278.58 278.58 278.58 0 278.58
2013-02-12 274.71 274.71 274.71 274.71 0 274.71
2013-02-13 276.38 276.38 276.38 276.38 0 276.38
2013-02-14 276.99 276.99 276.99 276.99 0 276.99
2013-02-15 278.08 278.08 278.08 278.08 0 278.08
2013-02-18 278.03 278.03 278.03 278.03 0 278.03
2013-02-19 282.55 282.55 282.55 282.55 0 282.55
2013-02-20 281.68 281.68 281.68 281.68 0 281.68
2013-02-21 280.96 280.96 280.96 280.96 0 280.96
2013-02-22 281.43 281.43 281.43 281.43 0 281.43
2013-02-25 281.74 281.74 281.74 281.74 0 281.74
2013-02-26 282.61 282.61 282.61 282.61 0 282.61
2013-02-27 285.06 285.06 285.06 285.06 0 285.06
2013-02-28 283.51 283.51 283.51 283.51 0 283.51
2013-03-01 284.39 284.39 284.39 284.39 0 284.39
2013-03-04 284.74 284.74 284.74 284.74 0 284.74
2013-03-05 290.07 290.07 290.07 290.07 0 290.07
2013-03-06 293.62 293.62 293.62 293.62 0 293.62
2013-03-07 291.91 291.91 291.91 291.91 0 291.91
2013-03-08 292.75 292.75 292.75 292.75 0 292.75
2013-03-11 293 293 293 293 0 293
2013-03-12 292.09 292.09 292.09 292.09 0 292.09
2013-03-13 290.17 290.17 290.17 290.17 0 290.17
2013-03-14 290.53 290.53 290.53 290.53 0 290.53
2013-03-15 284.86 284.86 284.86 284.86 0 284.86
2013-03-18 284.86 284.86 284.86 284.86 0 284.86
2013-03-19 279 279 279 279 0 279
2013-03-20 284.86 284.86 284.86 284.86 0 284.86
2013-03-21 285.61 285.61 285.61 285.61 0 285.61
2013-03-22 287.85 287.85 287.85 287.85 0 287.85
2013-03-25 290.44 290.44 290.44 290.44 0 290.44
2013-03-26 292.91 292.91 292.91 292.91 0 292.91
2013-03-27 294.81 294.81 294.81 294.81 0 294.81
2013-03-28 294.81 294.81 294.81 294.81 0 294.81
2013-03-29 294.81 294.81 294.81 294.81 0 294.81
2013-04-01 293.74 293.74 293.74 293.74 0 293.74
2013-04-02 297.48 297.48 297.48 297.48 0 297.48
2013-04-03 296.76 296.76 296.76 296.76 0 296.76
2013-04-04 297.25 297.25 297.25 297.25 0 297.25
2013-04-05 296.37 296.37 296.37 296.37 0 296.37
2013-04-08 296.11 296.11 296.11 296.11 0 296.11
2013-04-09 297.41 297.41 297.41 297.41 0 297.41
2013-04-10 299.43 299.43 299.43 299.43 0 299.43
2013-04-11 300.09 300.09 300.09 300.09 0 300.09
2013-04-12 297.01 297.01 297.01 297.01 0 297.01
2013-04-15 288.97 288.97 288.97 288.97 0 288.97
2013-04-16 290.5 290.5 290.5 290.5 0 290.5
2013-04-17 286.79 286.79 286.79 286.79 0 286.79
2013-04-18 288.86 288.86 288.86 288.86 0 288.86
2013-04-19 291.02 291.02 291.02 291.02 0 291.02
2013-04-22 288.35 288.35 288.35 288.35 0 288.35
2013-04-23 288.95 288.95 288.95 288.95 0 288.95
2013-04-24 284.35 284.35 284.35 284.35 0 284.35
2013-04-25 289.72 289.72 289.72 289.72 0 289.72
2013-04-26 283.02 283.02 283.02 283.02 0 283.02
2013-04-29 282.45 282.45 282.45 282.45 0 282.45
2013-04-30 281.91 281.91 281.91 281.91 0 281.91
2013-05-01 281.91 281.91 281.91 281.91 0 281.91
2013-05-02 281.93 281.93 281.93 281.93 0 281.93
2013-05-03 283.02 283.02 283.02 283.02 0 283.02
2013-05-06 283.04 283.04 283.04 283.04 0 283.04
2013-05-07 283.68 283.68 283.68 283.68 0 283.68
2013-05-08 284.83 284.83 284.83 284.83 0 284.83
2013-05-09 284.23 284.23 284.23 284.23 0 284.23
2013-05-10 285.06 285.06 285.06 285.06 0 285.06
2013-05-13 284.76 284.76 284.76 284.76 0 284.76
2013-05-14 287.29 287.29 287.29 287.29 0 287.29
2013-05-15 286.58 286.58 286.58 286.58 0 286.58
2013-05-16 285.59 285.59 285.59 285.59 0 285.59
2013-05-17 284.98 284.98 284.98 284.98 0 284.98
2013-05-20 279.3 279.3 279.3 279.3 0 279.3
2013-05-21 274.64 274.64 274.64 274.64 0 274.64
2013-05-22 272.7 272.7 272.7 272.7 0 272.7
2013-05-23 276.12 276.12 276.12 276.12 0 276.12
2013-05-24 274.31 274.31 274.31 274.31 0 274.31
2013-05-27 273.3 273.3 273.3 273.3 0 273.3
2013-05-28 276.46 276.46 276.46 276.46 0 276.46
2013-05-29 274.99 274.99 274.99 274.99 0 274.99
2013-05-30 276.45 276.45 276.45 276.45 0 276.45
2013-05-31 276 276 276 276 0 276
2013-06-03 274.29 274.29 274.29 274.29 0 274.29
2013-06-04 273.56 273.56 273.56 273.56 0 273.56
2013-06-05 270.16 270.16 270.16 270.16 0 270.16
2013-06-06 273.24 273.24 273.24 273.24 0 273.24
2013-06-07 271.55 271.55 271.55 271.55 0 271.55
2013-06-10 274.79 274.79 274.79 274.79 0 274.79
2013-06-11 269.82 269.82 269.82 269.82 0 269.82
2013-06-12 267.31 267.31 267.31 267.31 0 267.31
2013-06-13 267.99 267.99 267.99 267.99 0 267.99
2013-06-14 267.13 267.13 267.13 267.13 0 267.13
2013-06-17 266.31 266.31 266.31 266.31 0 266.31
2013-06-18 266.44 266.44 266.44 266.44 0 266.44
2013-06-19 263.81 263.81 263.81 263.81 0 263.81
2013-06-20 256.91 256.91 256.91 256.91 0 256.91
2013-06-21 258.34 258.34 258.34 258.34 0 258.34
2013-06-24 255.5 255.5 255.5 255.5 0 255.5
2013-06-25 256.03 256.03 256.03 256.03 0 256.03
2013-06-26 259.14 259.14 259.14 259.14 0 259.14
2013-06-27 264.29 264.29 264.29 264.29 0 264.29
2013-06-28 269.65 269.65 269.65 269.65 0 269.65
2013-07-01 272.03 272.03 272.03 272.03 0 272.03
2013-07-02 272.2 272.2 272.2 272.2 0 272.2
2013-07-03 272.97 272.97 272.97 272.97 0 272.97
2013-07-04 274.26 274.26 274.26 274.26 0 274.26
2013-07-05 271.32 271.32 271.32 271.32 0 271.32
2013-07-08 271.52 271.52 271.52 271.52 0 271.52
2013-07-09 268.87 268.87 268.87 268.87 0 268.87
2013-07-10 268.78 268.78 268.78 268.78 0 268.78
2013-07-11 270.13 270.13 270.13 270.13 0 270.13
2013-07-12 270.51 270.51 270.51 270.51 0 270.51
2013-07-15 271.71 271.71 271.71 271.71 0 271.71
2013-07-16 269.92 269.92 269.92 269.92 0 269.92
2013-07-17 269.69 269.69 269.69 269.69 0 269.69
2013-07-18 270.71 270.71 270.71 270.71 0 270.71
2013-07-19 268.11 268.11 268.11 268.11 0 268.11
2013-07-22 267.62 267.62 267.62 267.62 0 267.62
2013-07-23 271.94 271.94 271.94 271.94 0 271.94
2013-07-24 275.1 275.1 275.1 275.1 0 275.1
2013-07-25 278.02 278.02 278.02 278.02 0 278.02
2013-07-26 277.28 277.28 277.28 277.28 0 277.28
2013-07-29 276.11 276.11 276.11 276.11 0 276.11
2013-07-30 277.2 277.2 277.2 277.2 0 277.2
2013-07-31 279.41 279.41 279.41 279.41 0 279.41
2013-08-01 285.51 285.51 285.51 285.51 0 285.51
2013-08-02 287.92 287.92 287.92 287.92 0 287.92
2013-08-05 286.28 286.28 286.28 286.28 0 286.28
2013-08-06 287.86 287.86 287.86 287.86 0 287.86
2013-08-07 289.89 289.89 289.89 289.89 0 289.89
2013-08-08 292.11 292.11 292.11 292.11 0 292.11
2013-08-09 292.78 292.78 292.78 292.78 0 292.78
2013-08-12 291.16 291.16 291.16 291.16 0 291.16
2013-08-13 289.64 289.64 289.64 289.64 0 289.64
2013-08-14 290.16 290.16 290.16 290.16 0 290.16
2013-08-15 286.66 286.66 286.66 286.66 0 286.66
2013-08-16 285.94 285.94 285.94 285.94 0 285.94
2013-08-19 283.52 283.52 283.52 283.52 0 283.52
2013-08-20 284.37 284.37 284.37 284.37 0 284.37
2013-08-21 285.07 285.07 285.07 285.07 0 285.07
2013-08-22 282.92 282.92 282.92 282.92 0 282.92
2013-08-23 282.65 282.65 282.65 282.65 0 282.65
2013-08-26 278.63 278.63 278.63 278.63 0 278.63
2013-08-27 275.07 275.07 275.07 275.07 0 275.07
2013-08-28 271.98 271.98 271.98 271.98 0 271.98
2013-08-29 273.84 273.84 273.84 273.84 0 273.84
2013-08-30 274.65 274.65 274.65 274.65 0 274.65
2013-09-02 277.21 277.21 277.21 277.21 0 277.21
2013-09-03 275.88 275.88 275.88 275.88 0 275.88
2013-09-04 277.99 277.99 277.99 277.99 0 277.99
2013-09-05 275.45 275.45 275.45 275.45 0 275.45
2013-09-06 276.02 276.02 276.02 276.02 0 276.02
2013-09-09 282.71 282.71 282.71 282.71 0 282.71
2013-09-10 284.79 284.79 284.79 284.79 0 284.79
2013-09-11 283.47 283.47 283.47 283.47 0 283.47
2013-09-12 278.75 278.75 278.75 278.75 0 278.75
2013-09-13 279.71 279.71 279.71 279.71 0 279.71
2013-09-16 279.71 279.71 279.71 279.71 0 279.71
2013-09-17 278.23 278.23 278.23 278.23 0 278.23
2013-09-18 284.08 284.08 284.08 284.08 0 284.08
2013-09-19 284.36 284.36 284.36 284.36 0 284.36
2013-09-20 281.75 281.75 281.75 281.75 0 281.75
2013-09-23 282.55 282.55 282.55 282.55 0 282.55
2013-09-24 282.22 282.22 282.22 282.22 0 282.22
2013-09-25 284.16 284.16 284.16 284.16 0 284.16
2013-09-26 284.26 284.26 284.26 284.26 0 284.26
2013-09-27 283.53 283.53 283.53 283.53 0 283.53
2013-09-30 280.21 280.21 280.21 280.21 0 280.21
2013-10-01 286.54 286.54 286.54 286.54 0 286.54
2013-10-02 286.92 286.92 286.92 286.92 0 286.92
2013-10-03 284.59 284.59 284.59 284.59 0 284.59
2013-10-04 285.01 285.01 285.01 285.01 0 285.01
2013-10-07 283.64 283.64 283.64 283.64 0 283.64
2013-10-08 281.77 281.77 281.77 281.77 0 281.77
2013-10-09 279.15 279.15 279.15 279.15 0 279.15
2013-10-10 284.44 284.44 284.44 284.44 0 284.44
2013-10-11 287.08 287.08 287.08 287.08 0 287.08
2013-10-14 285.87 285.87 285.87 285.87 0 285.87
2013-10-15 280.73 280.73 280.73 280.73 0 280.73
2013-10-16 282 282 282 282 0 282
2013-10-17 279.25 279.25 279.25 279.25 0 279.25
2013-10-18 279.42 279.42 279.42 279.42 0 279.42
2013-10-21 278.62 278.62 278.62 278.62 0 278.62
2013-10-22 281.3 281.3 281.3 281.3 0 281.3
2013-10-23 279.06 279.06 279.06 279.06 0 279.06
2013-10-24 276.68 276.68 276.68 276.68 0 276.68
2013-10-25 279.59 279.59 279.59 279.59 0 279.59
2013-10-28 283.91 283.91 283.91 283.91 0 283.91
2013-10-29 284.01 284.01 284.01 284.01 0 284.01
