"Index" "RM.Open" "RM.High" "RM.Low" "RM.Close" "RM.Volume" "RM.Adjusted"
2013-01-02 16.75 16.75 16.540001 16.73 17200 16.73
2013-01-03 16.85 17.379999 16.85 17.049999 13800 17.049999
2013-01-04 17.23 17.5 17.23 17.41 10500 17.41
2013-01-07 17.280001 17.49 17.280001 17.41 2300 17.41
2013-01-08 17.35 17.4 17.35 17.35 3100 17.35
2013-01-09 17.450001 17.450001 16.790001 17.059999 21100 17.059999
2013-01-10 17 17.299999 16.799999 17.02 19100 17.02
2013-01-11 17.059999 17.1 16.68 16.690001 11800 16.690001
2013-01-14 16.76 16.76 16.41 16.610001 23500 16.610001
2013-01-15 16.52 16.68 16.43 16.549999 9400 16.549999
2013-01-16 15.75 16 15.54 15.61 39400 15.61
2013-01-17 15.7 16.139999 15.7 16.129999 25300 16.129999
2013-01-18 16.08 16.09 15.87 15.87 8900 15.87
2013-01-22 15.92 16.129999 15.92 16.129999 13000 16.129999
2013-01-23 16.02 16.450001 16.02 16.43 13000 16.43
2013-01-24 16.43 16.540001 16.08 16.120001 29600 16.120001
2013-01-25 16.27 16.549999 16.219999 16.450001 12900 16.450001
2013-01-28 16.370001 16.77 16.370001 16.700001 7300 16.700001
2013-01-29 16.6 16.809999 16.4 16.5 18300 16.5
2013-01-30 16.51 16.65 16.51 16.610001 3600 16.610001
2013-01-31 16.639999 17.040001 16.639999 16.799999 25000 16.799999
2013-02-01 16.780001 16.860001 16.6 16.67 22900 16.67
2013-02-04 16.66 16.68 16.43 16.5 45500 16.5
2013-02-05 16.51 16.719999 16.43 16.68 41600 16.68
2013-02-06 16.530001 17.35 16.309999 17.040001 13500 17.040001
2013-02-07 17.09 17.09 16.200001 16.629999 59000 16.629999
2013-02-08 16.620001 16.889999 16.620001 16.84 3000 16.84
2013-02-11 16.700001 16.73 16.379999 16.389999 17400 16.389999
2013-02-12 16.450001 17.34 16.43 17.299999 25100 17.299999
2013-02-13 17.190001 17.25 16.98 17.190001 8300 17.190001
2013-02-14 17.07 17.219999 16.98 17.129999 6100 17.129999
2013-02-15 17.219999 17.73 17.190001 17.629999 80700 17.629999
2013-02-19 17.66 17.9 17.360001 17.549999 17000 17.549999
2013-02-20 17.51 17.59 17.370001 17.450001 49200 17.450001
2013-02-21 17.48 17.5 17.25 17.469999 14300 17.469999
2013-02-22 17.5 17.5 17.290001 17.48 54300 17.48
2013-02-25 17.48 17.52 17.379999 17.450001 35700 17.450001
2013-02-26 17.450001 17.559999 17.299999 17.51 48400 17.51
2013-02-27 17.49 17.58 17.42 17.5 68100 17.5
2013-02-28 17.27 18.1 17.27 17.959999 7000 17.959999
2013-03-01 18 18.41 17.790001 18.120001 43700 18.120001
2013-03-04 18.25 19.1 18.07 18.959999 84500 18.959999
2013-03-05 19.1 19.120001 18.809999 18.969999 27700 18.969999
2013-03-06 19.09 19.09 18.68 18.92 13800 18.92
2013-03-07 19.01 19.35 18.85 18.959999 16800 18.959999
2013-03-08 18.959999 18.959999 18.76 18.879999 16300 18.879999
2013-03-11 18.780001 18.9 18.24 18.540001 41600 18.540001
2013-03-12 18.6 18.92 18.48 18.84 47600 18.84
2013-03-13 18.940001 18.959999 18.690001 18.799999 12700 18.799999
2013-03-14 18.459999 18.889999 18.18 18.889999 75700 18.889999
2013-03-15 18.98 19.74 18.76 19.48 208500 19.48
2013-03-18 19.200001 19.42 18.9 19.42 26100 19.42
2013-03-19 19.5 19.5 19.4 19.43 10400 19.43
2013-03-20 19.459999 20.879999 19.440001 20.530001 33900 20.530001
2013-03-21 20.540001 20.540001 20.01 20.07 26200 20.07
2013-03-22 20.110001 20.35 20.049999 20.049999 38500 20.049999
2013-03-25 20.049999 20.16 20 20.07 7500 20.07
2013-03-26 20.1 20.190001 19.959999 20.07 35100 20.07
2013-03-27 19.9 20.129999 19.85 20.049999 39400 20.049999
2013-03-28 20.16 20.35 19.950001 20.200001 71000 20.200001
2013-04-01 20.15 20.25 19.23 19.709999 77300 19.709999
2013-04-02 19.870001 20.200001 19.870001 20.01 46400 20.01
2013-04-03 20.01 20.25 19.91 20.030001 30900 20.030001
2013-04-04 20 20.57 20 20.059999 12600 20.059999
2013-04-05 19.809999 20.23 19.709999 20.040001 8600 20.040001
2013-04-08 20.16 20.360001 19.85 20.129999 10600 20.129999
2013-04-09 20.219999 20.219999 20 20.049999 3700 20.049999
2013-04-10 20.049999 20.4 20.049999 20.27 10200 20.27
2013-04-11 20.379999 20.700001 20.01 20.459999 24200 20.459999
2013-04-12 20.4 20.4 20.049999 20.09 5800 20.09
2013-04-15 20.049999 20.09 19.93 19.93 61000 19.93
2013-04-16 20 20.18 20 20.110001 7300 20.110001
2013-04-17 20.049999 20.139999 19.92 20.049999 12700 20.049999
2013-04-18 20.16 20.459999 20.08 20.27 10700 20.27
2013-04-19 20.280001 20.59 20.18 20.34 9600 20.34
2013-04-22 20.27 20.58 20.25 20.48 31100 20.48
2013-04-23 20.629999 21.290001 20.52 21.059999 5200 21.059999
2013-04-24 21.18 21.42 21.09 21.35 5600 21.35
2013-04-25 21.540001 22 21.51 21.76 5600 21.76
2013-04-26 21.76 22.02 21.620001 21.889999 34600 21.889999
2013-04-29 21.76 21.98 21.389999 21.91 49400 21.91
2013-04-30 21.940001 21.940001 21.190001 21.68 15700 21.68
2013-05-01 21.549999 22.5 21.549999 21.700001 59800 21.700001
2013-05-02 21.85 22.389999 21.5 21.93 21100 21.93
2013-05-03 22.370001 24.719999 22.370001 23.41 41200 23.41
2013-05-06 23.4 23.9 23.200001 23.469999 23600 23.469999
2013-05-07 23.57 23.73 23.27 23.57 11900 23.57
2013-05-08 23.690001 24.110001 23.549999 23.9 345200 23.9
2013-05-09 24 24.129999 23.709999 23.9 23600 23.9
2013-05-10 24.040001 24.219999 23.99 24.129999 17000 24.129999
2013-05-13 23.870001 24.07 23.65 24.049999 49600 24.049999
2013-05-14 23.92 24.299999 23.780001 23.98 15900 23.98
2013-05-15 24.08 24.120001 23.780001 23.969999 12500 23.969999
2013-05-16 24.290001 24.290001 23.379999 23.98 20900 23.98
2013-05-17 24 24.15 23.59 23.629999 10500 23.629999
2013-05-20 23.4 23.75 22.959999 23.209999 28600 23.209999
