"Index" "RMB.Open" "RMB.High" "RMB.Low" "RMB.Close" "RMB.Volume" "RMB.Adjusted"
2013-01-01 3.639 3.639 3.639 3.639 0 3.639
2013-01-02 3.603 3.603 3.603 3.603 0 3.603
2013-01-03 3.707 3.707 3.707 3.707 0 3.707
2013-01-04 3.697 3.697 3.697 3.697 0 3.697
2013-01-07 3.698 3.698 3.698 3.698 0 3.698
2013-01-08 3.649 3.649 3.649 3.649 0 3.649
2013-01-09 3.71 3.71 3.71 3.71 0 3.71
2013-01-10 3.717 3.717 3.717 3.717 0 3.717
2013-01-11 3.767 3.767 3.767 3.767 0 3.767
2013-01-14 3.755 3.755 3.755 3.755 0 3.755
2013-01-15 3.822 3.978 3.822 3.978 1000 3.978
2013-01-16 3.872 3.872 3.872 3.872 0 3.872
2013-01-17 3.843 3.843 3.843 3.843 0 3.843
2013-01-18 3.871 3.871 3.871 3.871 0 3.871
2013-01-21 3.862 3.862 3.862 3.862 0 3.862
2013-01-22 3.856 3.856 3.856 3.856 0 3.856
2013-01-23 3.87 3.87 3.87 3.87 0 3.87
2013-01-24 3.83 3.83 3.83 3.83 0 3.83
2013-01-25 3.74 3.74 3.74 3.74 0 3.74
2013-01-28 4.01 4.01 4.01 4.01 0 4.01
2013-01-29 4.09 4.09 4.09 4.09 0 4.09
2013-01-30 4.013 4.013 4.013 4.013 0 4.013
2013-01-31 3.916 3.916 3.916 3.916 0 3.916
2013-02-01 3.95 3.95 3.95 3.95 0 3.95
2013-02-04 3.93 3.93 3.93 3.93 0 3.93
2013-02-05 3.93 3.93 3.93 3.93 0 3.93
2013-02-06 3.99 3.99 3.99 3.99 0 3.99
2013-02-07 3.96 3.992 3.96 3.992 0 3.992
2013-02-08 3.98 3.98 3.98 3.98 0 3.98
2013-02-11 4.06 4.06 4.06 4.06 0 4.06
2013-02-12 3.97 3.97 3.97 3.97 0 3.97
2013-02-13 4.04 4.04 4.04 4.04 0 4.04
2013-02-14 4.01 4.01 4.01 4.01 0 4.01
2013-02-15 4.08 4.08 4.08 4.08 0 4.08
2013-02-18 4.05 4.05 4.05 4.05 0 4.05
2013-02-19 4.15 4.15 4.15 4.15 0 4.15
2013-02-20 4.6 4.6 4.6 4.6 0 4.6
2013-02-21 4.27 4.27 4.27 4.27 0 4.27
2013-02-22 4.32 4.32 4.32 4.32 0 4.32
2013-02-25 4.25 4.25 4.25 4.25 0 4.25
2013-02-26 4.23 4.23 4.23 4.23 0 4.23
2013-02-27 4.15 4.15 4.15 4.15 0 4.15
2013-02-28 4.21 4.21 4.21 4.21 0 4.21
2013-03-01 4.24 4.24 4.24 4.24 0 4.24
2013-03-04 4.12 4.12 4.12 4.12 0 4.12
2013-03-05 4.09 4.09 4.09 4.09 0 4.09
2013-03-06 4.12 4.12 4.12 4.12 0 4.12
2013-03-07 4.24 4.24 4.24 4.24 0 4.24
2013-03-08 4.21 4.21 4.21 4.21 0 4.21
2013-03-11 4.26 4.26 4.26 4.26 0 4.26
2013-03-12 4.26 4.26 4.26 4.26 0 4.26
2013-03-13 4.24 4.24 4.24 4.24 0 4.24
2013-03-14 4.25 4.25 4.25 4.25 0 4.25
2013-03-15 4.27 4.27 4.27 4.27 0 4.27
2013-03-18 4.11 4.11 4.11 4.11 0 4.11
2013-03-19 4.09 4.09 4.09 4.09 0 4.09
2013-03-20 4.04 4.04 4.04 4.04 0 4.04
2013-03-21 4.03 4.03 4.03 4.03 0 4.03
2013-03-22 4.2 4.2 4.2 4.2 0 4.2
2013-03-25 4.16 4.16 4.16 4.16 0 4.16
2013-03-26 4.28 4.28 4.28 4.28 0 4.28
2013-03-27 4.37 4.37 4.37 4.37 0 4.37
2013-03-28 4.42 4.42 4.42 4.42 0 4.42
2013-03-29 4.42 4.42 4.42 4.42 0 4.42
2013-04-01 4.42 4.42 4.42 4.42 0 4.42
2013-04-02 4.15 4.15 4.15 4.15 0 4.15
2013-04-03 4.21 4.21 4.21 4.21 0 4.21
2013-04-04 4.24 4.24 4.24 4.24 0 4.24
2013-04-05 4.21 4.21 4.21 4.21 0 4.21
2013-04-08 4.47 4.47 4.47 4.47 0 4.47
2013-04-09 4.54 4.54 4.54 4.54 0 4.54
2013-04-10 4.53 4.53 4.53 4.53 0 4.53
2013-04-11 4.76 4.76 4.76 4.76 0 4.76
2013-04-12 5.11 5.11 5.11 5.11 0 5.11
2013-04-15 5.2 5.2 5.2 5.2 0 5.2
2013-04-16 5.44 5.44 5.44 5.44 0 5.44
2013-04-17 5.4 5.4 5.4 5.4 0 5.4
2013-04-18 5.12 5.12 5.12 5.12 0 5.12
2013-04-19 5.14 5.14 5.14 5.14 0 5.14
2013-04-22 4.65 4.65 4.65 4.65 0 4.65
2013-04-23 4.5 4.5 4.5 4.5 0 4.5
2013-04-24 4.59 4.59 4.59 4.59 0 4.59
2013-04-25 4.66 4.66 4.66 4.66 0 4.66
2013-04-26 4.79 4.79 4.79 4.79 0 4.79
2013-04-29 4.99 4.99 4.99 4.99 0 4.99
2013-04-30 5.14 5.14 5.14 5.14 0 5.14
2013-05-01 5.14 5.14 5.14 5.14 0 5.14
2013-05-02 5.14 5.14 5.14 5.14 0 5.14
2013-05-03 5.25 5.25 5.25 5.25 0 5.25
2013-05-06 5.41 5.41 5.41 5.41 0 5.41
2013-05-07 5.66 5.66 5.66 5.66 0 5.66
2013-05-08 5.7 5.7 5.7 5.7 0 5.7
2013-05-09 5.77 5.77 5.77 5.77 0 5.77
2013-05-10 5.83 5.83 5.83 5.83 0 5.83
2013-05-13 6.07 6.07 6.07 6.07 0 6.07
2013-05-14 6.15 6.15 6.15 6.15 0 6.15
2013-05-15 6.09 6.09 6.09 6.09 0 6.09
2013-05-16 6.13 6.13 6.13 6.13 0 6.13
2013-05-17 6.17 6.17 6.17 6.17 0 6.17
2013-05-20 6.14 6.14 6.14 6.14 0 6.14
2013-05-21 6.12 6.12 6.12 6.12 0 6.12
2013-05-22 6.14 6.14 6.14 6.14 0 6.14
2013-05-23 5.95 5.95 5.95 5.95 0 5.95
2013-05-24 5.94 5.94 5.94 5.94 0 5.94
2013-05-27 5.92 5.92 5.92 5.92 0 5.92
2013-05-28 5.96 5.96 5.96 5.96 0 5.96
2013-05-29 6.01 6.01 6.01 6.01 0 6.01
2013-05-30 5.91 5.91 5.91 5.91 0 5.91
2013-05-31 6 6 6 6 0 6
2013-06-03 5.99 5.99 5.99 5.99 0 5.99
2013-06-04 6.03 6.03 6.03 6.03 0 6.03
2013-06-05 6.11 6.11 6.11 6.11 0 6.11
2013-06-06 6.04 6.04 6.04 6.04 0 6.04
2013-06-07 5.99 5.99 5.99 5.99 0 5.99
2013-06-10 6.06 6.06 6.06 6.06 0 6.06
2013-06-11 6.11 6.11 6.11 6.11 0 6.11
2013-06-12 6.64 6.64 6.64 6.64 0 6.64
2013-06-13 6.27 6.27 6.27 6.27 0 6.27
2013-06-14 6.39 6.39 6.39 6.39 0 6.39
2013-06-17 6.46 6.46 6.46 6.46 0 6.46
2013-06-18 6.62 6.62 6.62 6.62 0 6.62
2013-06-19 6.58 6.58 6.58 6.58 0 6.58
2013-06-20 6.62 6.62 6.62 6.62 0 6.62
2013-06-21 6.47 6.47 6.47 6.47 0 6.47
2013-06-24 6.35 6.35 6.35 6.35 0 6.35
2013-06-25 6.25 6.25 6.25 6.25 0 6.25
2013-06-26 6.39 6.39 6.39 6.39 0 6.39
2013-06-27 6.39 6.39 6.39 6.39 0 6.39
2013-06-28 6.52 6.52 6.52 6.52 0 6.52
2013-07-01 6.53 6.53 6.53 6.53 0 6.53
2013-07-02 6.77 6.77 6.77 6.77 0 6.77
2013-07-03 6.87 6.87 6.87 6.87 0 6.87
2013-07-04 7.03 7.03 7.03 7.03 0 7.03
2013-07-05 7.13 7.13 7.13 7.13 0 7.13
2013-07-08 7.26 7.26 7.26 7.26 0 7.26
2013-07-09 7.27 7.27 7.27 7.27 0 7.27
2013-07-10 7.44 7.44 7.44 7.44 0 7.44
2013-07-11 7.13 7.13 7.13 7.13 0 7.13
2013-07-12 7.37 7.37 7.37 7.37 0 7.37
2013-07-15 7.4 7.4 7.4 7.4 0 7.4
2013-07-16 7.49 7.49 7.49 7.49 0 7.49
2013-07-17 7.43 7.43 7.43 7.43 0 7.43
2013-07-18 7.41 7.41 7.41 7.41 0 7.41
2013-07-19 7.46 7.46 7.46 7.46 0 7.46
2013-07-22 7.56 7.56 7.56 7.56 0 7.56
2013-07-23 8.04 8.04 8.04 8.04 0 8.04
2013-07-24 7.6 7.6 7.6 7.6 0 7.6
2013-07-25 7.53 7.696 7.53 7.696 200 7.696
2013-07-26 7.59 7.59 7.59 7.59 0 7.59
2013-07-29 7.49 7.49 7.49 7.49 0 7.49
2013-07-30 7.25 7.25 7.25 7.25 0 7.25
2013-07-31 7.34 7.34 7.34 7.34 0 7.34
2013-08-01 7.32 7.32 7.32 7.32 0 7.32
2013-08-02 7.37 7.37 7.37 7.37 0 7.37
2013-08-05 7.35 7.35 7.35 7.35 0 7.35
2013-08-06 7.44 7.44 7.44 7.44 0 7.44
2013-08-07 7.16 7.16 7.16 7.16 0 7.16
2013-08-08 6.99 6.99 6.99 6.99 0 6.99
2013-08-09 6.96 6.96 6.96 6.96 0 6.96
2013-08-12 6.86 6.86 6.86 6.86 0 6.86
2013-08-13 6.55 6.55 6.55 6.55 0 6.55
2013-08-14 6.65 6.65 6.65 6.65 0 6.65
2013-08-15 6.62 6.62 6.62 6.62 0 6.62
2013-08-16 6.39 6.39 6.39 6.39 0 6.39
2013-08-19 6.51 6.51 6.51 6.51 0 6.51
2013-08-20 6.29 6.29 6.29 6.29 0 6.29
2013-08-21 6.33 6.33 6.33 6.33 0 6.33
2013-08-22 6.25 6.25 6.25 6.25 0 6.25
2013-08-23 6.29 6.29 6.29 6.29 0 6.29
2013-08-26 6.26 6.26 6.26 6.26 0 6.26
2013-08-27 6.38 6.38 6.38 6.38 0 6.38
2013-08-28 5.96 5.96 5.96 5.96 0 5.96
2013-08-29 6.29 6.29 6.29 6.29 0 6.29
2013-08-30 6.26 6.26 6.26 6.26 0 6.26
2013-09-02 6.16 6.16 6.16 6.16 0 6.16
2013-09-03 6.19 6.19 6.19 6.19 0 6.19
2013-09-04 6.25 6.25 6.25 6.25 0 6.25
2013-09-05 6.59 6.59 6.59 6.59 0 6.59
2013-09-06 6.78 6.78 6.78 6.78 0 6.78
2013-09-09 6.75 6.75 6.75 6.75 0 6.75
2013-09-10 6.69 6.69 6.69 6.69 0 6.69
2013-09-11 6.83 6.83 6.83 6.83 0 6.83
2013-09-12 6.56 6.56 6.56 6.56 0 6.56
2013-09-13 6.3 6.3 6.3 6.3 0 6.3
2013-09-16 6.33 6.33 6.33 6.33 0 6.33
2013-09-17 6.25 6.25 6.25 6.25 0 6.25
2013-09-18 6.33 6.33 6.33 6.33 0 6.33
2013-09-19 6.34 6.34 6.34 6.34 0 6.34
2013-09-20 6.46 6.46 6.46 6.46 0 6.46
2013-09-23 6.54 6.54 6.54 6.54 0 6.54
2013-09-24 6.53 6.53 6.53 6.53 0 6.53
2013-09-25 6.81 6.81 6.81 6.81 0 6.81
2013-09-26 6.72 6.72 6.72 6.72 0 6.72
2013-09-27 6.65 6.65 6.65 6.65 0 6.65
2013-09-30 6.7 6.7 6.7 6.7 0 6.7
2013-10-01 6.9 7 6.9 7 200 7
2013-10-02 7.09 7.09 7.09 7.09 0 7.09
2013-10-03 6.96 6.96 6.96 6.96 0 6.96
2013-10-04 6.79 6.79 6.79 6.79 0 6.79
2013-10-07 6.8 6.8 6.8 6.8 0 6.8
2013-10-08 6.73 6.73 6.73 6.73 0 6.73
2013-10-09 6.62 6.62 6.62 6.62 0 6.62
2013-10-10 6.67 6.67 6.67 6.67 0 6.67
2013-10-11 6.92 6.92 6.92 6.92 0 6.92
2013-10-14 6.77 6.77 6.77 6.77 0 6.77
2013-10-15 7.03 7.03 7.03 7.03 0 7.03
2013-10-16 6.92 6.92 6.92 6.92 0 6.92
2013-10-17 6.98 6.98 6.98 6.98 0 6.98
2013-10-18 6.98 6.98 6.98 6.98 0 6.98
2013-10-21 6.89 6.89 6.89 6.89 0 6.89
2013-10-22 6.73 6.73 6.73 6.73 0 6.73
2013-10-23 6.6 6.6 6.6 6.6 0 6.6
2013-10-24 6.45 6.45 6.45 6.45 0 6.45
2013-10-25 6.24 6.24 6.24 6.24 0 6.24
2013-10-28 6.16 6.16 6.16 6.16 0 6.16
2013-10-29 6.08 6.08 6.08 6.08 0 6.08
2013-10-30 6.29 6.29 6.29 6.29 0 6.29
2013-10-31 6.23 6.23 6.23 6.23 0 6.23
2013-11-01 6.41 6.41 6.41 6.41 0 6.41
2013-11-04 6.43 6.43 6.43 6.43 0 6.43
2013-11-05 6.3 6.3 6.3 6.3 0 6.3
2013-11-06 6.39 6.39 6.39 6.39 0 6.39
2013-11-07 6.25 6.25 6.25 6.25 0 6.25
2013-11-08 6.05 6.05 6.05 6.05 0 6.05
2013-11-11 6.27 6.27 6.27 6.27 0 6.27
2013-11-12 6.19 6.19 6.19 6.19 0 6.19
2013-11-13 6.46 6.46 6.46 6.46 0 6.46
2013-11-14 6.65 6.65 6.65 6.65 0 6.65
2013-11-15 6.41 6.41 6.41 6.41 0 6.41
2013-11-18 6.28 6.28 6.28 6.28 0 6.28
2013-11-19 6.14 6.14 6.14 6.14 0 6.14
2013-11-20 6.06 6.06 6.06 6.06 0 6.06
2013-11-21 6.15 6.17 6.15 6.17 0 6.17
2013-11-22 6.41 6.41 6.41 6.41 0 6.41
2013-11-25 6.35 6.35 6.35 6.35 0 6.35
2013-11-26 6.26 6.26 6.26 6.26 0 6.26
2013-11-27 6.32 6.32 6.32 6.32 0 6.32
2013-11-28 6.33 6.33 6.33 6.33 0 6.33
2013-11-29 6.32 6.32 6.32 6.32 0 6.32
2013-12-02 6.27 6.27 6.27 6.27 0 6.27
2013-12-03 6.23 6.23 6.23 6.23 0 6.23
2013-12-04 6.286 6.286 6.286 6.286 0 6.286
2013-12-05 6.12 6.12 6.12 6.12 0 6.12
2013-12-06 6.23 6.23 6.23 6.23 0 6.23
2013-12-09 6.22 6.22 6.22 6.22 0 6.22
2013-12-10 6.28 6.28 6.28 6.28 0 6.28
2013-12-11 6.9 6.9 6.9 6.9 0 6.9
2013-12-12 7.191 7.191 7.191 7.191 0 7.191
2013-12-13 6.931 6.931 6.931 6.931 0 6.931
2013-12-16 6.856 6.856 6.856 6.856 0 6.856
2013-12-17 6.839 6.839 6.839 6.839 0 6.839
2013-12-18 6.869 6.869 6.869 6.869 0 6.869
2013-12-19 6.672 6.672 6.672 6.672 0 6.672
2013-12-20 6.803 6.803 6.803 6.803 0 6.803
2013-12-23 6.869 6.869 6.869 6.869 0 6.869
2013-12-24 6.869 6.869 6.869 6.869 0 6.869
2013-12-25 6.869 6.869 6.869 6.869 0 6.869
2013-12-26 6.869 6.869 6.869 6.869 0 6.869
2013-12-27 6.883 6.883 6.883 6.883 0 6.883
2013-12-30 6.907 6.907 6.907 6.907 0 6.907
2013-12-31 6.907 6.907 6.907 6.907 0 6.907
2014-01-01 6.907 6.907 6.907 6.907 0 6.907
2014-01-02 6.798 6.798 6.798 6.798 0 6.798
2014-01-03 6.936 6.936 6.936 6.936 0 6.936
2014-01-06 7.45 7.45 7.45 7.45 0 7.45
2014-01-07 6.722 6.722 6.722 6.722 0 6.722
2014-01-08 6.656 6.656 6.656 6.656 0 6.656
2014-01-09 6.609 6.609 6.609 6.609 0 6.609
2014-01-10 6.486 6.486 6.486 6.486 0 6.486
2014-01-13 6.287 6.287 6.287 6.287 0 6.287
2014-01-14 6.129 6.129 6.129 6.129 0 6.129
2014-01-15 6.427 6.427 6.427 6.427 0 6.427
2014-01-16 6.333 6.333 6.333 6.333 0 6.333
2014-01-17 6.251 6.251 6.251 6.251 0 6.251
2014-01-20 6.238 6.238 6.238 6.238 0 6.238
2014-01-21 6.272 6.272 6.272 6.272 0 6.272
2014-01-22 6.222 6.222 6.222 6.222 0 6.222
2014-01-23 6.288 6.288 6.288 6.288 0 6.288
2014-01-24 6.634 6.634 6.634 6.634 0 6.634
2014-01-27 6.553 6.553 6.553 6.553 0 6.553
2014-01-28 6.807 6.807 6.807 6.807 0 6.807
2014-01-29 6.508 6.508 6.508 6.508 0 6.508
2014-01-30 6.578 6.578 6.578 6.578 0 6.578
2014-01-31 6.541 6.541 6.541 6.541 0 6.541
2014-02-03 6.547 6.547 6.547 6.547 0 6.547
2014-02-04 6.423 6.423 6.423 6.423 0 6.423
2014-02-05 6.591 6.591 6.591 6.591 0 6.591
2014-02-06 6.516 6.516 6.516 6.516 0 6.516
2014-02-07 6.51 6.51 6.51 6.51 0 6.51
2014-02-10 6.418 6.418 6.418 6.418 0 6.418
2014-02-11 6.396 6.396 6.396 6.396 0 6.396
2014-02-12 6.444 6.444 6.444 6.444 0 6.444
2014-02-13 6.423 6.423 6.423 6.423 0 6.423
2014-02-14 6.471 6.471 6.471 6.471 0 6.471
2014-02-17 6.605 6.605 6.605 6.605 0 6.605
2014-02-18 6.618 6.618 6.618 6.618 0 6.618
2014-02-19 6.689 6.689 6.689 6.689 0 6.689
2014-02-20 6.524 6.524 6.524 6.524 0 6.524
2014-02-21 6.814 6.814 6.802 6.802 1000 6.802
2014-02-24 6.77 6.77 6.77 6.77 0 6.77
