"Index" "RP.Open" "RP.High" "RP.Low" "RP.Close" "RP.Volume" "RP.Adjusted"
2013-01-02 22.08 22.08 21.18 21.76 400200 21.76
2013-01-03 21.73 21.870001 21.35 21.450001 233000 21.450001
2013-01-04 21.58 22.030001 21.34 21.75 208800 21.75
2013-01-07 21.57 21.799999 21.219999 21.559999 269700 21.559999
2013-01-08 21.48 21.74 21.35 21.43 290700 21.43
2013-01-09 21.469999 21.6 21.35 21.6 215200 21.6
2013-01-10 21.68 21.68 21.469999 21.549999 140600 21.549999
2013-01-11 21.59 22.040001 21.51 22.040001 110100 22.040001
2013-01-14 21.92 22.74 21.719999 22.43 235600 22.43
2013-01-15 22.32 22.43 21.9 22.27 134500 22.27
2013-01-16 22.18 22.200001 21.84 21.92 80800 21.92
2013-01-17 22.059999 22.25 21.92 22.16 86300 22.16
2013-01-18 22.110001 22.6 22.1 22.52 125900 22.52
2013-01-22 22.57 23.049999 22.4 23.040001 182300 23.040001
2013-01-23 23.059999 23.120001 22.84 23.01 144400 23.01
2013-01-24 22.959999 23.25 22.85 23.219999 161500 23.219999
2013-01-25 23.25 23.49 22.870001 23.059999 274600 23.059999
2013-01-28 23.07 23.280001 22.68 22.82 159500 22.82
2013-01-29 22.77 23 22.59 22.93 111500 22.93
2013-01-30 22.83 23.049999 22.65 22.98 213400 22.98
2013-01-31 22.92 23.5 22.440001 23.34 415700 23.34
2013-02-01 23.469999 23.799999 22.459999 23.65 421600 23.65
2013-02-04 23.49 23.559999 22.73 23.219999 368100 23.219999
2013-02-05 23.34 23.58 23.27 23.42 115500 23.42
2013-02-06 23.32 23.540001 23.129999 23.469999 91200 23.469999
2013-02-07 23.530001 23.530001 22.92 23.360001 161000 23.360001
2013-02-08 23.4 23.6 23.35 23.469999 99200 23.469999
2013-02-11 23.5 23.530001 22 23.370001 112900 23.370001
2013-02-12 23.33 23.98 23.290001 23.809999 165600 23.809999
2013-02-13 23.870001 23.99 23.709999 23.85 115400 23.85
2013-02-14 23.870001 24.33 23.860001 23.959999 249600 23.959999
2013-02-15 24.110001 24.540001 23.48 23.610001 141500 23.610001
2013-02-19 23.709999 23.9 22.389999 22.48 547600 22.48
2013-02-20 22.51 22.57 21.01 21.17 865500 21.17
2013-02-21 21.18 21.190001 20.07 20.83 670900 20.83
2013-02-22 20.91 21.700001 20.860001 21.68 342000 21.68
2013-02-25 21.790001 21.91 21.540001 21.6 313400 21.6
2013-02-26 21.68 21.76 21.08 21.389999 253200 21.389999
2013-02-27 21.43 21.75 21.4 21.49 222700 21.49
2013-02-28 21.49 21.83 21.4 21.66 249500 21.66
2013-03-01 21.469999 21.66 21.18 21.299999 226600 21.299999
2013-03-04 21.190001 21.49 20.85 20.950001 401100 20.950001
2013-03-05 21.08 21.219999 20.92 21.08 333400 21.08
2013-03-06 21.17 21.34 21.08 21.190001 191400 21.190001
2013-03-07 21.129999 21.15 20.67 20.700001 205700 20.700001
2013-03-08 20.889999 20.92 20.629999 20.77 427300 20.77
2013-03-11 20.780001 21.41 20.77 21 273100 21
2013-03-12 20.190001 20.290001 19.9 19.940001 932700 19.940001
2013-03-13 20.01 20.01 19.57 19.780001 330300 19.780001
2013-03-14 19.790001 19.879999 19.540001 19.82 250600 19.82
2013-03-15 19.870001 19.870001 19.459999 19.5 256600 19.5
2013-03-18 19.290001 19.51 19.24 19.389999 249200 19.389999
2013-03-19 19.469999 19.5 19.27 19.389999 430100 19.389999
2013-03-20 19.540001 19.92 19.309999 19.879999 229900 19.879999
2013-03-21 19.77 20.08 19.73 20.030001 197800 20.030001
2013-03-22 20.07 20.129999 19.950001 20.040001 378500 20.040001
2013-03-25 20.049999 20.059999 19.93 20.049999 283100 20.049999
2013-03-26 20.129999 20.309999 19.959999 20.280001 221700 20.280001
2013-03-27 20.219999 20.42 19.969999 20.4 171200 20.4
2013-03-28 20.440001 20.93 20.290001 20.709999 302600 20.709999
2013-04-01 20.66 20.93 20.190001 20.370001 175600 20.370001
2013-04-02 20.379999 20.459999 20.200001 20.34 123200 20.34
2013-04-03 20.42 20.42 19.93 19.959999 151800 19.959999
2013-04-04 19.950001 19.98 19.629999 19.959999 125700 19.959999
2013-04-05 19.620001 20.059999 19.43 19.99 98500 19.99
2013-04-08 19.82 19.959999 19.5 19.690001 136000 19.690001
2013-04-09 19.73 19.969999 19.629999 19.84 122300 19.84
2013-04-10 19.91 20.58 19.870001 20.42 254100 20.42
2013-04-11 20.459999 20.459999 20.040001 20.07 151600 20.07
2013-04-12 20.01 20.040001 19.4 19.98 86200 19.98
2013-04-15 19.74 19.780001 19.209999 19.48 187800 19.48
2013-04-16 19.66 20.26 19.34 20.18 280500 20.18
2013-04-17 20.08 20.08 19.5 19.860001 366400 19.860001
2013-04-18 19.950001 20.030001 19.440001 19.57 292500 19.57
2013-04-19 19.6 19.98 19.43 19.75 123200 19.75
2013-04-22 19.77 19.99 19.559999 19.74 90500 19.74
2013-04-23 19.870001 20.35 19.799999 20.09 115900 20.09
2013-04-24 20.07 20.25 19.950001 20.129999 84100 20.129999
2013-04-25 20.200001 20.809999 20.129999 20.34 257300 20.34
2013-04-26 20.34 20.77 20.24 20.450001 150200 20.450001
2013-04-29 20.540001 20.700001 20.18 20.34 207400 20.34
2013-04-30 20.290001 21.65 20.1 20.4 129500 20.4
2013-05-01 20.34 20.41 19.549999 19.6 242200 19.6
2013-05-02 19.6 20.030001 19.57 19.75 403100 19.75
2013-05-03 19.33 19.6 17.43 19.1 1789800 19.1
2013-05-06 19.120001 19.450001 19.059999 19.43 269700 19.43
2013-05-07 19.43 19.799999 19.309999 19.780001 162000 19.780001
2013-05-08 19.75 20.4 19.370001 19.719999 227000 19.719999
2013-05-09 19.639999 19.639999 19.41 19.51 165300 19.51
2013-05-10 19.48 20.059999 19.48 20.01 233600 20.01
2013-05-13 20.040001 20.040001 19.65 19.809999 219100 19.809999
2013-05-14 19.889999 20.370001 19.879999 20.35 182800 20.35
2013-05-15 19.450001 19.52 19.16 19.32 511300 19.32
2013-05-16 19.33 19.559999 19.24 19.360001 262200 19.360001
2013-05-17 19.469999 19.559999 19.299999 19.5 240700 19.5
2013-05-20 19.5 19.5 19.190001 19.360001 157500 19.360001
2013-05-21 19.41 19.59 19.219999 19.52 133900 19.52
2013-05-22 19.6 19.700001 19.040001 19.27 278600 19.27
2013-05-23 19.08 19.709999 19.01 19.66 133600 19.66
2013-05-24 19.5 19.9 19.32 19.690001 135300 19.690001
2013-05-28 19.870001 20.040001 19.27 19.389999 168000 19.389999
2013-05-29 19.290001 19.35 18.92 19.129999 104400 19.129999
2013-05-30 19.25 19.870001 19.01 19.24 131100 19.24
2013-05-31 19.09 19.32 18.98 19.040001 552900 19.040001
2013-06-03 19.030001 19.07 18.360001 18.65 527300 18.65
2013-06-04 18.610001 18.75 18.27 18.389999 210600 18.389999
2013-06-05 18 18.549999 17.549999 17.73 540100 17.73
2013-06-06 17.700001 17.950001 17.4 17.610001 239500 17.610001
2013-06-07 17.67 18.1 17.190001 17.24 380800 17.24
2013-06-10 17.25 17.51 17.120001 17.209999 326700 17.209999
2013-06-11 17 17.24 16.879999 17.059999 143400 17.059999
2013-06-12 17.219999 17.35 16.889999 17.17 213500 17.17
2013-06-13 17.200001 17.93 17.059999 17.459999 488300 17.459999
2013-06-14 17.49 17.67 17.16 17.18 141200 17.18
2013-06-17 17.370001 17.469999 17.25 17.32 237700 17.32
2013-06-18 17.379999 17.65 17.08 17.57 398600 17.57
2013-06-19 17.59 18.1 17.540001 17.9 351300 17.9
2013-06-20 17.68 18.32 17.68 18.25 298000 18.25
2013-06-21 18.32 18.389999 17.84 18.190001 607500 18.190001
2013-06-24 18.059999 18.18 17.719999 18.01 621000 18.01
2013-06-25 18.23 18.23 17.82 17.959999 218100 17.959999
2013-06-26 18.049999 18.17 17.99 18.110001 306500 18.110001
2013-06-27 18.18 18.75 18.030001 18.73 261400 18.73
2013-06-28 18.709999 18.82 18.23 18.34 1577300 18.34
2013-07-01 18.35 18.75 18.219999 18.709999 218100 18.709999
2013-07-02 18.73 18.879999 18.440001 18.82 267200 18.82
2013-07-03 18.68 18.879999 18.25 18.51 250400 18.51
2013-07-05 18.99 18.99 18.389999 18.719999 263000 18.719999
2013-07-08 18.809999 19.42 18.52 19.370001 311000 19.370001
2013-07-09 19.5 19.91 19.49 19.67 542200 19.67
2013-07-10 19.65 19.82 19.610001 19.799999 260600 19.799999
2013-07-11 20.02 20.09 19.77 20.01 211400 20.01
2013-07-12 19.950001 20.24 19.879999 20.16 253500 20.16
2013-07-15 20.17 20.370001 20.030001 20.27 145500 20.27
2013-07-16 20.23 20.889999 19.98 20.07 237500 20.07
2013-07-17 20.15 20.389999 19.93 20.379999 295700 20.379999
2013-07-18 20.440001 20.48 20.02 20.17 169200 20.17
2013-07-19 20.049999 20.530001 20 20.379999 213700 20.379999
2013-07-22 20.26 20.5 20.09 20.299999 250500 20.299999
2013-07-23 20.299999 20.610001 20.15 20.219999 257800 20.219999
2013-07-24 20.42 20.790001 20.030001 20.17 229100 20.17
2013-07-25 20.09 20.469999 20.09 20.299999 383400 20.299999
2013-07-26 20.16 20.35 20.059999 20.15 234200 20.15
2013-07-29 20.049999 20.15 19.879999 19.91 116200 19.91
2013-07-30 20.02 20.299999 19.83 20.08 234000 20.08
2013-07-31 20.15 20.26 20.02 20.16 234700 20.16
2013-08-01 20.290001 20.57 20.129999 20.540001 456900 20.540001
2013-08-02 21.209999 23.379999 21.209999 21.92 686300 21.92
2013-08-05 21.84 21.860001 20.18 21.41 948000 21.41
2013-08-06 21.309999 21.34 21.01 21.110001 612900 21.110001
2013-08-07 21 21.110001 20.77 20.98 505800 20.98
2013-08-08 21.01 21.09 20.860001 21 487100 21
2013-08-09 20.92 21.15 20.92 21.1 274300 21.1
2013-08-12 21.030001 21.4 20.719999 20.82 476400 20.82
2013-08-13 20.790001 21.25 20.610001 20.82 421700 20.82
2013-08-14 20.83 20.959999 20.5 20.68 221100 20.68
2013-08-15 20.459999 20.469999 20.02 20.219999 547900 20.219999
2013-08-16 20.139999 20.32 19.889999 19.959999 336800 19.959999
2013-08-19 19.74 20.290001 19.73 19.870001 431900 19.870001
2013-08-20 19.950001 20.389999 19.83 20.34 323200 20.34
2013-08-21 20.26 20.48 19.85 20.33 176100 20.33
2013-08-22 20.440001 20.84 19.73 20.690001 381300 20.690001
2013-08-23 20.67 21.280001 20.5 20.66 160700 20.66
2013-08-26 20.68 20.93 20.48 20.889999 446500 20.889999
2013-08-27 20.65 20.99 20.41 20.49 215600 20.49
2013-08-28 20.459999 20.98 20.290001 20.77 427800 20.77
2013-08-29 20.68 21.190001 20.51 20.860001 244500 20.860001
2013-08-30 20.790001 21.01 20.65 20.709999 201700 20.709999
2013-09-03 20.959999 21.09 20.700001 20.91 224600 20.91
2013-09-04 20.91 21.17 20.799999 20.950001 221000 20.950001
2013-09-05 20.92 21.02 20.700001 20.9 265400 20.9
2013-09-06 20.940001 21.17 20.67 21.1 384200 21.1
2013-09-09 21.1 21.51 21.02 21.440001 224600 21.440001
2013-09-10 21.469999 21.889999 21.469999 21.879999 202100 21.879999
2013-09-11 21.780001 21.969999 21.65 21.889999 146200 21.889999
2013-09-12 21.91 22.389999 21.84 22.190001 218200 22.190001
2013-09-13 22.280001 22.34 22 22.24 186500 22.24
