"Index" "RT.Open" "RT.High" "RT.Low" "RT.Close" "RT.Volume" "RT.Adjusted"
2013-01-02 8.1 8.29 8.07 8.27 564600 8.27
2013-01-03 8.25 8.5 8.2 8.3 522800 8.3
2013-01-04 8.36 8.48 8.25 8.29 529300 8.29
2013-01-07 8.2 8.31 8.2 8.22 288400 8.22
2013-01-08 8.24 8.4 8.14 8.36 482000 8.36
2013-01-09 8.34 8.41 8.18 8.31 993900 8.31
2013-01-10 7.82 7.93 7.46 7.83 1808500 7.83
2013-01-11 7.82 7.89 7.78 7.84 516900 7.84
2013-01-14 7.79 7.91 7.77 7.89 503400 7.89
2013-01-15 7.81 7.94 7.8 7.91 584900 7.91
2013-01-16 7.84 7.99 7.81 7.99 718500 7.99
2013-01-17 7.99 8 7.87 7.89 704000 7.89
2013-01-18 7.87 7.96 7.8 7.89 441800 7.89
2013-01-22 7.91 7.99 7.86 7.99 456000 7.99
2013-01-23 8 8.09 7.94 7.96 566200 7.96
2013-01-24 7.96 8.01 7.83 7.92 573100 7.92
2013-01-25 7.97 7.97 7.8 7.86 424100 7.86
2013-01-28 7.89 7.94 7.8 7.91 327800 7.91
2013-01-29 7.39 7.79 7.31 7.62 1317200 7.62
2013-01-30 7.58 7.61 7.41 7.5 825100 7.5
2013-01-31 7.47 7.57 7.43 7.53 635800 7.53
2013-02-01 7.6 7.69 7.47 7.5 624300 7.5
2013-02-04 7.47 7.52 7.37 7.43 737100 7.43
2013-02-05 7.45 7.57 7.45 7.5 252600 7.5
2013-02-06 7.44 7.64 7.42 7.58 593100 7.58
2013-02-07 7.58 7.6 7.51 7.55 295400 7.55
2013-02-08 7.57 7.63 7.54 7.62 235100 7.62
2013-02-11 7.64 7.65 7.53 7.56 241700 7.56
2013-02-12 7.57 7.62 7.53 7.56 287800 7.56
2013-02-13 7.59 7.67 7.53 7.55 652000 7.55
2013-02-14 7.54 7.59 7.41 7.5 571000 7.5
2013-02-15 7.51 7.66 7.33 7.4 597700 7.4
2013-02-19 7.44 7.56 7.38 7.55 356200 7.55
2013-02-20 7.54 7.6 7.48 7.51 569200 7.51
2013-02-21 7.49 7.56 7.46 7.5 511200 7.5
2013-02-22 7.55 7.55 7.49 7.5 541500 7.5
2013-02-25 7.52 7.55 7.4 7.4 649600 7.4
2013-02-26 7.42 7.52 7.37 7.46 527600 7.46
2013-02-27 7.44 7.51 7.28 7.38 770200 7.38
2013-02-28 7.39 7.41 7.31 7.34 533300 7.34
2013-03-01 7.35 7.35 7.26 7.29 702900 7.29
2013-03-04 7.25 7.3 7.09 7.1 414600 7.1
2013-03-05 7.13 7.26 7.08 7.24 438200 7.24
2013-03-06 7.25 7.33 7.17 7.18 489500 7.18
2013-03-07 7.16 7.23 7.08 7.22 469100 7.22
2013-03-08 7.28 7.29 7.18 7.18 343000 7.18
2013-03-11 7.16 7.21 7.15 7.17 283500 7.17
2013-03-12 7.16 7.26 7.15 7.23 603500 7.23
2013-03-13 7.22 7.38 7.22 7.29 184600 7.29
2013-03-14 7.33 7.47 7.3 7.44 318700 7.44
2013-03-15 7.46 7.53 7.44 7.51 1016700 7.51
2013-03-18 7.42 7.49 7.37 7.46 247000 7.46
2013-03-19 7.46 7.5 7.38 7.4 350900 7.4
2013-03-20 7.43 7.47 7.39 7.46 333500 7.46
2013-03-21 7.42 7.5 7.35 7.38 330400 7.38
2013-03-22 7.41 7.45 7.37 7.39 151500 7.39
2013-03-25 7.4 7.49 7.31 7.35 220500 7.35
2013-03-26 7.41 7.47 7.34 7.46 188300 7.46
2013-03-27 7.39 7.46 7.37 7.39 209200 7.39
2013-03-28 7.4 7.48 7.36 7.37 311200 7.37
2013-04-01 8.13 8.2 7.65 7.79 2078600 7.79
2013-04-02 7.87 7.93 7.76 7.9 1338400 7.9
2013-04-03 7.94 7.94 7.66 7.74 1690900 7.74
2013-04-04 7.75 7.9 7.7 7.84 1179000 7.84
2013-04-05 7.73 7.75 7.64 7.69 652900 7.69
2013-04-08 7.73 7.75 7.57 7.67 1086500 7.67
2013-04-09 7.68 7.86 7.61 7.75 1071000 7.75
2013-04-10 7.87 8.24 7.83 8.16 1168800 8.16
2013-04-11 8.08 8.88 7.9 8.79 1968700 8.79
2013-04-12 8.77 9.38 8.7 9.1 1727100 9.1
2013-04-15 9.06 9.07 8.76 8.77 1196500 8.77
2013-04-16 8.87 9.01 8.81 8.98 724200 8.98
2013-04-17 8.91 8.96 8.71 8.86 547400 8.86
