"Index" "SB.Open" "SB.High" "SB.Low" "SB.Close" "SB.Volume" "SB.Adjusted"
2013-01-02 3.4 3.59 3.4 3.59 426900 3.325373
2013-01-03 3.58 3.72 3.55 3.63 396000 3.362424
2013-01-04 3.68 3.98 3.66 3.9 703400 3.612522
2013-01-07 3.93 3.99 3.9 3.99 536700 3.695888
2013-01-08 3.99 4.15 3.96 4.04 608700 3.742202
2013-01-09 4.07 4.21 4.04 4.1 446700 3.797779
2013-01-10 4.17 4.22 4.08 4.14 478900 3.834831
2013-01-11 4.15 4.22 4 4.02 357600 3.723676
2013-01-14 4.01 4.07 3.8 3.87 500800 3.584733
2013-01-15 3.9 3.9 3.74 3.83 322400 3.547682
2013-01-16 3.79 3.82 3.71 3.76 310700 3.482842
2013-01-17 3.79 3.88 3.77 3.8 268000 3.519893
2013-01-18 3.82 3.83 3.75 3.77 210900 3.492104
2013-01-22 3.77 3.9 3.77 3.85 324500 3.566207
2013-01-23 3.86 3.9 3.81 3.9 279100 3.612522
2013-01-24 3.92 3.95 3.86 3.89 355600 3.603259
2013-01-25 3.96 4 3.87 3.92 223400 3.631048
2013-01-28 3.94 3.98 3.85 3.9 375900 3.612522
2013-01-29 3.92 4.12 3.92 4.12 442100 3.816305
2013-01-30 4.12 4.19 4.01 4.02 393400 3.723676
2013-01-31 4.04 4.09 3.97 4.02 215000 3.723676
2013-02-01 4.08 4.08 4.01 4.05 243200 3.751465
2013-02-04 4.05 4.1 3.83 3.88 407000 3.593996
2013-02-05 3.9 3.94 3.83 3.89 183600 3.603259
2013-02-06 3.91 3.93 3.83 3.88 148600 3.593996
2013-02-07 3.87 3.87 3.72 3.76 291900 3.482842
2013-02-08 3.75 3.79 3.71 3.72 199800 3.44579
2013-02-11 3.75 3.78 3.65 3.7 247100 3.427264
2013-02-12 3.71 3.78 3.66 3.73 189800 3.455053
2013-02-13 3.74 3.89 3.74 3.84 278500 3.556945
2013-02-14 3.85 3.88 3.73 3.77 240800 3.492104
