"Index" "SD.Open" "SD.High" "SD.Low" "SD.Close" "SD.Volume" "SD.Adjusted"
2013-01-02 6.45 6.53 6.24 6.48 9745000 6.48
2013-01-03 6.45 6.52 6.36 6.46 7234000 6.46
2013-01-04 6.46 6.7 6.42 6.56 8113000 6.56
2013-01-07 6.55 6.9 6.5 6.8 9225300 6.8
2013-01-08 6.85 7 6.68 6.97 11822600 6.97
2013-01-09 7 7.1 6.89 6.93 8692800 6.93
2013-01-10 6.97 7 6.61 6.87 9768100 6.87
2013-01-11 6.87 6.94 6.75 6.86 6770700 6.86
2013-01-14 6.85 6.87 6.64 6.66 5845900 6.66
2013-01-15 6.65 6.8 6.63 6.73 3782400 6.73
2013-01-16 6.68 6.8 6.68 6.79 4244500 6.79
2013-01-17 6.82 7.04 6.75 6.99 11828400 6.99
2013-01-18 7.03 7.09 6.9 7.02 7795500 7.02
2013-01-22 6.96 7.28 6.96 7.18 9502500 7.18
2013-01-23 7.18 7.29 7.15 7.24 11887000 7.24
2013-01-24 7.19 7.34 6.94 7.05 8212100 7.05
2013-01-25 7.1 7.26 7.02 7.07 6771400 7.07
2013-01-28 7.08 7.09 6.83 7 6915800 7
2013-01-29 6.98 7.18 6.94 7.18 6658700 7.18
2013-01-30 7.25 7.47 7.05 7.13 12875900 7.13
2013-01-31 7.08 7.14 6.96 7.08 5684400 7.08
2013-02-01 7.12 7.13 6.58 6.62 26262400 6.62
2013-02-04 6.52 6.56 6.25 6.28 15450800 6.28
2013-02-05 6.23 6.3 5.98 6.25 21697300 6.25
2013-02-06 6.21 6.24 6.06 6.15 9560900 6.15
2013-02-07 6.11 6.21 5.94 5.94 12676300 5.94
2013-02-08 5.97 6.08 5.67 5.79 16049900 5.79
2013-02-11 5.82 5.83 5.66 5.73 9918500 5.73
2013-02-12 5.77 5.77 5.53 5.63 13847600 5.63
2013-02-13 5.64 6 5.62 5.9 19906600 5.9
2013-02-14 5.92 5.99 5.81 5.87 10623800 5.87
2013-02-15 5.86 6.1 5.71 5.9 15416500 5.9
2013-02-19 5.98 6.05 5.95 6.01 9767000 6.01
2013-02-20 5.98 6 5.8 5.84 7544200 5.84
2013-02-21 5.8 5.95 5.65 5.88 12420000 5.88
2013-02-22 5.91 5.97 5.85 5.96 8839900 5.96
2013-02-25 5.85 5.85 5.57 5.57 20003700 5.57
2013-02-26 5.63 5.71 5.4 5.69 15760700 5.69
2013-02-27 5.69 5.74 5.58 5.68 7378300 5.68
2013-02-28 5.65 5.77 5.65 5.7 9657900 5.7
2013-03-01 5.25 5.57 5.05 5.41 29707100 5.41
2013-03-04 5.37 5.76 5.31 5.74 9564400 5.74
2013-03-05 5.8 5.86 5.45 5.48 10807100 5.48
2013-03-06 5.62 5.83 5.55 5.74 11898700 5.74
2013-03-07 5.59 5.88 5.55 5.82 9022900 5.82
2013-03-08 5.83 5.86 5.73 5.81 6188600 5.81
2013-03-11 5.85 5.96 5.78 5.9 6461700 5.9
2013-03-12 5.93 6.02 5.8 5.83 8636200 5.83
2013-03-13 5.88 6.2 5.71 5.85 16203500 5.85
2013-03-14 5.9 5.92 5.54 5.71 26930500 5.71
2013-03-15 5.77 5.83 5.6 5.63 25589900 5.63
2013-03-18 5.57 5.73 5.55 5.58 7005400 5.58
2013-03-19 5.6 5.61 5.35 5.38 9153900 5.38
2013-03-20 5.47 5.69 5.42 5.68 11636500 5.68
2013-03-21 5.68 5.76 5.6 5.65 5589400 5.65
2013-03-22 5.73 5.73 5.46 5.5 5671200 5.5
2013-03-25 5.52 5.57 5.44 5.46 4724000 5.46
2013-03-26 5.47 5.54 5.36 5.42 4934000 5.42
2013-03-27 5.37 5.45 5.35 5.37 5297700 5.37
2013-03-28 5.35 5.4 5.25 5.27 5890200 5.27
2013-04-01 5.4 5.44 5.1 5.2 8388800 5.2
2013-04-02 5.3 5.3 5.02 5.04 9495700 5.04
2013-04-03 5.08 5.08 4.85 4.97 12561700 4.97
2013-04-04 4.98 5.03 4.81 4.82 10042200 4.82
2013-04-05 4.8 5.03 4.76 4.96 16512600 4.96
2013-04-08 4.98 5.17 4.98 5.11 7528800 5.11
2013-04-09 5.11 5.21 5.07 5.19 5655800 5.19
2013-04-10 5.27 5.35 5.16 5.19 8526600 5.19
2013-04-11 5.24 5.24 5.12 5.14 4164100 5.14
2013-04-12 5.11 5.12 5.02 5.05 4066300 5.05
2013-04-15 5 5.04 4.79 4.8 9623300 4.8
2013-04-16 4.91 4.94 4.8 4.84 7884900 4.84
2013-04-17 4.8 4.81 4.52 4.56 13622400 4.56
2013-04-18 4.68 4.72 4.56 4.67 8627300 4.67
2013-04-19 4.7 4.73 4.56 4.63 5812300 4.63
2013-04-22 4.65 4.71 4.6 4.63 4925600 4.63
2013-04-23 4.66 4.69 4.56 4.61 3795900 4.61
2013-04-24 4.64 4.9 4.62 4.83 5308500 4.83
2013-04-25 4.89 5.1 4.75 4.78 8871800 4.78
2013-04-26 4.85 5 4.76 4.99 9133400 4.99
2013-04-29 4.99 5.15 4.91 5.14 8249400 5.14
2013-04-30 5.14 5.18 5.03 5.14 6447100 5.14
2013-05-01 5.14 5.16 5.02 5.11 7680400 5.11
2013-05-02 5.1 5.19 5.04 5.18 5766400 5.18
2013-05-03 5.2 5.32 5.2 5.26 5801300 5.26
2013-05-06 5.27 5.31 5.22 5.3 3468500 5.3
2013-05-07 5.31 5.5 5.18 5.39 8877300 5.39
2013-05-08 5.49 5.6 5.2 5.23 14055800 5.23
2013-05-09 5.26 5.26 5.12 5.16 7462000 5.16
2013-05-10 5.11 5.13 5.01 5.09 8821800 5.09
2013-05-13 5.13 5.13 5.02 5.1 3948700 5.1
2013-05-14 5.19 5.2 5.06 5.19 4991600 5.19
2013-05-15 5.16 5.3 5.15 5.28 7284400 5.28
2013-05-16 5.24 5.31 5.16 5.18 6945500 5.18
2013-05-17 5.23 5.27 5.17 5.23 3838500 5.23
2013-05-20 5.23 5.26 5.18 5.25 10169500 5.25
2013-05-21 5.22 5.29 5.18 5.18 7570100 5.18
2013-05-22 5.18 5.27 5.1 5.1 9391200 5.1
2013-05-23 5.05 5.15 4.98 5.15 5979400 5.15
2013-05-24 5.1 5.15 5.05 5.07 3577400 5.07
2013-05-28 5.14 5.17 5.08 5.13 7440400 5.13
2013-05-29 5.14 5.17 5.06 5.13 3761600 5.13
2013-05-30 5.14 5.32 5.07 5.32 12617300 5.32
2013-05-31 5.3 5.35 5.17 5.17 6306700 5.17
2013-06-03 5.19 5.22 5.06 5.1 6151700 5.1
2013-06-04 5.1 5.16 5.05 5.07 4407900 5.07
2013-06-05 5.05 5.08 4.98 4.99 4220400 4.99
2013-06-06 5.03 5.07 4.85 4.94 7306800 4.94
2013-06-07 4.97 5.08 4.92 5.05 5329900 5.05
2013-06-10 5.03 5.04 4.95 4.99 3728500 4.99
2013-06-11 4.92 4.92 4.8 4.82 6982600 4.82
2013-06-12 4.85 4.9 4.66 4.67 8524400 4.67
2013-06-13 4.68 4.94 4.67 4.83 6416700 4.83
2013-06-14 4.86 5.03 4.86 4.88 8324600 4.88
2013-06-17 4.9 5.05 4.88 5.03 6748400 5.03
2013-06-18 5.02 5.08 4.97 4.97 5020700 4.97
2013-06-19 4.95 5.18 4.91 5.08 14924100 5.08
2013-06-20 5.15 5.16 4.78 4.83 16960400 4.83
2013-06-21 4.87 5.04 4.71 4.94 10281900 4.94
2013-06-24 4.86 4.89 4.75 4.8 8501900 4.8
2013-06-25 4.86 4.91 4.83 4.9 5540000 4.9
2013-06-26 4.92 4.93 4.82 4.82 4902900 4.82
2013-06-27 4.83 4.89 4.76 4.77 5603700 4.77
2013-06-28 4.75 4.81 4.68 4.76 8084000 4.76
2013-07-01 4.79 4.84 4.72 4.83 5289200 4.83
2013-07-02 4.83 4.9 4.8 4.87 3757400 4.87
2013-07-03 4.86 4.92 4.79 4.9 4046800 4.9
2013-07-05 4.92 4.94 4.83 4.93 4654500 4.93
2013-07-08 4.93 4.95 4.86 4.87 4502200 4.87
2013-07-09 4.82 4.94 4.79 4.9 8985800 4.9
2013-07-10 4.92 5.08 4.89 5.05 8031500 5.05
2013-07-11 5.1 5.11 4.96 4.98 6651500 4.98
2013-07-12 5 5 4.87 4.87 6190300 4.87
2013-07-15 4.86 4.9 4.83 4.85 4212400 4.85
