"Index" "SE.Open" "SE.High" "SE.Low" "SE.Close" "SE.Volume" "SE.Adjusted"
2013-01-02 27.799999 28.059999 27.76 28.059999 4203100 24.903425
2013-01-03 28.08 28.35 28.030001 28.190001 3611600 25.018802
2013-01-04 28.27 28.4 28.190001 28.33 3687700 25.143052
2013-01-07 28.18 28.25 27.98 28.07 3744300 24.9123
2013-01-08 28.030001 28.18 27.91 27.98 3871700 24.832424
2013-01-09 27.98 28.059999 27.690001 27.82 4541300 24.690424
2013-01-10 27.969999 28 27.83 27.879999 3414400 24.743673
2013-01-11 27.92 27.959999 27.57 27.6 5591000 24.495173
2013-01-14 27.67 28 27.52 27.690001 5705300 24.575048
2013-01-15 27.620001 27.719999 27.450001 27.629999 8988400 24.521797
2013-01-16 27.629999 27.98 27.5 27.51 7025100 24.415297
2013-01-17 27.610001 27.620001 27.01 27.280001 10394600 24.211171
2013-01-18 27.209999 27.299999 27.07 27.190001 8692700 24.131295
2013-01-22 27.18 27.549999 27.16 27.42 9719900 24.335421
2013-01-23 27.389999 27.469999 27.16 27.209999 5425400 24.149044
2013-01-24 27.299999 27.52 26.99 27 5791600 23.962669
2013-01-25 27.01 27.18 26.860001 27.09 9484100 24.042544
2013-01-28 27.16 27.26 27.07 27.190001 5683000 24.131295
2013-01-29 27.25 27.73 27.17 27.709999 6842300 24.592797
2013-01-30 27.77 27.959999 27.610001 27.690001 5574600 24.575048
2013-01-31 27.620001 27.83 27.610001 27.780001 4287400 24.654924
2013-02-01 27.93 28.32 27.780001 28.25 7293100 25.072051
2013-02-04 28.18 28.27 27.959999 27.98 4304500 24.832424
2013-02-05 28.129999 28.34 27.91 28.26 5654100 25.080927
2013-02-06 28.190001 29.34 28.18 29.290001 10040400 25.995059
2013-02-07 29.219999 29.620001 29.1 29.42 6519300 26.110434
2013-02-08 29.51 29.65 29.440001 29.58 16563600 26.252435
2013-02-11 29.610001 29.700001 29.42 29.549999 13996200 26.225809
2013-02-12 29.540001 29.940001 29.4 29.84 15880800 26.483187
2013-02-13 29.49 29.620001 29.389999 29.440001 4209600 26.398003
2013-02-14 29.360001 29.6 29.35 29.559999 4594900 26.505603
2013-02-15 29.559999 29.690001 29.32 29.459999 4422800 26.415936
2013-02-19 29.559999 29.82 29.450001 29.74 3476900 26.667004
2013-02-20 29.66 29.85 29.58 29.59 4503300 26.532504
2013-02-21 29.52 29.52 29.08 29.34 4859400 26.308336
2013-02-22 29.4 29.6 29.23 29.52 4092300 26.469737
2013-02-25 29.67 29.889999 28.959999 28.969999 5256700 25.976567
2013-02-26 29.17 29.25 28.700001 29 3951000 26.003468
2013-02-27 28.92 29.15 28.75 28.98 4112700 25.985534
2013-02-28 29.059999 29.18 28.99 29.040001 3705100 26.039335
2013-03-01 28.969999 28.98 28.700001 28.809999 4008300 25.8331
2013-03-04 28.709999 29.030001 28.559999 29.01 2544100 26.012434
2013-03-05 29.120001 29.280001 28.969999 29.200001 2577800 26.182803
2013-03-06 29.25 29.299999 28.85 28.91 3322700 25.922767
2013-03-07 28.92 29.129999 28.790001 28.809999 4000700 25.8331
2013-03-08 28.92 29.280001 28.92 29.219999 3934700 26.200735
2013-03-11 29.219999 29.360001 28.969999 29.309999 3940300 26.281435
2013-03-12 29.35 29.459999 28.870001 28.950001 3930900 25.958635
2013-03-13 28.969999 29.02 28.690001 28.76 3559000 25.788267
2013-03-14 28.780001 28.91 28.700001 28.799999 3864100 25.824133
