"Index" "SEK.Open" "SEK.High" "SEK.Low" "SEK.Close" "SEK.Volume" "SEK.Adjusted"
2013-01-01 3.35 3.35 3.35 3.35 0 3.04
2013-01-02 3.34 3.34 3.34 3.34 400 3.04
2013-01-03 3.33 3.33 3.33 3.33 0 3.03
2013-01-04 3.33 3.33 3.25 3.25 100 2.95
2013-01-07 3.33 3.33 3.33 3.33 1000 3.03
2013-01-08 3.33 3.33 3.2 3.33 1200 3.03
2013-01-09 3.3 3.3 3 3.15 3000 2.86
2013-01-10 3.18 3.18 3.1 3.16 1700 2.87
2013-01-11 3.21 3.31 3.21 3.31 4500 3.01
2013-01-14 3.36 3.37 3.36 3.37 1000 3.06
2013-01-15 3.35 3.41 3.35 3.36 4000 3.05
2013-01-16 3.38 3.41 3.36 3.41 1700 3.1
2013-01-17 3.45 3.54 3.44 3.53 6300 3.21
2013-01-18 3.53 3.53 3.56 3.55 500 3.23
2013-01-21 3.54 3.6 3.53 3.6 3100 3.27
2013-01-22 3.67 3.67 3.6 3.6 3600 3.27
2013-01-23 3.67 3.67 3.67 3.67 700 3.34
2013-01-24 3.72 3.72 3.61 3.7 1000 3.36
2013-01-25 3.69 3.8 3.6 3.7 2900 3.36
2013-01-28 3.81 3.81 3.7 3.7 200 3.36
2013-01-29 3.85 3.7 3.85 3.72 2300 3.38
2013-01-30 3.7 3.73 3.7 3.73 2800 3.39
2013-01-31 3.77 3.77 3.77 3.77 500 3.43
2013-02-01 3.69 3.69 3.69 3.69 0 3.35
2013-02-04 3.69 4.09 3.69 4 59300 3.64
2013-02-05 4.07 4.14 3.78 3.9 4100 3.54
2013-02-06 3.9 3.9 3.7 3.8 1100 3.45
2013-02-07 3.8 3.8 3.8 3.8 0 3.45
2013-02-08 3.8 3.8 3.8 3.8 0 3.45
2013-02-11 4.09 4.15 4.01 4.05 1300 3.68
2013-02-12 4.09 4.09 4.09 4.09 200 3.72
2013-02-13 4.19 4.2 4 4.19 800 3.81
2013-02-14 4.19 4.19 4.19 4.19 0 3.81
2013-02-15 4.09 4.09 4.09 4.09 200 3.72
2013-02-18 4.2 4.2 4.2 4.2 0 3.82
2013-02-19 4.2 4.2 4.07 4.19 100 3.81
2013-02-20 4.2 4.28 4.2 4.26 10000 3.87
2013-02-21 4.25 4.25 4.25 4.25 0 3.86
2013-02-22 4.2 4.26 4.2 4.24 3500 3.85
2013-02-25 4.24 4.24 4.24 4.24 0 3.85
2013-02-26 4.25 4.25 4.18 4.18 0 3.8
2013-02-27 4.18 4.18 4 4.09 700 3.72
2013-02-28 4.09 4.15 4.05 4.15 1300 3.77
2013-03-01 4.09 4.15 4.09 4.15 100 3.77
2013-03-04 4.24 4.24 4.09 4.21 1500 3.83
2013-03-05 4.2 4.2 4.11 4.11 500 3.74
2013-03-06 4.18 4.18 4.1 4.1 700 3.73
2013-03-07 4.23 4.24 4.11 4.24 300 3.85
2013-03-08 4.22 4.22 4.14 4.14 4300 3.76
2013-03-11 4.15 4.15 4.15 4.15 0 3.77
2013-03-12 4.15 4.15 4.09 4.15 1000 3.77
2013-03-13 4.13 4.09 4.14 4.14 1600 3.76
2013-03-14 4.13 4.13 4 4.1 200 3.73
2013-03-15 4.13 4.13 4.13 4.13 0 3.75
2013-03-18 4.1 4.1 4 4.08 100 3.71
2013-03-19 4.08 4.08 4.08 4.08 0 3.71
2013-03-20 4.09 4.13 4.08 4.13 1500 3.75
2013-03-21 4.13 4.4 4.13 4.2 10000 3.82
2013-03-22 4.19 4.29 4.19 4.2 3500 3.82
2013-03-25 4.29 4.29 4.12 4.28 2100 3.89
2013-03-26 4.28 4.28 4.1 4.2 800 3.82
2013-03-27 4.15 4.18 4.15 4.18 500 3.8
2013-03-28 4.17 4.17 4.17 4.17 0 3.79
2013-03-29 4.17 4.17 4.17 4.17 0 3.79
2013-04-01 4.17 4.17 4.17 4.17 0 3.79
2013-04-02 4.15 4.15 4.15 4.15 0 3.77
2013-04-03 4.13 4.13 3.9 3.9 700 3.54
2013-04-04 4 4 3.8 3.98 500 3.62
2013-04-05 3.97 3.98 3.9 3.98 100 3.62
2013-04-08 4 4 3.9 3.96 300 3.6
2013-04-09 4 4 4 4 0 3.64
2013-04-10 4 4 3.75 3.88 800 3.53
2013-04-11 3.88 3.88 3.5 3.65 5100 3.32
2013-04-12 3.74 3.74 3.6 3.7 500 3.36
2013-04-15 3.68 3.69 3.6 3.6 300 3.27
2013-04-16 3.6 3.6 3.6 3.6 0 3.27
2013-04-17 3.5 3.65 3.4 3.4 800 3.09
2013-04-18 3.55 3.55 3.55 3.55 200 3.23
2013-04-19 3.55 3.85 3.55 3.85 2200 3.5
2013-04-22 3.87 3.87 3.64 3.8 1800 3.45
2013-04-23 3.75 3.75 3.75 3.75 0 3.41
2013-04-24 3.69 3.69 3.53 3.69 300 3.35
2013-04-25 3.79 4.1 3.79 4.1 5400 3.73
2013-04-26 4.08 4.08 4.08 4.08 0 3.71
2013-04-29 4.08 4.08 4.08 4.08 700 3.71
2013-04-30 4.18 4.18 4 4 600 3.64
2013-05-01 4.08 4.08 4.08 4.08 0 3.71
2013-05-02 3.85 4 3.85 4 300 3.64
2013-05-03 4 4 4 4 0 3.64
2013-05-06 4.1 4.1 4.1 4.1 0 3.73
2013-05-07 4.1 4.1 4 4 600 3.64
2013-05-08 4.1 4.1 4.1 4.1 100 3.73
2013-05-09 4.1 4.1 4 4.1 100 3.73
2013-05-10 4.15 4.94 4.15 4.8 21700 4.36
2013-05-13 5 5.01 4.6 4.7 6700 4.27
2013-05-14 4.65 5.11 4.65 5 14700 4.54
2013-05-15 5.4 5.49 5.1 5.48 4000 4.98
2013-05-16 5.06 5.47 4.78 5.2 10100 4.73
2013-05-17 5.16 5.16 4.87 5.1 4000 4.63
2013-05-20 5.17 5.19 4.94 5.1 1300 4.63
2013-05-21 5.18 5.19 5 5.17 1100 4.7
2013-05-22 4.94 5.14 4.92 4.93 3500 4.48
2013-05-23 5.17 5.2 4.88 5.15 2900 4.68
2013-05-24 5.3 5.3 5.15 5.15 0 4.68
2013-05-27 5.25 5.4 5.22 5.4 1800 4.91
2013-05-28 5.4 5.8 5.4 5.67 8600 5.15
2013-05-29 5.8 6.35 5.75 5.78 16400 5.25
2013-05-30 5.78 5.78 5.78 5.78 0 5.25
2013-05-31 5.99 5.99 5.9 5.98 200 5.43
2013-06-03 5.98 5.98 5.7 5.98 1300 5.43
2013-06-04 5.58 5.8 5.58 5.74 2800 5.22
2013-06-05 5.84 5.84 5.61 5.82 1200 5.29
2013-06-06 5.94 5.95 5.85 5.95 5900 5.41
2013-06-07 5.97 5.97 5.96 5.96 400 5.42
2013-06-10 5.97 5.97 5.97 5.97 300 5.43
2013-06-11 5.97 6.11 5.7 6.11 2200 5.55
2013-06-12 6.13 6.13 6.01 6.1 700 5.54
2013-06-13 6.05 6.05 5.72 5.9 1600 5.36
2013-06-14 5.93 5.93 5.9 5.9 400 5.36
2013-06-17 5.92 5.92 5.53 5.92 1400 5.38
2013-06-18 5.99 6.05 5.9 6.05 2400 5.5
2013-06-19 6.09 6.09 6 6 1300 5.45
2013-06-20 6 6.19 5.91 6 7300 5.45
2013-06-21 5.69 6.18 5.69 6.15 9000 5.59
2013-06-24 6.29 6.9 6.29 6.75 7000 6.13
2013-06-25 6.96 6.96 6.3 6.65 2200 6.04
2013-06-26 6.7 6.7 6.65 6.7 300 6.09
2013-06-27 6.75 6.75 5.53 5.84 4800 5.31
2013-06-28 5.61 5.86 5.32 5.86 1300 5.33
2013-07-01 5.83 5.84 5.33 5.46 1500 4.96
2013-07-02 5.3 5.4 4.82 5.4 11700 4.91
2013-07-03 5.39 5.4 5 5.05 3300 4.59
2013-07-04 5.04 5.29 5.04 5.29 800 4.81
2013-07-05 5.54 5.7 5.13 5.13 2900 4.66
2013-07-08 5.5 5.5 5.2 5.2 0 4.73
2013-07-09 5.35 5.8 5.17 5.8 300 5.27
2013-07-10 5.5 5.75 5.5 5.75 0 5.23
2013-07-11 5.88 5.88 5.51 5.8 1000 5.27
2013-07-12 5.32 5.75 5.32 5.4 500 4.91
2013-07-15 5.65 5.65 5.5 5.5 200 5
2013-07-16 5.55 5.55 5.55 5.55 0 5.04
2013-07-17 5.55 5.55 5.3 5.3 0 4.82
2013-07-18 5.55 5.6 5.55 5.6 300 5.09
2013-07-19 5.83 5.83 5.4 5.69 100 5.17
2013-07-22 5.69 5.69 5.4 5.6 100 5.09
2013-07-23 5.8 5.8 5.35 5.35 400 4.86
2013-07-24 5.6 5.6 5.35 5.6 100 5.09
2013-07-25 5.58 5.58 5.58 5.58 0 5.07
2013-07-26 5.56 5.56 5.35 5.4 800 4.91
2013-07-29 5.41 5.5 5.35 5.5 300 5
2013-07-30 5.5 5.5 5.5 5.5 0 5
2013-07-31 5.5 5.5 5.5 5.5 0 5
2013-08-01 5.5 5.56 5.3 5.5 1400 5
2013-08-02 5.55 5.75 5.41 5.41 600 4.92
2013-08-05 5.68 5.68 5.5 5.5 100 5
2013-08-06 5.7 5.7 5.7 5.7 300 5.18
2013-08-07 5.65 5.8 5.61 5.77 2100 5.24
2013-08-08 5.8 6.05 5.79 5.99 500 5.44
2013-08-09 6.05 6.05 5.95 5.99 300 5.44
2013-08-12 5.99 5.99 5.7 5.81 600 5.28
2013-08-13 5.9 5.9 5.6 5.81 1500 5.28
2013-08-14 5.9 5.9 5.52 5.87 600 5.33
2013-08-15 5.87 5.87 5.87 5.87 0 5.33
2013-08-16 5.65 5.65 5.55 5.55 500 5.04
2013-08-19 5.86 5.86 5.4 5.41 200 4.92
2013-08-20 5.5 5.5 5.5 5.5 0 5
2013-08-21 5.5 5.5 5.5 5.5 0 5
2013-08-22 5.55 5.55 5.55 5.55 300 5.04
2013-08-23 5.58 5.8 5.58 5.61 500 5.1
2013-08-26 5.63 5.83 5.63 5.8 1300 5.27
2013-08-27 5.82 5.82 5.79 5.79 100 5.26
2013-08-28 5.79 5.79 5.64 5.64 500 5.13
2013-08-29 5.82 5.82 5.6 5.75 400 5.23
2013-08-30 5.33 5.33 4.69 4.85 20700 4.41
2013-09-02 4.51 4.83 4.5 4.75 10800 4.32
2013-09-03 4.8 5.1 4.75 4.99 9100 4.53
2013-09-04 4.99 4.99 4.81 4.89 1900 4.44
2013-09-05 4.84 4.84 4.53 4.81 3600 4.37
2013-09-06 4.8 4.89 4.79 4.89 500 4.44
2013-09-09 4.89 4.89 4.8 4.89 300 4.44
2013-09-10 4.98 4.98 4.96 4.98 700 4.53
2013-09-11 4.98 4.98 4.98 4.98 800 4.53
