"Index" "SF.Open" "SF.High" "SF.Low" "SF.Close" "SF.Volume" "SF.Adjusted"
2013-01-02 32.75 33.259998 32.43 33.23 390000 33.23
2013-01-03 33.419998 33.419998 32.880001 33.169998 288100 33.169998
2013-01-04 33.459999 33.68 33.040001 33.619999 363600 33.619999
2013-01-07 33.290001 33.639999 33.220001 33.279999 288700 33.279999
2013-01-08 33.369999 33.540001 33.25 33.5 242800 33.5
2013-01-09 33.59 33.810001 33.59 33.700001 292500 33.700001
2013-01-10 33.970001 34.290001 33.799999 34.259998 308000 34.259998
2013-01-11 34.240002 34.310001 33.84 34.25 291900 34.25
2013-01-14 34.139999 34.759998 34.139999 34.73 514400 34.73
2013-01-15 34.52 35.240002 34.41 35.09 708500 35.09
2013-01-16 34.950001 35.459999 34.939999 35.130001 827900 35.130001
2013-01-17 35.279999 35.5 34.740002 34.77 798600 34.77
2013-01-18 34.700001 34.990002 34.610001 34.830002 597700 34.830002
2013-01-22 34.880001 35.57 34.790001 35.540001 339200 35.540001
2013-01-23 35.52 35.549999 35.400002 35.509998 228700 35.509998
2013-01-24 35.450001 36.169998 35.299999 35.619999 514000 35.619999
2013-01-25 35.66 36.099998 35.41 36.080002 430200 36.080002
2013-01-28 36.189999 36.459999 36.029999 36.27 365800 36.27
2013-01-29 36.16 36.580002 36.16 36.580002 428300 36.580002
2013-01-30 36.450001 36.810001 36.450001 36.779999 500200 36.779999
2013-01-31 36.59 36.880001 36.59 36.849998 446200 36.849998
2013-02-01 36.900002 37.919998 36.900002 37.880001 754100 37.880001
2013-02-04 37.459999 37.830002 37.439999 37.59 579100 37.59
2013-02-05 37.84 38.5 37.77 38.189999 423000 38.189999
2013-02-06 37.810001 38.060001 37.360001 38.02 552400 38.02
2013-02-07 38.040001 38.369999 37.77 38.290001 371900 38.290001
2013-02-08 38.25 38.560001 38.080002 38.290001 228800 38.290001
2013-02-11 38.470001 38.560001 38.290001 38.450001 426900 38.450001
2013-02-12 38.630001 39 38.380001 38.939999 407500 38.939999
2013-02-13 39 39 38.599998 38.720001 314500 38.720001
2013-02-14 38.689999 39.32 38.650002 39.25 384600 39.25
2013-02-15 39.720001 39.720001 38.529999 38.75 1413900 38.75
2013-02-19 38.82 39.16 38.689999 39.16 611800 39.16
2013-02-20 39.139999 39.18 38.110001 38.119999 559600 38.119999
2013-02-21 38.150002 38.290001 37.380001 37.630001 380000 37.630001
2013-02-22 37.959999 38.439999 37.84 38.040001 528100 38.040001
2013-02-25 38.259998 38.5 37.610001 37.610001 738700 37.610001
2013-02-26 37.779999 38.16 34.540001 35.240002 1700600 35.240002
2013-02-27 34.939999 35.540001 34.84 35.380001 704400 35.380001
2013-02-28 35.290001 35.380001 34.529999 34.540001 497000 34.540001
2013-03-01 34.400002 34.66 33.790001 34.490002 604200 34.490002
2013-03-04 34.400002 34.459999 33.610001 34.02 631600 34.02
2013-03-05 34.25 35.310001 34.169998 34.330002 648400 34.330002
2013-03-06 34.490002 34.66 34.299999 34.459999 386600 34.459999
2013-03-07 34.41 34.98 34.41 34.779999 485600 34.779999
2013-03-08 35.220001 36.73 35.099998 36.040001 958000 36.040001
2013-03-11 35.869999 35.98 35.59 35.860001 466900 35.860001
2013-03-12 35.84 35.970001 35.700001 35.799999 352000 35.799999
2013-03-13 35.990002 36.380001 35.900002 36.279999 398400 36.279999
2013-03-14 36.52 36.740002 36.290001 36.650002 619300 36.650002
2013-03-15 36.57 36.77 36.18 36.619999 830600 36.619999
2013-03-18 36.029999 36.330002 35.869999 35.939999 372700 35.939999
2013-03-19 36.150002 36.560001 36.040001 36.16 935300 36.16
2013-03-20 36.380001 36.419998 36.040001 36.259998 384100 36.259998
2013-03-21 35.84 36.279999 34.639999 34.740002 621400 34.740002
2013-03-22 34.799999 34.799999 34.220001 34.330002 379300 34.330002
2013-03-25 34.48 34.52 33.700001 34.07 521000 34.07
2013-03-26 34.200001 34.52 34.080002 34.52 406000 34.52
2013-03-27 34.330002 34.779999 34.189999 34.630001 528000 34.630001
2013-03-28 34.73 35.09 34.639999 34.669998 530500 34.669998
2013-04-01 34.650002 34.73 33.830002 33.950001 490200 33.950001
2013-04-02 34 34.150002 33.060001 33.41 716600 33.41
2013-04-03 33.599998 33.599998 32.779999 33 832500 33
2013-04-04 33.200001 33.279999 32.919998 33.099998 363200 33.099998
2013-04-05 32.59 32.59 31.99 32.509998 332300 32.509998
2013-04-08 32.610001 32.759998 31.74 32.740002 415300 32.740002
2013-04-09 32.82 33.240002 32.75 32.950001 449000 32.950001
2013-04-10 33.060001 33.799999 33.029999 33.759998 422000 33.759998
2013-04-11 33.630001 33.779999 33.23 33.419998 491200 33.419998
2013-04-12 33.200001 33.360001 32.880001 33.330002 429400 33.330002
2013-04-15 33.07 33.16 32.290001 32.369999 605400 32.369999
2013-04-16 32.669998 32.689999 31.91 32.360001 634700 32.360001
2013-04-17 31.950001 32.110001 31.57 31.74 481700 31.74
2013-04-18 31.75 31.950001 31.219999 31.27 477100 31.27
2013-04-19 31.360001 31.99 30.85 31.959999 486400 31.959999
2013-04-22 32.029999 32.119999 31.389999 31.92 361300 31.92
2013-04-23 32.16 32.970001 32.02 32.630001 352300 32.630001
2013-04-24 32.529999 33.189999 32.34 32.689999 487000 32.689999
2013-04-25 32.709999 32.75 32.080002 32.119999 540000 32.119999
2013-04-26 31.84 32.049999 31.530001 31.639999 626000 31.639999
2013-04-29 31.780001 32.09 31.52 31.9 487900 31.9
2013-04-30 31.940001 32.220001 31.780001 32.220001 512600 32.220001
2013-05-01 32.16 32.23 31.32 31.34 568900 31.34
2013-05-02 31.42 32.009998 31.15 31.950001 676100 31.950001
2013-05-03 32.34 32.939999 32.279999 32.529999 444900 32.529999
2013-05-06 32.639999 33.509998 32.529999 33.41 399000 33.41
2013-05-07 33.560001 33.889999 33.380001 33.810001 356300 33.810001
2013-05-08 33.810001 34.470001 33.66 34.27 458400 34.27
2013-05-09 34.25 34.48 33.990002 34.16 352900 34.16
2013-05-10 32.599998 33.32 32.029999 33.110001 742500 33.110001
2013-05-13 32.990002 33.57 32.98 33.220001 447600 33.220001
2013-05-14 33.150002 33.959999 33.09 33.959999 595800 33.959999
2013-05-15 33.93 34.330002 33.91 34.139999 238800 34.139999
2013-05-16 34.060001 34.279999 33.900002 34.060001 354600 34.060001
2013-05-17 34.349998 35.139999 34.209999 35 581800 35
2013-05-20 34.849998 35.380001 34.66 35.32 512600 35.32
2013-05-21 35.509998 36.139999 35.419998 35.470001 699700 35.470001
2013-05-22 35.43 36.52 35.290001 35.490002 648600 35.490002
2013-05-23 35 35.310001 34.650002 34.830002 636100 34.830002
2013-05-24 34.580002 34.650002 34.23 34.400002 297300 34.400002
2013-05-28 34.889999 36.299999 34.709999 36.23 816500 36.23
2013-05-29 36 36.900002 35.98 36.57 587200 36.57
2013-05-30 36.610001 36.889999 36.369999 36.529999 490900 36.529999
2013-05-31 36.360001 36.57 35.790001 35.990002 315400 35.990002
2013-06-03 36.119999 36.119999 34.560001 35.66 668100 35.66
2013-06-04 35.610001 35.970001 35.049999 35.43 489000 35.43
2013-06-05 35.400002 35.400002 34.73 34.75 497700 34.75
2013-06-06 34.669998 35.419998 34.439999 35.18 375500 35.18
2013-06-07 35.360001 35.740002 35.189999 35.59 365700 35.59
2013-06-10 35.799999 36.209999 35.349998 36.049999 413900 36.049999
2013-06-11 35.52 35.689999 35.040001 35.299999 315100 35.299999
2013-06-12 35.639999 35.639999 34.889999 34.970001 224300 34.970001
2013-06-13 35.049999 35.75 34.68 35.68 204400 35.68
2013-06-14 35.759998 35.759998 35.139999 35.400002 266100 35.400002
2013-06-17 35.779999 36.09 35.610001 35.959999 355600 35.959999
2013-06-18 36 36.459999 35.830002 35.98 407800 35.98
2013-06-19 35.970001 36.73 35.619999 36.189999 406400 36.189999
2013-06-20 35.509998 35.66 34.950001 35.060001 420300 35.060001
2013-06-21 35.220001 35.380001 34.889999 35.25 658800 35.25
2013-06-24 34.82 34.84 33.77 34.380001 409100 34.380001
2013-06-25 34.650002 34.860001 34.459999 34.84 389100 34.84
2013-06-26 35.139999 35.139999 34.34 34.459999 235200 34.459999
2013-06-27 34.599998 35.720001 34.419998 35.639999 384500 35.639999
2013-06-28 35.32 35.75 35.18 35.669998 1174500 35.669998
2013-07-01 35.790001 36.580002 35.639999 35.799999 601100 35.799999
2013-07-02 35.830002 36.57 35.32 35.59 784600 35.59
2013-07-03 35.48 35.560001 34.959999 35.34 241500 35.34
2013-07-05 35.759998 35.82 35.220001 35.57 564100 35.57
2013-07-08 35.91 36 35.529999 35.950001 374300 35.950001
2013-07-09 36.200001 36.34 35.709999 36.299999 603200 36.299999
2013-07-10 36.279999 36.369999 35.869999 36.27 386200 36.27
2013-07-11 36.709999 36.810001 36.110001 36.41 637600 36.41
2013-07-12 36.470001 36.639999 36.360001 36.57 387300 36.57
2013-07-15 36.779999 36.93 36.459999 36.740002 324700 36.740002
2013-07-16 36.779999 36.959999 36.580002 36.790001 409200 36.790001
2013-07-17 36.849998 36.939999 36.529999 36.75 552800 36.75
2013-07-18 36.810001 37.400002 36.790001 37.369999 423100 37.369999
2013-07-19 37.290001 37.790001 36.98 37.209999 558900 37.209999
2013-07-22 37.200001 37.740002 37.150002 37.599998 495400 37.599998
2013-07-23 37.650002 37.82 37.450001 37.700001 401400 37.700001
2013-07-24 37.73 37.73 37.189999 37.189999 281300 37.189999
2013-07-25 37.189999 37.860001 37.049999 37.830002 366400 37.830002
2013-07-26 37.470001 37.549999 37.27 37.48 259100 37.48
2013-07-29 37.34 37.549999 37.209999 37.360001 399300 37.360001
2013-07-30 37.41 37.66 37.27 37.59 381700 37.59
2013-07-31 37.599998 38.02 37.57 37.650002 357200 37.650002
2013-08-01 37.799999 38.959999 37.759998 38.91 571500 38.91
2013-08-02 38.849998 39.240002 38.700001 38.959999 360800 38.959999
2013-08-05 38.860001 38.880001 37.580002 38.810001 742200 38.810001
2013-08-06 38.68 38.700001 38 38.16 481300 38.16
2013-08-07 37.93 37.98 37.580002 37.900002 341000 37.900002
2013-08-08 38.139999 38.389999 37.82 38.299999 442900 38.299999
2013-08-09 38 39.25 37.91 39.130001 527500 39.130001
2013-08-12 38.93 39.830002 38.889999 39.779999 442700 39.779999
2013-08-13 39.869999 40.310001 39.779999 40.25 823700 40.25
2013-08-14 40.139999 40.240002 39.580002 40 437200 40
2013-08-15 39.709999 39.849998 38.91 39.049999 678600 39.049999
2013-08-16 39.049999 39.73 38.98 39.32 473100 39.32
2013-08-19 39.169998 39.34 38.91 39.16 472400 39.16
2013-08-20 39.119999 39.66 38.779999 39.650002 317900 39.650002
2013-08-21 39.41 39.990002 39.349998 39.549999 528600 39.549999
2013-08-22 39.450001 40.139999 39.240002 40.130001 309500 40.130001
2013-08-23 40.009998 40.25 39.849998 40.07 516700 40.07
2013-08-26 40.029999 40.419998 39.939999 40.240002 407200 40.240002
2013-08-27 39.610001 39.900002 39.080002 39.349998 911800 39.349998
2013-08-28 39.580002 40.450001 39.48 39.93 552600 39.93
2013-08-29 39.919998 40.990002 39.919998 40.560001 628700 40.560001
