"Index" "SI.Open" "SI.High" "SI.Low" "SI.Close" "SI.Volume" "SI.Adjusted"
2013-01-01 0.18 0.18 0.18 0.18 0 0.18
2013-01-02 0.155 0.155 0.155 0.155 7000 0.155
2013-01-03 0.155 0.155 0.155 0.155 0 0.155
2013-01-04 0.155 0.155 0.155 0.155 0 0.155
2013-01-07 0.155 0.16 0.155 0.155 15500 0.155
2013-01-08 0.155 0.185 0.155 0.185 27000 0.185
2013-01-09 0.185 0.185 0.185 0.185 0 0.185
2013-01-10 0.17 0.17 0.17 0.17 10000 0.17
2013-01-11 0.17 0.17 0.17 0.17 0 0.17
2013-01-14 0.17 0.17 0.17 0.17 0 0.17
2013-01-15 0.17 0.17 0.17 0.17 0 0.17
2013-01-16 0.17 0.17 0.17 0.17 0 0.17
2013-01-17 0.17 0.17 0.17 0.17 0 0.17
2013-01-18 0.17 0.17 0.17 0.17 0 0.17
2013-01-21 0.17 0.17 0.17 0.17 0 0.17
2013-01-22 0.175 0.19 0.175 0.19 56000 0.19
2013-01-23 0.19 0.19 0.19 0.19 0 0.19
2013-01-24 0.19 0.19 0.19 0.19 0 0.19
2013-01-25 0.2 0.2 0.17 0.17 23200 0.17
2013-01-28 0.17 0.17 0.17 0.17 0 0.17
2013-01-29 0.17 0.17 0.17 0.17 1500 0.17
2013-01-30 0.17 0.17 0.17 0.17 0 0.17
2013-01-31 0.17 0.17 0.17 0.17 0 0.17
2013-02-01 0.17 0.17 0.17 0.17 0 0.17
2013-02-04 0.17 0.17 0.17 0.17 0 0.17
2013-02-05 0.18 0.18 0.18 0.18 5000 0.18
2013-02-06 0.17 0.18 0.17 0.17 49000 0.17
2013-02-07 0.17 0.17 0.17 0.17 0 0.17
2013-02-08 0.17 0.17 0.17 0.17 20000 0.17
2013-02-11 0.17 0.17 0.17 0.17 0 0.17
2013-02-12 0.17 0.17 0.17 0.17 15000 0.17
2013-02-13 0.17 0.17 0.15 0.15 135700 0.15
2013-02-14 0.15 0.15 0.15 0.15 500 0.15
2013-02-15 0.17 0.17 0.17 0.17 40000 0.17
2013-02-18 0.17 0.17 0.17 0.17 0 0.17
2013-02-19 0.16 0.16 0.16 0.16 500 0.16
2013-02-20 0.16 0.16 0.16 0.16 10000 0.16
2013-02-21 0.16 0.16 0.16 0.16 0 0.16
2013-02-22 0.16 0.16 0.16 0.16 20000 0.16
2013-02-25 0.16 0.16 0.16 0.16 0 0.16
2013-02-26 0.14 0.14 0.14 0.14 20000 0.14
2013-02-27 0.13 0.14 0.12 0.13 78100 0.13
2013-02-28 0.13 0.13 0.13 0.13 0 0.13
2013-03-01 0.14 0.14 0.14 0.14 3100 0.14
