"Index" "SIL.Open" "SIL.High" "SIL.Low" "SIL.Close" "SIL.Volume" "SIL.Adjusted"
2013-01-02 23.529974 23.579975 23.229977 23.459975 99500 69.847867
2013-01-03 23.359976 23.379975 22.539977 22.699976 107800 67.585107
2013-01-04 22.279976 22.549977 22.119977 22.509976 63200 67.019417
2013-01-07 22.279976 22.319976 22.109978 22.189977 45900 66.066676
2013-01-08 22.209976 22.259976 21.999977 22.059977 49200 65.679626
2013-01-09 22.279976 22.279976 21.999977 22.119977 57400 65.858265
2013-01-10 22.239977 22.549977 22.239977 22.419977 53400 66.751462
2013-01-11 22.459976 22.459976 22.239977 22.409978 23600 66.72169
2013-01-14 22.669977 22.839975 22.249977 22.299977 55400 66.394183
2013-01-15 22.299977 22.479977 22.119977 22.419977 61600 66.751462
2013-01-16 22.369977 22.379976 22.169978 22.219978 30000 66.156
2013-01-17 22.189977 22.399976 22.019976 22.159978 53400 65.977361
2013-01-18 22.289978 22.289978 21.969978 22.049978 32600 65.649854
2013-01-22 22.039978 22.139976 21.739978 22.069977 58400 65.709398
2013-01-23 21.979978 22.059977 21.639977 21.699977 80600 64.60779
2013-01-24 21.499978 21.589976 21.079979 21.109979 217000 62.851176
2013-01-25 20.969978 21.099978 20.709979 20.779978 83400 61.868659
2013-01-28 20.779978 20.779978 20.329979 20.439979 70700 60.856371
2013-01-29 20.559979 20.929978 20.549979 20.889978 58300 62.196162
2013-01-30 21.139977 21.219978 20.879978 20.889978 55900 62.196162
2013-01-31 20.869978 20.889978 20.659978 20.679979 38100 61.570928
2013-02-01 20.889978 21.229977 20.889978 21.079979 42700 62.761856
2013-02-04 20.919978 21.099978 20.859979 20.959978 18200 62.404577
2013-02-05 21.149978 21.199977 20.879978 21.029978 17300 62.612989
2013-02-06 20.999978 21.209978 20.999978 21.129978 23200 62.91072
2013-02-07 21.119978 21.249978 20.999978 21.099978 38900 62.8214
2013-02-08 21.149978 21.259977 21.059978 21.109979 16900 62.851176
2013-02-11 20.899978 20.899978 20.649979 20.829979 25100 62.017527
2013-02-12 20.659978 20.919978 20.559979 20.739979 41700 61.749568
2013-02-13 20.799979 20.959978 20.599978 20.629978 21100 61.422061
2013-02-14 20.609979 20.799979 20.379979 20.409979 48100 60.767051
2013-02-15 20.159979 20.159979 19.639979 19.73998 115600 58.77225
2013-02-19 19.60998 19.60998 19.18998 19.27998 68400 57.402683
2013-02-20 18.99998 18.99998 18.349981 18.349981 85800 54.633777
2013-02-21 18.44998 18.769981 18.349981 18.619981 68500 55.437654
2013-02-22 18.74998 18.74998 18.469981 18.69998 49600 55.675837
2013-02-25 18.75998 18.989981 18.75998 18.859981 43600 56.152211
2013-02-26 18.99998 19.169979 18.62998 18.93998 45000 56.390394
2013-02-27 18.94998 18.94998 18.739981 18.84998 16700 56.122435
2013-02-28 18.679981 18.80998 18.429981 18.489981 24800 55.050603
2013-03-01 18.459981 18.459981 18.179981 18.219981 36600 54.246726
2013-03-04 18.129981 18.209981 17.549982 17.619982 92900 52.460336
2013-03-05 17.829982 17.999981 17.599981 17.619982 32400 52.460336
2013-03-06 17.589982 18.259981 17.419981 18.249981 55600 54.336046
2013-03-07 18.259981 18.44998 18.009981 18.049982 35600 53.740584
2013-03-08 17.959982 18.349981 17.829982 18.239981 29900 54.306274
2013-03-11 18.299981 18.349981 18.129981 18.209981 32200 54.216954
2013-03-12 18.38998 18.69998 18.309981 18.59998 60700 55.378106
2013-03-13 18.68998 18.69998 18.13998 18.199981 19700 54.187178
