"Index" "SIR.Open" "SIR.High" "SIR.Low" "SIR.Close" "SIR.Volume" "SIR.Adjusted"
2013-01-02 24.870001 25.25 24.73 25.07 321800 20.091161
2013-01-03 25.049999 25.17 24.84 24.9 204200 19.954922
2013-01-04 25.02 25.030001 24.75 24.879999 171800 19.938894
2013-01-07 24.889999 24.99 24.610001 24.98 103600 20.019034
2013-01-08 24.99 24.99 24.75 24.92 117200 19.970951
2013-01-09 24.879999 24.91 24.58 24.73 128500 19.818684
2013-01-10 24.77 24.969999 24.58 24.74 145300 19.826698
2013-01-11 24.700001 24.860001 24.67 24.799999 91200 19.874782
2013-01-14 24.82 25.040001 24.75 25.040001 74900 20.06712
2013-01-15 24.959999 25.1 24.809999 24.99 109900 20.027049
2013-01-16 24.98 25.1 24.809999 25.049999 169100 20.075132
2013-01-17 24.67 25.26 24.629999 25.129999 45000 20.482666
2013-01-18 25.15 25.200001 24.83 24.92 103200 20.311502
2013-01-22 24.9 25.16 24.799999 25.08 113600 20.441913
2013-01-23 25.030001 25.15 24.82 25.15 111600 20.498968
2013-01-24 25.139999 25.24 24.85 24.950001 78400 20.335955
2013-01-25 24.950001 25.08 24.799999 24.99 81100 20.368557
2013-01-28 25.049999 25.219999 24.780001 25.219999 91900 20.556022
2013-01-29 25.139999 25.139999 24.83 25.1 75000 20.458215
2013-01-30 25.139999 25.16 24.889999 25.07 109500 20.433762
2013-01-31 25.02 25.4 24.809999 25.17 125000 20.515269
2013-02-01 25.1 25.43 25.02 25.360001 100200 20.670133
2013-02-04 25.26 25.34 25.07 25.18 52700 20.52342
2013-02-05 25.139999 25.290001 24.93 25.139999 112400 20.490817
2013-02-06 25.01 25.32 24.879999 25.18 183000 20.52342
2013-02-07 25.120001 25.24 24.780001 25.01 159400 20.384858
2013-02-08 24.959999 25.32 24.93 25.25 240600 20.580475
2013-02-11 25.18 25.280001 24.98 25.1 82300 20.458215
2013-02-12 25.190001 25.67 24.92 25.559999 237800 20.833145
2013-02-13 25.559999 25.83 25.459999 25.610001 40300 20.8739
2013-02-14 25.57 25.59 25.379999 25.5 43800 20.784242
2013-02-15 25.59 25.610001 25.370001 25.610001 41500 20.8739
2013-02-19 25.610001 25.940001 25.6 25.91 176000 21.11842
2013-02-20 25.969999 26 25.809999 25.82 92500 21.045063
2013-02-21 25.75 25.790001 24.98 25.48 98100 20.76794
2013-02-22 25.629999 25.780001 25.370001 25.6 399600 20.865749
2013-02-25 25.74 25.91 25.530001 25.58 45500 20.849447
2013-02-26 25.700001 27.23 25.65 27.1 635000 22.088351
2013-02-27 27 28.129999 26.66 27.75 701000 22.618145
2013-02-28 27.75 27.91 27.450001 27.809999 250400 22.667049
2013-03-01 27.719999 27.84 27.379999 27.620001 127900 22.512187
2013-03-04 27.67 28.08 27.34 28 194400 22.821913
2013-03-05 28 28.040001 27.25 27.58 211600 22.479584
2013-03-06 27.620001 27.620001 26.9 26.950001 231800 21.966091
2013-03-07 27.030001 27.07 26.65 26.790001 112000 21.835681
2013-03-08 26.940001 26.99 26.379999 26.6 275300 21.680817
2013-03-11 26.559999 26.700001 26.42 26.450001 80100 21.558557
2013-03-12 26.52 26.620001 26.110001 26.190001 119700 21.346639
2013-03-13 26.27 26.92 26.219999 26.6 257500 21.680817
2013-03-14 26.700001 27.24 26.700001 26.959999 221400 21.974241
2013-03-15 27 27 26.809999 26.98 279600 21.990542
2013-03-18 26.92 26.98 26.790001 26.889999 126200 21.917186
2013-03-19 26.84 26.940001 26.48 26.790001 57300 21.835681
2013-03-20 26.77 26.92 26.4 26.48 46200 21.583008
2013-03-21 26.440001 26.610001 26.299999 26.48 49500 21.583008
2013-03-22 26.6 26.879999 26.42 26.66 103800 21.729721
2013-03-25 26.49 26.49 25.379999 25.58 358100 20.849447
2013-03-26 25.780001 26.459999 25.709999 26.040001 218700 21.224379
2013-03-27 26 26.09 25.75 25.9 122600 21.110269
2013-03-28 26 26.73 25.85 26.450001 374600 21.558557
2013-04-01 26.620001 27.129999 26.51 26.809999 197400 21.851981
2013-04-02 26.91 27.110001 26.4 26.48 202600 21.583008
2013-04-03 26.469999 26.5 26.01 26.35 238500 21.47705
2013-04-04 26.32 27.209999 26.24 27.16 174200 22.137255
2013-04-05 26.91 27.450001 26.82 27.440001 253800 22.365475
2013-04-08 27.5 28 27.469999 27.780001 277000 22.642598
2013-04-09 27.870001 27.889999 27.48 27.75 193700 22.618145
2013-04-10 27.92 28.09 27.65 28.040001 127300 22.854516
2013-04-11 28.049999 28.1 27.92 28.07 118700 22.878967
2013-04-12 28.120001 28.4 27.99 28.33 137300 23.090885
2013-04-15 28.33 28.33 27.6 27.639999 240800 22.528487
2013-04-16 27.75 28.15 27.75 28.139999 223700 22.936022
2013-04-17 28.110001 28.559999 27.610001 27.67 235600 22.55294
2013-04-18 27.77 27.98 27.42 27.809999 147300 22.667049
2013-04-19 27.4 28.25 27.4 28.059999 82200 23.238488
2013-04-22 28.26 28.26 27.959999 28.09 126100 23.263334
2013-04-23 28.09 28.32 28.059999 28.299999 159300 23.437249
2013-04-24 28.290001 28.309999 27.98 28.190001 109400 23.346151
2013-04-25 28.299999 28.33 28.040001 28.129999 98100 23.29646
2013-04-26 28.17 28.18 27.84 28.02 77900 23.205362
2013-04-29 28.17 28.290001 27.83 28.059999 113200 23.238488
2013-04-30 28.110001 28.549999 27.99 28.530001 123500 23.62773
2013-05-01 28.559999 28.559999 27.709999 27.92 177700 23.122545
2013-05-02 27.66 28.49 27.620001 28.09 130200 23.263334
2013-05-03 28.379999 28.6 27.969999 28.07 153300 23.24677
2013-05-06 28.16 28.41 28.09 28.23 152500 23.379277
2013-05-07 28.32 28.530001 28.209999 28.43 196500 23.544912
2013-05-08 28.48 28.5 28.15 28.4 164200 23.520067
2013-05-09 28.4 28.42 28.049999 28.09 186200 23.263334
2013-05-10 28.18 28.25 27.969999 28.040001 105200 23.221926
2013-05-13 28.059999 28.08 27.469999 27.610001 77400 22.865812
2013-05-14 27.709999 28.02 27.709999 27.940001 85700 23.139109
2013-05-15 27.959999 28.16 27.860001 28.129999 116800 23.29646
2013-05-16 28.23 28.33 28.110001 28.209999 76500 23.362714
2013-05-17 28.450001 28.6 28.110001 28.200001 138100 23.354433
2013-05-20 28.35 28.35 28.030001 28.280001 107300 23.420687
2013-05-21 28.43 28.73 28.209999 28.73 138700 23.793363
2013-05-22 28.83 29.09 28.280001 28.280001 186600 23.420687
2013-05-23 28.09 28.17 27.74 27.959999 166400 23.155671
2013-05-24 27.959999 28.08 27.66 27.85 51000 23.064573
2013-05-28 28.120001 28.440001 27.76 28.049999 198100 23.230206
2013-05-29 27.92 28.24 27.530001 28 362200 23.188798
2013-05-30 28.08 28.620001 27.75 28.219999 151200 23.370996
2013-05-31 28.200001 28.200001 27 27.23 164000 22.551106
2013-06-03 27.440001 27.709999 27.24 27.49 149500 22.766431
2013-06-04 27.6 28.08 27.24 27.74 170400 22.973474
2013-06-05 27.790001 28.129999 27.35 27.98 184600 23.172235
2013-06-06 27.99 28.299999 27.389999 28.280001 163300 23.420687
2013-06-07 28.43 28.43 28.02 28.32 121700 23.453813
2013-06-10 28.299999 28.379999 27.969999 28.219999 68100 23.370996
2013-06-11 28.08 28.59 27.809999 28.379999 118300 23.503503
2013-06-12 28.629999 28.66 27.790001 27.99 95700 23.180517
2013-06-13 28.07 28.35 27.290001 28.26 114100 23.404123
2013-06-14 28.18 28.98 28.18 28.809999 90400 23.859617
2013-06-17 29.049999 29.709999 28.98 29.5 166600 24.431055
2013-06-18 29.540001 30.049999 29.43 29.9 104600 24.762324
2013-06-19 29.83 29.91 28.33 28.469999 169500 23.578038
2013-06-20 28.290001 28.530001 27.549999 27.629999 127100 22.882374
2013-06-21 27.780001 28.67 27.450001 28.65 196300 23.72711
2013-06-24 28.309999 29.549999 28.07 29.059999 225300 24.06666
2013-06-25 29.24 29.84 28.68 29.83 128500 24.704352
2013-06-26 29.940001 30.139999 29.58 29.75 146100 24.638098
2013-06-27 27.83 27.969999 27.32 27.690001 8713200 22.932066
2013-06-28 27.6 28.1 27.6 28.040001 1631400 23.221926
2013-07-01 27.5 28.049999 27.299999 27.92 660600 23.122545
2013-07-02 27.92 27.99 27.629999 27.950001 434300 23.14739
2013-07-03 27.200001 27.91 25.48 27.76 739400 22.990037
2013-07-05 27.780001 27.799999 26.940001 27.469999 976000 22.749867
2013-07-08 27.379999 27.559999 27.040001 27.309999 451600 22.61736
2013-07-09 27.08 27.48 26.91 27.33 413600 22.633924
2013-07-10 27.24 27.5 27.110001 27.42 614900 22.708459
2013-07-11 27.639999 27.690001 27.280001 27.360001 553000 22.658769
2013-07-12 27.49 27.58 27.32 27.5 323000 22.774713
2013-07-15 27.48 27.91 27.48 27.889999 286600 23.097699
2013-07-16 27.9 27.940001 27.450001 27.709999 513800 22.948628
2013-07-17 27.709999 27.950001 27.440001 27.93 607200 23.130827
2013-07-18 27.879999 27.98 27.790001 27.860001 385400 23.072855
2013-07-19 27.639999 27.77 27.370001 27.58 302900 22.840966
2013-07-22 27.08 27.4 27 27.219999 177800 22.908293
2013-07-23 27.25 27.530001 27.129999 27.4 323700 23.059781
2013-07-24 27.51 27.58 27.139999 27.4 538000 23.059781
2013-07-25 27.32 27.52 27.18 27.459999 452900 23.110276
2013-07-26 27.48 28.24 27.440001 28.219999 1166100 23.749891
2013-07-29 28.200001 28.200001 27.6 27.76 78000 23.362757
2013-07-30 27.870001 27.870001 27.27 27.440001 327800 23.093446
2013-07-31 27.559999 27.559999 26.48 26.98 787500 22.70631
2013-08-01 27.540001 27.540001 26.219999 26.32 475300 22.150855
2013-08-02 25.469999 25.93 24.58 25.799999 647300 21.713224
2013-08-05 25.91 25.99 25.360001 25.5 413200 21.460745
2013-08-06 25.370001 25.51 25.129999 25.51 445700 21.469161
2013-08-07 25.41 25.450001 24.93 25.309999 407000 21.300841
2013-08-08 25.49 25.860001 25.33 25.860001 247300 21.763721
2013-08-09 25.91 26.290001 25.68 26.09 206100 21.957288
2013-08-12 26.08 26.08 25.59 25.780001 197100 21.696393
2013-08-13 25.870001 25.870001 25.379999 25.559999 198700 21.511241
2013-08-14 25.549999 25.58 25.02 25.41 1244400 21.385001
2013-08-15 25.35 25.35 24.940001 25.17 220300 21.183018
2013-08-16 25.23 25.280001 24.76 24.799999 234600 20.871626
2013-08-19 24.9 24.9 24.32 24.34 244200 20.484492
2013-08-20 24.309999 24.49 24.219999 24.360001 223400 20.501324
2013-08-21 24.34 24.4 24.059999 24.16 187200 20.333004
2013-08-22 24.280001 24.360001 24.1 24.360001 136300 20.501324
2013-08-23 24.440001 24.639999 24.25 24.5 505900 20.619147
2013-08-26 24.639999 24.799999 24.370001 24.540001 253400 20.652812
2013-08-27 24.5 24.6 24.209999 24.280001 192300 20.433996
2013-08-28 24.4 24.4 24.15 24.290001 237900 20.442413
2013-08-29 24.299999 24.4 24.16 24.309999 189800 20.459243
2013-08-30 24.360001 24.440001 24.24 24.33 211300 20.476076
2013-09-03 24.49 24.5 23.91 24.200001 341100 20.366669
2013-09-04 24.200001 24.389999 23.879999 24.08 184100 20.265676
2013-09-05 24.02 24.16 23.870001 23.9 1236800 20.114188
2013-09-06 24 24.290001 23.790001 24.120001 182500 20.299341
2013-09-09 24.209999 24.41 24 24.360001 194100 20.501324
2013-09-10 24.5 24.58 24.15 24.280001 198700 20.433996
2013-09-11 24.34 24.860001 24.34 24.51 183900 20.627564
2013-09-12 24.59 24.610001 24.23 24.469999 192200 20.593899
2013-09-13 24.5 24.950001 24.440001 24.77 448000 20.846379
2013-09-16 25 25 24.719999 24.889999 267400 20.94737
2013-09-17 24.9 24.99 24.690001 24.76 117000 20.837963
2013-09-18 24.870001 25.379999 24.610001 25.1 395800 21.124106
