"Index" "SMC.Open" "SMC.High" "SMC.Low" "SMC.Close" "SMC.Volume" "SMC.Adjusted"
2013-01-01 0.93 0.93 0.93 0.93 0 0.0348
2013-01-02 0.93 0.95 0.9 0.93 614500 0.0348
2013-01-03 0.91 0.94 0.83 0.9 465000 0.0337
2013-01-04 0.9 0.94 0.88 0.94 1581900 0.0352
2013-01-07 0.9 0.93 0.89 0.93 379400 0.0348
2013-01-08 0.93 1.01 0.92 1.01 2030100 0.0378
2013-01-09 0.99 1 0.97 0.99 290000 0.0371
2013-01-10 1 1.06 0.98 1.05 641900 0.0393
2013-01-11 1.04 1.08 1.03 1.07 697500 0.0401
2013-01-14 1.07 1.08 1.02 1.02 817000 0.0382
2013-01-15 1.03 1.05 1 1 247200 0.0375
2013-01-16 1 1.05 1 1.04 1143500 0.039
2013-01-17 1.06 1.09 1.03 1.05 1127700 0.0393
2013-01-18 1.06 1.08 1.04 1.08 4361300 0.0405
2013-01-21 1.07 1.1 1.06 1.08 665800 0.0405
2013-01-22 1.08 1.1 1.06 1.06 427100 0.0397
2013-01-23 1.07 1.07 0.99 0.99 524700 0.0371
2013-01-24 1 1.01 0.96 0.97 458300 0.0363
2013-01-25 0.94 0.98 0.94 0.97 208300 0.0363
2013-01-28 0.97 0.97 0.92 0.92 412900 0.0345
2013-01-29 0.93 0.96 0.91 0.92 277200 0.0345
2013-01-30 0.96 0.97 0.93 0.95 173300 0.0356
2013-01-31 0.97 0.97 0.93 0.94 268500 0.0352
2013-02-01 0.94 0.96 0.93 0.94 629800 0.0352
2013-02-04 0.93 0.96 0.93 0.93 523500 0.0348
2013-02-05 0.96 0.96 0.92 0.92 148500 0.0345
2013-02-06 0.94 0.95 0.92 0.92 209200 0.0345
2013-02-07 0.92 0.96 0.92 0.96 334900 0.036
2013-02-08 0.96 0.96 0.92 0.92 255000 0.0345
2013-02-11 0.94 0.96 0.92 0.92 109100 0.0345
2013-02-12 0.93 0.95 0.92 0.92 1477000 0.0345
2013-02-13 0.93 0.93 0.78 0.92 1030700 0.0345
2013-02-14 0.92 0.93 0.86 0.91 450800 0.0341
2013-02-15 0.88 0.91 0.88 0.89 111500 0.0333
2013-02-18 0.89 0.89 0.89 0.89 0 0.0333
2013-02-19 0.91 0.92 0.87 0.88 188400 0.033
2013-02-20 0.85 0.87 0.82 0.82 353800 0.0307
2013-02-21 0.84 0.86 0.8 0.8 294400 0.03
2013-02-22 0.81 0.86 0.81 0.86 115800 0.0322
2013-02-25 0.85 0.89 0.85 0.87 75400 0.0326
2013-02-26 0.86 0.9 0.86 0.9 171500 0.0337
2013-02-27 0.89 0.9 0.86 0.86 185200 0.0322
2013-02-28 0.85 0.87 0.84 0.86 148200 0.0322
2013-03-01 0.88 0.88 0.83 0.83 77700 0.0311
2013-03-04 0.84 0.84 0.75 0.8 451300 0.03
2013-03-05 0.8 0.8 0.78 0.78 220600 0.0292
2013-03-06 0.78 0.8 0.76 0.79 393200 0.0296
2013-03-07 0.78 0.83 0.78 0.79 836700 0.0296
2013-03-08 0.77 0.84 0.77 0.77 306100 0.0288
2013-03-11 0.77 0.785 0.76 0.77 281600 0.0288
2013-03-12 0.79 0.79 0.755 0.78 193600 0.0292
2013-03-13 0.78 0.8 0.76 0.79 322400 0.0296
2013-03-14 0.78 0.82 0.78 0.81 727500 0.0303
2013-03-15 0.81 0.91 0.81 0.9 1899000 0.0337
2013-03-18 0.9 0.9 0.83 0.87 285500 0.0326
2013-03-19 0.87 0.87 0.84 0.84 411300 0.0315
2013-03-20 0.85 0.86 0.83 0.84 133900 0.0315
2013-03-21 0.84 0.86 0.84 0.85 436000 0.0318
2013-03-22 0.85 0.85 0.83 0.83 101400 0.0311
2013-03-25 0.83 0.83 0.8 0.81 138300 0.0303
2013-03-26 0.79 0.8 0.79 0.8 122600 0.03
2013-03-27 0.79 0.83 0.78 0.8 182300 0.03
2013-03-28 0.79 0.8 0.77 0.79 135500 0.0296
2013-03-29 0.79 0.79 0.79 0.79 0 0.0296
2013-04-01 0.79 0.79 0.76 0.78 169600 0.0292
2013-04-02 0.77 0.77 0.74 0.74 339900 0.0277
2013-04-03 0.75 0.75 0.68 0.73 530800 0.0273
2013-04-04 0.7 0.74 0.7 0.74 266200 0.0277
2013-04-05 0.75 0.75 0.73 0.74 270700 0.0277
2013-04-08 0.74 0.75 0.73 0.74 149600 0.0277
2013-04-09 0.84 0.86 0.8 0.81 3467900 0.0303
2013-04-10 0.81 0.84 0.79 0.8 351900 0.03
2013-04-11 0.8 0.8 0.76 0.77 771100 0.0288
2013-04-12 0.78 0.78 0.72 0.76 870600 0.0285
2013-04-15 0.72 0.72 0.67 0.69 494100 0.0259
2013-04-16 0.72 0.73 0.7 0.71 569100 0.0266
2013-04-17 0.7 0.77 0.69 0.77 1115400 0.0288
2013-04-18 0.77 0.83 0.75 0.79 448600 0.0296
2013-04-19 0.82 0.82 0.8 0.8 421800 0.03
2013-04-22 0.83 0.84 0.81 0.81 221200 0.0303
2013-04-23 0.81 0.82 0.77 0.78 279000 0.0515
2013-04-24 0.8 0.81 0.77 0.8 311200 0.0528
