"Index" "SP.Open" "SP.High" "SP.Low" "SP.Close" "SP.Volume" "SP.Adjusted"
2013-01-02 22.450001 22.450001 21.559999 22.16 110600 22.16
2013-01-03 22.26 22.6 22.26 22.35 36900 22.35
2013-01-04 22.48 22.48 22.16 22.200001 92900 22.200001
2013-01-07 22.15 22.280001 21.9 21.91 45500 21.91
2013-01-08 21.85 22.02 21.709999 21.879999 50400 21.879999
2013-01-09 22 22 21.549999 21.709999 43400 21.709999
2013-01-10 21.73 22.01 21.27 21.299999 43100 21.299999
2013-01-11 21.370001 21.58 21.23 21.34 31500 21.34
2013-01-14 21.42 21.530001 21.030001 21.110001 91900 21.110001
2013-01-15 21 21.559999 20.959999 20.98 45500 20.98
2013-01-16 20.9 21.07 20.610001 20.66 39600 20.66
2013-01-17 20.790001 21.17 20.6 20.65 27200 20.65
2013-01-18 20.59 20.799999 20.370001 20.49 54700 20.49
2013-01-22 20.549999 20.83 20.540001 20.73 45400 20.73
2013-01-23 20.780001 20.780001 20.15 20.23 46400 20.23
2013-01-24 20.24 20.6 20.15 20.33 59700 20.33
2013-01-25 20.450001 20.450001 20.110001 20.299999 397200 20.299999
2013-01-28 20.299999 20.879999 20.15 20.41 242800 20.41
2013-01-29 20.459999 20.780001 20.190001 20.6 204100 20.6
2013-01-30 20.610001 21.33 20.299999 20.709999 302600 20.709999
2013-01-31 20.74 21.15 20.450001 20.959999 78600 20.959999
2013-02-01 21.1 21.4 20.93 21.32 40700 21.32
2013-02-04 21.18 21.32 20.57 20.74 97500 20.74
2013-02-05 20.870001 21.09 20.43 20.940001 29700 20.940001
2013-02-06 20.870001 21.16 20.799999 21.15 70000 21.15
2013-02-07 21.09 21.299999 20.6 21.139999 26400 21.139999
2013-02-08 21.23 21.33 20.9 20.99 20700 20.99
2013-02-11 20.969999 21.299999 20.780001 21.219999 22300 21.219999
2013-02-12 21.219999 21.370001 20.9 20.98 19200 20.98
2013-02-13 20.799999 21.059999 20.790001 20.99 13200 20.99
2013-02-14 20.92 21.34 20.92 21.139999 23900 21.139999
2013-02-15 21.25 21.299999 20.77 21.17 33500 21.17
2013-02-19 21.17 21.42 20.99 21.17 57600 21.17
2013-02-20 21.16 21.280001 20.74 20.780001 18900 20.780001
2013-02-21 20.799999 21.07 20.799999 20.799999 13300 20.799999
2013-02-22 20.91 21.09 20.6 21.059999 16000 21.059999
2013-02-25 21.110001 21.139999 20.110001 20.190001 33400 20.190001
2013-02-26 20.23 20.5 20.16 20.280001 16000 20.280001
2013-02-27 20.389999 20.82 20.389999 20.620001 38200 20.620001
2013-02-28 20.6 20.85 20.549999 20.76 36000 20.76
2013-03-01 20.549999 20.84 20.35 20.42 69900 20.42
2013-03-04 20.32 20.51 20.209999 20.290001 24100 20.290001
2013-03-05 20.26 20.870001 20.26 20.85 25400 20.85
2013-03-06 20.809999 21 20.690001 20.76 16000 20.76
2013-03-07 20.690001 21.049999 20.610001 20.84 35900 20.84
2013-03-08 20.049999 20.440001 19.5 20.209999 372100 20.209999
2013-03-11 20.09 20.09 19.34 19.610001 135700 19.610001
2013-03-12 19.540001 20.030001 19.35 19.68 228800 19.68
2013-03-13 19.67 19.74 19.450001 19.68 64400 19.68
2013-03-14 19.719999 19.780001 19.360001 19.709999 266900 19.709999
2013-03-15 19.75 20.290001 19.75 20.01 73100 20.01
2013-03-18 19.99 20.09 19.620001 19.780001 37000 19.780001
2013-03-19 19.940001 20.129999 19.92 20.08 214100 20.08
2013-03-20 20.200001 20.200001 19.860001 20.049999 133100 20.049999
2013-03-21 20 20.18 19.93 20.15 51100 20.15
2013-03-22 20.17 20.35 20 20.110001 26600 20.110001
2013-03-25 20.469999 21.139999 20.360001 20.629999 58200 20.629999
2013-03-26 20.76 20.799999 20.34 20.700001 120700 20.700001
2013-03-27 20.65 20.879999 20.35 20.82 35600 20.82
2013-03-28 20.91 21 20.58 20.700001 89200 20.700001
2013-04-01 20.52 20.870001 20.290001 20.709999 206900 20.709999
2013-04-02 20.879999 20.950001 20.610001 20.719999 97500 20.719999
2013-04-03 20.639999 20.98 20.41 20.879999 128800 20.879999
2013-04-04 20.9 21.01 20.370001 20.709999 116700 20.709999
2013-04-05 20.379999 20.66 20.059999 20.360001 135300 20.360001
2013-04-08 20.440001 20.530001 20 20.459999 63500 20.459999
2013-04-09 20.43 20.549999 20.309999 20.4 71200 20.4
2013-04-10 20.4 21.15 20.200001 21.040001 103100 21.040001
2013-04-11 21.030001 21.360001 20.889999 21.24 70600 21.24
2013-04-12 21.309999 21.360001 20.879999 21.01 78400 21.01
2013-04-15 20.940001 20.959999 20.68 20.809999 104400 20.809999
