"Index" "SPY.Open" "SPY.High" "SPY.Low" "SPY.Close" "SPY.Volume" "SPY.Adjusted"
2013-01-02 145.110001 146.149994 144.729996 146.059998 192059000 138.404374
2013-01-03 145.990005 146.369995 145.339996 145.729996 144761800 138.091669
2013-01-04 145.970001 146.610001 145.669998 146.369995 116817700 138.698123
2013-01-07 145.850006 146.110001 145.429993 145.970001 110002500 138.319095
2013-01-08 145.710007 145.910004 144.979996 145.550003 121265100 137.92111
2013-01-09 145.869995 146.320007 145.639999 145.919998 90745600 138.271713
2013-01-10 146.729996 147.089996 145.970001 147.080002 130735400 139.370916
2013-01-11 147.039993 147.149994 146.610001 147.070007 113917300 139.361445
2013-01-14 146.889999 147.070007 146.429993 146.970001 89567200 139.266681
2013-01-15 146.289993 147.210007 146.199997 147.070007 93172600 139.361445
2013-01-16 146.770004 147.279999 146.610001 147.050003 104849500 139.342489
2013-01-17 147.699997 148.419998 147.149994 148 133833500 140.242693
2013-01-18 147.970001 148.490005 147.429993 148.330002 169906000 140.555398
2013-01-22 148.330002 149.130005 147.979996 149.130005 111797300 141.313469
2013-01-23 149.130005 149.5 148.860001 149.369995 104596100 141.540881
2013-01-24 149.149994 150.139999 149.009995 149.410004 146426400 141.578792
2013-01-25 149.880005 150.25 149.369995 150.25 147211600 142.374761
2013-01-28 150.289993 150.330002 149.509995 150.070007 113357700 142.204202
2013-01-29 149.770004 150.850006 149.669998 150.660004 105694400 142.763274
2013-01-30 150.639999 150.940002 149.929993 150.070007 137447700 142.204202
2013-01-31 149.889999 150.380005 149.600006 149.699997 108975800 141.853586
2013-02-01 150.649994 151.419998 150.389999 151.240005 131173000 143.312876
2013-02-04 150.320007 151.270004 149.429993 149.539993 159073600 141.701968
2013-02-05 150.350006 151.479996 150.289993 151.050003 113912400 143.132832
2013-02-06 150.520004 151.259995 150.410004 151.160004 138762800 143.237067
2013-02-07 151.210007 151.350006 149.860001 150.960007 162490000 143.047553
2013-02-08 151.220001 151.889999 151.220001 151.800003 103133700 143.843521
2013-02-11 151.740005 151.899994 151.389999 151.770004 73775000 143.815095
2013-02-12 151.779999 152.300003 151.610001 152.020004 65392700 144.051992
2013-02-13 152.330002 152.610001 151.720001 152.149994 82322600 144.175168
2013-02-14 151.690002 152.470001 151.520004 152.289993 80834300 144.307829
2013-02-15 152.429993 152.589996 151.550003 152.110001 215226500 144.137271
2013-02-19 152.369995 153.279999 152.160004 153.25 95105400 145.217518
2013-02-20 153.139999 153.190002 151.259995 151.339996 160574800 143.407626
2013-02-21 150.960007 151.419998 149.940002 150.419998 183257000 142.535849
2013-02-22 151.149994 151.889999 150.490005 151.889999 106356600 143.928801
2013-02-25 152.630005 152.860001 149 149 245824800 141.190278
2013-02-26 149.720001 150.199997 148.729996 150.020004 186596200 142.15682
2013-02-27 149.889999 152.330002 149.759995 151.910004 150781900 143.947757
2013-02-28 151.899994 152.869995 151.410004 151.610001 126866000 143.663478
2013-03-01 151.089996 152.339996 150.410004 152.110001 170634800 144.137271
2013-03-04 151.759995 152.919998 151.520004 152.919998 99010200 144.904813
2013-03-05 153.660004 154.699997 153.639999 154.289993 121431900 146.203001
2013-03-06 154.839996 154.919998 154.160004 154.5 94469900 146.402
2013-03-07 154.699997 154.979996 154.520004 154.779999 86101400 146.667323
2013-03-08 155.460007 155.649994 154.660004 155.440002 123477800 147.292733
2013-03-11 155.320007 156.039993 155.130005 156.029999 83746800 147.851805
2013-03-12 155.919998 156.100006 155.210007 155.679993 105755800 147.520144
2013-03-13 155.759995 156.119995 155.229996 155.899994 92550900 147.728614
2013-03-14 156.309998 156.800003 155.910004 156.729996 126329900 148.515112
2013-03-15 155.850006 156.039993 155.309998 155.830002 138601100 148.31905
2013-03-18 154.339996 155.639999 154.199997 154.970001 126704300 147.500501
2013-03-19 155.300003 155.509995 153.589996 154.610001 167567300 147.157852
2013-03-20 155.520004 155.949997 155.259995 155.690002 113759300 148.185798
2013-03-21 154.759995 155.639999 154.100006 154.360001 128605000 146.919902
2013-03-22 154.850006 155.600006 154.729996 155.600006 111163600 148.10014
2013-03-25 156.009995 156.270004 154.350006 154.949997 151322300 147.481461
2013-03-26 155.589996 156.229996 155.419998 156.190002 86856600 148.661698
2013-03-27 155.259995 156.240005 155 156.190002 99950600 148.661698
2013-03-28 156.089996 156.850006 155.75 156.669998 102932800 149.118559
