"Index" "STI.Open" "STI.High" "STI.Low" "STI.Close" "STI.Volume" "STI.Adjusted"
2013-01-02 29.08 29.26 28.85 29.26 7992800 27.957765
2013-01-03 28.66 28.700001 27.98 28.629999 9399200 27.355802
2013-01-04 29.17 29.450001 28.84 29.42 5808400 28.110644
2013-01-07 29.25 29.33 28.74 28.969999 3372200 27.68067
2013-01-08 28.91 29 28.459999 28.98 7371800 27.690226
2013-01-09 29.030001 29.219999 28.59 28.709999 5371800 27.432242
2013-01-10 28.950001 29.09 28.34 28.6 9118900 27.327139
2013-01-11 28.540001 28.57 27.92 28.309999 7472800 27.050044
2013-01-14 28.309999 28.379999 27.969999 28.09 4847500 26.839836
2013-01-15 28.049999 28.950001 27.93 28.889999 5913000 27.604231
2013-01-16 28.889999 29.370001 28.700001 29.23 4607600 27.929099
2013-01-17 29.440001 29.690001 29.209999 29.57 6591300 28.253967
2013-01-18 29.469999 29.98 28.73 29.139999 8287700 27.843105
2013-01-22 29.02 29.23 28.83 29.139999 6656600 27.843105
2013-01-23 29.07 29.200001 28.76 29.1 3539100 27.804886
2013-01-24 29.040001 29.6 29.02 29.4 7339200 28.091533
2013-01-25 29.530001 29.549999 29.1 29.35 5849700 28.043759
2013-01-28 29.41 29.469999 29.120001 29.27 4088500 27.96732
2013-01-29 29.24 29.370001 28.860001 28.889999 5237100 27.604231
2013-01-30 28.690001 28.889999 28.41 28.530001 7470600 27.260254
2013-01-31 28.51 28.51 28.040001 28.370001 8518500 27.107375
2013-02-01 28.66 29.15 28.559999 29.1 5276800 27.804886
2013-02-04 28.860001 28.889999 28.629999 28.690001 4854900 27.413133
2013-02-05 28.889999 29.040001 28.73 28.76 4963900 27.480018
2013-02-06 28.620001 28.84 28.5 28.74 6460800 27.460907
2013-02-07 28.76 28.969999 28.459999 28.83 4725000 27.546902
2013-02-08 28.870001 29.299999 28.799999 29.25 3136200 27.94821
2013-02-11 29.15 29.5 29.15 29.35 4077300 28.043759
2013-02-12 29.370001 29.549999 29.34 29.42 4051300 28.110644
2013-02-13 29.459999 29.540001 28.870001 28.940001 4853000 27.652007
2013-02-14 28.76 28.91 28.719999 28.790001 3558800 27.508683
2013-02-15 28.639999 28.709999 27.98 28.120001 7362800 26.868502
2013-02-19 27.799999 27.870001 27.52 27.690001 8983800 26.457639
2013-02-20 27.690001 27.889999 27.530001 27.58 7403600 26.352534
2013-02-21 27.549999 27.889999 27.299999 27.459999 5212900 26.237874
2013-02-22 27.67 27.93 27.65 27.9 3903300 26.658292
2013-02-25 28.049999 28.17 27.110001 27.120001 5636900 25.913007
2013-02-26 27.4 27.49 26.93 27.41 5085700 26.1901
2013-02-27 27.35 27.83 27.309999 27.719999 5292300 26.534707
2013-02-28 27.75 27.93 27.440001 27.59 4161300 26.410266
2013-03-01 27.379999 27.85 26.959999 27.549999 6901300 26.371976
2013-03-04 27.559999 28.040001 27.51 28.02 4957900 26.82188
2013-03-05 28.17 28.309999 27.879999 28 4825700 26.802735
2013-03-06 28.16 28.440001 28.08 28.17 3717400 26.965466
2013-03-07 28.25 28.84 28.209999 28.559999 5182800 27.338789
2013-03-08 29.549999 29.67 29.030001 29.35 9327800 28.09501
2013-03-11 29.43 29.91 29.35 29.73 5576300 28.45876
2013-03-12 29.75 29.85 29.4 29.459999 3794900 28.200305
2013-03-13 29.48 29.690001 29.32 29.629999 3737400 28.363036
2013-03-14 29.700001 29.9 29.290001 29.620001 5176500 28.353465
2013-03-15 29.35 29.41 28.91 29.059999 7888100 27.817409
2013-03-18 28.700001 29.07 28.620001 28.809999 5372500 27.578099
2013-03-19 28.860001 29 28.469999 28.559999 4895100 27.338789
2013-03-20 28.809999 28.85 28.59 28.639999 3310700 27.415368
2013-03-21 28.42 28.58 28.200001 28.290001 3010100 27.080335
2013-03-22 28.34 28.41 28.049999 28.23 3840800 27.022899
2013-03-25 28.34 28.6 28.219999 28.51 4778200 27.290927
2013-03-26 28.6 28.77 28.370001 28.74 3507200 27.511092
2013-03-27 28.51 28.6 28.33 28.540001 3203600 27.319645
2013-03-28 28.559999 28.82 28.24 28.809999 5036100 27.578099
2013-04-01 28.809999 28.879999 28.17 28.280001 3576400 27.070763
2013-04-02 27.99 28.27 27.639999 27.809999 8853500 26.620858
2013-04-03 27.77 27.82 26.969999 27.360001 9257300 26.190101
2013-04-04 27.280001 27.75 27.17 27.41 5493900 26.237963
2013-04-05 27 28.09 27 28.040001 7110500 26.841025
2013-04-08 28.129999 28.780001 27.82 28.639999 5996800 27.415368
2013-04-09 28.719999 29.02 28.639999 28.91 4160600 27.673823
2013-04-10 28.940001 29.24 28.9 29.139999 4198600 27.893988
2013-04-11 29.09 29.209999 28.58 28.98 5503300 27.74083
2013-04-12 28.58 28.84 28.48 28.790001 3837000 27.558956
2013-04-15 28.629999 28.75 27.870001 27.870001 3684600 26.678294
2013-04-16 28.120001 28.120001 27.68 27.98 5679300 26.783589
2013-04-17 27.74 27.91 27.35 27.610001 5109600 26.429411
2013-04-18 27.75 27.75 27.18 27.32 5608300 26.151811
2013-04-19 27.93 28.780001 27.620001 28.309999 10357000 27.099479
2013-04-22 28.290001 28.290001 27.77 27.969999 4336800 26.774017
2013-04-23 28.139999 28.370001 27.940001 28.299999 4395000 27.089906
2013-04-24 28.299999 29 28.290001 28.969999 5469200 27.731257
2013-04-25 29.049999 29.52 29 29.27 4599500 28.018431
2013-04-26 29.23 29.35 28.93 29.049999 3950300 27.807836
2013-04-29 29.5 29.690001 29.290001 29.33 5601800 28.075864
2013-04-30 29.34 29.379999 29.01 29.25 3654100 27.999285
2013-05-01 29.209999 29.24 28.860001 28.940001 2951700 27.702541
2013-05-02 28.959999 29.24 28.85 29.15 1773200 27.903561
2013-05-03 29.459999 29.67 29.24 29.370001 2583200 28.114155
2013-05-06 29.389999 29.889999 29.33 29.82 2614100 28.544912
2013-05-07 29.9 30.379999 29.860001 30.290001 3556200 28.994816
2013-05-08 30.27 31.040001 30.07 30.85 6080600 29.53087
2013-05-09 30.879999 31.02 30.52 30.549999 5366700 29.243697
2013-05-10 30.58 30.66 30.15 30.459999 4157800 29.157545
2013-05-13 30.41 30.780001 30.33 30.540001 4139500 29.234126
2013-05-14 30.530001 30.92 30.459999 30.860001 3100000 29.540443
2013-05-15 30.82 31.299999 30.65 31.209999 2684300 29.875476
2013-05-16 31.09 31.530001 31.07 31.27 3645100 29.932912
2013-05-17 31.450001 31.91 31.370001 31.879999 4292300 30.516827
2013-05-20 31.780001 32.48 31.77 32.299999 4150900 30.918868
2013-05-21 32.25 32.380001 32.029999 32.150002 3337900 30.775284
2013-05-22 32.009998 32.700001 31.59 31.879999 7967900 30.516827
2013-05-23 31.6 31.9 31.41 31.75 7720300 30.392387
2013-05-24 31.610001 32.009998 31.25 31.940001 3355200 30.574263
2013-05-28 32.400002 32.720001 32.150002 32.34 6126500 30.957159
2013-05-29 32.040001 32.349998 31.91 32 5603600 30.726707
2013-05-30 32.099998 32.84 31.940001 32.599998 4745400 31.302832
2013-05-31 32.52 32.610001 32.09 32.09 4232100 30.813126
2013-06-03 32.139999 32.349998 31.540001 32.240002 4807000 30.957159
2013-06-04 32.25 32.669998 31.93 32.02 3896100 30.745912
2013-06-05 31.940001 32.169998 31.5 31.549999 6889700 30.294612
2013-06-06 31.5 31.9 31.35 31.879999 3635900 30.611481
2013-06-07 32.009998 32.299999 31.799999 32.25 3264600 30.96676
2013-06-10 32.380001 32.580002 32.119999 32.439999 3790700 31.149198
2013-06-11 32.040001 32.220001 31.610001 31.700001 4326400 30.438645
2013-06-12 31.940001 32 31.32 31.33 4081300 30.083367
2013-06-13 31.360001 32.02 31.280001 31.950001 3749800 30.678698
2013-06-14 31.58 31.77 30.870001 31.09 3981500 29.852917
2013-06-17 31.280001 31.5 31.110001 31.35 3310100 30.102572
2013-06-18 31.389999 31.889999 31.299999 31.75 2635900 30.486655
2013-06-19 31.67 31.74 31.219999 31.25 3957400 30.00655
2013-06-20 30.950001 31.48 30.75 30.940001 7121800 29.708886
2013-06-21 31.16 31.450001 30.959999 31.23 6095900 29.987346
2013-06-24 30.879999 30.879999 30.17 30.42 6624700 29.209576
2013-06-25 30.790001 31.34 30.610001 31.219999 3437700 29.977743
2013-06-26 31.57 31.76 31.25 31.360001 5013800 30.112174
2013-06-27 31.57 31.860001 31.379999 31.700001 4214800 30.438645
2013-06-28 31.629999 31.74 31.25 31.57 3356000 30.313817
2013-07-01 31.790001 32.220001 31.629999 31.99 2894000 30.717105
2013-07-02 31.91 32.709999 31.879999 32.509998 5382600 31.216413
2013-07-03 32.18 33 32.009998 32.919998 4400300 31.610099
2013-07-05 33.23 34.360001 33.09 34.310001 6691800 32.944793
2013-07-08 34.5 34.59 33.93 34.060001 3917300 32.704741
2013-07-09 33.970001 34.639999 33.75 34.330002 6497400 32.963998
2013-07-10 34.360001 34.400002 33.740002 33.93 4266600 32.579912
2013-07-11 34.389999 34.450001 33.27 33.34 4665900 32.013388
2013-07-12 33.400002 33.970001 33.400002 33.970001 2955600 32.618322
