"Index" "STR.Open" "STR.High" "STR.Low" "STR.Close" "STR.Volume" "STR.Adjusted"
2013-01-02 20 20.25 19.99 20.209999 1257100 18.473924
2013-01-03 20.209999 20.58 20.17 20.49 1597400 18.729872
2013-01-04 20.57 21.030001 20.52 20.969999 1926400 19.168639
2013-01-07 20.98 20.98 20.620001 20.74 1379200 18.958397
2013-01-08 20.690001 20.73 20.559999 20.58 920000 18.812141
2013-01-09 20.610001 20.959999 20.51 20.879999 1566500 19.08637
2013-01-10 20.91 21.1 20.9 20.98 1569600 19.17778
2013-01-11 21.110001 21.34 20.99 21.309999 1985700 19.479432
2013-01-14 21.27 21.67 21.24 21.48 1612800 19.634829
2013-01-15 21.459999 21.549999 21.25 21.530001 1044200 19.680535
2013-01-16 21.469999 21.530001 21.33 21.530001 986400 19.680535
2013-01-17 21.59 21.84 21.5 21.75 913500 19.881636
2013-01-18 21.73 21.91 21.639999 21.879999 1794100 20.000468
2013-01-22 21.93 22.379999 21.93 22.370001 1076500 20.448378
2013-01-23 22.440001 22.860001 22.440001 22.799999 2624800 20.841438
2013-01-24 22.85 22.93 22.690001 22.799999 1528900 20.841438
2013-01-25 22.9 22.98 22.83 22.959999 885200 20.987694
2013-01-28 22.91 23.120001 22.77 23.040001 1100700 21.060823
2013-01-29 23.07 23.27 22.93 23.27 1179800 21.271066
2013-01-30 23.309999 23.440001 23.209999 23.440001 1593400 21.426462
2013-01-31 23.34 23.67 23.200001 23.23 2997200 21.234501
2013-02-01 23.32 23.66 23.27 23.4 2865600 21.389898
2013-02-04 23.34 23.440001 23.120001 23.219999 1692600 21.22536
2013-02-05 23.27 23.41 23.110001 23.26 1693200 21.261924
2013-02-06 23.190001 23.290001 22.84 23.15 2693200 21.161373
2013-02-07 23.440001 23.67 23.219999 23.52 2514300 21.49959
2013-02-08 23.52 23.65 23.389999 23.549999 1193300 21.527012
2013-02-11 23.76 24.049999 23.690001 23.92 1820900 21.865229
2013-02-12 23.51 23.75 23.18 23.620001 2390200 21.591
2013-02-13 23.559999 23.809999 23.549999 23.690001 1045300 21.654987
2013-02-14 23.690001 23.799999 23.58 23.73 1553800 21.69155
2013-02-15 23.690001 23.74 23.459999 23.549999 895700 21.527012
2013-02-19 23.57 23.870001 23.57 23.700001 1437200 21.664128
2013-02-20 23.469999 23.57 23.190001 23.25 1264000 21.406331
2013-02-21 23.059999 23.370001 23 23.09 1403100 21.259019
2013-02-22 23.200001 23.440001 23.01 23.440001 1514900 21.581265
2013-02-25 23.469999 23.549999 23.07 23.09 857000 21.259019
2013-02-26 23.129999 23.32 23.02 23.17 964800 21.332675
2013-02-27 23.139999 23.610001 23.09 23.48 923500 21.618092
2013-02-28 23.43 23.66 23.34 23.51 875400 21.645714
2013-03-01 23.41 23.530001 23.139999 23.52 1579400 21.654921
2013-03-04 23.450001 23.48 23.25 23.26 1864000 21.415538
2013-03-05 23.389999 23.76 23.370001 23.75 2473500 21.866682
2013-03-06 23.77 23.84 23.65 23.82 1224500 21.931131
2013-03-07 23.790001 23.84 23.450001 23.549999 1118900 21.682541
2013-03-08 23.610001 23.68 23.41 23.66 712200 21.783819
