"Index" "STZ.Open" "STZ.High" "STZ.Low" "STZ.Close" "STZ.Volume" "STZ.Adjusted"
2013-01-02 35.950001 37.57 35.799999 37.560001 2481500 37.279184
2013-01-03 37.439999 37.48 36.540001 36.689999 2584200 36.415686
2013-01-04 36.68 36.900002 36.599998 36.75 1182900 36.475238
2013-01-07 36.52 36.77 36.369999 36.41 1889400 36.13778
2013-01-08 36.389999 36.470001 34.849998 36.060001 4419500 35.790398
2013-01-09 37.25 37.509998 35.139999 35.82 4685300 35.552191
2013-01-10 36.330002 36.349998 35.509998 35.68 3261500 35.413238
2013-01-11 35.740002 35.990002 35.41 35.630001 2838100 35.363613
2013-01-14 35.310001 35.880001 34.459999 35.330002 5360700 35.065857
2013-01-15 34.950001 36.580002 34.540001 36.41 3536500 36.13778
2013-01-16 37.200001 38.900002 37 38.650002 6862700 38.361034
2013-01-17 38.389999 38.990002 38.209999 38.549999 3023100 38.26178
2013-01-18 38.580002 38.790001 37.990002 38.740002 1849000 38.450362
2013-01-22 38.59 38.669998 37.709999 38.099998 3081500 37.815144
2013-01-23 37.950001 38.400002 37.779999 37.889999 2005800 37.606714
2013-01-24 37.959999 38.209999 37.630001 37.77 1734700 37.487613
2013-01-25 37.98 38.75 37.720001 38.5 2419000 38.212154
2013-01-28 38.490002 38.849998 38.259998 38.66 1443600 38.370958
2013-01-29 38.75 39.650002 38.619999 39.419998 2835300 39.125274
2013-01-30 39.299999 39.580002 39.07 39.169998 2702700 38.877143
2013-01-31 39.16 39.25 28.370001 32.360001 38179200 32.118061
2013-02-01 32.98 33.709999 31.82 32.68 12075900 32.435668
2013-02-04 32.169998 32.32 31.450001 31.549999 6566500 31.314115
2013-02-05 31.17 31.43 30.41 30.91 10272600 30.678901
2013-02-06 30.809999 31.549999 30.68 31.370001 5717100 31.135463
2013-02-07 31.43 31.83 31.08 31.59 5234600 31.353817
2013-02-08 31.620001 32.419998 31.610001 31.85 4908500 31.611874
2013-02-11 31.639999 31.700001 31.049999 31.32 2966100 31.085835
2013-02-12 31.299999 31.709999 31.139999 31.49 3068000 31.254565
2013-02-13 31.65 32.16 31.389999 31.879999 2996100 31.641648
2013-02-14 40.799999 44.18 40.049999 43.75 50293100 43.422903
2013-02-15 43.200001 44.200001 43.009998 43.389999 10441900 43.065594
2013-02-19 43.299999 43.709999 42.860001 43.279999 5268700 42.956415
2013-02-20 43.18 43.189999 41.130001 41.799999 7536300 41.487481
2013-02-21 43.169998 43.43 42.040001 42.959999 10012600 42.638808
2013-02-22 43.07 43.970001 42.91 43.959999 3032200 43.631332
2013-02-25 44.130001 44.990002 43.259998 43.970001 5603100 43.641259
2013-02-26 44.060001 44.849998 43.889999 44.709999 2286600 44.375724
2013-02-27 44.549999 44.919998 44.400002 44.650002 2723700 44.316175
2013-02-28 44.490002 44.740002 43.889999 44.240002 2554000 43.909241
2013-03-01 44.139999 44.330002 43.610001 43.84 2625100 43.51223
2013-03-04 43.619999 44.540001 43.599998 44.450001 1725400 44.11767
2013-03-05 45.009998 45.009998 44.009998 44.139999 2569900 43.809986
2013-03-06 44.240002 44.240002 43.07 43.25 2900800 42.926641
2013-03-07 43.25 44.099998 43.240002 44.049999 2574300 43.720659
2013-03-08 44.18 44.900002 42.419998 43.990002 4453600 43.66111
2013-03-11 43.630001 43.919998 43.380001 43.470001 2269900 43.144997
2013-03-12 43.41 43.630001 42.93 43.279999 2402700 42.956415
2013-03-13 43.32 44.009998 43.32 43.889999 1542600 43.561855
2013-03-14 43.950001 44.84 43.830002 44.709999 2231700 44.375724
2013-03-15 44.549999 45.919998 44.400002 45.75 4674700 45.40795
2013-03-18 46.700001 47.290001 46.439999 47.099998 4071400 46.747855
2013-03-19 47.119999 47.349998 46.549999 47.200001 2670900 46.84711
2013-03-20 47.43 47.82 46.82 46.869999 1879300 46.519575
2013-03-21 46.580002 47.27 46.259998 46.259998 1669200 45.914135
2013-03-22 46.209999 47.09 46.150002 46.59 1380700 46.24167
2013-03-25 46.740002 46.880001 46.119999 46.790001 1400300 46.440175
2013-03-26 47.009998 47.580002 46.849998 47.540001 1244800 47.184568
2013-03-27 47.169998 47.48 46.880001 47.41 809400 47.055539
2013-03-28 47.540001 47.669998 47.119999 47.639999 1491500 47.283819
2013-04-01 47.66 47.68 46.939999 47.299999 1017200 46.94636
2013-04-02 47.48 49.220001 47.330002 48.790001 2826200 48.425222
2013-04-03 48.91 48.91 48.09 48.349998 3605900 47.988509
2013-04-04 48.209999 48.880001 47.779999 48.25 2969500 47.889258
2013-04-05 47.549999 48.049999 47.509998 47.84 2980700 47.482324
2013-04-08 49.060001 49.23 48.200001 48.57 3566900 48.206866
2013-04-09 48.59 48.880001 48.25 48.630001 2619700 48.266418
2013-04-10 48.5 49.150002 48.200001 48.77 4581900 48.405371
2013-04-11 48.029999 49.540001 48.029999 49.419998 3179500 49.050509
2013-04-12 48.990002 49.540001 48.77 49.189999 2183600 48.822229
2013-04-15 48.82 49.049999 47.98 48.18 2857100 47.819782
2013-04-16 48.57 48.91 47.709999 48.110001 3015200 47.750306
2013-04-17 47.830002 47.959999 46.830002 47.400002 2972800 47.045615
2013-04-18 47.48 47.560001 46.869999 47.34 1597200 46.986062
2013-04-19 47.389999 48.610001 47.360001 48.52 6404600 48.15724
2013-04-22 48.34 48.59 47.639999 47.790001 2166300 47.432699
2013-04-23 48.209999 48.900002 48.040001 48.889999 3918500 48.524473
2013-04-24 48.669998 48.860001 47.779999 48.040001 2000500 47.680829
2013-04-25 48.32 48.529999 48.029999 48.470001 1851700 48.107615
2013-04-26 48.259998 48.32 47.669998 47.790001 1221000 47.432699
2013-04-29 47.66 47.990002 47.41 47.75 1158400 47.392997
