"Index" "SU.Open" "SU.High" "SU.Low" "SU.Close" "SU.Volume" "SU.Adjusted"
2013-01-02 33.650002 33.900002 33.630001 33.900002 4676500 31.583754
2013-01-03 33.790001 33.970001 33.599998 33.740002 5251200 31.434686
2013-01-04 33.740002 34.09 33.740002 33.970001 3146600 31.648971
2013-01-07 33.889999 33.889999 33.529999 33.650002 3396700 31.350836
2013-01-08 33.599998 33.700001 33.400002 33.549999 2172000 31.257666
2013-01-09 33.619999 33.77 33.490002 33.75 4054900 31.444002
2013-01-10 33.950001 34.290001 33.91 34.139999 3153600 31.807354
2013-01-11 34.150002 34.25 33.779999 34.02 2384500 31.695554
2013-01-14 34.02 34.369999 33.950001 34.349998 2557700 32.003005
2013-01-15 34.119999 34.540001 34.080002 34.450001 2582100 32.096174
2013-01-16 34.200001 34.330002 34.07 34.310001 2354000 31.96574
2013-01-17 34.439999 34.549999 34.330002 34.459999 2325600 32.105489
2013-01-18 34.18 34.330002 33.919998 34 3352400 31.67692
2013-01-22 34.02 34.450001 33.860001 34.389999 2971300 32.040273
2013-01-23 34.25 34.360001 33.990002 34.040001 2821200 31.714188
2013-01-24 33.98 34.139999 33.889999 34.02 2474300 31.695554
2013-01-25 33.950001 34.220001 33.810001 34.139999 2469700 31.807354
2013-01-28 34.25 34.330002 33.900002 34.279999 2423500 31.937788
2013-01-29 34.240002 34.52 34.209999 34.400002 3039700 32.049591
2013-01-30 34.470001 34.650002 34.220001 34.27 2958400 31.928473
2013-01-31 34.150002 34.34 33.990002 34.02 3649500 31.695554
2013-02-01 33.950001 34.560001 33.919998 34.529999 4942400 32.170706
2013-02-04 34.310001 34.400002 34.080002 34.209999 3070900 31.872571
2013-02-05 34.279999 34.630001 34.25 34.529999 3314200 32.170706
2013-02-06 33.119999 33.439999 32.32 32.73 15441700 30.493694
2013-02-07 32.639999 32.84 31.83 32.299999 8744300 30.093073
2013-02-08 32.34 32.529999 32.080002 32.189999 3539900 29.990589
2013-02-11 32.040001 32.439999 31.83 32.32 4703800 30.111707
2013-02-12 32.209999 32.66 32.110001 32.529999 4037300 30.307358
2013-02-13 32.59 32.68 32.299999 32.66 4142700 30.428477
2013-02-14 32.740002 32.740002 32.060001 32.16 4378100 29.96264
2013-02-15 31.93 31.93 31.25 31.59 4482500 29.431586
2013-02-19 31.6 31.93 31.469999 31.780001 3524800 29.608604
2013-02-20 31.629999 31.790001 31.290001 31.379999 4339600 29.235933
2013-02-21 31.209999 31.23 30.66 30.92 3331500 28.807364
2013-02-22 30.93 31.32 30.790001 31.27 3861900 29.13345
2013-02-25 31.639999 31.75 30.51 30.559999 6485400 28.471961
2013-02-26 30.610001 30.610001 29.84 30.129999 5341300 28.071341
2013-02-27 30.01 30.629999 29.879999 30.33 3860200 28.257676
2013-02-28 30.200001 30.43 30.049999 30.25 2965000 28.305397
2013-03-01 30.09 30.35 29.950001 30.09 5646400 28.155683
2013-03-04 30.110001 30.280001 29.790001 29.83 5124400 27.912397
2013-03-05 30.110001 30.4 29.969999 30.02 3979500 28.090183
2013-03-06 30.190001 30.440001 30.120001 30.32 2866100 28.370897
2013-03-07 30.5 30.9 30.5 30.6 3828500 28.632898
2013-03-08 30.76 30.969999 30.34 30.559999 3848400 28.595469
2013-03-11 30.549999 30.85 30.370001 30.76 2153500 28.782613
2013-03-12 30.809999 31.15 30.66 30.82 3433100 28.838755
2013-03-13 30.790001 30.85 30.32 30.35 4521300 28.398969
2013-03-14 30.4 30.959999 30.33 30.83 4299200 28.848112
2013-03-15 30.879999 31.35 30.82 31.1 4009100 29.100756
2013-03-18 30.700001 30.719999 30.299999 30.379999 4168500 28.42704
2013-03-19 30.35 30.4 30 30.200001 3060300 28.258612
2013-03-20 30.42 30.51 30.17 30.26 2234300 28.314755
2013-03-21 30.27 30.559999 30.190001 30.190001 3145600 28.249255
2013-03-22 30.299999 30.48 30.15 30.280001 2498300 28.333469
2013-03-25 30.43 30.59 29.99 30.1 2789000 28.16504
2013-03-26 30.309999 30.42 30.120001 30.200001 3249900 28.258612
2013-03-27 30.129999 30.129999 29.809999 29.889999 4467700 27.968539
2013-03-28 29.77 30.24 29.75 30.01 4220900 28.080826
2013-04-01 30.030001 30.360001 29.91 30.32 3278600 28.370897
2013-04-02 30.360001 30.77 30.34 30.75 3501300 28.773255
2013-04-03 30.709999 30.780001 29.66 29.73 5516000 27.818825
2013-04-04 29.5 29.530001 28.790001 28.91 6347700 27.051538
2013-04-05 28.51 28.860001 28.18 28.780001 5343400 26.929896
2013-04-08 28.719999 28.790001 28.24 28.440001 5986300 26.611753
2013-04-09 28.6 29.440001 28.559999 29.360001 4038500 27.472611
2013-04-10 29.42 29.75 29.33 29.68 3142400 27.77204
2013-04-11 29.790001 29.84 29.35 29.360001 2721500 27.472611
2013-04-12 28.969999 29.030001 28.32 28.43 4091700 26.602395
2013-04-15 28.049999 28.049999 26.83 26.84 9600900 25.114607
2013-04-16 27.299999 27.879999 26.91 27.83 5513700 26.040966
2013-04-17 27.389999 27.530001 26.9 27.26 5931500 25.507608
2013-04-18 27.51 27.82 27.040001 27.610001 4409700 25.835109
2013-04-19 27.559999 27.67 27.08 27.4 3035200 25.638608
2013-04-22 27.5 27.91 27.290001 27.9 4633700 26.106465
2013-04-23 27.950001 28.18 27.73 28.129999 5490000 26.321679
2013-04-24 28.17 28.860001 28.15 28.84 4639100 26.986039
2013-04-25 29.030001 29.17 28.700001 28.969999 5456900 27.107681
2013-04-26 28.889999 29.030001 28.6 28.799999 4764700 26.948609
2013-04-29 29.18 29.42 28.889999 29.27 6399200 27.388397
2013-04-30 30.4 31.200001 29.950001 31.15 11708000 29.147541
2013-05-01 30.91 30.93 30.290001 30.370001 9853500 28.417684
2013-05-02 30.48 30.65 30.129999 30.559999 7484100 28.595469
