"Index" "TC.Open" "TC.High" "TC.Low" "TC.Close" "TC.Volume" "TC.Adjusted"
2013-01-02 4.39 4.43 4.25 4.32 2882400 4.32
2013-01-03 4.37 4.39 4.07 4.13 3324500 4.13
2013-01-04 4.15 4.36 4.1 4.33 2930300 4.33
2013-01-07 4.35 4.55 4.33 4.47 4404000 4.47
2013-01-08 4.48 4.5 4.34 4.35 3279900 4.35
2013-01-09 4.45 4.45 4.16 4.25 3368400 4.25
2013-01-10 4.28 4.28 4.15 4.22 2269300 4.22
2013-01-11 4.23 4.23 4.13 4.2 1350000 4.2
2013-01-14 4.16 4.23 4.14 4.16 1518000 4.16
2013-01-15 4.15 4.18 4.02 4.13 2424600 4.13
2013-01-16 4.06 4.1 4.05 4.06 991800 4.06
2013-01-17 4.11 4.19 4.05 4.18 1749300 4.18
2013-01-18 4.18 4.19 4.15 4.17 1283100 4.17
2013-01-22 4.22 4.42 4.13 4.38 3506600 4.38
2013-01-23 4.39 4.5 4.34 4.43 3021000 4.43
2013-01-24 4.44 4.48 4.16 4.25 2711300 4.25
2013-01-25 4.27 4.28 4.12 4.18 1413100 4.18
2013-01-28 4.19 4.2 4.05 4.07 1590600 4.07
2013-01-29 4.09 4.17 4.06 4.12 1221500 4.12
2013-01-30 4.11 4.18 3.95 4.01 2047900 4.01
2013-01-31 3.97 4.07 3.91 4.07 1923700 4.07
2013-02-01 4.11 4.14 4 4.07 1408400 4.07
2013-02-04 4.06 4.11 3.99 4 998800 4
2013-02-05 4.02 4.08 4 4.01 993200 4.01
2013-02-06 4.02 4.1 4.02 4.04 872700 4.04
2013-02-07 4.05 4.09 4.01 4.05 817400 4.05
2013-02-08 4.06 4.07 3.99 4 1049100 4
2013-02-11 3.99 4.06 3.92 4.02 1355900 4.02
2013-02-12 4.04 4.07 3.98 4 1279600 4
2013-02-13 4 4.02 3.96 3.99 948200 3.99
2013-02-14 3.98 4 3.96 3.98 397900 3.98
2013-02-15 3.98 3.99 3.85 3.98 1745500 3.98
2013-02-19 3.96 4 3.85 3.89 1024800 3.89
2013-02-20 3.88 3.89 3.58 3.67 3863100 3.67
2013-02-21 3.65 3.74 3.51 3.51 2711400 3.51
2013-02-22 3.57 3.61 3.47 3.56 1878500 3.56
2013-02-25 3.42 3.47 3.3 3.34 2628500 3.34
2013-02-26 3.2 3.41 3.15 3.3 3622800 3.3
2013-02-27 3.28 3.6 3.28 3.57 2337200 3.57
2013-02-28 3.55 3.6 3.38 3.4 1752300 3.4
2013-03-01 3.4 3.42 3.25 3.29 1476700 3.29
2013-03-04 3.25 3.28 3.13 3.21 3300300 3.21
2013-03-05 3.26 3.29 3.18 3.19 3011600 3.19
2013-03-06 3.24 3.33 3.15 3.31 2580000 3.31
2013-03-07 3.28 3.52 3.28 3.48 1916200 3.48
2013-03-08 3.52 3.59 3.37 3.39 1682900 3.39
2013-03-11 3.35 3.35 3.25 3.29 947900 3.29
2013-03-12 3.29 3.39 3.29 3.32 1167000 3.32
2013-03-13 3.33 3.34 3.18 3.27 1363100 3.27
2013-03-14 3.27 3.3 3.22 3.25 726100 3.25
2013-03-15 3.25 3.31 3.19 3.28 2044600 3.28
2013-03-18 3.31 3.38 3.29 3.32 916000 3.32
2013-03-19 3.34 3.34 3.23 3.28 986900 3.28
2013-03-20 3.33 3.34 3.24 3.26 843100 3.26
2013-03-21 3.26 3.26 3.21 3.22 605700 3.22
2013-03-22 3.26 3.26 3.16 3.17 969500 3.17
2013-03-25 3.21 3.21 3.02 3.06 1724700 3.06
2013-03-26 3.04 3.09 2.96 3.03 1493500 3.03
2013-03-27 2.99 3.09 2.95 3.01 1020900 3.01
2013-03-28 3.02 3.05 2.98 3 708000 3
2013-04-01 2.99 3.02 2.82 2.96 1974000 2.96
2013-04-02 2.97 2.99 2.83 2.9 1469500 2.9
2013-04-03 2.86 2.9 2.82 2.86 2978800 2.86
2013-04-04 2.83 2.9 2.81 2.85 1592600 2.85
2013-04-05 2.81 2.86 2.79 2.86 870900 2.86
2013-04-08 2.85 2.86 2.73 2.76 1770100 2.76
2013-04-09 2.78 2.91 2.75 2.89 1789500 2.89
2013-04-10 2.94 2.97 2.85 2.89 1046300 2.89
2013-04-11 2.9 2.91 2.85 2.86 825500 2.86
2013-04-12 2.85 2.86 2.76 2.83 867200 2.83
2013-04-15 2.75 2.77 2.61 2.64 2284000 2.64
2013-04-16 2.69 2.71 2.63 2.66 1701700 2.66
2013-04-17 2.66 2.68 2.48 2.5 2151600 2.5
2013-04-18 2.49 2.6 2.43 2.46 2808400 2.46
2013-04-19 2.48 2.53 2.42 2.47 1776400 2.47
2013-04-22 2.51 2.55 2.42 2.46 899300 2.46
2013-04-23 2.46 2.57 2.43 2.45 2054000 2.45
2013-04-24 2.49 2.55 2.49 2.54 1601300 2.54
2013-04-25 2.58 2.95 2.58 2.86 3351100 2.86
2013-04-26 2.87 2.92 2.75 2.8 1358300 2.8
2013-04-29 2.85 3.02 2.82 2.98 1669900 2.98
2013-04-30 2.98 3.01 2.91 2.99 1315200 2.99
2013-05-01 2.95 2.99 2.87 2.91 1275100 2.91
2013-05-02 2.96 2.98 2.81 2.89 1131200 2.89
2013-05-03 2.94 3.15 2.92 3.04 1583100 3.04
2013-05-06 3.04 3.23 3.04 3.15 1945900 3.15
2013-05-07 3.18 3.19 2.99 3.1 1701100 3.1
2013-05-08 3.13 3.25 3.1 3.23 1997600 3.23
2013-05-09 3.49 3.87 3.43 3.81 8326300 3.81
2013-05-10 3.76 3.94 3.65 3.76 3599300 3.76
2013-05-13 3.76 3.79 3.48 3.63 2807600 3.63
2013-05-14 3.59 3.6 3.38 3.41 2212200 3.41
2013-05-15 3.36 3.38 3.27 3.3 1794200 3.3
2013-05-16 3.29 3.54 3.25 3.38 1435300 3.38
2013-05-17 3.4 3.45 3.33 3.42 1264900 3.42
2013-05-20 3.44 3.71 3.43 3.66 1793800 3.66
2013-05-21 3.68 3.73 3.53 3.54 2097300 3.54
2013-05-22 3.6 3.68 3.38 3.44 2579500 3.44
2013-05-23 3.37 3.61 3.31 3.56 1492100 3.56
2013-05-24 3.5 3.59 3.47 3.53 778800 3.53
2013-05-28 3.64 3.8 3.6 3.67 3380700 3.67
2013-05-29 3.64 3.67 3.5 3.56 1196700 3.56
2013-05-30 3.57 3.68 3.56 3.64 1089300 3.64
2013-05-31 3.62 3.65 3.47 3.52 1340600 3.52
2013-06-03 3.52 3.59 3.45 3.54 979000 3.54
2013-06-04 3.52 3.57 3.47 3.53 1158400 3.53
2013-06-05 3.5 3.56 3.49 3.52 1176600 3.52
2013-06-06 3.52 3.66 3.51 3.61 2115000 3.61
2013-06-07 3.62 3.66 3.47 3.53 1081400 3.53
2013-06-10 3.52 3.53 3.43 3.46 1048100 3.46
2013-06-11 3.43 3.43 3.35 3.37 797300 3.37
2013-06-12 3.4 3.46 3.25 3.3 1258500 3.3
2013-06-13 3.29 3.42 3.28 3.42 822600 3.42
2013-06-14 3.44 3.49 3.41 3.44 721300 3.44
2013-06-17 3.51 3.52 3.16 3.23 2000800 3.23
2013-06-18 3.25 3.25 3.08 3.1 1923500 3.1
2013-06-19 3.1 3.26 3.08 3.19 1686400 3.19
2013-06-20 3 3.14 3 3.02 2585900 3.02
2013-06-21 3.04 3.08 2.88 2.96 2161500 2.96
2013-06-24 2.91 2.91 2.74 2.84 2485600 2.84
2013-06-25 2.87 2.95 2.83 2.84 999400 2.84
2013-06-26 2.87 2.9 2.72 2.77 1379800 2.77
2013-06-27 2.81 2.97 2.77 2.93 957900 2.93
2013-06-28 2.96 3.06 2.89 3.03 4920200 3.03
2013-07-01 3.09 3.12 3.03 3.08 639900 3.08
2013-07-02 3.08 3.1 2.9 2.99 897900 2.99
2013-07-03 2.99 3 2.87 2.93 595500 2.93
2013-07-05 2.88 2.99 2.84 2.94 1247400 2.94
2013-07-08 2.95 2.97 2.85 2.88 1115900 2.88
2013-07-09 2.91 2.95 2.83 2.84 1671800 2.84
2013-07-10 2.86 2.9 2.81 2.84 1033600 2.84
2013-07-11 2.95 3 2.83 2.86 1718400 2.86
2013-07-12 2.91 2.92 2.84 2.87 798100 2.87
2013-07-15 2.88 2.91 2.84 2.86 801400 2.86
2013-07-16 2.88 2.91 2.84 2.9 686200 2.9
2013-07-17 2.87 3.09 2.84 3 1682100 3
2013-07-18 2.99 3 2.91 2.93 831800 2.93
2013-07-19 2.92 2.96 2.86 2.87 649100 2.87
2013-07-22 2.9 2.99 2.9 2.99 1177200 2.99
2013-07-23 3 3.15 3 3.12 1261500 3.12
2013-07-24 3.12 3.24 2.98 3.04 1717600 3.04
2013-07-25 3.04 3.1 2.98 3.04 840000 3.04
2013-07-26 3.02 3.09 2.99 3.06 534000 3.06
2013-07-29 3.08 3.09 2.95 2.98 1011000 2.98
2013-07-30 2.99 3 2.9 2.92 992400 2.92
2013-07-31 2.9 3.01 2.9 2.98 1200000 2.98
2013-08-01 3.01 3.01 2.92 2.95 820400 2.95
2013-08-02 2.95 2.99 2.88 2.93 2042300 2.93
2013-08-05 2.95 3.05 2.9 3.01 1734200 3.01
2013-08-06 3 3.02 2.87 2.88 2112800 2.88
2013-08-07 2.9 2.94 2.83 2.87 2297100 2.87
2013-08-08 3.02 3.3 2.99 3.23 5041700 3.23
2013-08-09 3.25 3.38 3.21 3.32 2334600 3.32
2013-08-12 3.34 3.53 3.34 3.51 3319200 3.51
2013-08-13 3.55 3.57 3.38 3.48 2186800 3.48
2013-08-14 3.5 3.72 3.49 3.63 2418400 3.63
2013-08-15 3.62 3.69 3.52 3.68 1892200 3.68
2013-08-16 3.68 3.8 3.65 3.75 2089800 3.75
2013-08-19 3.76 3.8 3.62 3.64 1667400 3.64
2013-08-20 3.57 3.69 3.5 3.66 1211800 3.66
2013-08-21 3.64 3.69 3.5 3.58 1976700 3.58
2013-08-22 3.62 3.71 3.59 3.66 1013800 3.66
2013-08-23 3.66 3.8 3.66 3.78 1656200 3.78
2013-08-26 3.81 4.05 3.77 3.95 2348300 3.95
2013-08-27 3.96 4 3.76 3.78 2390900 3.78
2013-08-28 3.75 3.93 3.75 3.8 1067200 3.8
2013-08-29 3.81 3.84 3.75 3.76 727900 3.76
2013-08-30 3.75 3.78 3.65 3.7 1072500 3.7
2013-09-03 3.72 3.8 3.68 3.75 978800 3.75
2013-09-04 3.72 3.74 3.63 3.67 896000 3.67
2013-09-05 3.69 3.85 3.68 3.8 1306600 3.8
2013-09-06 3.85 3.94 3.77 3.78 1486800 3.78
2013-09-09 3.82 3.95 3.8 3.85 1259300 3.85
2013-09-10 3.87 3.92 3.8 3.81 769300 3.81
2013-09-11 3.8 3.83 3.71 3.79 859700 3.79
2013-09-12 3.74 3.74 3.62 3.66 1466900 3.66
2013-09-13 3.58 3.67 3.53 3.59 1199400 3.59
2013-09-16 3.61 3.69 3.48 3.59 5841500 3.59
2013-09-17 3.55 3.6 3.45 3.47 1372700 3.47
2013-09-18 3.43 3.69 3.42 3.63 2197300 3.63
2013-09-19 3.68 3.73 3.56 3.6 1824600 3.6
2013-09-20 3.55 3.64 3.48 3.57 2635500 3.57
2013-09-23 3.58 3.62 3.51 3.54 1699700 3.54
2013-09-24 3.5 3.64 3.46 3.61 2068800 3.61
2013-09-25 3.61 3.77 3.59 3.69 2017900 3.69
2013-09-26 3.71 3.76 3.63 3.73 973800 3.73
2013-09-27 3.62 3.76 3.55 3.72 1751100 3.72
2013-09-30 3.64 3.66 3.53 3.59 1832100 3.59
2013-10-01 3.6 3.65 3.51 3.54 1747200 3.54
2013-10-02 3.51 3.58 3.51 3.55 594500 3.55
2013-10-03 3.55 3.57 3.45 3.48 1001000 3.48
2013-10-04 3.45 3.55 3.41 3.45 1256200 3.45
2013-10-07 3.41 3.47 3.33 3.38 1712200 3.38
2013-10-08 3.39 3.42 3.19 3.25 2159400 3.25
2013-10-09 3.22 3.23 3.03 3.09 2441600 3.09
2013-10-10 3.12 3.35 3.11 3.26 1464600 3.26
2013-10-11 3.25 3.32 3.16 3.2 1414100 3.2
2013-10-14 3.19 3.23 3.12 3.18 818900 3.18
2013-10-15 3.22 3.23 3.13 3.19 835300 3.19
2013-10-16 3.18 3.2 3.12 3.18 901800 3.18
2013-10-17 3.21 3.3 3.2 3.25 1129200 3.25
2013-10-18 3.26 3.28 3.18 3.22 607200 3.22
2013-10-21 3.25 3.27 3.13 3.21 861000 3.21
2013-10-22 3.25 3.35 3.21 3.33 1219900 3.33
2013-10-23 3.29 3.36 3.23 3.26 592500 3.26
2013-10-24 3.29 3.44 3.27 3.39 864100 3.39
2013-10-25 3.4 3.48 3.33 3.45 1334400 3.45
2013-10-28 3.46 3.46 3.35 3.38 811600 3.38
2013-10-29 3.4 3.4 3.28 3.33 882900 3.33
2013-10-30 3.37 3.38 3.16 3.29 1229800 3.29
2013-10-31 3.25 3.26 3.17 3.21 648900 3.21
2013-11-01 3.19 3.25 3.16 3.19 1118500 3.19
2013-11-04 3.2 3.29 3.18 3.29 1794000 3.29
2013-11-05 3.27 3.3 3.22 3.25 622300 3.25
2013-11-06 3.28 3.29 3.19 3.24 564700 3.24
2013-11-07 3.22 3.22 3.09 3.18 1058100 3.18
2013-11-08 3.16 3.2 3.13 3.15 746900 3.15
2013-11-11 3.14 3.24 3.1 3.12 965500 3.12
2013-11-12 3.12 3.13 3.02 3.09 1728500 3.09
2013-11-13 3.22 3.22 3.08 3.12 1536200 3.12
2013-11-14 3.12 3.12 2.87 2.95 3268400 2.95
2013-11-15 2.93 2.95 2.82 2.94 2408100 2.94
2013-11-18 2.98 2.98 2.84 2.88 1444500 2.88
2013-11-19 2.88 2.88 2.8 2.8 1322200 2.8
2013-11-20 2.79 2.83 2.7 2.74 1656200 2.74
2013-11-21 2.76 2.78 2.67 2.77 1199400 2.77
2013-11-22 2.8 2.81 2.75 2.75 1000600 2.75
2013-11-25 2.75 2.75 2.62 2.68 1682600 2.68
2013-11-26 2.67 2.69 2.58 2.66 1919100 2.66
2013-11-27 2.66 2.71 2.65 2.7 1029100 2.7
2013-11-29 2.79 2.83 2.72 2.81 678100 2.81
2013-12-02 2.79 2.82 2.65 2.66 1159100 2.66
2013-12-03 2.69 2.69 2.56 2.58 1203200 2.58
2013-12-04 2.59 2.62 2.26 2.33 6563200 2.33
2013-12-05 2.2 2.23 2.1 2.16 5185300 2.16
2013-12-06 2.17 2.33 2.15 2.25 3465800 2.25
2013-12-09 2.26 2.29 2.22 2.25 1156800 2.25
2013-12-10 2.25 2.34 2.25 2.33 1142200 2.33
2013-12-11 2.31 2.33 2.17 2.2 1285800 2.2
2013-12-12 2.16 2.17 2.12 2.14 1296600 2.14
2013-12-13 2.13 2.17 2.12 2.14 887900 2.14
2013-12-16 2.14 2.21 2.12 2.14 1473700 2.14
2013-12-17 2.1 2.12 1.9 1.93 5317900 1.93
2013-12-18 1.83 1.92 1.82 1.84 3149400 1.84
2013-12-19 1.79 1.92 1.72 1.88 3803500 1.88
2013-12-20 1.9 2 1.87 1.99 2695000 1.99
2013-12-23 2.05 2.14 2.02 2.1 2515900 2.1
2013-12-24 2.1 2.25 2.09 2.24 1212900 2.24
2013-12-26 2.29 2.41 2.26 2.3 1848000 2.3
2013-12-27 2.28 2.3 2.18 2.23 1527500 2.23
2013-12-30 2.22 2.25 2.14 2.15 1229700 2.15
2013-12-31 2.14 2.21 2.13 2.18 1301700 2.18
2014-01-02 2.2 2.45 2.2 2.38 2454500 2.38
2014-01-03 2.4 2.42 2.31 2.36 720000 2.36
2014-01-06 2.37 2.41 2.3 2.31 889000 2.31
2014-01-07 2.34 2.43 2.25 2.35 1112800 2.35
2014-01-08 2.33 2.33 2.22 2.26 961500 2.26
2014-01-09 2.26 2.27 2.12 2.18 1641600 2.18
2014-01-10 2.18 2.23 2.14 2.2 695700 2.2
2014-01-13 2.23 2.25 2.18 2.19 819900 2.19
2014-01-14 2.55 2.69 2.5 2.58 8031000 2.58
2014-01-15 2.62 2.9 2.61 2.89 5547300 2.89
2014-01-16 2.94 3.11 2.9 3 4080700 3
2014-01-17 3.04 3.04 2.93 2.96 2436200 2.96
2014-01-21 2.94 2.96 2.89 2.94 1577200 2.94
2014-01-22 2.93 2.96 2.66 2.78 2435200 2.78
2014-01-23 2.73 2.83 2.7 2.7 1476200 2.7
2014-01-24 2.69 2.69 2.52 2.53 2542000 2.53
2014-01-27 2.56 2.59 2.37 2.57 2001100 2.57
2014-01-28 2.6 2.73 2.6 2.72 1515400 2.72
2014-01-29 2.72 2.75 2.66 2.69 788500 2.69
2014-01-30 2.66 2.71 2.58 2.61 686500 2.61
2014-01-31 2.58 2.64 2.56 2.57 848400 2.57
2014-02-03 2.61 2.61 2.43 2.5 1108500 2.5
2014-02-04 2.48 2.61 2.48 2.54 572900 2.54
2014-02-05 2.52 2.58 2.47 2.52 581600 2.52
2014-02-06 2.55 2.62 2.52 2.61 575400 2.61
2014-02-07 2.67 2.68 2.58 2.59 1347600 2.59
2014-02-10 2.6 2.69 2.6 2.67 753000 2.67
2014-02-11 2.67 2.75 2.62 2.72 1021100 2.72
2014-02-12 2.74 2.78 2.62 2.63 902600 2.63
