"Index" "TR.Open" "TR.High" "TR.Low" "TR.Close" "TR.Volume" "TR.Adjusted"
2013-01-02 26.42007 26.790069 26.310076 26.750075 143100 23.767394
2013-01-03 26.780071 26.800079 26.500069 26.560082 79800 23.598585
2013-01-04 26.710081 26.740066 26.570069 26.590078 45000 23.625237
2013-01-07 26.42007 26.570069 26.280069 26.300067 61600 23.367563
2013-01-08 26.29008 26.370068 26.000069 26.090078 101600 23.180988
2013-01-09 26.150068 26.270071 25.980071 26.150068 133900 23.234289
2013-01-10 26.280069 26.280069 25.980071 26.13007 73200 23.216521
2013-01-11 26.260073 26.42007 26.030076 26.160077 83800 23.243181
2013-01-14 26.060072 26.430068 26.060072 26.35007 91800 23.41199
2013-01-15 26.160077 26.590078 26.160077 26.510079 40900 23.554158
2013-01-16 26.410072 26.670076 26.340072 26.550073 75400 23.589693
2013-01-17 26.660078 27.080079 26.58008 27.030077 79800 24.016175
2013-01-18 27.130084 27.240076 26.990072 27.190074 82000 24.158332
2013-01-22 27.130084 27.21007 26.940068 27.090067 65900 24.069476
2013-01-23 27.15008 27.270072 26.750075 27.000081 112300 23.989524
2013-01-24 27.000081 27.320077 27.000081 27.170078 60500 24.140566
2013-01-25 27.310077 27.330085 26.940068 27.260074 53000 24.220528
2013-01-28 27.300079 27.400075 27.060083 27.310077 75500 24.264955
2013-01-29 27.320077 27.400075 27.020079 27.15008 109700 24.122798
2013-01-30 27.080079 27.320077 27.070071 27.230078 112300 24.193876
2013-01-31 27.160067 27.360071 26.970074 27.100077 177600 24.07837
2013-02-01 27.260074 27.840072 27.020079 27.480084 97100 24.416006
2013-02-04 27.44008 27.450078 27.22007 27.29007 66800 24.247179
2013-02-05 27.350083 27.490072 27.130084 27.180076 61100 24.149449
2013-02-06 27.050073 27.51007 27.050073 27.450078 61200 24.389345
2013-02-07 27.470076 27.500082 27.21007 27.380077 60800 24.32715
2013-02-08 27.330085 27.500082 27.300079 27.44008 36300 24.380462
2013-02-11 27.420071 27.51007 27.200082 27.300079 38000 24.256071
2013-02-12 27.330085 27.500082 27.240076 27.490072 27300 24.42488
2013-02-13 27.500082 27.550074 27.360071 27.51007 66700 24.442648
2013-02-14 27.460076 27.970075 27.450078 27.900085 87300 24.789176
2013-02-15 27.990084 28.220081 27.690073 27.840072 98000 24.735855
2013-02-19 27.810078 27.950079 27.730067 27.940079 102700 24.824711
2013-02-20 27.940079 28.08007 27.650081 27.690073 92900 24.602581
2013-02-21 27.700084 28.020078 27.640071 27.770084 52000 24.67367
2013-02-22 27.920083 28.330076 27.86007 28.110076 100600 24.975753
2013-02-25 28.160079 28.160079 27.410073 27.480084 79600 24.416006
2013-02-26 27.570081 27.79008 27.420071 27.690073 108800 24.602581
