"Index" "TZ6.Open" "TZ6.High" "TZ6.Low" "TZ6.Close" "TZ6.Volume" "TZ6.Adjusted"
2013-01-01 8.975 8.975 8.975 8.975 0 8.975
2013-01-02 8.879 8.879 8.879 8.879 0 8.879
2013-01-03 8.968 8.968 8.968 8.968 0 8.968
2013-01-04 9.681 9.681 9.681 9.681 0 9.681
2013-01-07 9.433 9.433 9.433 9.433 0 9.433
2013-01-08 9.109 9.109 9.109 9.109 0 9.109
2013-01-09 9.224 9.224 9.224 9.224 0 9.224
2013-01-10 9.582 9.582 9.582 9.582 0 9.582
2013-01-11 9.602 9.602 9.602 9.602 0 9.602
2013-01-14 9.45 9.45 9.45 9.45 0 9.45
2013-01-15 9.728 9.728 9.728 9.728 0 9.728
2013-01-16 9.36 9.36 9.36 9.36 0 9.36
2013-01-17 9.3 9.3 9.3 9.3 0 9.3
2013-01-18 9.541 9.541 9.541 9.541 0 9.541
2013-01-21 9.469 9.469 9.469 9.469 0 9.469
2013-01-22 9.472 9.472 9.472 9.472 0 9.472
2013-01-23 9.057 9.057 9.057 9.057 0 9.057
2013-01-24 9.121 9.121 9.121 9.121 0 9.121
2013-01-25 8.956 8.956 8.956 8.956 0 8.956
2013-01-28 8.905 8.905 8.905 8.905 0 8.905
2013-01-29 9.079 9.079 9.079 9.079 0 9.079
2013-01-30 9.112 9.112 9.112 9.112 0 9.112
2013-01-31 9.05 9.05 9.05 9.05 0 9.05
2013-02-01 8.869 8.869 8.869 8.869 0 8.869
2013-02-04 8.946 8.946 8.946 8.946 0 8.946
2013-02-05 8.758 8.758 8.758 8.758 0 8.758
2013-02-06 8.858 8.858 8.858 8.858 0 8.858
2013-02-07 8.823 8.823 8.823 8.823 0 8.823
2013-02-08 8.756 8.756 8.756 8.756 0 8.756
2013-02-11 8.814 8.814 8.814 8.814 0 8.814
2013-02-12 8.728 8.728 8.728 8.728 0 8.728
2013-02-13 9.249 9.249 9.249 9.249 0 9.249
2013-02-14 9.039 9.039 9.039 9.039 0 9.039
2013-02-15 9.039 9.039 9.039 9.039 0 9.039
2013-02-18 9.061 9.061 9.061 9.061 0 9.061
2013-02-19 9.064 9.064 9.064 9.064 0 9.064
2013-02-20 9.215 9.215 9.215 9.215 0 9.215
2013-02-21 8.975 8.975 8.975 8.975 0 8.975
2013-02-22 8.837 8.837 8.837 8.837 0 8.837
2013-02-25 8.864 8.864 8.864 8.864 0 8.864
