"Index" "UA.Open" "UA.High" "UA.Low" "UA.Close" "UA.Volume" "UA.Adjusted"
2013-01-02 49.700001 50 47.830002 48.330002 2800600 24.165001
2013-01-03 48.299999 50.18 48.220001 49.66 2336200 24.83
2013-01-04 51.290001 51.299999 48.990002 49.349998 6569600 24.674999
2013-01-07 48.310001 49.220001 48.029999 48.43 3404400 24.215
2013-01-08 48.43 49.060001 48.139999 48.639999 2240000 24.32
2013-01-09 48.689999 48.790001 46.389999 46.650002 6263600 23.325001
2013-01-10 46.779999 47.970001 46.130001 47.68 4414600 23.84
2013-01-11 47.68 48.18 47.110001 48.09 2725200 24.045
2013-01-14 48.049999 48.82 47.939999 48.34 3314600 24.17
2013-01-15 47.889999 47.889999 46.799999 47.450001 2885600 23.725
2013-01-16 47.549999 47.599998 46.779999 47.060001 2217200 23.530001
2013-01-17 47.330002 47.57 46.720001 46.950001 2444600 23.475
2013-01-18 46.950001 47 46.07 46.259998 3789200 23.129999
2013-01-22 46 48.02 45.380001 47.439999 4771400 23.719999
2013-01-23 47 47.82 46.610001 47.689999 2849200 23.844999
2013-01-24 46.48 47.040001 44.32 45.860001 18186800 22.93
2013-01-25 46.900002 48.490002 46.740002 48.259998 7523400 24.129999
2013-01-28 48.25 48.259998 47.220001 47.91 2255000 23.955
2013-01-29 47.919998 49.099998 47.220001 48.310001 5404200 24.155001
2013-01-30 47.959999 49.02 47.610001 48.130001 6384000 24.065001
2013-01-31 50.16 51.939999 50 50.869999 10781600 25.434999
2013-02-01 51.240002 51.490002 50.32 50.5 4217800 25.25
2013-02-04 50.240002 50.849998 49.650002 49.959999 2495400 24.98
2013-02-05 50 51.23 50 50.470001 2854200 25.235001
2013-02-06 50.549999 51.09 50 50.099998 2523000 25.049999
2013-02-07 50.240002 50.240002 49.139999 49.939999 4062200 24.969999
2013-02-08 50.220001 50.639999 49.869999 50.200001 1789800 25.1
2013-02-11 49.990002 50 49.16 49.82 2452800 24.91
2013-02-12 49.990002 50.330002 49.389999 49.720001 2059400 24.860001
2013-02-13 49.709999 50.389999 48.48 48.700001 2911800 24.35
2013-02-14 48.48 49.220001 48.189999 48.900002 2027600 24.450001
2013-02-15 48.950001 49.990002 48.849998 49.549999 3269600 24.775
2013-02-19 49.82 50.5 49.52 49.759998 2503400 24.879999
2013-02-20 49.84 49.990002 48.700001 48.759998 2330600 24.379999
2013-02-21 48.700001 48.880001 47.220001 47.740002 3111200 23.870001
2013-02-22 48.060001 48.59 47.130001 47.25 2679400 23.625
2013-02-25 47.57 48.209999 46.66 46.689999 2932000 23.344999
2013-02-26 46.779999 47.91 46.310001 47.529999 3629600 23.764999
2013-02-27 47.419998 48.619999 47.259998 48.209999 2212400 24.105
2013-02-28 48.209999 49.57 48.119999 49.279999 3253400 24.639999
2013-03-01 49.099998 49.639999 48.900002 49.459999 3414800 24.73
2013-03-04 49.209999 50.59 49.09 49.970001 2313400 24.985001
2013-03-05 50.290001 50.450001 49.52 49.91 2903400 24.955
2013-03-06 49.950001 50.790001 49.709999 50.209999 2178600 25.105
2013-03-07 50.5 50.529999 49.720001 50.5 2125400 25.25
2013-03-08 50.59 50.860001 48.75 49.139999 3593000 24.57
2013-03-11 48.59 48.849998 47.610001 48.68 4582600 24.34
2013-03-12 48.73 49.150002 48.119999 48.509998 2416200 24.254999
2013-03-13 48.52 49.970001 48.52 49.709999 2348400 24.855
2013-03-14 49.98 51.130001 49.91 51.080002 3267800 25.540001
2013-03-15 51.189999 51.459999 50.450001 50.66 3061800 25.33
2013-03-18 50.16 50.52 49.810001 50.209999 2061200 25.105
2013-03-19 50.029999 50.48 48.09 48.48 3066200 24.24
2013-03-20 48.98 49.849998 48.580002 49.610001 2790600 24.805
2013-03-21 49.119999 49.419998 48.330002 48.369999 2667800 24.184999
2013-03-22 49.349998 50.68 49.200001 50.599998 4697200 25.299999
2013-03-25 50.98 50.98 50.220001 50.709999 2753200 25.355
2013-03-26 50.759998 50.869999 49.889999 50.650002 1788000 25.325001
2013-03-27 50.389999 51.169998 49.790001 50.970001 1778400 25.485001
2013-03-28 50.709999 51.75 50.709999 51.200001 2626000 25.6
2013-04-01 51.099998 51.700001 50.290001 50.560001 1583400 25.280001
2013-04-02 50.959999 52.84 50.68 51.619999 2927000 25.809999
2013-04-03 51.740002 53.619999 51.439999 53.25 4119000 26.625
2013-04-04 53.110001 53.790001 52.599998 53.23 2721000 26.615
2013-04-05 52.450001 53.139999 51.689999 53.040001 1423600 26.52
2013-04-08 53 54.110001 52.919998 54.02 2429000 27.01
2013-04-09 54.200001 54.349998 53.57 54.209999 2358000 27.105
2013-04-10 54.41 55.299999 54.099998 54.970001 2732400 27.485001
2013-04-11 55.400002 56.560001 55.259998 56.029999 3384000 28.014999
2013-04-12 56 57.110001 55.759998 57 3608800 28.5
2013-04-15 57.970001 58.52 56.360001 56.389999 6432800 28.195
2013-04-16 56.610001 57.52 55.700001 56.77 3771600 28.385
2013-04-17 56.490002 56.990002 55.18 56.82 3469000 28.41
2013-04-18 56.849998 56.869999 55.169998 55.669998 4802200 27.834999
2013-04-19 57.869999 58.439999 55.279999 56.41 8634800 28.205
2013-04-22 55.82 55.860001 54.700001 55.259998 3930600 27.629999
2013-04-23 55.669998 56.07 54.880001 55.470001 2557800 27.735001
2013-04-24 55.369999 56.169998 55.220001 55.970001 2810600 27.985001
2013-04-25 56.060001 56.93 56 56.450001 2773200 28.225
2013-04-26 56.52 56.790001 55.5 55.759998 1867400 27.879999
2013-04-29 56.299999 56.470001 55.52 55.919998 2503200 27.959999
2013-04-30 56 57.099998 55.700001 57.080002 3502200 28.540001
2013-05-01 56.860001 57.400002 56.189999 56.360001 2428400 28.18
2013-05-02 56.98 57.25 56.18 56.939999 1904200 28.469999
