"Index" "UI.Open" "UI.High" "UI.Low" "UI.Close" "UI.Volume" "UI.Adjusted"
2013-01-01 0.45 0.45 0.45 0.45 0 0.45
2013-01-02 0.45 0.45 0.45 0.45 0 0.45
2013-01-03 0.45 0.45 0.45 0.45 0 0.45
2013-01-04 0.45 0.45 0.45 0.45 0 0.45
2013-01-07 0.45 0.45 0.45 0.45 0 0.45
2013-01-08 0.45 0.45 0.45 0.45 0 0.45
2013-01-09 0.45 0.45 0.45 0.45 0 0.45
2013-01-10 0.45 0.45 0.45 0.45 0 0.45
2013-01-11 0.45 0.45 0.45 0.45 0 0.45
2013-01-14 0.45 0.45 0.45 0.45 0 0.45
2013-01-15 0.45 0.45 0.45 0.45 0 0.45
2013-01-16 0.45 0.45 0.45 0.45 0 0.45
2013-01-17 0.45 0.45 0.45 0.45 0 0.45
2013-01-18 0.45 0.45 0.45 0.45 0 0.45
2013-01-21 0.45 0.45 0.45 0.45 0 0.45
2013-01-22 0.45 0.45 0.45 0.45 0 0.45
2013-01-23 0.45 0.45 0.45 0.45 0 0.45
2013-01-24 0.45 0.45 0.45 0.45 0 0.45
2013-01-25 0.45 0.45 0.45 0.45 0 0.45
2013-01-28 0.45 0.45 0.45 0.45 0 0.45
2013-01-29 0.45 0.45 0.45 0.45 0 0.45
2013-01-30 0.45 0.45 0.45 0.45 0 0.45
2013-01-31 0.45 0.45 0.45 0.45 0 0.45
2013-02-01 0.45 0.45 0.45 0.45 0 0.45
2013-02-04 0.47 0.47 0.47 0.47 9000 0.47
2013-02-05 0.47 0.47 0.47 0.47 3800 0.47
2013-02-06 0.45 0.45 0.45 0.45 500 0.45
2013-02-07 0.45 0.45 0.45 0.45 0 0.45
2013-02-08 0.5 0.5 0.46 0.46 14200 0.46
2013-02-11 0.46 0.46 0.46 0.46 500 0.46
2013-02-12 0.46 0.46 0.46 0.46 0 0.46
2013-02-13 0.46 0.46 0.46 0.46 0 0.46
2013-02-14 0.46 0.46 0.46 0.46 0 0.46
2013-02-15 0.46 0.46 0.46 0.46 9000 0.46
2013-02-18 0.46 0.46 0.46 0.46 0 0.46
2013-02-19 0.46 0.46 0.46 0.46 0 0.46
2013-02-20 0.46 0.46 0.46 0.46 25000 0.46
2013-02-21 0.46 0.46 0.46 0.46 0 0.46
2013-02-22 0.46 0.46 0.46 0.46 0 0.46
2013-02-25 0.46 0.46 0.46 0.46 0 0.46
2013-02-26 0.4 0.46 0.4 0.46 12200 0.46
2013-02-27 0.46 0.46 0.46 0.46 0 0.46
2013-02-28 0.46 0.46 0.46 0.46 0 0.46
2013-03-01 0.46 0.46 0.46 0.46 0 0.46
2013-03-04 0.46 0.46 0.46 0.46 0 0.46
2013-03-05 0.46 0.46 0.46 0.46 0 0.46
2013-03-06 0.46 0.46 0.46 0.46 0 0.46
2013-03-07 0.46 0.46 0.46 0.46 0 0.46
2013-03-08 0.46 0.46 0.46 0.46 0 0.46
2013-03-11 0.46 0.46 0.46 0.46 0 0.46
2013-03-12 0.46 0.46 0.46 0.46 0 0.46
2013-03-13 0.46 0.46 0.46 0.46 0 0.46
2013-03-14 0.46 0.46 0.46 0.46 0 0.46
2013-03-15 0.46 0.46 0.46 0.46 0 0.46
2013-03-18 0.46 0.46 0.46 0.46 0 0.46
2013-03-19 0.46 0.46 0.46 0.46 0 0.46
2013-03-20 0.46 0.46 0.46 0.46 0 0.46
2013-03-21 0.46 0.46 0.46 0.46 0 0.46
2013-03-22 0.46 0.46 0.46 0.46 0 0.46
2013-03-25 0.46 0.46 0.46 0.46 0 0.46
2013-03-26 0.46 0.46 0.46 0.46 0 0.46
2013-03-27 0.46 0.46 0.46 0.46 0 0.46
2013-03-28 0.46 0.46 0.46 0.46 0 0.46
2013-03-29 0.46 0.46 0.46 0.46 0 0.46
2013-04-01 0.46 0.46 0.46 0.46 0 0.46
2013-04-02 0.45 0.6 0.45 0.6 45000 0.6
2013-04-03 0.6 0.6 0.6 0.6 0 0.6
2013-04-04 0.6 0.6 0.6 0.6 0 0.6
2013-04-05 0.6 0.6 0.6 0.6 0 0.6
2013-04-08 0.58 0.58 0.58 0.58 9000 0.58
2013-04-09 0.58 0.58 0.58 0.58 0 0.58
2013-04-10 0.58 0.58 0.58 0.58 0 0.58
2013-04-11 0.58 0.58 0.58 0.58 0 0.58
2013-04-12 0.58 0.58 0.58 0.58 0 0.58
2013-04-15 0.58 0.58 0.58 0.58 0 0.58
2013-04-16 0.52 0.52 0.52 0.52 2000 0.52
2013-04-17 0.52 0.52 0.52 0.52 0 0.52
