"Index" "UN.Open" "UN.High" "UN.Low" "UN.Close" "UN.Volume" "UN.Adjusted"
2013-01-02 38.669998 38.720001 38.349998 38.540001 2220900 34.785885
2013-01-03 38.16 38.419998 38.09 38.240002 1719000 34.515108
2013-01-04 38.099998 38.549999 38.099998 38.5 1043900 34.749781
2013-01-07 38.029999 38.279999 37.970001 38.279999 1857800 34.551209
2013-01-08 38 38.200001 37.990002 38.139999 1381500 34.424847
2013-01-09 37.889999 38 37.880001 37.950001 1175300 34.253356
2013-01-10 37.919998 38.400002 37.889999 38.349998 1040700 34.614391
2013-01-11 38.27 38.450001 38.220001 38.330002 1253900 34.596342
2013-01-14 38.130001 38.330002 38.040001 38.299999 1361100 34.569262
2013-01-15 38.360001 38.66 38.34 38.599998 983900 34.840038
2013-01-16 38.779999 38.950001 38.73 38.869999 1292800 35.083739
2013-01-17 38.630001 38.810001 38.529999 38.709999 985400 34.939324
2013-01-18 38.639999 38.73 38.5 38.700001 1089700 34.9303
2013-01-22 39.049999 39.09 38.759998 39.049999 872300 35.246205
2013-01-23 40.130001 40.130001 39.700001 39.869999 3800700 35.98633
2013-01-24 39.75 39.900002 39.540001 39.66 2788800 35.796787
2013-01-25 40.119999 40.259998 39.900002 40.259998 2158900 36.338341
2013-01-28 40.259998 40.27 40.02 40.200001 3177800 36.284187
2013-01-29 40.02 40.52 40.02 40.459999 1904600 36.51886
2013-01-30 40.23 40.5 40.209999 40.450001 1980900 36.509835
2013-01-31 40.380001 40.580002 40.349998 40.48 1809700 36.536912
2013-02-01 40.759998 40.869999 40.619999 40.73 1560500 36.76256
2013-02-04 40.049999 40.279999 39.73 39.799999 2210700 35.923149
2013-02-05 40.02 40.299999 39.98 40.23 1732900 36.311264
2013-02-06 39.360001 39.470001 39.259998 39.41 2048800 35.859944
2013-02-07 39.27 39.389999 38.889999 39 1829400 35.486877
2013-02-08 38.98 39.150002 38.950001 39 1592400 35.486877
2013-02-11 39.060001 39.060001 38.82 39.02 1372900 35.505076
2013-02-12 39.099998 39.349998 39.07 39.299999 1213600 35.759852
2013-02-13 39.330002 39.419998 39.150002 39.240002 1250400 35.705259
2013-02-14 39.59 39.68 39.529999 39.59 1722600 36.02373
2013-02-15 39.549999 39.59 39.240002 39.310001 1298700 35.768953
2013-02-19 39.709999 39.950001 39.689999 39.950001 933000 36.351301
2013-02-20 40.189999 40.209999 39.740002 39.779999 1426900 36.196613
2013-02-21 39.09 39.220001 38.970001 39.09 1673500 35.56877
2013-02-22 39.169998 39.450001 39.029999 39.450001 1037800 35.896341
2013-02-25 39.619999 39.779999 38.66 38.669998 2851700 35.186602
2013-02-26 38.57 38.849998 38.290001 38.439999 4213000 34.97732
2013-02-27 38.360001 39.07 38.349998 38.970001 2514000 35.45958
2013-02-28 38.84 39.099998 38.720001 38.919998 3814000 35.414082
2013-03-01 39.009998 39.150002 38.77 39.130001 2359500 35.605167
2013-03-04 39.09 39.470001 39.040001 39.43 1035600 35.878143
2013-03-05 39.919998 40.060001 39.830002 39.889999 1659900 36.296705
2013-03-06 40.040001 40.080002 39.759998 39.790001 1129800 36.205714
2013-03-07 40.529999 40.59 40.259998 40.360001 2907700 36.724368
2013-03-08 40.48 40.560001 40.32 40.549999 2633500 36.897252
2013-03-11 40.400002 40.57 40.369999 40.540001 779800 36.888154
2013-03-12 40.439999 40.52 40.240002 40.290001 960900 36.660674
2013-03-13 40.07 40.200001 39.98 40.080002 1564700 36.469592
2013-03-14 39.900002 40.41 39.889999 40.310001 1461700 36.678873
2013-03-15 40.509998 40.59 40.240002 40.34 1493400 36.70617
2013-03-18 39.970001 40.419998 39.950001 40.23 1017000 36.606078
2013-03-19 40.41 40.610001 40.16 40.349998 1930300 36.715267
2013-03-20 40.77 40.900002 40.59 40.700001 1506500 37.033741
2013-03-21 40.5 40.66 40.34 40.490002 2004600 36.842659
2013-03-22 40.939999 41.400002 40.889999 41.189999 2160900 37.4796
2013-03-25 41.080002 41.25 40.669998 40.790001 1986200 37.115634
2013-03-26 40.77 40.830002 40.549999 40.799999 1748000 37.124732
2013-03-27 40.110001 40.419998 40.07 40.389999 1712500 36.751665
2013-03-28 41.09 41.279999 40.880001 41 1626700 37.306717
2013-04-01 40.970001 41 40.82 40.91 1037100 37.224824
2013-04-02 41.259998 41.759998 41.16 41.560001 1573300 37.816273
2013-04-03 41.790001 41.91 41.439999 41.470001 1829600 37.73438
2013-04-04 40.959999 41.25 40.810001 41.029999 1541100 37.334013
2013-04-05 40.209999 40.880001 40.200001 40.830002 1703900 37.152032
2013-04-08 41.189999 41.209999 40.830002 40.98 1423200 37.288518
2013-04-09 40.630001 40.900002 40.439999 40.84 1887600 37.16113
2013-04-10 41.080002 41.689999 41.07 41.509998 1367300 37.770774
2013-04-11 41.810001 42 41.740002 41.880001 1218200 38.107447
2013-04-12 41.700001 41.889999 41.66 41.889999 673500 38.116545
2013-04-15 41.650002 41.689999 41.27 41.279999 1501400 37.561493
2013-04-16 41.630001 41.639999 41.25 41.5 1195500 37.761677
2013-04-17 41.450001 41.470001 40.689999 40.860001 1840900 37.179328
2013-04-18 41.080002 41.27 40.849998 41.049999 1903400 37.352212
2013-04-19 41.009998 41.209999 40.959999 41.200001 1469400 37.488701
