"Index" "USD.BRL"
2013-01-01 2.0521
2013-01-02 2.046
2013-01-03 2.0457
2013-01-04 2.0434
2013-01-05 2.0359
2013-01-06 2.034
2013-01-07 2.032
2013-01-08 2.0309
2013-01-09 2.0409
2013-01-10 2.0385
2013-01-11 2.0319
2013-01-12 2.0336
2013-01-13 2.0327
2013-01-14 2.0322
2013-01-15 2.0352
2013-01-16 2.0374
2013-01-17 2.0418
2013-01-18 2.0407
2013-01-19 2.0408
2013-01-20 2.0451
2013-01-21 2.0418
2013-01-22 2.0439
2013-01-23 2.0409
2013-01-24 2.0341
2013-01-25 2.0301
2013-01-26 2.0297
2013-01-27 2.03
2013-01-28 2.0208
2013-01-29 1.9947
2013-01-30 1.9876
2013-01-31 1.9883
2013-02-01 1.989
2013-02-02 1.99
2013-02-03 1.988
2013-02-04 1.9899
2013-02-05 1.9919
2013-02-06 1.9863
2013-02-07 1.9816
2013-02-08 1.9676
2013-02-09 1.9731
2013-02-10 1.9723
2013-02-11 1.9708
2013-02-12 1.9716
2013-02-13 1.9667
2013-02-14 1.9636
2013-02-15 1.9601
2013-02-16 1.9684
2013-02-17 1.9678
2013-02-18 1.9673
2013-02-19 1.9606
2013-02-20 1.9572
2013-02-21 1.966
2013-02-22 1.9722
2013-02-23 1.9711
2013-02-24 1.9721
2013-02-25 1.9728
2013-02-26 1.9837
2013-02-27 1.9811
2013-02-28 1.9757
2013-03-01 1.9806
2013-03-02 1.9792
2013-03-03 1.979
2013-03-04 1.981
2013-03-05 1.9702
2013-03-06 1.9657
2013-03-07 1.9674
2013-03-08 1.9565
2013-03-09 1.9444
2013-03-10 1.9445
2013-03-11 1.9567
2013-03-12 1.96
2013-03-13 1.9665
2013-03-14 1.972
2013-03-15 1.9741
2013-03-16 1.9818
2013-03-17 1.982
2013-03-18 1.9865
2013-03-19 1.9847
2013-03-20 1.9868
2013-03-21 1.9914
2013-03-22 2.0105
2013-03-23 2.0095
2013-03-24 2.0105
2013-03-25 2.0105
2013-03-26 2.0103
2013-03-27 2.0165
2013-03-28 2.0142
2013-03-29 2.0224
2013-03-30 2.0222
2013-03-31 2.0222
2013-04-01 2.0198
2013-04-02 2.0206
2013-04-03 2.0226
2013-04-04 2.022
2013-04-05 2.0091
2013-04-06 1.9965
2013-04-07 1.9909
2013-04-08 1.9885
2013-04-09 1.9897
2013-04-10 1.9812
2013-04-11 1.9744
2013-04-12 1.9751
2013-04-13 1.9707
2013-04-14 1.9691
2013-04-15 1.9776
2013-04-16 1.9985
2013-04-17 1.9917
2013-04-18 2.0069
2013-04-19 2.0113
2013-04-20 2.0085
2013-04-21 2.0083
2013-04-22 2.0123
2013-04-23 2.0199
2013-04-24 2.0212
2013-04-25 2.0101
2013-04-26 2.0014
2013-04-27 1.9981
2013-04-28 1.9983
2013-04-29 2.0008
2013-04-30 2.0069
2013-05-01 2.0049
2013-05-02 2.0064
2013-05-03 2.0103
2013-05-04 2.0086
2013-05-05 2.0085
2013-05-06 2.0108
2013-05-07 2.0088
2013-05-08 2.0062
2013-05-09 2.0059
2013-05-10 2.0172
2013-05-11 2.0212
2013-05-12 2.0145
2013-05-13 2.0163
2013-05-14 2.0095
2013-05-15 2.0225
2013-05-16 2.0243
2013-05-17 2.0243
2013-05-18 2.0336
2013-05-19 2.0344
2013-05-20 2.0349
2013-05-21 2.039
2013-05-22 2.0385
2013-05-23 2.0487
2013-05-24 2.0463
2013-05-25 2.05
2013-05-26 2.0519
2013-05-27 2.0471
2013-05-28 2.06
2013-05-29 2.0841
2013-05-30 2.1102
2013-05-31 2.1192
2013-06-01 2.1428
2013-06-02 2.1211
2013-06-03 2.1359
2013-06-04 2.1278
2013-06-05 2.1269
2013-06-06 2.1281
2013-06-07 2.1329
2013-06-08 2.135
