"Index" "USD.CZK"
2013-01-01 19.0215
2013-01-02 19.0064
2013-01-03 19.2252
2013-01-04 19.4211
2013-01-05 19.4182
2013-01-06 19.4163
2013-01-07 19.4956
2013-01-08 19.5008
2013-01-09 19.553
2013-01-10 19.5268
2013-01-11 19.279
2013-01-12 19.2208
2013-01-13 19.2182
2013-01-14 19.1565
2013-01-15 19.1648
2013-01-16 19.2497
2013-01-17 19.1623
2013-01-18 19.1754
2013-01-19 19.2369
2013-01-20 19.234
2013-01-21 19.2236
2013-01-22 19.2115
2013-01-23 19.2257
2013-01-24 19.1901
2013-01-25 19.0631
2013-01-26 18.9943
2013-01-27 18.997
2013-01-28 19.0468
2013-01-29 19.0834
2013-01-30 18.9519
2013-01-31 18.8927
2013-02-01 18.8291
2013-02-02 18.831
2013-02-03 18.8176
2013-02-04 18.8946
2013-02-05 18.9697
2013-02-06 18.879
2013-02-07 18.7532
2013-02-08 18.8479
2013-02-09 18.8724
2013-02-10 18.8742
2013-02-11 18.8589
2013-02-12 18.8526
2013-02-13 18.864
2013-02-14 18.9558
2013-02-15 19.0072
2013-02-16 19.0243
2013-02-17 19.0278
2013-02-18 19.0251
2013-02-19 19.0001
2013-02-20 18.9623
2013-02-21 19.2297
2013-02-22 19.3235
2013-02-23 19.3612
2013-02-24 19.3555
2013-02-25 19.3296
2013-02-26 19.5342
2013-02-27 19.567
2013-02-28 19.547
2013-03-01 19.6761
2013-03-02 19.7043
2013-03-03 19.7123
2013-03-04 19.7323
2013-03-05 19.6703
2013-03-06 19.6075
2013-03-07 19.5669
2013-03-08 19.481
2013-03-09 19.5482
2013-03-10 19.593
2013-03-11 19.6321
2013-03-12 19.6467
2013-03-13 19.708
2013-03-14 19.7469
2013-03-15 19.5936
2013-03-16 19.5641
2013-03-17 19.567
2013-03-18 19.7806
2013-03-19 19.8089
2013-03-20 19.8772
2013-03-21 19.9359
2013-03-22 19.9425
2013-03-23 19.867
2013-03-24 19.8305
2013-03-25 19.8976
2013-03-26 20.0401
2013-03-27 20.1009
2013-03-28 20.1315
2013-03-29 20.1015
2013-03-30 20.0702
2013-03-31 20.0738
2013-04-01 20.0886
2013-04-02 20.1073
2013-04-03 20.1679
2013-04-04 20.09
2013-04-05 19.8817
2013-04-06 19.8521
2013-04-07 19.8497
2013-04-08 19.825
2013-04-09 19.7176
2013-04-10 19.7246
2013-04-11 19.7927
2013-04-12 19.7705
2013-04-13 19.7639
2013-04-14 19.7618
2013-04-15 19.7937
2013-04-16 19.7481
2013-04-17 19.6799
2013-04-18 19.8115
2013-04-19 19.7736
2013-04-20 19.8022
2013-04-21 19.7916
2013-04-22 19.8315
2013-04-23 19.9081
2013-04-24 19.9375
2013-04-25 19.8461
2013-04-26 19.7798
2013-04-27 19.7627
2013-04-28 19.7588
2013-04-29 19.6659
2013-04-30 19.6346
2013-05-01 19.5241
2013-05-02 19.5517
2013-05-03 19.5748
2013-05-04 19.5675
2013-05-05 19.5454
2013-05-06 19.5811
2013-05-07 19.6784
2013-05-08 19.7053
2013-05-09 19.6706
2013-05-10 19.8256
2013-05-11 19.8582
2013-05-12 19.8923
2013-05-13 19.9113
2013-05-14 19.9399
2013-05-15 20.1247
2013-05-16 20.1875
2013-05-17 20.1875
2013-05-18 20.283
2013-05-19 20.2946
2013-05-20 20.3008
2013-05-21 20.2765
2013-05-22 20.1942
2013-05-23 20.2842
2013-05-24 20.1328
2013-05-25 20.0399
2013-05-26 20.0431
2013-05-27 20.0517
2013-05-28 20.0846
2013-05-29 20.0904
2013-05-30 19.882
2013-05-31 19.7745
2013-06-01 19.8029
2013-06-02 19.7891
2013-06-03 19.7377
2013-06-04 19.7063
2013-06-05 19.7294
2013-06-06 19.5993
2013-06-07 19.3601
2013-06-08 19.3385
2013-06-09 19.3679
2013-06-10 19.3937
2013-06-11 19.3373
2013-06-12 19.24
2013-06-13 19.2105
2013-06-14 19.2608
2013-06-15 19.2875
2013-06-16 19.2837
2013-06-17 19.2717
2013-06-18 19.167
2013-06-19 19.1707
2013-06-20 19.4538
2013-06-21 19.5945
2013-06-22 19.7252
2013-06-23 19.7424
2013-06-24 19.7392
2013-06-25 19.6846
2013-06-26 19.8176
2013-06-27 19.9282
2013-06-28 19.9486
2013-06-29 19.9853
2013-06-30 19.978
2013-07-01 19.9518
2013-07-02 19.9708
2013-07-03 20.08
2013-07-04 20.0426
2013-07-05 20.1142
2013-07-06 20.2468
2013-07-07 20.2631
2013-07-08 20.2199
2013-07-09 20.1703
2013-07-10 20.1976
2013-07-11 19.838
2013-07-12 19.8757
2013-07-13 19.8791
2013-07-14 19.8811
2013-07-15 19.9173
2013-07-16 19.8217
2013-07-17 19.7353
2013-07-18 19.782
2013-07-19 19.7571
2013-07-20 19.737
2013-07-21 19.7449
2013-07-22 19.6934
2013-07-23 19.6619
2013-07-24 19.6152
2013-07-25 19.6024
2013-07-26 19.5241
2013-07-27 19.5133
2013-07-28 19.4955
2013-07-29 19.4923
2013-07-30 19.4825
2013-07-31 19.4847
2013-08-01 19.5813
2013-08-02 19.607
2013-08-03 19.4682
2013-08-04 19.4582
2013-08-05 19.5103
2013-08-06 19.5292
2013-08-07 19.5072
2013-08-08 19.3775
2013-08-09 19.3395
2013-08-10 19.3594
2013-08-11 19.3891
2013-08-12 19.4168
2013-08-13 19.4567
2013-08-14 19.4829
2013-08-15 19.414
2013-08-16 19.3437
2013-08-17 19.339
2013-08-18 19.3531
2013-08-19 19.3529
2013-08-20 19.2948
2013-08-21 19.2389
2013-08-22 19.2858
2013-08-23 19.222
2013-08-24 19.1844
2013-08-25 19.1979
2013-08-26 19.1891
2013-08-27 19.2204
2013-08-28 19.2351
2013-08-29 19.3514
2013-08-30 19.4486
2013-08-31 19.4565
2013-09-01 19.4764
2013-09-02 19.468
2013-09-03 19.52
2013-09-04 19.56
2013-09-05 19.5515
2013-09-06 19.5515
2013-09-07 19.5758
2013-09-08 19.5897
2013-09-09 19.5479
2013-09-10 19.4752
2013-09-11 19.4203
2013-09-12 19.3795
2013-09-13 19.41
2013-09-14 19.3766
2013-09-15 19.3423
2013-09-16 19.2794
2013-09-17 19.2836
2013-09-18 19.2713
2013-09-19 19.032
2013-09-20 19.0631
2013-09-21 19.0812
2013-09-22 19.0449
2013-09-23 19.1493
2013-09-24 19.2265
2013-09-25 19.1746
2013-09-26 19.0909
2013-09-27 18.9977
2013-09-28 19.0171
2013-09-29 19.0225
2013-09-30 19.0258
2013-10-01 18.9573
2013-10-02 18.9145
2013-10-03 18.7963
2013-10-04 18.7893
2013-10-05 18.8594
2013-10-06 18.8599
2013-10-07 18.826
2013-10-08 18.7964
2013-10-09 18.8727
2013-10-10 18.9111
2013-10-11 18.8434
2013-10-12 18.8352
2013-10-13 18.8319
2013-10-14 18.8328
2013-10-15 18.9062
2013-10-16 18.9614
