"Index" "USD.DKK"
2013-01-01 5.6513
2013-01-02 5.6368
2013-01-03 5.6833
2013-01-04 5.7219
2013-01-05 5.7074
2013-01-06 5.7075
2013-01-07 5.7098
2013-01-08 5.6929
2013-01-09 5.7085
2013-01-10 5.6855
2013-01-11 5.6133
2013-01-12 5.5923
2013-01-13 5.5918
2013-01-14 5.5812
2013-01-15 5.5902
2013-01-16 5.6147
2013-01-17 5.598
2013-01-18 5.5903
2013-01-19 5.6029
2013-01-20 5.6035
2013-01-21 5.6046
2013-01-22 5.6018
2013-01-23 5.6041
2013-01-24 5.5954
2013-01-25 5.5612
2013-01-26 5.5435
2013-01-27 5.544
2013-01-28 5.5465
2013-01-29 5.5472
2013-01-30 5.5151
2013-01-31 5.499
2013-02-01 5.4713
2013-02-02 5.4693
2013-02-03 5.4692
2013-02-04 5.4907
2013-02-05 5.5141
2013-02-06 5.5064
2013-02-07 5.53
2013-02-08 5.5709
2013-02-09 5.5816
2013-02-10 5.5846
2013-02-11 5.5743
2013-02-12 5.563
2013-02-13 5.5459
2013-02-14 5.5739
2013-02-15 5.5864
2013-02-16 5.5818
2013-02-17 5.5884
2013-02-18 5.5892
2013-02-19 5.5839
2013-02-20 5.5751
2013-02-21 5.6397
2013-02-22 5.6545
2013-02-23 5.6559
2013-02-24 5.655
2013-02-25 5.6509
2013-02-26 5.7072
2013-02-27 5.6982
2013-02-28 5.6845
2013-03-01 5.7181
2013-03-02 5.7265
2013-03-03 5.7276
2013-03-04 5.731
2013-03-05 5.7194
2013-03-06 5.7208
2013-03-07 5.7199
2013-03-08 5.7087
2013-03-09 5.7339
2013-03-10 5.7422
2013-03-11 5.7281
2013-03-12 5.7241
2013-03-13 5.7347
2013-03-14 5.7524
2013-03-15 5.7195
2013-03-16 5.7034
2013-03-17 5.7032
2013-03-18 5.7659
2013-03-19 5.7648
2013-03-20 5.7746
2013-03-21 5.7669
2013-03-22 5.7613
2013-03-23 5.7413
2013-03-24 5.7245
2013-03-25 5.7485
2013-03-26 5.7936
2013-03-27 5.8156
2013-03-28 5.8243
2013-03-29 5.816
2013-03-30 5.816
2013-03-31 5.8158
2013-04-01 5.8171
2013-04-02 5.8048
2013-04-03 5.8125
2013-04-04 5.8013
2013-04-05 5.7536
2013-04-06 5.738
2013-04-07 5.7377
2013-04-08 5.7332
2013-04-09 5.7117
2013-04-10 5.6998
2013-04-11 5.6965
2013-04-12 5.6951
2013-04-13 5.6876
2013-04-14 5.6875
