"Index" "USD.EGP"
2013-01-01 6.3662
2013-01-02 6.3741
2013-01-03 6.4053
2013-01-04 6.4212
2013-01-05 6.4087
2013-01-06 6.3875
2013-01-07 6.4289
2013-01-08 6.4647
2013-01-09 6.4966
2013-01-10 6.5253
2013-01-11 6.5417
2013-01-12 6.5157
2013-01-13 6.5398
2013-01-14 6.5453
2013-01-15 6.5722
2013-01-16 6.5825
2013-01-17 6.5921
2013-01-18 6.6035
2013-01-19 6.6092
2013-01-20 6.6204
2013-01-21 6.6201
2013-01-22 6.6275
2013-01-23 6.6356
2013-01-24 6.6356
2013-01-25 6.6356
2013-01-26 6.6293
2013-01-27 6.6207
2013-01-28 6.6437
2013-01-29 6.6659
2013-01-30 6.6854
2013-01-31 6.7006
2013-02-01 6.7156
2013-02-02 6.7191
2013-02-03 6.7141
2013-02-04 6.7111
2013-02-05 6.7049
2013-02-06 6.7017
2013-02-07 6.7096
2013-02-08 6.7148
2013-02-09 6.7234
2013-02-10 6.7439
2013-02-11 6.7196
2013-02-12 6.7166
2013-02-13 6.7286
2013-02-14 6.7291
2013-02-15 6.7305
2013-02-16 6.7245
2013-02-17 6.7209
2013-02-18 6.7291
2013-02-19 6.7313
2013-02-20 6.7325
2013-02-21 6.7385
2013-02-22 6.7335
2013-02-23 6.7272
2013-02-24 6.71
2013-02-25 6.7317
2013-02-26 6.7388
2013-02-27 6.7384
2013-02-28 6.7402
2013-03-01 6.7404
2013-03-02 6.7399
2013-03-03 6.7399
2013-03-04 6.7413
2013-03-05 6.7431
2013-03-06 6.747
2013-03-07 6.753
2013-03-08 6.7555
2013-03-09 6.8084
2013-03-10 6.7604
2013-03-11 6.7625
2013-03-12 6.763
2013-03-13 6.7672
2013-03-14 6.777
2013-03-15 6.7813
2013-03-16 6.7812
2013-03-17 6.7719
2013-03-18 6.8221
2013-03-19 6.7888
2013-03-20 6.7911
2013-03-21 6.7952
2013-03-22 6.7979
2013-03-23 6.7898
2013-03-24 6.7938
2013-03-25 6.7838
2013-03-26 6.7999
2013-03-27 6.7992
2013-03-28 6.8012
2013-03-29 6.8009
2013-03-30 6.7982
2013-03-31 6.7974
2013-04-01 6.7997
2013-04-02 6.7979
2013-04-03 6.8136
2013-04-04 6.8271
2013-04-05 6.8376
2013-04-06 6.838
2013-04-07 6.8432
2013-04-08 6.8455
2013-04-09 6.8485
2013-04-10 6.8539
2013-04-11 6.8654
2013-04-12 6.8709
2013-04-13 6.8722
2013-04-14 6.8715
2013-04-15 6.8782
2013-04-16 6.8864
2013-04-17 6.8895
2013-04-18 6.8973
2013-04-19 6.9094
2013-04-20 6.9053
2013-04-21 6.9197
2013-04-22 6.9071
2013-04-23 6.918
2013-04-24 6.9214
2013-04-25 6.9257
2013-04-26 6.9256
2013-04-27 6.919
2013-04-28 6.9102
2013-04-29 6.9207
2013-04-30 6.9344
2013-05-01 6.9332
2013-05-02 6.9378
2013-05-03 6.9415
2013-05-04 6.9414
2013-05-05 6.9419
2013-05-06 6.9413
2013-05-07 6.9415
2013-05-08 6.9453
2013-05-09 6.9506
2013-05-10 6.9559
2013-05-11 6.9565
2013-05-12 6.9713
2013-05-13 6.9645
2013-05-14 6.9648
2013-05-15 6.9662
2013-05-16 6.9723
2013-05-17 6.9723
2013-05-18 6.9771
2013-05-19 6.9872
2013-05-20 6.9829
2013-05-21 6.9816
2013-05-22 6.9819
2013-05-23 6.9823
2013-05-24 6.9823
2013-05-25 6.987
2013-05-26 6.9962
2013-05-27 6.988
2013-05-28 6.982
2013-05-29 6.9826
2013-05-30 6.9832
2013-05-31 6.9834
2013-06-01 6.9845
2013-06-02 6.9807
2013-06-03 6.984
2013-06-04 6.9853
2013-06-05 6.9864
2013-06-06 6.9879
2013-06-07 6.9893
2013-06-08 6.9987
2013-06-09 7.0166
2013-06-10 6.9984
2013-06-11 6.9908
2013-06-12 6.9914
2013-06-13 6.992
2013-06-14 6.9935
2013-06-15 6.9873
2013-06-16 6.9787
2013-06-17 6.9909
2013-06-18 6.9961
2013-06-19 6.9974
2013-06-20 7.0013
2013-06-21 7.0044
2013-06-22 7.0321
2013-06-23 7.0287
2013-06-24 7.0235
2013-06-25 7.0087
2013-06-26 7.0119
2013-06-27 7.0171
2013-06-28 7.0194
2013-06-29 7.0335
2013-06-30 7.0492
2013-07-01 7.0215
2013-07-02 7.0194
2013-07-03 7.0238
2013-07-04 7.0287
2013-07-05 7.0286
2013-07-06 7.0418
2013-07-07 7.0289
2013-07-08 7.0396
2013-07-09 7.0196
2013-07-10 7.0151
2013-07-11 7.0036
2013-07-12 6.9983
2013-07-13 6.9997
2013-07-14 6.9848
2013-07-15 6.9964
2013-07-16 7.0027
2013-07-17 7.0031
2013-07-18 7.0025
2013-07-19 7.0026
2013-07-20 6.9926
2013-07-21 6.9869
2013-07-22 6.9941
2013-07-23 7.0023
2013-07-24 7.0021
2013-07-25 7.0015
2013-07-26 7.0016
2013-07-27 6.9979
2013-07-28 6.9937
2013-07-29 6.9994
2013-07-30 7.0013
2013-07-31 7.0007
2013-08-01 6.9965
2013-08-02 6.9913
2013-08-03 6.9725
2013-08-04 6.9908
2013-08-05 6.9949
2013-08-06 6.9952
2013-08-07 6.9921
2013-08-08 6.9867
2013-08-09 6.9852
2013-08-10 6.9847
2013-08-11 6.9906
2013-08-12 6.9902
2013-08-13 6.9892
2013-08-14 6.9891
2013-08-15 6.9888
2013-08-16 6.9896
2013-08-17 6.9905
2013-08-18 6.9927
2013-08-19 6.99
2013-08-20 6.988
2013-08-21 6.9876
2013-08-22 6.9866
2013-08-23 6.9872
2013-08-24 6.9808
2013-08-25 6.9707
2013-08-26 6.9842
2013-08-27 6.9821
2013-08-28 6.9823
2013-08-29 6.9858
2013-08-30 6.9856
2013-08-31 6.9828
2013-09-01 6.9945
2013-09-02 6.9958
2013-09-03 6.9851
2013-09-04 6.9561
2013-09-05 6.9051
2013-09-06 6.9051
2013-09-07 6.8672
2013-09-08 6.8668
2013-09-09 6.9043
2013-09-10 6.8958
2013-09-11 6.8953
2013-09-12 6.8952
2013-09-13 6.8941
2013-09-14 6.8914
2013-09-15 6.8914
2013-09-16 6.8794
2013-09-17 6.8934
2013-09-18 6.8935
2013-09-19 6.8919
2013-09-20 6.8929
2013-09-21 6.894
2013-09-22 6.8911
2013-09-23 6.8937
2013-09-24 6.8929
2013-09-25 6.8917
2013-09-26 6.8916
2013-09-27 6.8917
2013-09-28 6.891
2013-09-29 6.8845
2013-09-30 6.8931
2013-10-01 6.8914
2013-10-02 6.8916
2013-10-03 6.8909
2013-10-04 6.8914
2013-10-05 6.8896
2013-10-06 6.9094
2013-10-07 6.896
2013-10-08 6.8906
2013-10-09 6.8906
2013-10-10 6.8904
2013-10-11 6.8899
2013-10-12 6.8923
2013-10-13 6.8886
2013-10-14 6.8907
2013-10-15 6.8903
2013-10-16 6.8904
2013-10-17 6.8901
2013-10-18 6.8902
2013-10-19 6.891
2013-10-20 6.8974
2013-10-21 6.8939
2013-10-22 6.8899
2013-10-23 6.8895
2013-10-24 6.8895
2013-10-25 6.8897
2013-10-26 6.8882
2013-10-27 6.8864
2013-10-28 6.8882
2013-10-29 6.8899
2013-10-30 6.8891
2013-10-31 6.8888
2013-11-01 6.8882
2013-11-02 6.8924
2013-11-03 6.9012
2013-11-04 6.8935
2013-11-05 6.8893
2013-11-06 6.8892
2013-11-07 6.8889
2013-11-08 6.8886
2013-11-09 6.8885
2013-11-10 6.9165
2013-11-11 6.9005
2013-11-12 6.8887
2013-11-13 6.8888
2013-11-14 6.8889
2013-11-15 6.8882
2013-11-16 6.8893
2013-11-17 6.8642
2013-11-18 6.8825
2013-11-19 6.8882
2013-11-20 6.888
2013-11-21 6.8878
2013-11-22 6.8875
2013-11-23 6.8873
2013-11-24 6.891
2013-11-25 6.8889
2013-11-26 6.8873
2013-11-27 6.8872
2013-11-28 6.8866
