"Index" "USD.HUF"
2013-01-01 220.6325
2013-01-02 220.0985
2013-01-03 221.2845
2013-01-04 222.3745
2013-01-05 222.0445
2013-01-06 221.993
2013-01-07 222.803
2013-01-08 222.767
2013-01-09 222.6505
2013-01-10 221.849
2013-01-11 221.9795
2013-01-12 221.7895
2013-01-13 221.7695
2013-01-14 221.515
2013-01-15 220.543
2013-01-16 221.8715
2013-01-17 220.2415
2013-01-18 219.1885
2013-01-19 220.17
2013-01-20 220.2175
2013-01-21 219.9575
2013-01-22 220.3675
2013-01-23 220.9025
2013-01-24 221.041
2013-01-25 220.996
2013-01-26 221.2275
2013-01-27 221.0435
2013-01-28 221.425
2013-01-29 221.1565
2013-01-30 218.5145
2013-01-31 216.091
2013-02-01 214.337
2013-02-02 214.363
2013-02-03 214.3325
2013-02-04 215.455
2013-02-05 216.483
2013-02-06 217.1905
2013-02-07 217.773
2013-02-08 218.0375
2013-02-09 217.5455
2013-02-10 217.623
2013-02-11 217.3085
2013-02-12 216.8575
2013-02-13 215.412
2013-02-14 217.6125
2013-02-15 218.778
2013-02-16 219.106
2013-02-17 219.176
2013-02-18 218.909
2013-02-19 217.9825
2013-02-20 217.594
2013-02-21 220.876
2013-02-22 222.382
2013-02-23 222.727
2013-02-24 222.6735
2013-02-25 222.5535
2013-02-26 225.546
2013-02-27 225.7885
2013-02-28 225.3595
2013-03-01 226.268
2013-03-02 226.3555
2013-03-03 226.3875
2013-03-04 227.663
2013-03-05 228.721
2013-03-06 229.3355
2013-03-07 229.6905
2013-03-08 228.6135
2013-03-09 230.2675
2013-03-10 230.75
2013-03-11 232.041
2013-03-12 233.187
2013-03-13 235.2695
2013-03-14 234.995
2013-03-15 233.445
2013-03-16 233.234
2013-03-17 233.207
2013-03-18 236.863
2013-03-19 236.531
2013-03-20 236.406
2013-03-21 236.2085
2013-03-22 237.2545
2013-03-23 236.1975
2013-03-24 236.015
2013-03-25 236.565
2013-03-26 237.413
2013-03-27 237.263
2013-03-28 237.464
2013-03-29 237.3735
2013-03-30 237.2415
2013-03-31 237.248
2013-04-01 237.104
2013-04-02 235.8325
2013-04-03 235.5735
2013-04-04 235.0645
2013-04-05 232.0365
2013-04-06 230.056
2013-04-07 229.9945
2013-04-08 229.0785
2013-04-09 227.573
2013-04-10 227.2115
2013-04-11 226.7505
2013-04-12 225.921
2013-04-13 225.351
2013-04-14 225.068
2013-04-15 225.546
2013-04-16 225.0295
2013-04-17 224.102
2013-04-18 227.27
2013-04-19 228.2735
2013-04-20 228.782
2013-04-21 228.2095
2013-04-22 228.963
2013-04-23 229.9095
2013-04-24 230.776
2013-04-25 230.934
2013-04-26 231.5285
2013-04-27 231.9335
2013-04-28 231.893
2013-04-29 229.9965
2013-04-30 228.6445
2013-05-01 226.873
2013-05-02 226.5675
2013-05-03 226.1275
2013-05-04 225.6575
2013-05-05 225.657
2013-05-06 226.2325
2013-05-07 226.574
2013-05-08 224.5165
2013-05-09 223.257
2013-05-10 225.379
2013-05-11 225.671
2013-05-12 225.648
2013-05-13 226.337
2013-05-14 226.9905
2013-05-15 227.156
2013-05-16 226.1395
2013-05-17 226.1395
2013-05-18 226.8955
2013-05-19 226.85
2013-05-20 226.1285
2013-05-21 225.3625
2013-05-22 224.183
2013-05-23 225.8005
2013-05-24 224.471
2013-05-25 223.73
2013-05-26 223.7145
2013-05-27 223.7725
2013-05-28 223.173
2013-05-29 223.7045
2013-05-30 224.4155
2013-05-31 227.022
2013-06-01 228.352
2013-06-02 228.3135
2013-06-03 226.818
2013-06-04 224.017
2013-06-05 225.5245
2013-06-06 226.658
2013-06-07 224.137
2013-06-08 224
2013-06-09 223.91
2013-06-10 225.0165
2013-06-11 225.276
2013-06-12 222.803
2013-06-13 221.248
2013-06-14 218.639
2013-06-15 217.897
2013-06-16 217.976
2013-06-17 217.985
2013-06-18 218.8665
2013-06-19 219.9425
2013-06-20 225.622
2013-06-21 226.926
2013-06-22 228.045
2013-06-23 228.493
2013-06-24 228.437
2013-06-25 226.9795
2013-06-26 227.453
2013-06-27 227.162
2013-06-28 226.527
2013-06-29 226.799
2013-06-30 226.6095
2013-07-01 225.9165
2013-07-02 225.316
2013-07-03 226.7935
2013-07-04 226.8895
2013-07-05 228.768
2013-07-06 230.6395
2013-07-07 230.528
2013-07-08 229.8985
2013-07-09 228.7305
2013-07-10 228.925
2013-07-11 224.12
2013-07-12 223.639
2013-07-13 223.4215
2013-07-14 223.4425
2013-07-15 223.696
2013-07-16 223.086
2013-07-17 222.9505
2013-07-18 224.3655
2013-07-19 225.0515
2013-07-20 225.0765
2013-07-21 224.876
2013-07-22 223.7995
2013-07-23 223.417
2013-07-24 223.9655
2013-07-25 224.4695
2013-07-26 223.6575
2013-07-27 223.819
2013-07-28 223.7045
2013-07-29 224.3375
2013-07-30 225.3575
2013-07-31 225.788
2013-08-01 226.1105
2013-08-02 226.5665
2013-08-03 224.704
2013-08-04 224.7125
2013-08-05 224.9775
2013-08-06 225.2005
2013-08-07 224.979
2013-08-08 223.835
2013-08-09 222.5075
2013-08-10 222.065
2013-08-11 222.4175
2013-08-12 223.0155
2013-08-13 224.337
2013-08-14 225.208
2013-08-15 225.1145
2013-08-16 224.4115
2013-08-17 225.0065
2013-08-18 224.8165
2013-08-19 225.161
2013-08-20 224.3345
2013-08-21 223.748
2013-08-22 224.9235
2013-08-23 223.667
2013-08-24 222.6875
2013-08-25 222.7385
2013-08-26 222.881
2013-08-27 224.371
2013-08-28 225.723
2013-08-29 226.39
2013-08-30 227.208
2013-08-31 227.778
2013-09-01 227.7955
2013-09-02 227.567
2013-09-03 228.546
2013-09-04 228.9385
2013-09-05 229.0235
2013-09-06 229.0235
2013-09-07 227.603
2013-09-08 228.1795
2013-09-09 227.3715
2013-09-10 226.1705
2013-09-11 225.5535
2013-09-12 225.865
2013-09-13 226.303
2013-09-14 226.083
2013-09-15 225.351
2013-09-16 224.1015
2013-09-17 223.6955
2013-09-18 222.3795
2013-09-19 218.7645
2013-09-20 220.192
2013-09-21 221.001
