"Index" "USD.IDR"
2013-01-01 9643.28
2013-01-02 9661.915
2013-01-03 9661.915
2013-01-04 9661.915
2013-01-05 9661.915
2013-01-06 9686.235
2013-01-07 9676.24
2013-01-08 9690.005
2013-01-09 9690.005
2013-01-10 9680.625
2013-01-11 9643.28
2013-01-12 9633.995
2013-01-13 9633.995
2013-01-14 9629.33
2013-01-15 9671.26
2013-01-16 9671.26
2013-01-17 9661.915
2013-01-18 9643.28
2013-01-19 9633.995
2013-01-20 9752.565
2013-01-21 9709.48
2013-01-22 9633.995
2013-01-23 9633.995
2013-01-24 9624.72
2013-01-25 9652.59
2013-01-26 9662.06
2013-01-27 9749.585
2013-01-28 9704.69
2013-01-29 9699.405
2013-01-30 9708.82
2013-01-31 9713.51
2013-02-01 9722.955
2013-02-02 9705
2013-02-03 9713.51
2013-02-04 9666.775
2013-02-05 9680.625
2013-02-06 9699.405
2013-02-07 9699.405
2013-02-08 9675.915
2013-02-09 9661.915
2013-02-10 9666.56
2013-02-11 9629.33
2013-02-12 9633.995
2013-02-13 9643.28
2013-02-14 9661.915
2013-02-15 9671.26
2013-02-16 9661.915
2013-02-17 9670
2013-02-18 9680.87
2013-02-19 9699.405
2013-02-20 9690.005
2013-02-21 9699.405
2013-02-22 9708.82
2013-02-23 9704.14
2013-02-24 9713
2013-02-25 9708.82
2013-02-26 9708.82
2013-02-27 9690.005
2013-02-28 9671.26
2013-03-01 9675.915
2013-03-02 9675.97
2013-03-03 9671.26
2013-03-04 9671.215
2013-03-05 9699.405
2013-03-06 9690.005
2013-03-07 9690.005
2013-03-08 9690.005
2013-03-09 9690.005
2013-03-10 9690.005
2013-03-11 9699.405
2013-03-12 9699.405
2013-03-13 9690.005
2013-03-14 9699.405
2013-03-15 9699.405
2013-03-16 9704.14
2013-03-17 9704.14
2013-03-18 9718.255
2013-03-19 9708.82
2013-03-20 9718.255
2013-03-21 9727.71
2013-03-22 9737.185
2013-03-23 9741.9
2013-03-24 9743
2013-03-25 9713.735
2013-03-26 9737.185
2013-03-27 9727.71
2013-03-28 9718.255
2013-03-29 9718.255
2013-03-30 9708.82
2013-03-31 9708.82
2013-04-01 9690.37
2013-04-02 9727.665
2013-04-03 9746.67
2013-04-04 9746.67
2013-04-05 9746.67
2013-04-06 9813.63
2013-04-07 9784.82
2013-04-08 9756.185
2013-04-09 9727.71
2013-04-10 9699.405
2013-04-11 9699.405
2013-04-12 9708.82
2013-04-13 9713.565
2013-04-14 9708.82
2013-04-15 9708.82
2013-04-16 9718.255
2013-04-17 9708.82
2013-04-18 9718.255
2013-04-19 9708.82
2013-04-20 9718.255
2013-04-21 9713.51
2013-04-22 9718.255
2013-04-23 9727.71
2013-04-24 9718.255
2013-04-25 9718.255
2013-04-26 9718.255
2013-04-27 9718.255
2013-04-28 9713.51
2013-04-29 9704.085
2013-04-30 9718.255
2013-05-01 9722.955
2013-05-02 9727.71
2013-05-03 9737.185
2013-05-04 9732.42
2013-05-05 9735
2013-05-06 9723.175
2013-05-07 9737.185
2013-05-08 9727.71
2013-05-09 9727.71
2013-05-10 9737.185
2013-05-11 9732.42
2013-05-12 9735
2013-05-13 9728.08
2013-05-14 9737.185
2013-05-15 9746.67
2013-05-16 9746.67
2013-05-17 9746.67
2013-05-18 9785.495
2013-05-19 9840.92
2013-05-20 9780.625
2013-05-21 9765.71
2013-05-22 9765.71
2013-05-23 9775.255
2013-05-24 9775.255
2013-05-25 9770.455
2013-05-26 9775.255
2013-05-27 9784.82
2013-05-28 9794.405
2013-05-29 9804.005
2013-05-30 9804.005
2013-05-31 9804.005
2013-06-01 9804.005
2013-06-02 9933.65
2013-06-03 9842.985
2013-06-04 9804.005
2013-06-05 9799.175
2013-06-06 9794.405
2013-06-07 9799.175
