"Index" "USD.ILS"
2013-01-01 3.7285
2013-01-02 3.7224
2013-01-03 3.7366
2013-01-04 3.7725
2013-01-05 3.7797
2013-01-06 3.7861
2013-01-07 3.7815
2013-01-08 3.7738
2013-01-09 3.7769
2013-01-10 3.7707
2013-01-11 3.7407
2013-01-12 3.7386
2013-01-13 3.7387
2013-01-14 3.7301
2013-01-15 3.7284
2013-01-16 3.7276
2013-01-17 3.7224
2013-01-18 3.7232
2013-01-19 3.7304
2013-01-20 3.731
2013-01-21 3.7357
2013-01-22 3.7341
2013-01-23 3.7271
2013-01-24 3.7197
2013-01-25 3.714
2013-01-26 3.7164
2013-01-27 3.7169
2013-01-28 3.724
2013-01-29 3.7282
2013-01-30 3.728
2013-01-31 3.7248
2013-02-01 3.6908
2013-02-02 3.6729
2013-02-03 3.6763
2013-02-04 3.6852
2013-02-05 3.691
2013-02-06 3.6892
2013-02-07 3.6905
2013-02-08 3.694
2013-02-09 3.6904
2013-02-10 3.6924
2013-02-11 3.6953
2013-02-12 3.6952
2013-02-13 3.6821
2013-02-14 3.682
2013-02-15 3.6853
2013-02-16 3.6932
2013-02-17 3.6908
2013-02-18 3.6845
2013-02-19 3.6829
2013-02-20 3.6672
2013-02-21 3.6811
2013-02-22 3.7044
2013-02-23 3.7103
2013-02-24 3.7087
2013-02-25 3.7133
2013-02-26 3.7313
2013-02-27 3.7248
2013-02-28 3.7096
2013-03-01 3.7244
2013-03-02 3.7212
2013-03-03 3.7279
2013-03-04 3.7325
2013-03-05 3.7339
2013-03-06 3.7307
2013-03-07 3.7238
2013-03-08 3.6931
2013-03-09 3.6834
2013-03-10 3.6896
2013-03-11 3.6831
2013-03-12 3.6796
2013-03-13 3.6866
2013-03-14 3.6969
2013-03-15 3.6855
2013-03-16 3.6832
2013-03-17 3.6852
2013-03-18 3.6911
2013-03-19 3.6872
2013-03-20 3.6835
2013-03-21 3.6738
2013-03-22 3.6623
2013-03-23 3.6536
2013-03-24 3.6526
2013-03-25 3.6401
2013-03-26 3.6301
2013-03-27 3.636
2013-03-28 3.6444
2013-03-29 3.642
2013-03-30 3.646
2013-03-31 3.646
2013-04-01 3.6442
2013-04-02 3.6272
2013-04-03 3.6163
2013-04-04 3.6268
2013-04-05 3.6272
2013-04-06 3.6245
2013-04-07 3.6238
2013-04-08 3.6217
2013-04-09 3.625
2013-04-10 3.633
2013-04-11 3.6335
2013-04-12 3.6262
2013-04-13 3.6246
2013-04-14 3.6242
2013-04-15 3.6283
2013-04-16 3.6323
2013-04-17 3.6229
2013-04-18 3.6322
2013-04-19 3.6307
2013-04-20 3.6338
2013-04-21 3.6333
2013-04-22 3.6287
2013-04-23 3.6247
2013-04-24 3.618
2013-04-25 3.6097
2013-04-26 3.6051
2013-04-27 3.6035
2013-04-28 3.6063
2013-04-29 3.5958
2013-04-30 3.5882
2013-05-01 3.5828
2013-05-02 3.5742
2013-05-03 3.5631
2013-05-04 3.5623
2013-05-05 3.5691
2013-05-06 3.5671
2013-05-07 3.5649
2013-05-08 3.5613
2013-05-09 3.5521
2013-05-10 3.5619
2013-05-11 3.5717
2013-05-12 3.572
2013-05-13 3.5863
2013-05-14 3.6299
2013-05-15 3.6537
2013-05-16 3.649
2013-05-17 3.649
2013-05-18 3.6663
2013-05-19 3.6628
2013-05-20 3.6622
2013-05-21 3.6665
2013-05-22 3.677
2013-05-23 3.7033
2013-05-24 3.6991
2013-05-25 3.6985
2013-05-26 3.6957
2013-05-27 3.6975
2013-05-28 3.7102
2013-05-29 3.701
2013-05-30 3.6866
2013-05-31 3.6855
2013-06-01 3.6905
2013-06-02 3.6896
2013-06-03 3.6837
2013-06-04 3.67
2013-06-05 3.6663
2013-06-06 3.6491
2013-06-07 3.6171
2013-06-08 3.6112
2013-06-09 3.6125
2013-06-10 3.6237
2013-06-11 3.6383
2013-06-12 3.6284
2013-06-13 3.6155
2013-06-14 3.6038
2013-06-15 3.6008
2013-06-16 3.5999
2013-06-17 3.5996
2013-06-18 3.5941
2013-06-19 3.5941
2013-06-20 3.6252
2013-06-21 3.6371
2013-06-22 3.6456
2013-06-23 3.6442
2013-06-24 3.6395
2013-06-25 3.6147
2013-06-26 3.6185
2013-06-27 3.6331
2013-06-28 3.6268
2013-06-29 3.63
2013-06-30 3.6415
2013-07-01 3.6372
2013-07-02 3.634
2013-07-03 3.6428
2013-07-04 3.6367
2013-07-05 3.6483
2013-07-06 3.6534
2013-07-07 3.6549
2013-07-08 3.6594
2013-07-09 3.6579
2013-07-10 3.6471
2013-07-11 3.6163
2013-07-12 3.5998
2013-07-13 3.5997
2013-07-14 3.5997
2013-07-15 3.5936
2013-07-16 3.5725
2013-07-17 3.5708
2013-07-18 3.5858
2013-07-19 3.5759
2013-07-20 3.5721
2013-07-21 3.5724
2013-07-22 3.5702
2013-07-23 3.5705
2013-07-24 3.5747
2013-07-25 3.5851
2013-07-26 3.5813
2013-07-27 3.589
2013-07-28 3.5888
2013-07-29 3.588
2013-07-30 3.5741
2013-07-31 3.5687
2013-08-01 3.5619
