"Index" "USD.INR"
2013-01-01 54.7685
2013-01-02 54.3881
2013-01-03 54.3807
2013-01-04 54.8511
2013-01-05 54.823
2013-01-06 54.823
2013-01-07 55.0981
2013-01-08 55.1565
2013-01-09 54.9284
2013-01-10 54.6712
2013-01-11 54.627
2013-01-12 54.827
2013-01-13 54.828
2013-01-14 54.6194
2013-01-15 54.5335
2013-01-16 54.7389
2013-01-17 54.4057
2013-01-18 53.8661
2013-01-19 53.636
2013-01-20 53.6365
2013-01-21 53.6971
2013-01-22 53.5946
2013-01-23 53.6052
2013-01-24 53.6248
2013-01-25 53.7131
2013-01-26 53.802
2013-01-27 53.7991
2013-01-28 53.908
2013-01-29 53.7497
2013-01-30 53.3892
2013-01-31 53.2295
2013-02-01 53.2138
2013-02-02 53.063
2013-02-03 53.0652
2013-02-04 53.1659
2013-02-05 53.2325
2013-02-06 53.091
2013-02-07 53.2485
2013-02-08 53.6042
2013-02-09 53.771
2013-02-10 53.771
2013-02-11 53.8091
2013-02-12 53.9211
2013-02-13 53.8133
2013-02-14 53.8668
2013-02-15 54.1006
2013-02-16 54.359
2013-02-17 54.359
2013-02-18 54.3595
2013-02-19 54.3025
2013-02-20 54.1555
2013-02-21 54.5211
2013-02-22 54.4374
2013-02-23 54.29
2013-02-24 54.29
2013-02-25 54.0648
2013-02-26 54.1262
2013-02-27 53.8787
2013-02-28 54.1462
2013-03-01 54.8723
2013-03-02 55.181
2013-03-03 55.181
2013-03-04 55.0915
2013-03-05 54.8971
2013-03-06 54.8329
2013-03-07 54.6533
2013-03-08 54.4191
2013-03-09 54.364
2013-03-10 54.364
2013-03-11 54.385
2013-03-12 54.2567
2013-03-13 54.2669
2013-03-14 54.2803
2013-03-15 54.0785
2013-03-16 54.057
2013-03-17 54.057
2013-03-18 54.1456
2013-03-19 54.2785
2013-03-20 54.4231
2013-03-21 54.3304
2013-03-22 54.3739
2013-03-23 54.369
2013-03-24 54.369
2013-03-25 54.2119
2013-03-26 54.2895
2013-03-27 54.4021
2013-03-28 54.3799
2013-03-29 54.4828
2013-03-30 54.505
2013-03-31 54.505
2013-04-01 54.4927
2013-04-02 54.3738
2013-04-03 54.4438
2013-04-04 54.7403
2013-04-05 54.7981
2013-04-06 54.717
2013-04-07 54.717
2013-04-08 54.6608
2013-04-09 54.4482
2013-04-10 54.3591
2013-04-11 54.283
2013-04-12 54.405
2013-04-13 54.528
2013-04-14 54.528
2013-04-15 54.5027
2013-04-16 54.1846
2013-04-17 53.8627
2013-04-18 53.8563
2013-04-19 53.739
2013-04-20 53.715
2013-04-21 53.715
2013-04-22 53.8947
2013-04-23 54.1233
2013-04-24 54.1029
2013-04-25 53.9838
2013-04-26 54.0942
2013-04-27 54.228
2013-04-28 54.228
2013-04-29 54.1032
2013-04-30 53.7033
2013-05-01 53.3528
2013-05-02 53.4713
2013-05-03 53.5846
2013-05-04 53.512
2013-05-05 53.512
2013-05-06 53.7665
2013-05-07 53.9022
2013-05-08 53.813
2013-05-09 54.026
2013-05-10 54.5318
2013-05-11 54.659
2013-05-12 54.659
2013-05-13 54.719
2013-05-14 54.5983
2013-05-15 54.6667
2013-05-16 54.641
2013-05-17 54.8219
2013-05-18 55.042
2013-05-19 55.042
2013-05-20 54.9702
2013-05-21 55.1206
2013-05-22 55.4941
2013-05-23 55.7634
2013-05-24 55.6705
2013-05-25 55.77
2013-05-26 55.77
2013-05-27 55.65
2013-05-28 55.8569
2013-05-29 56.2273
2013-05-30 56.3093
2013-05-31 56.5901
2013-06-01 56.662
2013-06-02 56.662
2013-06-03 56.5946
2013-06-04 56.497
2013-06-05 56.6448
2013-06-06 56.8758
2013-06-07 56.9982
2013-06-08 57.293
2013-06-09 57.293
2013-06-10 57.817
2013-06-11 58.3799
2013-06-12 57.9835
2013-06-13 58.0689
2013-06-14 57.6235
2013-06-15 57.594
2013-06-16 57.594
2013-06-17 57.7785
2013-06-18 58.5263
2013-06-19 58.8504
2013-06-20 59.8362
2013-06-21 59.6719
2013-06-22 59.694
2013-06-23 59.694
2013-06-24 59.8417
2013-06-25 59.7453
2013-06-26 60.2184
2013-06-27 60.396
2013-06-28 59.74
2013-06-29 59.632
2013-06-30 59.632
2013-07-01 59.4187
2013-07-02 59.5232
2013-07-03 60.1488
2013-07-04 60.1461
2013-07-05 60.5076
2013-07-06 61.069
2013-07-07 61.069
2013-07-08 60.8799
2013-07-09 60.1496
2013-07-10 60.0286
2013-07-11 59.8064
2013-07-12 59.9275
2013-07-13 59.931
2013-07-14 59.931
2013-07-15 59.8302
2013-07-16 59.1957
2013-07-17 59.3508
2013-07-18 59.6594
2013-07-19 59.699
2013-07-20 59.542
2013-07-21 59.542
2013-07-22 59.5236
2013-07-23 59.6184
2013-07-24 59.4153
2013-07-25 59.2213
2013-07-26 59.0914
2013-07-27 59.14
2013-07-28 59.14
2013-07-29 59.4179
2013-07-30 60.3474
2013-07-31 61.1271
2013-08-01 60.8169
2013-08-02 61.0244
2013-08-03 61.164
2013-08-04 61.164
2013-08-05 61.1971
2013-08-06 61.5897
2013-08-07 61.54
2013-08-08 61.1406
2013-08-09 60.6825
2013-08-10 60.547
2013-08-11 60.547
2013-08-12 60.9855
2013-08-13 61.4704
2013-08-14 61.4942
2013-08-15 61.4212
2013-08-16 62.0194
2013-08-17 62.689
2013-08-18 62.689
2013-08-19 63.2148
2013-08-20 63.8557
2013-08-21 64.2737
2013-08-22 65.0828
2013-08-23 64.4812
2013-08-24 64.355
2013-08-25 64.355
2013-08-26 64.4786
2013-08-27 66.2106
2013-08-28 67.8787
2013-08-29 67.5527
2013-08-30 67.0462
2013-08-31 66.767
2013-09-01 66.767
2013-09-02 66.5317
2013-09-03 67.7187
2013-09-04 67.4744
2013-09-05 66.3278
2013-09-06 65.5295
2013-09-07 64.719
2013-09-08 64.719
2013-09-09 64.7007
2013-09-10 64.0505
2013-09-11 63.6032
2013-09-12 63.4746
2013-09-13 63.5776
2013-09-14 63.303
2013-09-15 63.303
2013-09-16 62.872
2013-09-17 63.174
2013-09-18 63.0377
2013-09-19 61.5694
2013-09-20 62.0453
2013-09-21 62.424
2013-09-22 62.424
2013-09-23 62.4669
2013-09-24 62.6003
2013-09-25 62.4595
2013-09-26 61.8906
2013-09-27 62.1277
2013-09-28 62.852
2013-09-29 62.852
2013-09-30 62.6648
2013-10-01 62.3543
2013-10-02 62.3392
2013-10-03 61.7239
2013-10-04 61.2896
2013-10-05 61.161
2013-10-06 61.161
2013-10-07 61.3963
2013-10-08 61.519
2013-10-09 61.6477
2013-10-10 61.3489
2013-10-11 60.7492
2013-10-12 60.6495
2013-10-13 60.6495
2013-10-14 60.8982
2013-10-15 61.2103
2013-10-16 61.341
2013-10-17 60.9157
2013-10-18 60.8221
2013-10-19 60.932
2013-10-20 60.932
2013-10-21 61.1736
2013-10-22 61.2235
2013-10-23 61.1559
2013-10-24 61.194
2013-10-25 61.199
2013-10-26 61.1375
2013-10-27 61.1375
2013-10-28 61.2171
2013-10-29 61.2353
2013-10-30 61.0697
2013-10-31 61.2417
2013-11-01 61.8698
2013-11-02 61.968
2013-11-03 61.968
2013-11-04 61.913
2013-11-05 61.796
2013-11-06 62.1371
2013-11-07 62.4762
2013-11-08 62.829
2013-11-09 63.221
2013-11-10 63.221
2013-11-11 63.4079
2013-11-12 63.7763
2013-11-13 63.6292
2013-11-14 63.1881
2013-11-15 63.0162
2013-11-16 62.674
2013-11-17 62.674
2013-11-18 62.4808
2013-11-19 62.1122
2013-11-20 62.3125
2013-11-21 62.7426
2013-11-22 62.7542
2013-11-23 62.383
2013-11-24 62.383
2013-11-25 62.323
2013-11-26 62.215
2013-11-27 62.2558
2013-11-28 62.2898
2013-11-29 62.2324
2013-11-30 62.256
2013-12-01 62.256
2013-12-02 62.1134
2013-12-03 62.2013
2013-12-04 62.0779
2013-12-05 61.5343
2013-12-06 61.3342
2013-12-07 60.996
2013-12-08 60.996
2013-12-09 60.8611
2013-12-10 60.9196
2013-12-11 61.1743
2013-12-12 61.706
2013-12-13 62.0425
2013-12-14 62.1
2013-12-15 62.1
2013-12-16 61.8607
2013-12-17 61.6436
2013-12-18 61.6876
2013-12-19 62.0853
2013-12-20 62.0779
