"Index" "USD.KRW"
2013-01-01 1064.735
2013-01-02 1063.89
2013-01-03 1063.04
2013-01-04 1063.49
2013-01-05 1059.705
2013-01-06 1055.795
2013-01-07 1060.755
2013-01-08 1063.32
2013-01-09 1061.515
2013-01-10 1059.775
2013-01-11 1055.91
2013-01-12 1052.83
2013-01-13 1046.73
2013-01-14 1051.61
2013-01-15 1056.75
2013-01-16 1058.76
2013-01-17 1058.09
2013-01-18 1057.64
2013-01-19 1059.345
2013-01-20 1061.21
2013-01-21 1062.73
2013-01-22 1063.605
2013-01-23 1065.985
2013-01-24 1068.095
2013-01-25 1073.885
2013-01-26 1071.775
2013-01-27 1075.045
2013-01-28 1085.6
2013-01-29 1085.84
2013-01-30 1085.13
2013-01-31 1088.085
2013-02-01 1094.215
2013-02-02 1095.05
2013-02-03 1091.555
2013-02-04 1090.66
2013-02-05 1087.075
2013-02-06 1088.795
2013-02-07 1089.505
2013-02-08 1094.87
2013-02-09 1097.35
2013-02-10 1100.75
2013-02-11 1096.58
2013-02-12 1093.435
2013-02-13 1086.43
2013-02-14 1085.01
2013-02-15 1079.275
2013-02-16 1078.01
2013-02-17 1074.985
2013-02-18 1081.63
2013-02-19 1081.02
2013-02-20 1079.095
2013-02-21 1085.72
2013-02-22 1085.78
2013-02-23 1084.51
2013-02-24 1081.555
2013-02-25 1084.91
2013-02-26 1089.03
2013-02-27 1085.84
2013-02-28 1083.485
2013-03-01 1084.425
2013-03-02 1084.54
2013-03-03 1083.15
2013-03-04 1088.405
2013-03-05 1087.31
2013-03-06 1084.015
2013-03-07 1086.9
2013-03-08 1089.68
2013-03-09 1089.68
2013-03-10 1099.2
2013-03-11 1094.39
2013-03-12 1095.23
2013-03-13 1097.875
2013-03-14 1106.01
2013-03-15 1110.06
2013-03-16 1109.915
2013-03-17 1110.62
2013-03-18 1119.26
2013-03-19 1112.41
2013-03-20 1116.2
2013-03-21 1116.01
2013-03-22 1118.38
2013-03-23 1117.83
2013-03-24 1118.67
2013-03-25 1112.01
2013-03-26 1107.975
2013-03-27 1110.56
2013-03-28 1112.785
2013-03-29 1113.155
2013-03-30 1112.405
2013-03-31 1112.16
2013-04-01 1112.47
2013-04-02 1114.535
2013-04-03 1118.255
2013-04-04 1123.53
2013-04-05 1131.22
2013-04-06 1130.91
2013-04-07 1134.605
2013-04-08 1139.6
2013-04-09 1139.86
2013-04-10 1136.69
2013-04-11 1130.07
2013-04-12 1130.07
2013-04-13 1129.565
2013-04-14 1125.765
2013-04-15 1122.47
2013-04-16 1116.505
2013-04-17 1117.695
2013-04-18 1121.08
2013-04-19 1119.405
2013-04-20 1119.445
2013-04-21 1122.11
2013-04-22 1120.21
2013-04-23 1120.07
2013-04-24 1118.63
2013-04-25 1113.03
2013-04-26 1111.175
2013-04-27 1110.405
2013-04-28 1110.925
2013-04-29 1107.355
2013-04-30 1102.355
2013-05-01 1101.445
2013-05-02 1101.14
2013-05-03 1098.36
2013-05-04 1096.755
2013-05-05 1095.95
2013-05-06 1095.005
2013-05-07 1092.12
2013-05-08 1087.135
2013-05-09 1088.86
2013-05-10 1103.45
2013-05-11 1106.51
2013-05-12 1107.15
2013-05-13 1111.175
2013-05-14 1109.94
2013-05-15 1113.9
2013-05-16 1116.26
2013-05-17 1116.26
2013-05-18 1117.58
2013-05-19 1117.37
2013-05-20 1117.465
2013-05-21 1112.285
2013-05-22 1113.275
2013-05-23 1125.62
2013-05-24 1127.655
2013-05-25 1128.36
2013-05-26 1128.89
2013-05-27 1125
2013-05-28 1126.51
2013-05-29 1131.735
2013-05-30 1128.925
2013-05-31 1129.435
2013-06-01 1131.48
2013-06-02 1130.42
2013-06-03 1126.81
2013-06-04 1122.145
2013-06-05 1119.07
2013-06-06 1119.07
2013-06-07 1116.07
2013-06-08 1118.8
2013-06-09 1122.04
2013-06-10 1124.675
2013-06-11 1132.885
2013-06-12 1130.325
2013-06-13 1132.245
2013-06-14 1127.715
2013-06-15 1126.03
2013-06-16 1127.715
2013-06-17 1127.655
2013-06-18 1131.67
2013-06-19 1131.735
2013-06-20 1143.775
2013-06-21 1154.27
2013-06-22 1156.405
2013-06-23 1159.135
2013-06-24 1160.565
2013-06-25 1157.61
2013-06-26 1154.87
2013-06-27 1149.89
2013-06-28 1143.775
2013-06-29 1142.465
2013-06-30 1145.285
2013-07-01 1137.6
2013-07-02 1134.43
2013-07-03 1141.16
2013-07-04 1139.99
2013-07-05 1141.815
2013-07-06 1143.055
2013-07-07 1142.465
2013-07-08 1147.055
2013-07-09 1143.38
2013-07-10 1137.525
2013-07-11 1125.935
2013-07-12 1124.165
2013-07-13 1123.585
2013-07-14 1124.1
2013-07-15 1123.215
2013-07-16 1118.065
2013-07-17 1118.195
2013-07-18 1123.345
2013-07-19 1122.335
2013-07-20 1119.635
2013-07-21 1121.08
2013-07-22 1119.32
2013-07-23 1117.32
2013-07-24 1114.83
2013-07-25 1116.695
2013-07-26 1112.785
2013-07-27 1111.315
2013-07-28 1109.54
2013-07-29 1111.095
2013-07-30 1114.58
2013-07-31 1121.33
2013-08-01 1122.965
2013-08-02 1124.355
2013-08-03 1119.02
2013-08-04 1124.23
2013-08-05 1116.945
2013-08-06 1114.58
2013-08-07 1116.82
2013-08-08 1113.335
2013-08-09 1111.73
2013-08-10 1111.48
2013-08-11 1112.41
2013-08-12 1113.65
2013-08-13 1116.755
2013-08-14 1118.945
2013-08-15 1118.315
2013-08-16 1114.58
2013-08-17 1113.59
2013-08-18 1113.465
2013-08-19 1115.95
2013-08-20 1120.83
2013-08-21 1118.445
2013-08-22 1122.085
2013-08-23 1116.82
2013-08-24 1112.925
