"Index" "USD.MXN"
2013-01-01 12.9248
2013-01-02 12.8075
2013-01-03 12.761
2013-01-04 12.7929
2013-01-05 12.743
2013-01-06 12.7433
2013-01-07 12.7564
2013-01-08 12.7736
2013-01-09 12.7772
2013-01-10 12.6815
2013-01-11 12.6232
2013-01-12 12.6555
2013-01-13 12.6553
2013-01-14 12.6418
2013-01-15 12.6296
2013-01-16 12.6359
2013-01-17 12.605
2013-01-18 12.6091
2013-01-19 12.6624
2013-01-20 12.6625
2013-01-21 12.6803
2013-01-22 12.6787
2013-01-23 12.6453
2013-01-24 12.6769
2013-01-25 12.6591
2013-01-26 12.7062
2013-01-27 12.706
2013-01-28 12.733
2013-01-29 12.7421
2013-01-30 12.7206
2013-01-31 12.7205
2013-02-01 12.6991
2013-02-02 12.6069
2013-02-03 12.6074
2013-02-04 12.6448
2013-02-05 12.6776
2013-02-06 12.6531
2013-02-07 12.6905
2013-02-08 12.7296
2013-02-09 12.7236
2013-02-10 12.7233
2013-02-11 12.7554
2013-02-12 12.7435
2013-02-13 12.6843
2013-02-14 12.6935
2013-02-15 12.6923
2013-02-16 12.69
2013-02-17 12.69
2013-02-18 12.6871
2013-02-19 12.6847
2013-02-20 12.6533
2013-02-21 12.7527
2013-02-22 12.7364
2013-02-23 12.7051
2013-02-24 12.7053
2013-02-25 12.7061
2013-02-26 12.8136
2013-02-27 12.8355
2013-02-28 12.7646
2013-03-01 12.7838
2013-03-02 12.7591
2013-03-03 12.7588
2013-03-04 12.7821
2013-03-05 12.7332
2013-03-06 12.706
2013-03-07 12.7755
2013-03-08 12.7299
2013-03-09 12.63
2013-03-10 12.6299
2013-03-11 12.6002
2013-03-12 12.5091
2013-03-13 12.4252
2013-03-14 12.437
2013-03-15 12.4293
2013-03-16 12.4339
2013-03-17 12.4339
2013-03-18 12.4811
2013-03-19 12.4191
2013-03-20 12.4101
2013-03-21 12.3571
2013-03-22 12.4054
2013-03-23 12.3516
2013-03-24 12.3516
2013-03-25 12.3437
2013-03-26 12.3399
2013-03-27 12.361
2013-03-28 12.3479
2013-03-29 12.3353
2013-03-30 12.3174
2013-03-31 12.3174
2013-04-01 12.3335
2013-04-02 12.3308
