"Index" "USD.MYR"
2013-01-01 3.0611
2013-01-02 3.0397
2013-01-03 3.0329
2013-01-04 3.0458
2013-01-05 3.0423
2013-01-06 3.0326
2013-01-07 3.0406
2013-01-08 3.0427
2013-01-09 3.0411
2013-01-10 3.0308
2013-01-11 3.0205
2013-01-12 3.0127
2013-01-13 2.9993
2013-01-14 3.0075
2013-01-15 3.0105
2013-01-16 3.0171
2013-01-17 3.0163
2013-01-18 3.0127
2013-01-19 3.0166
2013-01-20 3.021
2013-01-21 3.0289
2013-01-22 3.0404
2013-01-23 3.0411
2013-01-24 3.0413
2013-01-25 3.047
2013-01-26 3.0418
2013-01-27 3.0439
2013-01-28 3.0449
2013-01-29 3.0735
2013-01-30 3.0799
2013-01-31 3.1026
2013-02-01 3.1071
2013-02-02 3.1066
2013-02-03 3.1065
2013-02-04 3.0992
2013-02-05 3.0901
2013-02-06 3.0958
2013-02-07 3.0945
2013-02-08 3.0981
2013-02-09 3.1035
2013-02-10 3.1142
2013-02-11 3.1009
2013-02-12 3.0985
2013-02-13 3.0905
2013-02-14 3.0891
2013-02-15 3.094
2013-02-16 3.0922
2013-02-17 3.0896
2013-02-18 3.0976
2013-02-19 3.1009
2013-02-20 3.0966
2013-02-21 3.1081
2013-02-22 3.1026
2013-02-23 3.0995
2013-02-24 3.0907
2013-02-25 3.098
2013-02-26 3.102
2013-02-27 3.1011
2013-02-28 3.0923
2013-03-01 3.095
2013-03-02 3.095
2013-03-03 3.0955
2013-03-04 3.1029
2013-03-05 3.1022
2013-03-06 3.1043
2013-03-07 3.1077
2013-03-08 3.1062
2013-03-09 3.1054
2013-03-10 3.1318
2013-03-11 3.1117
2013-03-12 3.1089
2013-03-13 3.1074
2013-03-14 3.1114
2013-03-15 3.1182
2013-03-16 3.1209
2013-03-17 3.1102
2013-03-18 3.1403
2013-03-19 3.1236
2013-03-20 3.1239
2013-03-21 3.1209
2013-03-22 3.1148
2013-03-23 3.1074
2013-03-24 3.1069
2013-03-25 3.0957
2013-03-26 3.096
2013-03-27 3.0996
2013-03-28 3.0992
2013-03-29 3.0977
2013-03-30 3.0964
2013-03-31 3.0959
2013-04-01 3.0969
2013-04-02 3.0873
2013-04-03 3.0849
2013-04-04 3.0795
2013-04-05 3.063
2013-04-06 3.0737
2013-04-07 3.0582
2013-04-08 3.0542
2013-04-09 3.0439
2013-04-10 3.0309
2013-04-11 3.0347
2013-04-12 3.0391
2013-04-13 3.0428
2013-04-14 3.0425
2013-04-15 3.0433
2013-04-16 3.0418
2013-04-17 3.0309
2013-04-18 3.0336
2013-04-19 3.0362
2013-04-20 3.0354
2013-04-21 3.0431
2013-04-22 3.0453
2013-04-23 3.0548
2013-04-24 3.0519
2013-04-25 3.0403
2013-04-26 3.0336
2013-04-27 3.0335
2013-04-28 3.0344
2013-04-29 3.0319
2013-04-30 3.0374
2013-05-01 3.0425
2013-05-02 3.0504
2013-05-03 3.0401
2013-05-04 3.0348
2013-05-05 3.0347
2013-05-06 2.9986
2013-05-07 2.9783
2013-05-08 2.9701
2013-05-09 2.9706
2013-05-10 2.9861
2013-05-11 2.9881
2013-05-12 2.9922
2013-05-13 2.9948
2013-05-14 2.9885
2013-05-15 3.0004
2013-05-16 3.0096
2013-05-17 3.0096
2013-05-18 3.0217
2013-05-19 3.0216
2013-05-20 3.0179
2013-05-21 3.0157
2013-05-22 3.0201
2013-05-23 3.034
2013-05-24 3.0345
2013-05-25 3.0368
2013-05-26 3.0407
2013-05-27 3.0325
2013-05-28 3.0386
2013-05-29 3.0682
2013-05-30 3.0736
2013-05-31 3.09
2013-06-01 3.0997
2013-06-02 3.0976
2013-06-03 3.0972
2013-06-04 3.0946
2013-06-05 3.0857
2013-06-06 3.0851
2013-06-07 3.0896
2013-06-08 3.0978
2013-06-09 3.1058
2013-06-10 3.1174
2013-06-11 3.1453
2013-06-12 3.1375
2013-06-13 3.1373
2013-06-14 3.1194
2013-06-15 3.1134
2013-06-16 3.1148
2013-06-17 3.1275
2013-06-18 3.151
2013-06-19 3.1557
2013-06-20 3.1937
2013-06-21 3.2043
2013-06-22 3.2205
2013-06-23 3.2181
2013-06-24 3.2244
2013-06-25 3.1975
2013-06-26 3.1973
2013-06-27 3.1829
2013-06-28 3.167
2013-06-29 3.1594
2013-06-30 3.1734
2013-07-01 3.1628
2013-07-02 3.1676
2013-07-03 3.1826
2013-07-04 3.1845
2013-07-05 3.189
2013-07-06 3.1885
2013-07-07 3.2012
2013-07-08 3.2038
2013-07-09 3.1924
2013-07-10 3.1822
2013-07-11 3.1671
2013-07-12 3.1723
2013-07-13 3.1757
2013-07-14 3.173
2013-07-15 3.1849
2013-07-16 3.1863
2013-07-17 3.1914
2013-07-18 3.1941
2013-07-19 3.1958
2013-07-20 3.1938
2013-07-21 3.1946
2013-07-22 3.1847
2013-07-23 3.1756
2013-07-24 3.1835
2013-07-25 3.1981
2013-07-26 3.2064
2013-07-27 3.2066
2013-07-28 3.2077
2013-07-29 3.2211
2013-07-30 3.2326
2013-07-31 3.2463
2013-08-01 3.2425
2013-08-02 3.2545
2013-08-03 3.2577
2013-08-04 3.238
2013-08-05 3.2358
2013-08-06 3.2397
2013-08-07 3.2533
2013-08-08 3.2538
2013-08-09 3.2537
2013-08-10 3.2546
2013-08-11 3.2573
2013-08-12 3.2499
2013-08-13 3.2571
2013-08-14 3.2719
2013-08-15 3.2763
2013-08-16 3.2773
2013-08-17 3.2773
2013-08-18 3.2764
2013-08-19 3.2831
2013-08-20 3.2911
2013-08-21 3.2908
2013-08-22 3.3111
2013-08-23 3.3043
2013-08-24 3.3032
2013-08-25 3.3008
2013-08-26 3.303
2013-08-27 3.3271
2013-08-28 3.3335
2013-08-29 3.3164
2013-08-30 3.2938
2013-08-31 3.287
2013-09-01 3.2907
2013-09-02 3.28
2013-09-03 3.2791
2013-09-04 3.2882
2013-09-05 3.2955
2013-09-06 3.2955
2013-09-07 3.3286
2013-09-08 3.3101
2013-09-09 3.3064
2013-09-10 3.2769
2013-09-11 3.2672
2013-09-12 3.271
2013-09-13 3.2886
2013-09-14 3.2888
2013-09-15 3.2895
2013-09-16 3.2748
2013-09-17 3.2546
2013-09-18 3.2365
2013-09-19 3.1637
2013-09-20 3.163
2013-09-21 3.166
2013-09-22 3.165
2013-09-23 3.1857
2013-09-24 3.2112
2013-09-25 3.2237
2013-09-26 3.2175
2013-09-27 3.2253
2013-09-28 3.2274
2013-09-29 3.2261
2013-09-30 3.2517
2013-10-01 3.2398
2013-10-02 3.23
2013-10-03 3.1995
2013-10-04 3.1853
2013-10-05 3.1857
2013-10-06 3.1899
2013-10-07 3.186
2013-10-08 3.1952
2013-10-09 3.1998
2013-10-10 3.1956
2013-10-11 3.1817
2013-10-12 3.1825
2013-10-13 3.1854
2013-10-14 3.1798
2013-10-15 3.1807
2013-10-16 3.1733
2013-10-17 3.156
2013-10-18 3.1545
2013-10-19 3.1582
2013-10-20 3.1584
2013-10-21 3.1674
2013-10-22 3.175
2013-10-23 3.1627
2013-10-24 3.159
2013-10-25 3.1474
2013-10-26 3.1438
2013-10-27 3.144
2013-10-28 3.1378
2013-10-29 3.1437
2013-10-30 3.1503
2013-10-31 3.1561
2013-11-01 3.1713
2013-11-02 3.1738
2013-11-03 3.178
2013-11-04 3.1749
2013-11-05 3.1735
2013-11-06 3.1802
2013-11-07 3.1822
2013-11-08 3.1834
2013-11-09 3.18
2013-11-10 3.1919
2013-11-11 3.1972
2013-11-12 3.2082
2013-11-13 3.2102
2013-11-14 3.2021
2013-11-15 3.2019
2013-11-16 3.2053
2013-11-17 3.1938
2013-11-18 3.1891
2013-11-19 3.1819
2013-11-20 3.1805
2013-11-21 3.2035
2013-11-22 3.2139
2013-11-23 3.2134
2013-11-24 3.2152
2013-11-25 3.219
2013-11-26 3.2191
2013-11-27 3.2163
2013-11-28 3.221
2013-11-29 3.2275
2013-11-30 3.2285
2013-12-01 3.2287
2013-12-02 3.2188
2013-12-03 3.2123
2013-12-04 3.2219
2013-12-05 3.2218
2013-12-06 3.2219
2013-12-07 3.2256
2013-12-08 3.2241
2013-12-09 3.215
2013-12-10 3.2031
2013-12-11 3.2085
2013-12-12 3.2261
2013-12-13 3.2356
2013-12-14 3.2291
2013-12-15 3.2295
2013-12-16 3.2349
2013-12-17 3.2483
2013-12-18 3.2581
2013-12-19 3.2776
2013-12-20 3.2866
2013-12-21 3.2951
2013-12-22 3.2855
2013-12-23 3.2917
2013-12-24 3.2966
2013-12-25 3.2995
2013-12-26 3.2982
2013-12-27 3.2905
2013-12-28 3.2885
2013-12-29 3.2885
2013-12-30 3.2933
2013-12-31 3.2845
2014-01-01 3.2819
2014-01-02 3.2855
2014-01-03 3.2886
2014-01-04 3.2839
2014-01-05 3.2839
2014-01-06 3.2861
2014-01-07 3.2857
2014-01-08 3.2801
2014-01-09 3.2772
2014-01-10 3.2672
2014-01-11 3.2733
2014-01-12 3.2733
2014-01-13 3.2588
2014-01-14 3.2675
2014-01-15 3.286
2014-01-16 3.2961
2014-01-17 3.2972
2014-01-18 3.2943
2014-01-19 3.3104
2014-01-20 3.3158
2014-01-21 3.3277
2014-01-22 3.3301
2014-01-23 3.3314
2014-01-24 3.3431
2014-01-25 3.35
2014-01-26 3.3343
2014-01-27 3.3417
2014-01-28 3.3367
2014-01-29 3.3366
2014-01-30 3.3442
2014-01-31 3.3423
2014-02-01 3.3423
2014-02-02 3.3501
2014-02-03 3.3458
2014-02-04 3.3284
2014-02-05 3.3172
2014-02-06 3.3199
2014-02-07 3.3277
2014-02-08 3.3305
2014-02-09 3.3305
2014-02-10 3.3393
2014-02-11 3.3316
2014-02-12 3.3221
2014-02-13 3.3227
2014-02-14 3.3042
2014-02-15 3.3067
2014-02-16 3.308
2014-02-17 3.2919
2014-02-18 3.2992
2014-02-19 3.2998
2014-02-20 3.3077
2014-02-21 3.2991
2014-02-22 3.2962
2014-02-23 3.2962
2014-02-24 3.2854
2014-02-25 3.2831
2014-02-26 3.2774
2014-02-27 3.2795
2014-02-28 3.2775
2014-03-01 3.278
2014-03-02 3.278
2014-03-03 3.2833
2014-03-04 3.2754
2014-03-05 3.2698
2014-03-06 3.2574
2014-03-07 3.2605
2014-03-08 3.2605
2014-03-09 3.2592
2014-03-10 3.2809
2014-03-11 3.2823
2014-03-12 3.2869
2014-03-13 3.2784
2014-03-14 3.2809
2014-03-15 3.278
2014-03-16 3.278
2014-03-17 3.2762
2014-03-18 3.2739
2014-03-19 3.2816
2014-03-20 3.3065
2014-03-21 3.309
2014-03-22 3.3081
2014-03-23 3.3088
2014-03-24 3.3036
2014-03-25 3.3023
2014-03-26 3.2977
2014-03-27 3.2871
2014-03-28 3.2655
2014-03-29 3.2621
2014-03-30 3.2621
2014-03-31 3.2609
2014-04-01 3.2617
2014-04-02 3.2722
2014-04-03 3.2833
2014-04-04 3.2738
2014-04-05 3.2791
2014-04-06 3.2791
2014-04-07 3.2672
2014-04-08 3.2459
2014-04-09 3.2279
2014-04-10 3.2272
2014-04-11 3.2384
2014-04-12 3.2382
2014-04-13 3.2382
2014-04-14 3.2463
2014-04-15 3.2501
2014-04-16 3.2424
2014-04-17 3.2383
2014-04-18 3.2407
2014-04-19 3.2419
2014-04-20 3.2419
2014-04-21 3.2489
2014-04-22 3.264
2014-04-23 3.268
2014-04-24 3.2685
2014-04-25 3.2729
2014-04-26 3.2706
2014-04-27 3.2706
2014-04-28 3.2696
2014-04-29 3.2617
2014-04-30 3.2636
2014-05-01 3.2623
2014-05-02 3.2657
2014-05-03 3.2662
2014-05-04 3.266
2014-05-05 3.2572
2014-05-06 3.2502
2014-05-07 3.2464
2014-05-08 3.234
2014-05-09 3.2259
2014-05-10 3.2259
2014-05-11 3.2257
2014-05-12 3.2343
2014-05-13 3.2336
2014-05-14 3.2229
2014-05-15 3.2265
2014-05-16 3.2275
2014-05-17 3.2305
2014-05-18 3.2305
2014-05-19 3.2148
2014-05-20 3.2156
2014-05-21 3.212
2014-05-22 3.21
2014-05-23 3.2095
2014-05-24 3.2112
2014-05-25 3.2057
2014-05-26 3.207
2014-05-27 3.2166
2014-05-28 3.2225
2014-05-29 3.2159
2014-05-30 3.2153
2014-05-31 3.2153
2014-06-01 3.2135
2014-06-02 3.2278
2014-06-03 3.2302
2014-06-04 3.2362
2014-06-05 3.229
2014-06-06 3.2116
2014-06-07 3.2103
2014-06-08 3.2103
2014-06-09 3.1984
2014-06-10 3.2024
2014-06-11 3.2092
2014-06-12 3.2085
2014-06-13 3.2169
2014-06-14 3.2169
2014-06-15 3.2185
2014-06-16 3.2237
2014-06-17 3.2277
2014-06-18 3.2297
2014-06-19 3.2186
2014-06-20 3.2204
2014-06-21 3.2238
2014-06-22 3.224
2014-06-23 3.215
2014-06-24 3.2139
2014-06-25 3.2229
2014-06-26 3.219
2014-06-27 3.2113
2014-06-28 3.2138
2014-06-29 3.2128
2014-06-30 3.2101
2014-07-01 3.2065
2014-07-02 3.204
2014-07-03 3.1989
2014-07-04 3.1845
2014-07-05 3.1822
2014-07-06 3.1822
2014-07-07 3.1918
2014-07-08 3.1905
2014-07-09 3.1726
2014-07-10 3.1733
2014-07-11 3.1837
2014-07-12 3.1845
2014-07-13 3.1845
2014-07-14 3.1809
2014-07-15 3.1917
2014-07-16 3.1898
2014-07-17 3.1828
2014-07-18 3.1902
2014-07-19 3.1826
2014-07-20 3.1835
2014-07-21 3.1737
2014-07-22 3.1733
2014-07-23 3.1698
2014-07-24 3.1755
2014-07-25 3.1754
2014-07-26 3.1741
2014-07-27 3.1745
2014-07-28 3.1763
2014-07-29 3.1783
2014-07-30 3.1845
2014-07-31 3.1986
2014-08-01 3.2064
2014-08-02 3.2123
2014-08-03 3.2161
2014-08-04 3.2004
2014-08-05 3.1945
2014-08-06 3.2044
2014-08-07 3.2085
2014-08-08 3.2055
2014-08-09 3.1967
2014-08-10 3.2075
2014-08-11 3.1973
2014-08-12 3.1963
2014-08-13 3.1891
2014-08-14 3.1757
2014-08-15 3.1568
2014-08-16 3.154
2014-08-17 3.1547
2014-08-18 3.1516
2014-08-19 3.1566
2014-08-20 3.1694
2014-08-21 3.1705
2014-08-22 3.1624
2014-08-23 3.162
2014-08-24 3.1615
2014-08-25 3.164
2014-08-26 3.1594
2014-08-27 3.1471
2014-08-28 3.1532
2014-08-29 3.1589
2014-08-30 3.164
2014-08-31 3.164
2014-09-01 3.1605
2014-09-02 3.1769
2014-09-03 3.1819
2014-09-04 3.18
2014-09-05 3.1816
2014-09-06 3.1763
2014-09-07 3.1763
2014-09-08 3.176
2014-09-09 3.1941
2014-09-10 3.2004
2014-09-11 3.1969
2014-09-12 3.1988
2014-09-13 3.1968
2014-09-14 3.1968
2014-09-15 3.2223
2014-09-16 3.2224
2014-09-17 3.2204
2014-09-18 3.2404
2014-09-19 3.238
2014-09-20 3.2374
2014-09-21 3.2374
2014-09-22 3.2409
2014-09-23 3.249
2014-09-24 3.2423
2014-09-25 3.2527
2014-09-26 3.2626
2014-09-27 3.2589
2014-09-28 3.2589
2014-09-29 3.2772
2014-09-30 3.2788
2014-10-01 3.2748
2014-10-02 3.2547
2014-10-03 3.2629
2014-10-04 3.2575
2014-10-05 3.2575
2014-10-06 3.2654
2014-10-07 3.2616
2014-10-08 3.2707
2014-10-09 3.2474
2014-10-10 3.258
2014-10-11 3.2675
2014-10-12 3.2675
2014-10-13 3.2605
2014-10-14 3.2645
2014-10-15 3.2746
2014-10-16 3.2841
2014-10-17 3.2777
2014-10-18 3.275
2014-10-19 3.275
2014-10-20 3.268
2014-10-21 3.2623
2014-10-22 3.2591
2014-10-23 3.2742
2014-10-24 3.2778
2014-10-25 3.2769
2014-10-26 3.2783
2014-10-27 3.2747
2014-10-28 3.272
2014-10-29 3.2705
2014-10-30 3.2891
2014-10-31 3.3091
2014-11-01 3.2903
2014-11-02 3.2903
2014-11-03 3.3182
2014-11-04 3.334
2014-11-05 3.3422
2014-11-06 3.3393
2014-11-07 3.3428
2014-11-08 3.345
2014-11-09 3.345
2014-11-10 3.3329
2014-11-11 3.3442
2014-11-12 3.3343
2014-11-13 3.3354
2014-11-14 3.3504
2014-11-15 3.348
2014-11-16 3.348
2014-11-17 3.3495
2014-11-18 3.3562
2014-11-19 3.3654
2014-11-20 3.3644
2014-11-21 3.3491
2014-11-22 3.3491
2014-11-23 3.3515
2014-11-24 3.3488
2014-11-25 3.3488
2014-11-26 3.3479
2014-11-27 3.3476
2014-11-28 3.3811
2014-11-29 3.3811
2014-11-30 3.3973
2014-12-01 3.4262
2014-12-02 3.4338
2014-12-03 3.4447
2014-12-04 3.4503
2014-12-05 3.4809
2014-12-06 3.4996
2014-12-07 3.4805
2014-12-08 3.4901
2014-12-09 3.4821
2014-12-10 3.4825
2014-12-11 3.4857
2014-12-12 3.497
2014-12-13 3.4955
2014-12-14 3.5018
2014-12-15 3.5016
2014-12-16 3.5016
2014-12-17 3.476
2014-12-18 3.469
2014-12-19 3.4762
2014-12-20 3.4765
2014-12-21 3.4765
2014-12-22 3.4966
2014-12-23 3.499
2014-12-24 3.4961
2014-12-25 3.4965
2014-12-26 3.491
2014-12-27 3.4905
2014-12-28 3.4931
2014-12-29 3.4976
2014-12-30 3.5005
2014-12-31 3.498
2015-01-01 3.4965
2015-01-02 3.5189
2015-01-03 3.5189
2015-01-04 3.5165
2015-01-05 3.5452
2015-01-06 3.5636
2015-01-07 3.5743
2015-01-08 3.5606
2015-01-09 3.5569
2015-01-10 3.5569
2015-01-11 3.5523
2015-01-12 3.5649
2015-01-13 3.5848
2015-01-14 3.5848
2015-01-15 3.5651
2015-01-16 3.5615
2015-01-17 3.557
2015-01-18 3.557
2015-01-19 3.5655
2015-01-20 3.6055
2015-01-21 3.6147
2015-01-22 3.6004
2015-01-23 3.5974
2015-01-24 3.5952
2015-01-25 3.5979
2015-01-26 3.6064
2015-01-27 3.6047
2015-01-28 3.6202
2015-01-29 3.6328
2015-01-30 3.6362
2015-01-31 3.6337
2015-02-01 3.6337
2015-02-02 3.6279
2015-02-03 3.5952
2015-02-04 3.5697
2015-02-05 3.561
2015-02-06 3.5465
2015-02-07 3.5425
2015-02-08 3.5598
2015-02-09 3.5586
2015-02-10 3.5793
2015-02-11 3.6087
2015-02-12 3.6107
2015-02-13 3.5735
2015-02-14 3.5805
2015-02-15 3.5805
2015-02-16 3.5797
2015-02-17 3.585
2015-02-18 3.6135
2015-02-19 3.637
2015-02-20 3.6491
2015-02-21 3.6491
2015-02-22 3.6491
2015-02-23 3.642
2015-02-24 3.6363
2015-02-25 3.6121
2015-02-26 3.5932
2015-02-27 3.6117
2015-02-28 3.6115
2015-03-01 3.6115
2015-03-02 3.6289
2015-03-03 3.6286
2015-03-04 3.6491
2015-03-05 3.6559
2015-03-06 3.6605
2015-03-07 3.6839
2015-03-08 3.6839
2015-03-09 3.6833
2015-03-10 3.7048
2015-03-11 3.7025
2015-03-12 3.6868
2015-03-13 3.697
2015-03-14 3.706
2015-03-15 3.706
2015-03-16 3.6999
2015-03-17 3.6956
2015-03-18 3.6997
2015-03-19 3.6945
2015-03-20 3.7225
2015-03-21 3.7095
2015-03-22 3.7115
2015-03-23 3.6738
2015-03-24 3.6587
2015-03-25 3.6676
2015-03-26 3.6696
2015-03-27 3.6771
2015-03-28 3.6845
2015-03-29 3.6845
2015-03-30 3.7115
2015-03-31 3.7087
2015-04-01 3.6864
2015-04-02 3.667
2015-04-03 3.6538
2015-04-04 3.6598
2015-04-05 3.6598
2015-04-06 3.6272
2015-04-07 3.6377
2015-04-08 3.632
2015-04-09 3.6316
2015-04-10 3.6632
2015-04-11 3.6673
2015-04-12 3.6713
2015-04-13 3.7048
2015-04-14 3.6991
2015-04-15 3.7026
2015-04-16 3.6522
2015-04-17 3.6315
2015-04-18 3.6215
2015-04-19 3.6376
2015-04-20 3.6254
2015-04-21 3.6346
2015-04-22 3.6111
2015-04-23 3.6217
2015-04-24 3.5803
2015-04-25 3.5803
2015-04-26 3.5815
2015-04-27 3.5567
2015-04-28 3.5479
2015-04-29 3.5505
2015-04-30 3.5636
2015-05-01 3.5905
2015-05-02 3.5938
2015-05-03 3.5938
2015-05-04 3.5983
2015-05-05 3.6015
2015-05-06 3.5706
2015-05-07 3.5951
2015-05-08 3.5964
2015-05-09 3.5965
2015-05-10 3.5886
2015-05-11 3.6038
2015-05-12 3.6132
2015-05-13 3.5943
2015-05-14 3.5724
2015-05-15 3.5669
2015-05-16 3.5635
2015-05-17 3.5634
2015-05-18 3.5744
2015-05-19 3.5967
2015-05-20 3.6108
2015-05-21 3.6019
2015-05-22 3.5912
2015-05-23 3.5915
2015-05-24 3.5934
2015-05-25 3.6121
2015-05-26 3.6299
2015-05-27 3.6437
2015-05-28 3.6486
2015-05-29 3.6576
2015-05-30 3.6665
2015-05-31 3.6621
2015-06-01 3.6828
2015-06-02 3.6905
2015-06-03 3.684
2015-06-04 3.7046
2015-06-05 3.7344
2015-06-06 3.76
2015-06-07 3.7609
2015-06-08 3.7671
2015-06-09 3.751
2015-06-10 3.7355
2015-06-11 3.7389
2015-06-12 3.7486
2015-06-13 3.7481
2015-06-14 3.7563
2015-06-15 3.759
2015-06-16 3.7494
2015-06-17 3.7498
2015-06-18 3.7122
2015-06-19 3.7314
2015-06-20 3.7395
2015-06-21 3.7375
2015-06-22 3.7287
2015-06-23 3.7454
2015-06-24 3.7606
2015-06-25 3.7571
2015-06-26 3.7751
2015-06-27 3.7698
2015-06-28 3.7815
2015-06-29 3.7792
2015-06-30 3.7694
2015-07-01 3.7528
2015-07-02 3.7677
2015-07-03 3.7815
2015-07-04 3.7795
2015-07-05 3.7738
2015-07-06 3.8147
2015-07-07 3.8193
2015-07-08 3.8023
2015-07-09 3.7909
2015-07-10 3.7852
2015-07-11 3.795
2015-07-12 3.7898
2015-07-13 3.8041
2015-07-14 3.8045
2015-07-15 3.8052
2015-07-16 3.8036
2015-07-17 3.7977
2015-07-18 3.806
2015-07-19 3.806
2015-07-20 3.81
2015-07-21 3.796
2015-07-22 3.7971
2015-07-23 3.8121
2015-07-24 3.8178
2015-07-25 3.81
2015-07-26 3.8213
2015-07-27 3.8186
2015-07-28 3.8101
2015-07-29 3.8108
2015-07-30 3.8233
2015-07-31 3.8228
2015-08-01 3.8305
2015-08-02 3.8305
2015-08-03 3.8495
2015-08-04 3.8585
2015-08-05 3.8813
2015-08-06 3.9045
2015-08-07 3.919
2015-08-08 3.922
2015-08-09 3.922
2015-08-10 3.9329
2015-08-11 3.9762
2015-08-12 3.9983
2015-08-13 4.0199
2015-08-14 4.0776
2015-08-15 4.069
2015-08-16 4.069
2015-08-17 4.1025
2015-08-18 4.09
2015-08-19 4.0989
2015-08-20 4.1129
2015-08-21 4.1643
2015-08-22 4.1805
2015-08-23 4.1805
2015-08-24 4.2372
2015-08-25 4.2144
2015-08-26 4.2466
2015-08-27 4.2066
2015-08-28 4.1871
2015-08-29 4.172
2015-08-30 4.172
2015-08-31 4.1923
2015-09-01 4.1751
2015-09-02 4.2146
2015-09-03 4.2361
2015-09-04 4.2677
2015-09-05 4.3111
2015-09-06 4.3122
2015-09-07 4.3282
2015-09-08 4.326
2015-09-09 4.3123
2015-09-10 4.3208
2015-09-11 4.2983
2015-09-12 4.3026
2015-09-13 4.3004
2015-09-14 4.3058
2015-09-15 4.2881
2015-09-16 4.2346
2015-09-17 4.2319
2015-09-18 4.223
2015-09-19 4.2257
2015-09-20 4.2265
2015-09-21 4.2601
2015-09-22 4.2993
2015-09-23 4.3542
2015-09-24 4.3994
2015-09-25 4.3909
2015-09-26 4.4003
2015-09-27 4.4003
2015-09-28 4.4202
2015-09-29 4.4632
2015-09-30 4.4124
2015-10-01 4.4114
2015-10-02 4.4262
2015-10-03 4.425
2015-10-04 4.425
2015-10-05 4.3713
2015-10-06 4.3482
2015-10-07 4.1941
2015-10-08 4.2081
2015-10-09 4.1287
2015-10-10 4.141
2015-10-11 4.1425
2015-10-12 4.1502
2015-10-13 4.1937
2015-10-14 4.2006
2015-10-15 4.1309
2015-10-16 4.1729
2015-10-17 4.1813
2015-10-18 4.176
2015-10-19 4.2386
2015-10-20 4.2759
2015-10-21 4.2987
2015-10-22 4.2726
2015-10-23 4.2208
2015-10-24 4.2245
2015-10-25 4.2235
2015-10-26 4.2416
2015-10-27 4.2705
2015-10-28 4.2741
2015-10-29 4.3138
2015-10-30 4.3138
2015-10-31 4.2985
2015-11-01 4.2635
