"Index" "USD.NOK"
2013-01-01 5.5586
2013-01-02 5.5351
2013-01-03 5.5623
2013-01-04 5.5983
2013-01-05 5.6041
2013-01-06 5.6038
2013-01-07 5.6075
2013-01-08 5.5897
2013-01-09 5.6012
2013-01-10 5.5749
2013-01-11 5.5295
2013-01-12 5.5306
2013-01-13 5.5302
2013-01-14 5.5145
2013-01-15 5.5298
2013-01-16 5.5772
2013-01-17 5.5606
2013-01-18 5.5839
2013-01-19 5.5992
2013-01-20 5.5993
2013-01-21 5.6034
2013-01-22 5.5902
2013-01-23 5.5696
2013-01-24 5.554
2013-01-25 5.5282
2013-01-26 5.5224
2013-01-27 5.5226
2013-01-28 5.5317
2013-01-29 5.5246
2013-01-30 5.4914
2013-01-31 5.4778
2013-02-01 5.4542
2013-02-02 5.4554
2013-02-03 5.4555
2013-02-04 5.4673
2013-02-05 5.4823
2013-02-06 5.4878
2013-02-07 5.503
2013-02-08 5.5248
2013-02-09 5.5372
2013-02-10 5.5372
2013-02-11 5.5205
2013-02-12 5.5012
2013-02-13 5.4806
2013-02-14 5.5054
2013-02-15 5.5444
2013-02-16 5.5437
2013-02-17 5.5438
2013-02-18 5.5531
2013-02-19 5.552
2013-02-20 5.5413
2013-02-21 5.6368
2013-02-22 5.6715
2013-02-23 5.6647
2013-02-24 5.6645
2013-02-25 5.6564
2013-02-26 5.7029
2013-02-27 5.7025
2013-02-28 5.7037
2013-03-01 5.7445
2013-03-02 5.755
2013-03-03 5.7552
2013-03-04 5.7369
2013-03-05 5.7094
2013-03-06 5.6998
2013-03-07 5.7002
2013-03-08 5.6914
2013-03-09 5.726
2013-03-10 5.7259
2013-03-11 5.7265
2013-03-12 5.7202
2013-03-13 5.7214
2013-03-14 5.7734
2013-03-15 5.7807
2013-03-16 5.7601
2013-03-17 5.7601
2013-03-18 5.7973
2013-03-19 5.8077
2013-03-20 5.8373
2013-03-21 5.844
2013-03-22 5.8267
2013-03-23 5.8045
2013-03-24 5.8045
2013-03-25 5.8121
2013-03-26 5.8342
2013-03-27 5.8381
2013-03-28 5.8516
2013-03-29 5.841
2013-03-30 5.8476
2013-03-31 5.8476
2013-04-01 5.8371
2013-04-02 5.817
2013-04-03 5.814
2013-04-04 5.8112
2013-04-05 5.7595
2013-04-06 5.7306
2013-04-07 5.7306
2013-04-08 5.732
2013-04-09 5.7282
2013-04-10 5.727
2013-04-11 5.7276
2013-04-12 5.7148
2013-04-13 5.7097
2013-04-14 5.7097
2013-04-15 5.7334
2013-04-16 5.7446
2013-04-17 5.7528
2013-04-18 5.8057
2013-04-19 5.8125
2013-04-20 5.8226
2013-04-21 5.8226
2013-04-22 5.8294
2013-04-23 5.8855
2013-04-24 5.913
2013-04-25 5.8777
2013-04-26 5.8612
2013-04-27 5.8522
2013-04-28 5.8522
2013-04-29 5.8306
2013-04-30 5.8047
2013-05-01 5.7616
2013-05-02 5.7768
2013-05-03 5.8003
2013-05-04 5.8023
2013-05-05 5.8023
2013-05-06 5.8141
2013-05-07 5.8378
2013-05-08 5.8058
2013-05-09 5.7498
2013-05-10 5.7929
2013-05-11 5.7927
2013-05-12 5.7927
2013-05-13 5.8053
2013-05-14 5.8044
2013-05-15 5.8443
2013-05-16 5.8438
2013-05-17 5.8498
2013-05-18 5.8536
2013-05-19 5.8536
2013-05-20 5.8471
2013-05-21 5.8222
2013-05-22 5.7938
2013-05-23 5.8343
2013-05-24 5.8281
2013-05-25 5.8328
2013-05-26 5.8328
2013-05-27 5.8337
2013-05-28 5.8569
2013-05-29 5.8919
2013-05-30 5.868
2013-05-31 5.855
2013-06-01 5.8704
2013-06-02 5.8704
2013-06-03 5.8431
2013-06-04 5.8101
2013-06-05 5.8134
2013-06-06 5.7919
2013-06-07 5.7577
2013-06-08 5.7689
2013-06-09 5.7689
2013-06-10 5.7685
2013-06-11 5.7736
2013-06-12 5.7687
2013-06-13 5.7623
2013-06-14 5.7364
2013-06-15 5.7165
2013-06-16 5.7165
2013-06-17 5.7225
