"Index" "USD.PHP"
2013-01-01 41.0927
2013-01-02 40.8981
2013-01-03 40.7778
2013-01-04 40.8532
2013-01-05 40.8751
2013-01-06 40.87
2013-01-07 40.8797
2013-01-08 40.8519
2013-01-09 40.7971
2013-01-10 40.696
2013-01-11 40.6029
2013-01-12 40.6013
2013-01-13 40.6135
2013-01-14 40.6391
2013-01-15 40.5915
2013-01-16 40.6717
2013-01-17 40.6233
2013-01-18 40.5867
2013-01-19 40.551
2013-01-20 40.6485
2013-01-21 40.7047
2013-01-22 40.6331
2013-01-23 40.6251
2013-01-24 40.6315
2013-01-25 40.695
2013-01-26 40.6918
2013-01-27 40.6976
2013-01-28 40.8462
2013-01-29 40.8153
2013-01-30 40.6629
2013-01-31 40.6794
2013-02-01 40.6942
2013-02-02 40.6508
2013-02-03 40.674
2013-02-04 40.6377
2013-02-05 40.6402
2013-02-06 40.6882
2013-02-07 40.6912
2013-02-08 40.7013
2013-02-09 40.7116
2013-02-10 40.75
2013-02-11 40.7051
2013-02-12 40.7112
2013-02-13 40.6584
2013-02-14 40.6424
2013-02-15 40.6188
2013-02-16 40.6113
2013-02-17 40.645
2013-02-18 40.6495
2013-02-19 40.6413
2013-02-20 40.6375
2013-02-21 40.7501
2013-02-22 40.7411
2013-02-23 40.7404
2013-02-24 40.73
2013-02-25 40.6891
2013-02-26 40.7415
2013-02-27 40.7414
2013-02-28 40.6796
2013-03-01 40.691
2013-03-02 40.6829
2013-03-03 40.682
2013-03-04 40.746
2013-03-05 40.7398
2013-03-06 40.7222
2013-03-07 40.7299
2013-03-08 40.7027
2013-03-09 40.7194
2013-03-10 40.735
2013-03-11 40.689
2013-03-12 40.627
2013-03-13 40.581
2013-03-14 40.6093
2013-03-15 40.5828
2013-03-16 40.5702
2013-03-17 40.568
2013-03-18 40.6615
2013-03-19 40.6698
2013-03-20 40.7193
2013-03-21 40.7522
2013-03-22 40.8421
2013-03-23 40.887
2013-03-24 40.895
2013-03-25 40.8565
2013-03-26 40.9757
2013-03-27 40.9185
2013-03-28 40.8353
2013-03-29 40.85
2013-03-30 40.8422
2013-03-31 40.855
2013-04-01 40.8313
2013-04-02 40.8314
2013-04-03 40.8971
2013-04-04 41.1541
2013-04-05 41.1842
2013-04-06 41.171
2013-04-07 41.3157
2013-04-08 41.2922
2013-04-09 41.2343
2013-04-10 41.0415
2013-04-11 40.9869
2013-04-12 41.2213
2013-04-13 41.3502
2013-04-14 41.35
2013-04-15 41.2213
2013-04-16 41.3241
2013-04-17 41.3058
2013-04-18 41.2413
2013-04-19 41.1482
2013-04-20 41.119
2013-04-21 41.1225
2013-04-22 41.254
2013-04-23 41.3148
2013-04-24 41.3168
2013-04-25 41.2639
2013-04-26 41.2271
2013-04-27 41.2376
2013-04-28 41.2433
2013-04-29 41.1379
2013-04-30 41.153
2013-05-01 41.1599
2013-05-02 41.094
2013-05-03 40.8946
2013-05-04 40.864
2013-05-05 40.86
2013-05-06 40.8982
2013-05-07 40.8767
2013-05-08 40.7929
2013-05-09 40.7898
