"Index" "USD.PLN"
2013-01-01 3.0954
2013-01-02 3.0752
2013-01-03 3.1074
2013-01-04 3.1502
2013-01-05 3.1471
2013-01-06 3.1482
2013-01-07 3.1537
2013-01-08 3.1448
2013-01-09 3.139
2013-01-10 3.1105
2013-01-11 3.0835
2013-01-12 3.0795
2013-01-13 3.079
2013-01-14 3.0785
2013-01-15 3.0816
2013-01-16 3.0998
2013-01-17 3.0893
2013-01-18 3.0941
2013-01-19 3.1182
2013-01-20 3.1098
2013-01-21 3.1262
2013-01-22 3.1306
2013-01-23 3.1313
2013-01-24 3.135
2013-01-25 3.1161
2013-01-26 3.0981
2013-01-27 3.1036
2013-01-28 3.111
2013-01-29 3.1217
2013-01-30 3.0982
2013-01-31 3.0942
2013-02-01 3.0701
2013-02-02 3.055
2013-02-03 3.0564
2013-02-04 3.0674
2013-02-05 3.0873
2013-02-06 3.0858
2013-02-07 3.0974
2013-02-08 3.1087
2013-02-09 3.1054
2013-02-10 3.1056
2013-02-11 3.1022
2013-02-12 3.1045
2013-02-13 3.091
2013-02-14 3.1132
2013-02-15 3.1319
2013-02-16 3.1347
2013-02-17 3.1358
2013-02-18 3.138
2013-02-19 3.1287
2013-02-20 3.112
2013-02-21 3.1505
2013-02-22 3.155
2013-02-23 3.1554
2013-02-24 3.1554
2013-02-25 3.1489
2013-02-26 3.1858
2013-02-27 3.1816
2013-02-28 3.1673
2013-03-01 3.1773
2013-03-02 3.1754
2013-03-03 3.1727
2013-03-04 3.1798
2013-03-05 3.1705
2013-03-06 3.1717
2013-03-07 3.183
2013-03-08 3.1712
2013-03-09 3.1772
2013-03-10 3.1823
2013-03-11 3.1822
2013-03-12 3.1805
2013-03-13 3.184
2013-03-14 3.1973
2013-03-15 3.1842
2013-03-16 3.17
2013-03-17 3.17
2013-03-18 3.2122
2013-03-19 3.2121
2013-03-20 3.2266
2013-03-21 3.2346
2013-03-22 3.2352
2013-03-23 3.2135
2013-03-24 3.2214
2013-03-25 3.215
2013-03-26 3.2441
2013-03-27 3.2613
2013-03-28 3.2665
2013-03-29 3.2593
2013-03-30 3.2588
2013-03-31 3.2593
2013-04-01 3.26
2013-04-02 3.2572
2013-04-03 3.2672
2013-04-04 3.2618
2013-04-05 3.2207
2013-04-06 3.2344
2013-04-07 3.2164
2013-04-08 3.1865
2013-04-09 3.1586
2013-04-10 3.1421
2013-04-11 3.1357
2013-04-12 3.1389
2013-04-13 3.1281
2013-04-14 3.1297
2013-04-15 3.1411
2013-04-16 3.1394
2013-04-17 3.1318
2013-04-18 3.1534
2013-04-19 3.1439
2013-04-20 3.145
2013-04-21 3.1444
2013-04-22 3.1441
2013-04-23 3.1664
2013-04-24 3.1864
2013-04-25 3.1844
2013-04-26 3.1929
2013-04-27 3.1945
2013-04-28 3.1939
2013-04-29 3.1731
2013-04-30 3.1633
2013-05-01 3.1585
2013-05-02 3.1622
2013-05-03 3.1614
2013-05-04 3.1595
2013-05-05 3.17
2013-05-06 3.1656
2013-05-07 3.1705
2013-05-08 3.1542
2013-05-09 3.1443
2013-05-10 3.1796
2013-05-11 3.1904
2013-05-12 3.1983
2013-05-13 3.2021
2013-05-14 3.207
2013-05-15 3.2363
2013-05-16 3.2484
2013-05-17 3.2484
2013-05-18 3.2497
2013-05-19 3.2504
2013-05-20 3.2495
2013-05-21 3.247
2013-05-22 3.2388
2013-05-23 3.2572
2013-05-24 3.2465
2013-05-25 3.2452
2013-05-26 3.2451
2013-05-27 3.2453
2013-05-28 3.2489
2013-05-29 3.2746
2013-05-30 3.2778
2013-05-31 3.2891
2013-06-01 3.2894
2013-06-02 3.2929
2013-06-03 3.279
2013-06-04 3.2474
2013-06-05 3.2508
2013-06-06 3.266
2013-06-07 3.2352
2013-06-08 3.2402
2013-06-09 3.2097
2013-06-10 3.2184
2013-06-11 3.2208
2013-06-12 3.2022
2013-06-13 3.1873
2013-06-14 3.1698
2013-06-15 3.1735
2013-06-16 3.1786
2013-06-17 3.1749
2013-06-18 3.1751
2013-06-19 3.1864
2013-06-20 3.2592
2013-06-21 3.2874
2013-06-22 3.3132
2013-06-23 3.2938
2013-06-24 3.3149
2013-06-25 3.3001
2013-06-26 3.3237
2013-06-27 3.3261
2013-06-28 3.3169
2013-06-29 3.3244
2013-06-30 3.3322
2013-07-01 3.3215
2013-07-02 3.323
2013-07-03 3.3377
2013-07-04 3.3116
2013-07-05 3.3301
2013-07-06 3.3453
2013-07-07 3.3536
2013-07-08 3.3552
2013-07-09 3.3622
2013-07-10 3.3766
2013-07-11 3.3087
2013-07-12 3.301
2013-07-13 3.2976
2013-07-14 3.2982
2013-07-15 3.2885
2013-07-16 3.2603
2013-07-17 3.2379
2013-07-18 3.2396
2013-07-19 3.2303
2013-07-20 3.2252
2013-07-21 3.2245
2013-07-22 3.2085
2013-07-23 3.1919
2013-07-24 3.1866
2013-07-25 3.2057
2013-07-26 3.1863
2013-07-27 3.1882
2013-07-28 3.1857
2013-07-29 3.182
2013-07-30 3.1801
2013-07-31 3.1955
2013-08-01 3.2065
2013-08-02 3.2116
2013-08-03 3.1962
2013-08-04 3.1883
2013-08-05 3.1836
2013-08-06 3.1711
2013-08-07 3.1646
2013-08-08 3.1464
2013-08-09 3.1338
2013-08-10 3.1377
2013-08-11 3.1424
2013-08-12 3.1479
2013-08-13 3.1571
2013-08-14 3.1685
2013-08-15 3.1722
2013-08-16 3.1694
2013-08-17 3.1781
2013-08-18 3.1732
2013-08-19 3.1811
2013-08-20 3.1704
2013-08-21 3.1629
2013-08-22 3.1839
2013-08-23 3.1711
2013-08-24 3.1588
2013-08-25 3.1581
2013-08-26 3.1624
2013-08-27 3.1743
2013-08-28 3.1936
2013-08-29 3.224
2013-08-30 3.2294
2013-08-31 3.2306
2013-09-01 3.2295
2013-09-02 3.2272
2013-09-03 3.2374
2013-09-04 3.2411
2013-09-05 3.2535
2013-09-06 3.2535
2013-09-07 3.2481
2013-09-08 3.2489
2013-09-09 3.2379
2013-09-10 3.2132
2013-09-11 3.1891
2013-09-12 3.1679
2013-09-13 3.1703
2013-09-14 3.1623
2013-09-15 3.1615
2013-09-16 3.143
2013-09-17 3.1539
2013-09-18 3.1529
2013-09-19 3.088
2013-09-20 3.1144
2013-09-21 3.1251
2013-09-22 3.1219
2013-09-23 3.1274
2013-09-24 3.1312
2013-09-25 3.1237
2013-09-26 3.1285
2013-09-27 3.1303
2013-09-28 3.1222
2013-09-29 3.1246
2013-09-30 3.1258
2013-10-01 3.1184
2013-10-02 3.1148
2013-10-03 3.0919
2013-10-04 3.0896
2013-10-05 3.0977
2013-10-06 3.1014
2013-10-07 3.0951
2013-10-08 3.0899
2013-10-09 3.0997
2013-10-10 3.1018
2013-10-11 3.0919
2013-10-12 3.0946
2013-10-13 3.0955
2013-10-14 3.087
2013-10-15 3.0887
2013-10-16 3.084
2013-10-17 3.0639
2013-10-18 3.05
2013-10-19 3.048
2013-10-20 3.048
2013-10-21 3.0555
2013-10-22 3.0435
2013-10-23 3.0312
2013-10-24 3.0318
2013-10-25 3.0309
2013-10-26 3.0285
2013-10-27 3.0325
2013-10-28 3.0305
2013-10-29 3.0391
2013-10-30 3.0424
2013-10-31 3.0587
2013-11-01 3.0936
2013-11-02 3.113
2013-11-03 3.1136
2013-11-04 3.0996
2013-11-05 3.0998
2013-11-06 3.0931
2013-11-07 3.1007
2013-11-08 3.1281
2013-11-09 3.1281
2013-11-10 3.1289
2013-11-11 3.1371
2013-11-12 3.1395
2013-11-13 3.1282
2013-11-14 3.1146
2013-11-15 3.1103
2013-11-16 3.1032
2013-11-17 3.103
2013-11-18 3.096
2013-11-19 3.0911
2013-11-20 3.098
2013-11-21 3.1189
2013-11-22 3.1071
2013-11-23 3.0947
2013-11-24 3.0972
