"Index" "USD.RUB"
2013-01-01 30.5531
2013-01-02 30.3012
2013-01-03 30.2158
2013-01-04 30.359
2013-01-05 30.3448
2013-01-06 30.3547
2013-01-07 30.3727
2013-01-08 30.313
2013-01-09 30.3728
2013-01-10 30.302
2013-01-11 30.2537
2013-01-12 30.2358
2013-01-13 30.123
2013-01-14 30.2551
2013-01-15 30.2464
2013-01-16 30.3407
2013-01-17 30.2824
2013-01-18 30.2387
2013-01-19 30.2763
2013-01-20 30.2993
2013-01-21 30.2728
2013-01-22 30.2314
2013-01-23 30.203
2013-01-24 30.1331
2013-01-25 30.0438
2013-01-26 30.0175
2013-01-27 30.0253
2013-01-28 30.1043
2013-01-29 30.1519
2013-01-30 30.0287
2013-01-31 30.0382
2013-02-01 29.9544
2013-02-02 29.8874
2013-02-03 29.712
2013-02-04 29.9701
2013-02-05 30.0459
2013-02-06 30.0144
2013-02-07 30.1061
2013-02-08 30.1762
2013-02-09 30.1747
2013-02-10 30.1688
2013-02-11 30.1618
2013-02-12 30.1231
2013-02-13 30.0568
2013-02-14 30.0955
2013-02-15 30.1201
2013-02-16 30.1058
2013-02-17 29.9747
2013-02-18 30.1221
2013-02-19 30.1143
2013-02-20 30.0972
2013-02-21 30.3431
2013-02-22 30.4147
2013-02-23 30.3817
2013-02-24 30.3869
2013-02-25 30.3777
2013-02-26 30.5977
2013-02-27 30.5797
2013-02-28 30.5443
2013-03-01 30.6749
2013-03-02 30.7038
2013-03-03 30.7033
2013-03-04 30.7579
2013-03-05 30.696
2013-03-06 30.6727
2013-03-07 30.7394
2013-03-08 30.7362
2013-03-09 30.7768
2013-03-10 30.7828
2013-03-11 30.7399
2013-03-12 30.7156
2013-03-13 30.7414
2013-03-14 30.7792
2013-03-15 30.6919
2013-03-16 30.6251
2013-03-17 30.6243
2013-03-18 30.8363
2013-03-19 30.8613
2013-03-20 30.9272
2013-03-21 30.8977
2013-03-22 30.9013
2013-03-23 30.845
2013-03-24 30.7848
2013-03-25 30.7896
2013-03-26 30.8995
2013-03-27 30.9436
2013-03-28 31.0485
2013-03-29 31.0694
2013-03-30 31.0565
2013-03-31 31.0383
2013-04-01 31.091
2013-04-02 31.1696
2013-04-03 31.461
2013-04-04 31.6625
2013-04-05 31.595
2013-04-06 31.6012
