"Index" "USD.SEK"
2013-01-01 6.5078
2013-01-02 6.4722
2013-01-03 6.5099
2013-01-04 6.5455
2013-01-05 6.5416
2013-01-06 6.5373
2013-01-07 6.533
2013-01-08 6.5256
2013-01-09 6.5649
2013-01-10 6.539
2013-01-11 6.4877
2013-01-12 6.4659
2013-01-13 6.4656
2013-01-14 6.4556
2013-01-15 6.4673
2013-01-16 6.5044
2013-01-17 6.4936
2013-01-18 6.5053
2013-01-19 6.5162
2013-01-20 6.5162
2013-01-21 6.5245
2013-01-22 6.5165
2013-01-23 6.519
2013-01-24 6.5131
2013-01-25 6.4738
2013-01-26 6.4542
2013-01-27 6.4557
2013-01-28 6.4462
2013-01-29 6.4167
2013-01-30 6.3613
2013-01-31 6.3553
2013-02-01 6.323
2013-02-02 6.3091
2013-02-03 6.3098
2013-02-04 6.3196
2013-02-05 6.33
2013-02-06 6.342
2013-02-07 6.3774
2013-02-08 6.4217
2013-02-09 6.4468
2013-02-10 6.4465
2013-02-11 6.4178
2013-02-12 6.3877
2013-02-13 6.2893
2013-02-14 6.3129
2013-02-15 6.3274
2013-02-16 6.3231
2013-02-17 6.3278
2013-02-18 6.3378
2013-02-19 6.3323
2013-02-20 6.3053
2013-02-21 6.3881
2013-02-22 6.4186
2013-02-23 6.4184
2013-02-24 6.4046
2013-02-25 6.4095
2013-02-26 6.4695
2013-02-27 6.4499
2013-02-28 6.4395
2013-03-01 6.4453
2013-03-02 6.4357
2013-03-03 6.4365
2013-03-04 6.4352
2013-03-05 6.3991
2013-03-06 6.3876
2013-03-07 6.3776
2013-03-08 6.3614
2013-03-09 6.4047
2013-03-10 6.4121
2013-03-11 6.3988
2013-03-12 6.3843
2013-03-13 6.3758
2013-03-14 6.4406
2013-03-15 6.4124
2013-03-16 6.3889
2013-03-17 6.3886
2013-03-18 6.4471
2013-03-19 6.4456
2013-03-20 6.4596
2013-03-21 6.4765
2013-03-22 6.4937
2013-03-23 6.4955
2013-03-24 6.4708
2013-03-25 6.4902
2013-03-26 6.507
2013-03-27 6.4986
2013-03-28 6.5199
2013-03-29 6.5213
2013-03-30 6.5243
2013-03-31 6.5245
2013-04-01 6.5238
2013-04-02 6.4917
2013-04-03 6.4959
2013-04-04 6.534
2013-04-05 6.4924
2013-04-06 6.4913
2013-04-07 6.4703
2013-04-08 6.434
2013-04-09 6.4053
2013-04-10 6.3861
2013-04-11 6.371
2013-04-12 6.3609
2013-04-13 6.3557
2013-04-14 6.3561
2013-04-15 6.3876
2013-04-16 6.3952
2013-04-17 6.4264
2013-04-18 6.519
2013-04-19 6.5236
2013-04-20 6.5412
2013-04-21 6.5359
2013-04-22 6.5303
2013-04-23 6.5869
2013-04-24 6.6303
2013-04-25 6.5987
2013-04-26 6.5873
2013-04-27 6.5726
