"Index" "USD.SGD"
2013-01-01 1.2216
2013-01-02 1.2208
2013-01-03 1.2222
2013-01-04 1.2285
2013-01-05 1.2272
2013-01-06 1.2272
2013-01-07 1.2297
2013-01-08 1.2292
2013-01-09 1.2277
2013-01-10 1.2256
2013-01-11 1.2243
2013-01-12 1.2251
2013-01-13 1.225
2013-01-14 1.2262
2013-01-15 1.225
2013-01-16 1.2245
2013-01-17 1.2239
2013-01-18 1.2258
2013-01-19 1.2277
2013-01-20 1.2277
2013-01-21 1.2287
2013-01-22 1.2276
2013-01-23 1.2272
2013-01-24 1.2278
2013-01-25 1.2318
2013-01-26 1.2347
2013-01-27 1.2348
2013-01-28 1.2374
2013-01-29 1.2365
2013-01-30 1.2352
2013-01-31 1.2376
2013-02-01 1.2402
2013-02-02 1.2405
2013-02-03 1.2405
2013-02-04 1.239
2013-02-05 1.2376
2013-02-06 1.2377
2013-02-07 1.2389
2013-02-08 1.2388
2013-02-09 1.2382
2013-02-10 1.2382
2013-02-11 1.2391
2013-02-12 1.2425
2013-02-13 1.2382
2013-02-14 1.2361
2013-02-15 1.2363
2013-02-16 1.2371
2013-02-17 1.2371
2013-02-18 1.2393
2013-02-19 1.2384
2013-02-20 1.2368
2013-02-21 1.2403
2013-02-22 1.2384
2013-02-23 1.2375
2013-02-24 1.2375
2013-02-25 1.2385
2013-02-26 1.2392
2013-02-27 1.2384
2013-02-28 1.2365
2013-03-01 1.2387
2013-03-02 1.2405
2013-03-03 1.2405
2013-03-04 1.2455
2013-03-05 1.2457
2013-03-06 1.2458
2013-03-07 1.2472
2013-03-08 1.2466
2013-03-09 1.2478
2013-03-10 1.2478
2013-03-11 1.2491
2013-03-12 1.2476
2013-03-13 1.2478
2013-03-14 1.2496
2013-03-15 1.2485
2013-03-16 1.2476
2013-03-17 1.2476
2013-03-18 1.2502
2013-03-19 1.25
2013-03-20 1.2513
2013-03-21 1.2502
2013-03-22 1.2494
2013-03-23 1.2483
2013-03-24 1.2483
2013-03-25 1.2447
2013-03-26 1.2415
2013-03-27 1.243
2013-03-28 1.2419
2013-03-29 1.2405
2013-03-30 1.2403
2013-03-31 1.2403
2013-04-01 1.2411
2013-04-02 1.2382
2013-04-03 1.2384
2013-04-04 1.2401
2013-04-05 1.2399
2013-04-06 1.2401
2013-04-07 1.2401
2013-04-08 1.2414
2013-04-09 1.24
2013-04-10 1.238
2013-04-11 1.2374
2013-04-12 1.2375
2013-04-13 1.2369
2013-04-14 1.2369
2013-04-15 1.2371
2013-04-16 1.2368
2013-04-17 1.2346
2013-04-18 1.2357
2013-04-19 1.2359
2013-04-20 1.2372
2013-04-21 1.2372
2013-04-22 1.2392
2013-04-23 1.2407
2013-04-24 1.2418
2013-04-25 1.2396
2013-04-26 1.2374
2013-04-27 1.2365
2013-04-28 1.2365
2013-04-29 1.2346
2013-04-30 1.2334
2013-05-01 1.2319
2013-05-02 1.234
