"Index" "USD.SKK"
2013-01-01 22.8275
2013-01-02 22.7621
2013-01-03 22.9406
2013-01-04 23.111
2013-01-05 23.0514
2013-01-06 23.0507
2013-01-07 23.0624
2013-01-08 22.9869
2013-01-09 23.0499
2013-01-10 22.9705
2013-01-11 22.6692
2013-01-12 22.5787
2013-01-13 22.5777
2013-01-14 22.5332
2013-01-15 22.5626
2013-01-16 22.666
2013-01-17 22.605
2013-01-18 22.5616
2013-01-19 22.6171
2013-01-20 22.6177
2013-01-21 22.6245
2013-01-22 22.6124
2013-01-23 22.6221
2013-01-24 22.5941
2013-01-25 22.4579
2013-01-26 22.3764
2013-01-27 22.3769
2013-01-28 22.394
2013-01-29 22.3881
2013-01-30 22.2771
2013-01-31 22.2053
2013-02-01 22.0966
2013-02-02 22.0852
2013-02-03 22.0857
2013-02-04 22.1636
2013-02-05 22.2734
2013-02-06 22.2342
2013-02-07 22.3239
2013-02-08 22.4939
2013-02-09 22.5399
2013-02-10 22.5399
2013-02-11 22.5089
2013-02-12 22.4546
2013-02-13 22.3853
2013-02-14 22.5002
2013-02-15 22.5633
2013-02-16 22.5481
2013-02-17 22.5483
2013-02-18 22.5718
2013-02-19 22.5547
2013-02-20 22.5066
2013-02-21 22.7692
2013-02-22 22.8357
2013-02-23 22.8388
2013-02-24 22.8384
2013-02-25 22.8093
2013-02-26 23.05
2013-02-27 23.0264
2013-02-28 22.9607
2013-03-01 23.0989
2013-03-02 23.1382
2013-03-03 23.1382
2013-03-04 23.1576
2013-03-05 23.1118
2013-03-06 23.1112
2013-03-07 23.1221
2013-03-08 23.0581
2013-03-09 23.1657
2013-03-10 23.1654
2013-03-11 23.1623
2013-03-12 23.1233
2013-03-13 23.1659
2013-03-14 23.2375
2013-03-15 23.1037
2013-03-16 23.04
2013-03-17 23.04
2013-03-18 23.2972
2013-03-19 23.2957
2013-03-20 23.3402
2013-03-21 23.3106
2013-03-22 23.288
2013-03-23 23.1956
2013-03-24 23.1956
2013-03-25 23.2357
2013-03-26 23.4206
2013-03-27 23.5068
2013-03-28 23.5385
2013-03-29 23.5012
2013-03-30 23.502
2013-03-31 23.502
2013-04-01 23.5067
2013-04-02 23.4576
2013-04-03 23.4921
2013-04-04 23.4478
2013-04-05 23.2512
2013-04-06 23.1897
2013-04-07 23.1897
2013-04-08 23.1694
2013-04-09 23.0807
2013-04-10 23.0284
2013-04-11 23.0158
2013-04-12 23.0109
2013-04-13 22.9759
2013-04-14 22.9759
2013-04-15 23.0339
2013-04-16 22.9984
2013-04-17 22.945
2013-04-18 23.0827
2013-04-19 23.0484
2013-04-20 23.0816
2013-04-21 23.0816
2013-04-22 23.0757
2013-04-23 23.1343
2013-04-24 23.1699
2013-04-25 23.1142
2013-04-26 23.1352
2013-04-27 23.1199
2013-04-28 23.1199
2013-04-29 23.0435
2013-04-30 22.9792
2013-05-01 22.8496
2013-05-02 22.9306
2013-05-03 23.0078
2013-05-04 22.9713
2013-05-05 22.9713
2013-05-06 22.9911
2013-05-07 23.0215
2013-05-08 22.958
2013-05-09 22.9436
2013-05-10 23.1535
2013-05-11 23.1915
2013-05-12 23.1915
2013-05-13 23.2199
2013-05-14 23.2062
2013-05-15 23.3569
2013-05-16 23.3864
2013-05-17 23.4347
2013-05-18 23.4649
2013-05-19 23.4649
2013-05-20 23.4349
2013-05-21 23.3803
2013-05-22 23.338
2013-05-23 23.3878
2013-05-24 23.2912
2013-05-25 23.2958
2013-05-26 23.2958
2013-05-27 23.2918
2013-05-28 23.3472
2013-05-29 23.3618
2013-05-30 23.1962
2013-05-31 23.1552
2013-06-01 23.1786
2013-06-02 23.1786
2013-06-03 23.1283
2013-06-04 23.0471
2013-06-05 23.0311
2013-06-06 22.9218
2013-06-07 22.7584
2013-06-08 22.791
2013-06-09 22.791
2013-06-10 22.7965
2013-06-11 22.6961
2013-06-12 22.6322
2013-06-13 22.582
2013-06-14 22.5828
2013-06-15 22.573
2013-06-16 22.573
2013-06-17 22.584
2013-06-18 22.5262
2013-06-19 22.5106
2013-06-20 22.7594
2013-06-21 22.8313
2013-06-22 22.9592
2013-06-23 22.9592
2013-06-24 22.9888
2013-06-25 22.9754
2013-06-26 23.0927
2013-06-27 23.1249
2013-06-28 23.099
2013-06-29 23.1559
2013-06-30 23.1559
2013-07-01 23.1104
2013-07-02 23.1114
2013-07-03 23.2133
2013-07-04 23.2268
2013-07-05 23.4044
2013-07-06 23.4809
2013-07-07 23.4809
2013-07-08 23.4584
2013-07-09 23.4583
2013-07-10 23.5051
2013-07-11 23.0513
2013-07-12 23.0579
2013-07-13 23.054
2013-07-14 23.054
2013-07-15 23.0779
2013-07-16 22.9965
2013-07-17 22.9303
2013-07-18 22.9911
2013-07-19 22.9527
2013-07-20 22.9224
2013-07-21 22.9224
2013-07-22 22.8761
2013-07-23 22.8278
2013-07-24 22.7933
2013-07-25 22.796
2013-07-26 22.6904
2013-07-27 22.6867
2013-07-28 22.6867
2013-07-29 22.6951
2013-07-30 22.7142
2013-07-31 22.7051
2013-08-01 22.7313
2013-08-02 22.7633
2013-08-03 22.6835
2013-08-04 22.6835
2013-08-05 22.7043
2013-08-06 22.6888
2013-08-07 22.6375
2013-08-08 22.5532
2013-08-09 22.5348
2013-08-10 22.5805
2013-08-11 22.5805
2013-08-12 22.6301
2013-08-13 22.6788
2013-08-14 22.7211
2013-08-15 22.6786
2013-08-16 22.5814
2013-08-17 22.604
2013-08-18 22.604
2013-08-19 22.5876
2013-08-20 22.5197
2013-08-21 22.4877
2013-08-22 22.5782
2013-08-23 22.5472
2013-08-24 22.512
2013-08-25 22.512
2013-08-26 22.5215
2013-08-27 22.5315
2013-08-28 22.5455
2013-08-29 22.6823
2013-08-30 22.7711
2013-08-31 22.7862
2013-09-01 22.7862
2013-09-02 22.8138
2013-09-03 22.8622
2013-09-04 22.8571
2013-09-05 22.8736
2013-09-06 22.9299
2013-09-07 22.8566
2013-09-08 22.8566
2013-09-09 22.8161
2013-09-10 22.7244
2013-09-11 22.6915
2013-09-12 22.643
2013-09-13 22.6709
2013-09-14 22.6583
2013-09-15 22.6583
2013-09-16 22.5528
2013-09-17 22.571
2013-09-18 22.5287
2013-09-19 22.2609
2013-09-20 22.2664
2013-09-21 22.2742
2013-09-22 22.2742
2013-09-23 22.2889
2013-09-24 22.3325
2013-09-25 22.3239
2013-09-26 22.3077
2013-09-27 22.3032
2013-09-28 22.2788
2013-09-29 22.2788
2013-09-30 22.301
2013-10-01 22.2533
2013-10-02 22.2428
2013-10-03 22.1435
2013-10-04 22.1502
2013-10-05 22.2212
2013-10-06 22.2212
2013-10-07 22.1978
2013-10-08 22.1934
2013-10-09 22.2488
2013-10-10 22.2871
2013-10-11 22.2409
2013-10-12 22.2457
2013-10-13 22.2457
2013-10-14 22.2071
2013-10-15 22.2645
2013-10-16 22.2753
2013-10-17 22.1448
2013-10-18 22.0255
2013-10-19 22.0122
2013-10-20 22.0122
2013-10-21 22.0286
2013-10-22 21.9772
2013-10-23 21.8714
2013-10-24 21.8385
2013-10-25 21.8267
2013-10-26 21.8254
2013-10-27 21.8254
2013-10-28 21.8289
2013-10-29 21.8763
2013-10-30 21.9126
2013-10-31 22.0363
2013-11-01 22.264
2013-11-02 22.3374
2013-11-03 22.3374
2013-11-04 22.3163
2013-11-05 22.3278
2013-11-06 22.3085
2013-11-07 22.359
2013-11-08 22.488
2013-11-09 22.5339
2013-11-10 22.5337
2013-11-11 22.5123
2013-11-12 22.4673
2013-11-13 22.4217
2013-11-14 22.3777
2013-11-15 22.3769
2013-11-16 22.3221
2013-11-17 22.322
2013-11-18 22.3112
2013-11-19 22.292
2013-11-20 22.2852
2013-11-21 22.4117
2013-11-22 22.3105
2013-11-23 22.2206
2013-11-24 22.2202
2013-11-25 22.2673
2013-11-26 22.2469
2013-11-27 22.1833
2013-11-28 22.1692
2013-11-29 22.141
2013-11-30 22.1662
2013-12-01 22.1659
2013-12-02 22.1983
2013-12-03 22.2122
2013-12-04 22.1804
2013-12-05 22.1277
2013-12-06 22.0343
2013-12-07 21.9802
2013-12-08 21.9799
2013-12-09 21.9651
2013-12-10 21.9036
2013-12-11 21.8779
2013-12-12 21.8704
2013-12-13 21.9241
2013-12-14 21.9209
2013-12-15 21.9206
2013-12-16 21.8961
2013-12-17 21.891
2013-12-18 21.8907
2013-12-19 22.0366
2013-12-20 22.065
2013-12-21 22.0318
2013-12-22 22.032
2013-12-23 22.0115
2013-12-24 22.0195
2013-12-25 22.019
2013-12-26 22.0138
2013-12-27 21.8957
2013-12-28 21.911
2013-12-29 21.9103
2013-12-30 21.8828
2013-12-31 21.852
2014-01-01 21.8496
2014-01-02 21.9646
2014-01-03 22.087
2014-01-04 22.1698
2014-01-05 22.1696
2014-01-06 22.1433
2014-01-07 22.1097
2014-01-08 22.1461
2014-01-09 22.1702
2014-01-10 22.1138
2014-01-11 22.038
2014-01-12 22.0377
2014-01-13 22.0458
2014-01-14 22.0354
2014-01-15 22.1067
2014-01-16 22.1329
2014-01-17 22.1677
2014-01-18 22.2479
2014-01-19 22.2474
2014-01-20 22.2401
2014-01-21 22.241
2014-01-22 22.2221
2014-01-23 22.1404
2014-01-24 22.012
2014-01-25 22.0245
2014-01-26 22.0246
2014-01-27 22.0233
2014-01-28 22.046
2014-01-29 22.0562
2014-01-30 22.1325
2014-01-31 22.2623
2014-02-01 22.3396
2014-02-02 22.3398
2014-02-03 22.3175
2014-02-04 22.288
2014-02-05 22.283
2014-02-06 22.2368
2014-02-07 22.1632
2014-02-08 22.0945
2014-02-09 22.0945
2014-02-10 22.0986
2014-02-11 22.0559
2014-02-12 22.126
2014-02-13 22.0882
2014-02-14 22.007
2014-02-15 22.002
2014-02-16 22.0023
2014-02-17 21.9811
2014-02-18 21.949
2014-02-19 21.9008
2014-02-20 21.9526
2014-02-21 21.956
2014-02-22 21.9269
2014-02-23 21.9269
2014-02-24 21.9287
2014-02-25 21.9221
2014-02-26 21.9541
2014-02-27 22.0171
2014-02-28 21.9067
2014-03-01 21.8261
2014-03-02 21.8261
2014-03-03 21.8759
2014-03-04 21.9205
2014-03-05 21.9383
2014-03-06 21.8807
2014-03-07 21.7204
2014-03-08 21.7075
2014-03-09 21.707
2014-03-10 21.7056
2014-03-11 21.7293
2014-03-12 21.7155
2014-03-13 21.6454
2014-03-14 21.7008
2014-03-15 21.6561
2014-03-16 21.6561
2014-03-17 21.6578
2014-03-18 21.6415
2014-03-19 21.6563
2014-03-20 21.8254
2014-03-21 21.8492
2014-03-22 21.8427
2014-03-23 21.8427
2014-03-24 21.8367
2014-03-25 21.7957
2014-03-26 21.8238
2014-03-27 21.8805
2014-03-28 21.9198
2014-03-29 21.9055
2014-03-30 21.9055
2014-03-31 21.8818
2014-04-01 21.8513
2014-04-02 21.8508
2014-04-03 21.9133
2014-04-04 21.9781
2014-04-05 21.9823
2014-04-06 21.9823
2014-04-07 21.9593
2014-04-08 21.8813
2014-04-09 21.824
2014-04-10 21.7277
2014-04-11 21.6895
2014-04-12 21.6973
2014-04-13 21.6973
2014-04-14 21.7743
2014-04-15 21.8121
2014-04-16 21.7942
2014-04-17 21.7765
2014-04-18 21.8056
2014-04-19 21.8131
2014-04-20 21.8131
2014-04-21 21.8144
2014-04-22 21.8288
2014-04-23 21.7972
2014-04-24 21.7955
2014-04-25 21.7747
2014-04-26 21.7792
2014-04-27 21.7792
2014-04-28 21.7578
2014-04-29 21.7619
2014-04-30 21.7789
2014-05-01 21.7165
2014-05-02 21.7354
2014-05-03 21.715
2014-05-04 21.715
2014-05-05 21.7119
2014-05-06 21.6615
2014-05-07 21.6362
2014-05-08 21.6701
2014-05-09 21.8212
2014-05-10 21.8941
2014-05-11 21.8941
2014-05-12 21.8929
2014-05-13 21.9324
2014-05-14 21.9706
2014-05-15 21.9885
2014-05-16 21.9757
2014-05-17 21.9997
2014-05-18 21.9997
2014-05-19 21.9727
2014-05-20 21.9862
2014-05-21 22.0056
2014-05-22 22.0396
2014-05-23 22.0893
2014-05-24 22.1027
2014-05-25 22.1027
2014-05-26 22.0955
2014-05-27 22.0817
2014-05-28 22.1229
2014-05-29 22.1447
2014-05-30 22.1254
2014-05-31 22.0971
2014-06-01 22.0971
2014-06-02 22.1279
2014-06-03 22.1303
2014-06-04 22.1283
2014-06-05 22.1365
2014-06-06 22.0734
2014-06-07 22.0836
2014-06-08 22.0836
2014-06-09 22.1139
2014-06-10 22.2038
2014-06-11 22.2566
2014-06-12 22.249
2014-06-13 22.234
2014-06-14 22.2447
2014-06-15 22.2447
2014-06-16 22.2377
2014-06-17 22.2185
2014-06-18 22.218
2014-06-19 22.1369
2014-06-20 22.1473
2014-06-21 22.1521
2014-06-22 22.1521
2014-06-23 22.1587
2014-06-24 22.1445
2014-06-25 22.1239
2014-06-26 22.1199
2014-06-27 22.1099
2014-06-28 22.0734
2014-06-29 22.0734
2014-06-30 22.0539
2014-07-01 22.0104
2014-07-02 22.0448
2014-07-03 22.09
2014-07-04 22.1539
2014-07-05 22.1564
2014-07-06 22.1608
2014-07-07 22.1621
2014-07-08 22.1444
2014-07-09 22.1198
2014-07-10 22.1109
2014-07-11 22.1447
2014-07-12 22.1395
2014-07-13 22.1395
2014-07-14 22.1283
2014-07-15 22.1494
2014-07-16 22.2385
2014-07-17 22.2699
2014-07-18 22.2788
2014-07-19 22.276
2014-07-20 22.2757
2014-07-21 22.2707
2014-07-22 22.3201
2014-07-23 22.3738
2014-07-24 22.3742
2014-07-25 22.3971
2014-07-26 22.4324
2014-07-27 22.4324
2014-07-28 22.4244
2014-07-29 22.4368
2014-07-30 22.4844
2014-07-31 22.4965
2014-08-01 22.4788
2014-08-02 22.4282
2014-08-03 22.4282
2014-08-04 22.445
2014-08-05 22.485
2014-08-06 22.5416
2014-08-07 22.5274
2014-08-08 22.5083
2014-08-09 22.4624
2014-08-10 22.4607
2014-08-11 22.4928
2014-08-12 22.5416
2014-08-13 22.5381
2014-08-14 22.534
2014-08-15 22.5202
2014-08-16 22.4812
2014-08-17 22.4812
2014-08-18 22.5122
2014-08-19 22.5789
2014-08-20 22.6578
2014-08-21 22.711
2014-08-22 22.705
2014-08-23 22.7494
2014-08-24 22.7494
2014-08-25 22.8257
2014-08-26 22.8345
2014-08-27 22.8597
2014-08-28 22.8353
2014-08-29 22.8732
2014-08-30 22.9378
2014-08-31 22.9399
2014-09-01 22.9421
2014-09-02 22.9547
2014-09-03 22.9291
2014-09-04 23.035
2014-09-05 23.2688
2014-09-06 23.2619
2014-09-07 23.2619
2014-09-08 23.2822
2014-09-09 23.36
2014-09-10 23.3043
2014-09-11 23.3117
2014-09-12 23.2955
2014-09-13 23.2394
2014-09-14 23.2394
2014-09-15 23.2725
2014-09-16 23.2671
2014-09-17 23.2653
2014-09-18 23.3865
2014-09-19 23.3908
2014-09-20 23.4819
2014-09-21 23.4819
2014-09-22 23.4528
2014-09-23 23.4236
2014-09-24 23.4849
2014-09-25 23.6276
2014-09-26 23.6692
2014-09-27 23.7485
2014-09-28 23.7485
2014-09-29 23.7476
2014-09-30 23.8119
2014-10-01 23.8844
2014-10-02 23.8249
2014-10-03 23.9068
2014-10-04 24.0743
2014-10-05 24.0743
2014-10-06 24.0021
2014-10-07 23.8473
2014-10-08 23.7858
2014-10-09 23.6659
2014-10-10 23.7877
2014-10-11 23.8522
2014-10-12 23.8522
2014-10-13 23.7684
2014-10-14 23.7415
2014-10-15 23.7314
2014-10-16 23.5359
2014-10-17 23.5487
2014-10-18 23.6119
2014-10-19 23.6119
2014-10-20 23.5921
2014-10-21 23.5818
2014-10-22 23.7335
2014-10-23 23.819
2014-10-24 23.7989
2014-10-25 23.7764
2014-10-26 23.7764
2014-10-27 23.7319
2014-10-28 23.6901
2014-10-29 23.6695
2014-10-30 23.8922
2014-10-31 23.974
2014-11-01 24.0538
2014-11-02 24.0538
2014-11-03 24.1167
2014-11-04 24.0648
2014-11-05 24.0703
2014-11-06 24.155
2014-11-07 24.2989
2014-11-08 24.1876
2014-11-09 24.1879
2014-11-10 24.1706
2014-11-11 24.2326
2014-11-12 24.1732
2014-11-13 24.1861
2014-11-14 24.1651
2014-11-15 24.0535
2014-11-16 24.0535
2014-11-17 24.0895
2014-11-18 24.1092
2014-11-19 24.0343
2014-11-20 24.0234
2014-11-21 24.1383
2014-11-22 24.3125
2014-11-23 24.3124
2014-11-24 24.2869
2014-11-25 24.2159
2014-11-26 24.1362
2014-11-27 24.1183
2014-11-28 24.1876
2014-11-29 24.1962
2014-11-30 24.1958
2014-12-01 24.1763
2014-12-02 24.2212
2014-12-03 24.3943
2014-12-04 24.4222
2014-12-05 24.395
2014-12-06 24.5188
2014-12-07 24.5188
2014-12-08 24.5191
2014-12-09 24.3952
2014-12-10 24.3063
2014-12-11 24.2309
2014-12-12 24.2452
2014-12-13 24.1766
2014-12-14 24.1762
2014-12-15 24.2087
2014-12-16 24.1388
2014-12-17 24.1718
2014-12-18 24.4649
2014-12-19 24.5511
2014-12-20 24.6372
2014-12-21 24.6374
2014-12-22 24.6003
2014-12-23 24.6673
2014-12-24 24.7192
2014-12-25 24.7062
2014-12-26 24.7006
2014-12-27 24.7322
2014-12-28 24.732
2014-12-29 24.7254
2014-12-30 24.7837
2014-12-31 24.8106
2015-01-01 24.8954
2015-01-02 25.0048
2015-01-03 25.1008
2015-01-04 25.1009
2015-01-05 25.2297
2015-01-06 25.2548
2015-01-07 25.4111
2015-01-08 25.515
2015-01-09 25.5088
2015-01-10 25.4418
2015-01-11 25.4416
2015-01-12 25.45
2015-01-13 25.5089
2015-01-14 25.5726
2015-01-15 25.7113
2015-01-16 25.9726
2015-01-17 26.0431
2015-01-18 26.0428
2015-01-19 25.9987
2015-01-20 26.0124
2015-01-21 26.0258
2015-01-22 26.0831
2015-01-23 26.6761
2015-01-24 26.8823
2015-01-25 26.8829
2015-01-26 26.851
2015-01-27 26.6774
2015-01-28 26.5474
2015-01-29 26.6656
2015-01-30 26.6105
2015-01-31 26.6946
2015-02-01 26.695
2015-02-02 26.6086
2015-02-03 26.4755
2015-02-04 26.311
2015-02-05 26.4462
2015-02-06 26.3756
2015-02-07 26.6199
2015-02-08 26.6203
2015-02-09 26.5995
2015-02-10 26.6159
2015-02-11 26.6329
2015-02-12 26.5578
2015-02-13 26.4041
2015-02-14 26.446
2015-02-15 26.4461
2015-02-16 26.4302
2015-02-17 26.4795
2015-02-18 26.4544
2015-02-19 26.4315
2015-02-20 26.5342
2015-02-21 26.4759
2015-02-22 26.4759
2015-02-23 26.5405
2015-02-24 26.5907
2015-02-25 26.537
2015-02-26 26.6257
2015-02-27 26.8763
2015-02-28 26.9064
2015-03-01 26.9061
2015-03-02 26.9193
2015-03-03 26.9319
2015-03-04 27.0518
2015-03-05 27.2616
2015-03-06 27.4801
2015-03-07 27.7822
2015-03-08 27.7824
2015-03-09 27.7538
2015-03-10 27.9604
2015-03-11 28.3359
2015-03-12 28.4736
2015-03-13 28.4939
2015-03-14 28.7024
2015-03-15 28.7024
2015-03-16 28.5828
2015-03-17 28.452
2015-03-18 28.3298
2015-03-19 28.0786
2015-03-20 28.0939
2015-03-21 27.8388
2015-03-22 27.8388
2015-03-23 27.7373
2015-03-24 27.5398
2015-03-25 27.517
2015-03-26 27.4822
2015-03-27 27.7053
2015-03-28 27.6622
2015-03-29 27.6622
2015-03-30 27.7636
2015-03-31 27.9649
2015-04-01 27.9937
2015-04-02 27.8402
2015-04-03 27.5981
2015-04-04 27.4527
2015-04-05 27.4527
2015-04-06 27.4196
2015-04-07 27.6667
2015-04-08 27.8104
2015-04-09 28.0613
2015-04-10 28.339
2015-04-11 28.4158
2015-04-12 28.4158
2015-04-13 28.4716
2015-04-14 28.4221
2015-04-15 28.3358
2015-04-16 28.1299
2015-04-17 27.9362
2015-04-18 27.8772
2015-04-19 27.8772
2015-04-20 27.9764
2015-04-21 28.1
2015-04-22 28.0491
2015-04-23 28.0293
2015-04-24 27.7939
2015-04-25 27.7024
2015-04-26 27.7024
2015-04-27 27.7267
2015-04-28 27.596
2015-04-29 27.3148
2015-04-30 27.0002
2015-05-01 26.8446
2015-05-02 26.9044
2015-05-03 26.9044
2015-05-04 26.9752
2015-05-05 27.026
2015-05-06 26.7623
2015-05-07 26.6145
2015-05-08 26.8356
2015-05-09 26.8898
2015-05-10 26.8898
2015-05-11 26.9892
2015-05-12 26.8882
2015-05-13 26.7251
2015-05-14 26.465
2015-05-15 26.4241
2015-05-16 26.3154
2015-05-17 26.3154
2015-05-18 26.444
2015-05-19 26.8395
2015-05-20 27.0957
2015-05-21 27.084
2015-05-22 27.135
2015-05-23 27.3563
2015-05-24 27.3563
2015-05-25 27.43
2015-05-26 27.5928
2015-05-27 27.6727
2015-05-28 27.5952
2015-05-29 27.4662
2015-05-30 27.41
2015-05-31 27.41
2015-06-01 27.5433
2015-06-02 27.3399
2015-06-03 26.9424
2015-06-04 26.7129
2015-06-05 26.9326
2015-06-06 27.1071
2015-06-07 27.1071
2015-06-08 26.9909
2015-06-09 26.7022
2015-06-10 26.6539
2015-06-11 26.7221
2015-06-12 26.8036
2015-06-13 26.7337
2015-06-14 26.7337
2015-06-15 26.8167
2015-06-16 26.7544
2015-06-17 26.7421
2015-06-18 26.4858
2015-06-19 26.5524
2015-06-20 26.5437
2015-06-21 26.5437
2015-06-22 26.5101
2015-06-23 26.7975
2015-06-24 26.9228
2015-06-25 26.8932
2015-06-26 26.9337
2015-06-27 26.9627
2015-06-28 26.9627
2015-06-29 27.1517
2015-06-30 26.9424
2015-07-01 27.122
2015-07-02 27.2085
2015-07-03 27.1489
2015-07-04 27.1069
2015-07-05 27.1069
2015-07-06 27.2803
2015-07-07 27.3889
2015-07-08 27.3181
2015-07-09 27.2561
2015-07-10 27.0849
2015-07-11 27.0063
2015-07-12 27.0063
2015-07-13 27.1856
2015-07-14 27.363
2015-07-15 27.4137
2015-07-16 27.6122
2015-07-17 27.7034
2015-07-18 27.8178
2015-07-19 27.8178
2015-07-20 27.7967
2015-07-21 27.7203
2015-07-22 27.5761
2015-07-23 27.4724
2015-07-24 27.4651
2015-07-25 27.431
2015-07-26 27.431
2015-07-27 27.2667
2015-07-28 27.2301
2015-07-29 27.2704
2015-07-30 27.5043
2015-07-31 27.4494
2015-08-01 27.4248
2015-08-02 27.4248
2015-08-03 27.4658
2015-08-04 27.5155
2015-08-05 27.6969
2015-08-06 27.6146
2015-08-07 27.5619
2015-08-08 27.4716
2015-08-09 27.4716
2015-08-10 27.4533
2015-08-11 27.3335
2015-08-12 27.1027
2015-08-13 27.0555
2015-08-14 27.0373
2015-08-15 27.117
2015-08-16 27.117
2015-08-17 27.1609
2015-08-18 27.2453
2015-08-19 27.2513
2015-08-20 26.9991
2015-08-21 26.6843
2015-08-22 26.4562
2015-08-23 26.4562
2015-08-24 26.2098
2015-08-25 26.1638
2015-08-26 26.3109
2015-08-27 26.6739
2015-08-28 26.7986
2015-08-29 26.9356
2015-08-30 26.9356
2015-08-31 26.8532
2015-09-01 26.7415
2015-09-02 26.7447
2015-09-03 26.927
2015-09-04 27.0602
2015-09-05 27.0213
2015-09-06 27.0213
2015-09-07 27.0031
2015-09-08 26.9454
2015-09-09 26.9558
2015-09-10 26.838
2015-09-11 26.6714
2015-09-12 26.5708
2015-09-13 26.5708
2015-09-14 26.592
2015-09-15 26.6583
2015-09-16 26.7191
2015-09-17 26.6117
2015-09-18 26.432
2015-09-19 26.6594
2015-09-20 26.6594
2015-09-21 26.7417
2015-09-22 26.9764
2015-09-23 27.0301
2015-09-24 26.8642
2015-09-25 26.9635
2015-09-26 26.9032
2015-09-27 26.9032
2015-09-28 26.9061
2015-09-29 26.7931
2015-09-30 26.8587
2015-10-01 26.9742
2015-10-02 26.8889
2015-10-03 26.8694
2015-10-04 26.8694
2015-10-05 26.8461
2015-10-06 26.8576
2015-10-07 26.7675
2015-10-08 26.7386
2015-10-09 26.6058
2015-10-10 26.523
2015-10-11 26.523
2015-10-12 26.4938
2015-10-13 26.4888
2015-10-14 26.3904
2015-10-15 26.3382
2015-10-16 26.4964
2015-10-17 26.5458
2015-10-18 26.5458
2015-10-19 26.5565
2015-10-20 26.5546
2015-10-21 26.5376
2015-10-22 26.742
2015-10-23 27.182
2015-10-24 27.3438
2015-10-25 27.3438
2015-10-26 27.3028
2015-10-27 27.2586
2015-10-28 27.3004
2015-10-29 27.5252
2015-10-30 27.3826
2015-10-31 27.3717
2015-11-01 27.3717
