"Index" "USD.THB"
2013-01-01 30.583
2013-01-02 30.42
2013-01-03 30.3569
2013-01-04 30.4631
2013-01-05 30.4751
2013-01-06 30.4759
2013-01-07 30.4551
2013-01-08 30.4328
2013-01-09 30.3971
2013-01-10 30.3335
2013-01-11 30.2708
2013-01-12 30.2818
2013-01-13 30.282
2013-01-14 30.26
2013-01-15 30.0605
2013-01-16 29.8823
2013-01-17 29.7969
2013-01-18 29.7361
2013-01-19 29.703
2013-01-20 29.7033
2013-01-21 29.7239
2013-01-22 29.7422
2013-01-23 29.7788
2013-01-24 29.8126
2013-01-25 29.9022
2013-01-26 29.944
2013-01-27 29.9449
2013-01-28 29.9525
2013-01-29 29.8409
2013-01-30 29.7585
2013-01-31 29.8062
2013-02-01 29.827
2013-02-02 29.7981
2013-02-03 29.798
2013-02-04 29.7663
2013-02-05 29.7496
2013-02-06 29.7739
2013-02-07 29.7826
2013-02-08 29.7948
2013-02-09 29.801
2013-02-10 29.801
2013-02-11 29.8227
2013-02-12 29.8652
2013-02-13 29.8195
2013-02-14 29.8218
2013-02-15 29.8618
2013-02-16 29.897
2013-02-17 29.897
2013-02-18 29.8945
2013-02-19 29.8813
2013-02-20 29.8383
2013-02-21 29.8583
2013-02-22 29.835
2013-02-23 29.8367
2013-02-24 29.837
2013-02-25 29.8411
2013-02-26 29.8406
2013-02-27 29.8307
2013-02-28 29.7878
2013-03-01 29.7661
2013-03-02 29.7667
2013-03-03 29.767
2013-03-04 29.8144
2013-03-05 29.7967
2013-03-06 29.7522
2013-03-07 29.7539
2013-03-08 29.7413
2013-03-09 29.7351
2013-03-10 29.735
2013-03-11 29.7384
2013-03-12 29.6232
2013-03-13 29.6115
2013-03-14 29.6354
2013-03-15 29.562
2013-03-16 29.539
2013-03-17 29.539
2013-03-18 29.5428
2013-03-19 29.3438
2013-03-20 29.1693
2013-03-21 29.1874
2013-03-22 29.2664
2013-03-23 29.291
2013-03-24 29.291
2013-03-25 29.2739
2013-03-26 29.3287
2013-03-27 29.3071
2013-03-28 29.2822
2013-03-29 29.2931
2013-03-30 29.265
2013-03-31 29.265
2013-04-01 29.3089
2013-04-02 29.3664
2013-04-03 29.3833
2013-04-04 29.3526
2013-04-05 29.2855
2013-04-06 29.25
2013-04-07 29.25
2013-04-08 29.2517
2013-04-09 29.038
2013-04-10 28.9979
2013-04-11 29.0262
2013-04-12 29.0437
2013-04-13 29.059
2013-04-14 29.059
2013-04-15 29.0735
2013-04-16 29.041
2013-04-17 28.8924
2013-04-18 28.7467
2013-04-19 28.6546
2013-04-20 28.619
2013-04-21 28.619
2013-04-22 28.6672
2013-04-23 28.7904
2013-04-24 28.8903
2013-04-25 29.0688
2013-04-26 29.2791
2013-04-27 29.276
2013-04-28 29.276
2013-04-29 29.2678
2013-04-30 29.3033
2013-05-01 29.2973
2013-05-02 29.4123
2013-05-03 29.6173
2013-05-04 29.703
2013-05-05 29.703
2013-05-06 29.5984
2013-05-07 29.6099
2013-05-08 29.4525
2013-05-09 29.4302
2013-05-10 29.6975
2013-05-11 29.789
2013-05-12 29.789
2013-05-13 29.7261
2013-05-14 29.65
2013-05-15 29.7353
2013-05-16 29.7218
2013-05-17 29.8062
2013-05-18 29.862
2013-05-19 29.862
2013-05-20 29.8326
2013-05-21 29.778
2013-05-22 29.8115
2013-05-23 29.9365
2013-05-24 29.9558
2013-05-25 29.959
2013-05-26 29.959
2013-05-27 29.89
2013-05-28 29.9798
2013-05-29 30.152
2013-05-30 30.1724
2013-05-31 30.2652
2013-06-01 30.4095
2013-06-02 30.4095
2013-06-03 30.4046
2013-06-04 30.4196
2013-06-05 30.5145
2013-06-06 30.5844
2013-06-07 30.6245
2013-06-08 30.636
2013-06-09 30.636
2013-06-10 30.7463
2013-06-11 30.9157
2013-06-12 30.99
2013-06-13 30.8707
2013-06-14 30.5917
2013-06-15 30.569
2013-06-16 30.569
2013-06-17 30.6497
2013-06-18 30.7976
2013-06-19 30.8148
2013-06-20 31.0776
2013-06-21 31.1545
2013-06-22 31.1225
2013-06-23 31.1225
2013-06-24 31.1103
2013-06-25 31.0069
2013-06-26 31.0983
2013-06-27 31.1323
2013-06-28 31.1095
2013-06-29 31.0555
2013-06-30 31.0555
2013-07-01 30.9969
2013-07-02 30.9582
2013-07-03 31.0622
2013-07-04 31.0835
2013-07-05 31.1762
2013-07-06 31.289
2013-07-07 31.289
2013-07-08 31.407
2013-07-09 31.3248
2013-07-10 31.252
2013-07-11 31.1123
2013-07-12 31.1375
2013-07-13 31.1425
2013-07-14 31.1425
2013-07-15 31.1529
2013-07-16 31.078
2013-07-17 31.0589
2013-07-18 31.0414
2013-07-19 31.0625
2013-07-20 31.0495
2013-07-21 31.0495
2013-07-22 30.9597
2013-07-23 30.9375
2013-07-24 30.9631
2013-07-25 31.0718
2013-07-26 31.1112
2013-07-27 31.133
2013-07-28 31.133
2013-07-29 31.161
2013-07-30 31.2481
2013-07-31 31.3222
2013-08-01 31.2976
2013-08-02 31.3421
2013-08-03 31.2625
2013-08-04 31.2625
2013-08-05 31.3345
2013-08-06 31.3982
2013-08-07 31.4193
2013-08-08 31.2725
2013-08-09 31.2224
2013-08-10 31.2425
2013-08-11 31.2425
2013-08-12 31.2238
2013-08-13 31.259
2013-08-14 31.2902
2013-08-15 31.2709
2013-08-16 31.2755
2013-08-17 31.264
2013-08-18 31.264
2013-08-19 31.3593
2013-08-20 31.5996
2013-08-21 31.7857
2013-08-22 32.046
2013-08-23 31.9552
2013-08-24 31.858
2013-08-25 31.858
2013-08-26 31.9355
2013-08-27 32.1363
2013-08-28 32.221
2013-08-29 32.1698
2013-08-30 32.1289
2013-08-31 32.1565
2013-09-01 32.1565
2013-09-02 32.083
2013-09-03 32.0965
2013-09-04 32.1925
2013-09-05 32.2604
2013-09-06 32.3343
2013-09-07 32.239
2013-09-08 32.239
2013-09-09 32.2071
2013-09-10 32.1183
2013-09-11 32.0377
2013-09-12 31.739
2013-09-13 31.8283
2013-09-14 31.8445
2013-09-15 31.8445
2013-09-16 31.7082
2013-09-17 31.7563
2013-09-18 31.6398
2013-09-19 31.0472
2013-09-20 31.0308
2013-09-21 31.117
2013-09-22 31.117
2013-09-23 31.1567
2013-09-24 31.2881
2013-09-25 31.3244
2013-09-26 31.2236
2013-09-27 31.2679
2013-09-28 31.331
2013-09-29 31.331
2013-09-30 31.3217
2013-10-01 31.2028
2013-10-02 31.275
2013-10-03 31.2434
2013-10-04 31.2964
2013-10-05 31.299
2013-10-06 31.299
2013-10-07 31.3557
2013-10-08 31.368
2013-10-09 31.4228
2013-10-10 31.4187
2013-10-11 31.3117
2013-10-12 31.2865
2013-10-13 31.2865
2013-10-14 31.3141
2013-10-15 31.275
2013-10-16 31.2625
2013-10-17 31.0871
2013-10-18 31.0412
2013-10-19 31.0495
2013-10-20 31.0495
2013-10-21 31.1028
2013-10-22 31.1068
2013-10-23 31.1107
2013-10-24 31.1517
2013-10-25 31.096
2013-10-26 31.022
2013-10-27 31.022
2013-10-28 31.0608
2013-10-29 31.0583
2013-10-30 31.0673
2013-10-31 31.1172
2013-11-01 31.1997
2013-11-02 31.202
2013-11-03 31.202
2013-11-04 31.2666
2013-11-05 31.2781
2013-11-06 31.2747
2013-11-07 31.3048
2013-11-08 31.4021
2013-11-09 31.4691
2013-11-10 31.469
2013-11-11 31.6143
2013-11-12 31.6063
2013-11-13 31.5831
2013-11-14 31.5406
2013-11-15 31.5908
2013-11-16 31.5962
2013-11-17 31.596
2013-11-18 31.5819
2013-11-19 31.5959
2013-11-20 31.6644
2013-11-21 31.7929
2013-11-22 31.8237
2013-11-23 31.8175
2013-11-24 31.8175
2013-11-25 31.9608
2013-11-26 32.0476
2013-11-27 32.1043
2013-11-28 32.1331
2013-11-29 32.0911
2013-11-30 32.0598
2013-12-01 32.06
2013-12-02 32.1747
2013-12-03 32.189
2013-12-04 32.2156
2013-12-05 32.2369
2013-12-06 32.276
2013-12-07 32.1205
2013-12-08 32.12
2013-12-09 32.1595
2013-12-10 32.092
2013-12-11 32.0505
2013-12-12 32.104
2013-12-13 32.072
2013-12-14 32.054
2013-12-15 32.054
2013-12-16 32.0313
2013-12-17 32.0756
2013-12-18 32.2345
2013-12-19 32.4197
2013-12-20 32.5711
2013-12-21 32.611
2013-12-22 32.611
2013-12-23 32.6834
2013-12-24 32.7242
2013-12-25 32.7095
2013-12-26 32.8225
2013-12-27 32.8457
2013-12-28 32.831
2013-12-29 32.831
2013-12-30 32.8637
2013-12-31 32.7765
2014-01-01 32.7185
2014-01-02 32.908
2014-01-03 32.9964
2014-01-04 33.0134
2014-01-05 33.0135
2014-01-06 33.0756
2014-01-07 33.0935
2014-01-08 33.0568
2014-01-09 33.0263
2014-01-10 33.0215
2014-01-11 33.0234
2014-01-12 33.0245
2014-01-13 33.0031
2014-01-14 32.8185
2014-01-15 32.8414
2014-01-16 32.8397
2014-01-17 32.8028
2014-01-18 32.806
2014-01-19 32.806
2014-01-20 32.8496
2014-01-21 32.8595
2014-01-22 32.8973
2014-01-23 32.9142
2014-01-24 32.8687
2014-01-25 32.8501
2014-01-26 32.85
2014-01-27 32.9045
2014-01-28 32.9065
2014-01-29 32.9101
2014-01-30 32.9809
2014-01-31 33.014
2014-02-01 33.0286
2014-02-02 33.0285
2014-02-03 32.9421
2014-02-04 32.8232
2014-02-05 32.7648
2014-02-06 32.7982
2014-02-07 32.8071
2014-02-08 32.7913
2014-02-09 32.791
2014-02-10 32.8012
2014-02-11 32.7747
2014-02-12 32.612
2014-02-13 32.5707
2014-02-14 32.426
2014-02-15 32.3418
2014-02-16 32.3425
2014-02-17 32.2947
2014-02-18 32.4193
2014-02-19 32.5571
2014-02-20 32.5968
2014-02-21 32.5491
2014-02-22 32.5305
2014-02-23 32.5305
2014-02-24 32.5694
2014-02-25 32.551
2014-02-26 32.561
2014-02-27 32.5987
2014-02-28 32.603
2014-03-01 32.5641
2014-03-02 32.565
2014-03-03 32.5583
2014-03-04 32.4579
2014-03-05 32.3329
2014-03-06 32.2911
2014-03-07 32.2898
2014-03-08 32.3059
2014-03-09 32.3045
2014-03-10 32.3846
2014-03-11 32.323
2014-03-12 32.4045
2014-03-13 32.3527
2014-03-14 32.3108
2014-03-15 32.28
2014-03-16 32.28
2014-03-17 32.2495
2014-03-18 32.1514
2014-03-19 32.1536
2014-03-20 32.3694
2014-03-21 32.3881
2014-03-22 32.385
2014-03-23 32.385
2014-03-24 32.4477
2014-03-25 32.5366
2014-03-26 32.5836
