"Index" "USD.TND"
2013-01-01 1.5516
2013-01-02 1.5488
2013-01-03 1.5587
2013-01-04 1.5684
2013-01-05 1.5646
2013-01-06 1.5663
2013-01-07 1.5673
2013-01-08 1.5654
2013-01-09 1.5684
2013-01-10 1.5658
2013-01-11 1.553
2013-01-12 1.551
2013-01-13 1.551
2013-01-14 1.5493
2013-01-15 1.5502
2013-01-16 1.5579
2013-01-17 1.5566
2013-01-18 1.5556
2013-01-19 1.5593
2013-01-20 1.5593
2013-01-21 1.5589
2013-01-22 1.5584
2013-01-23 1.559
2013-01-24 1.5579
2013-01-25 1.5528
2013-01-26 1.549
2013-01-27 1.549
2013-01-28 1.549
2013-01-29 1.549
2013-01-30 1.5417
2013-01-31 1.5384
2013-02-01 1.5342
2013-02-02 1.532
2013-02-03 1.541
2013-02-04 1.5403
2013-02-05 1.5436
2013-02-06 1.5444
2013-02-07 1.5482
2013-02-08 1.554
2013-02-09 1.554
2013-02-10 1.5531
2013-02-11 1.5564
2013-02-12 1.5551
2013-02-13 1.551
2013-02-14 1.5563
2013-02-15 1.5583
2013-02-16 1.5583
2013-02-17 1.557
2013-02-18 1.5598
2013-02-19 1.5583
2013-02-20 1.5571
2013-02-21 1.5689
2013-02-22 1.5709
2013-02-23 1.5709
2013-02-24 1.5755
2013-02-25 1.571
2013-02-26 1.5812
2013-02-27 1.5794
2013-02-28 1.5777
2013-03-01 1.5839
2013-03-02 1.5839
2013-03-03 1.5885
2013-03-04 1.5877
2013-03-05 1.5839
2013-03-06 1.5842
2013-03-07 1.5841
2013-03-08 1.5807
2013-03-09 1.5825
2013-03-10 1.5825
2013-03-11 1.5842
2013-03-12 1.5826
2013-03-13 1.5823
2013-03-14 1.581
2013-03-15 1.571
2013-03-16 1.571
2013-03-17 1.5681
2013-03-18 1.5817
2013-03-19 1.5824
2013-03-20 1.5841
2013-03-21 1.5827
2013-03-22 1.582
2013-03-23 1.5767
2013-03-24 1.576
2013-03-25 1.5802
2013-03-26 1.5888
2013-03-27 1.5939
2013-03-28 1.5959
2013-03-29 1.5976
2013-03-30 1.5976
2013-03-31 1.5976
2013-04-01 1.5979
2013-04-02 1.5953
2013-04-03 1.5985
2013-04-04 1.5996
2013-04-05 1.5922
2013-04-06 1.5922
2013-04-07 1.5892
2013-04-08 1.5924
2013-04-09 1.5884
2013-04-10 1.5869
2013-04-11 1.5899
2013-04-12 1.5927
2013-04-13 1.5814
2013-04-14 1.5814
2013-04-15 1.5984
2013-04-16 1.5992
2013-04-17 1.5975
2013-04-18 1.604
2013-04-19 1.6024
2013-04-20 1.6039
2013-04-21 1.6039
2013-04-22 1.6049
2013-04-23 1.6077
2013-04-24 1.6098
2013-04-25 1.6077
2013-04-26 1.6116
2013-04-27 1.6116
2013-04-28 1.6093
2013-04-29 1.609
2013-04-30 1.6106
2013-05-01 1.6063
2013-05-02 1.6118
2013-05-03 1.6187
2013-05-04 1.6192
2013-05-05 1.625
2013-05-06 1.6212
2013-05-07 1.6267
2013-05-08 1.6288
2013-05-09 1.6426
2013-05-10 1.6693
2013-05-11 1.6693
2013-05-12 1.6693
2013-05-13 1.6537
2013-05-14 1.6558
2013-05-15 1.6619
2013-05-16 1.6582
2013-05-17 1.6582
2013-05-18 1.6592
2013-05-19 1.6592
2013-05-20 1.6565
2013-05-21 1.6541
2013-05-22 1.6535
2013-05-23 1.6592
2013-05-24 1.6553
2013-05-25 1.655
2013-05-26 1.6534
2013-05-27 1.652
2013-05-28 1.6526
2013-05-29 1.652
2013-05-30 1.6435
2013-05-31 1.6399
2013-06-01 1.6399
2013-06-02 1.6435
2013-06-03 1.6395
2013-06-04 1.6356
