"Index" "USD.ZAR"
2013-01-01 8.478
2013-01-02 8.471
2013-01-03 8.5323
2013-01-04 8.6057
2013-01-05 8.5617
2013-01-06 8.5615
2013-01-07 8.5818
2013-01-08 8.5772
2013-01-09 8.5866
2013-01-10 8.6171
2013-01-11 8.6925
2013-01-12 8.7204
2013-01-13 8.7203
2013-01-14 8.7145
2013-01-15 8.7484
2013-01-16 8.8242
2013-01-17 8.7924
2013-01-18 8.8537
2013-01-19 8.8803
2013-01-20 8.88
2013-01-21 8.8775
2013-01-22 8.8501
2013-01-23 8.9259
2013-01-24 9.0553
2013-01-25 9.0186
2013-01-26 8.9452
2013-01-27 8.9452
2013-01-28 9.0059
2013-01-29 9.0718
2013-01-30 9.0384
2013-01-31 8.9925
2013-02-01 8.9302
2013-02-02 8.8507
2013-02-03 8.8506
2013-02-04 8.8877
2013-02-05 8.889
2013-02-06 8.8734
2013-02-07 8.9051
2013-02-08 8.91
2013-02-09 8.8818
2013-02-10 8.8818
2013-02-11 8.8952
2013-02-12 8.9381
2013-02-13 8.8883
2013-02-14 8.8533
2013-02-15 8.8104
2013-02-16 8.8548
2013-02-17 8.8548
2013-02-18 8.8628
2013-02-19 8.8912
2013-02-20 8.8646
2013-02-21 8.9109
2013-02-22 8.8801
2013-02-23 8.8649
2013-02-24 8.865
2013-02-25 8.8641
2013-02-26 8.8362
2013-02-27 8.8445
2013-02-28 8.8948
2013-03-01 9.0444
2013-03-02 9.0643
2013-03-03 9.0642
2013-03-04 9.0928
2013-03-05 9.0656
2013-03-06 9.0571
2013-03-07 9.1302
2013-03-08 9.1278
2013-03-09 9.0892
2013-03-10 9.0893
2013-03-11 9.1145
2013-03-12 9.1398
2013-03-13 9.1983
2013-03-14 9.2282
2013-03-15 9.1781
2013-03-16 9.1841
2013-03-17 9.1841
2013-03-18 9.2001
2013-03-19 9.2146
2013-03-20 9.2723
2013-03-21 9.3178
2013-03-22 9.3161
2013-03-23 9.3002
2013-03-24 9.3002
2013-03-25 9.2826
2013-03-26 9.2724
2013-03-27 9.2712
2013-03-28 9.2392
2013-03-29 9.2343
2013-03-30 9.2351
2013-03-31 9.2351
2013-04-01 9.2202
2013-04-02 9.2034
2013-04-03 9.2367
2013-04-04 9.2163
2013-04-05 9.1437
2013-04-06 9.0978
2013-04-07 9.0978
2013-04-08 9.0581
2013-04-09 8.9554
2013-04-10 8.9194
2013-04-11 8.9038
2013-04-12 8.924
2013-04-13 8.9438
2013-04-14 8.9438
2013-04-15 9.0506
2013-04-16 9.1651
2013-04-17 9.1496
2013-04-18 9.1776
2013-04-19 9.1853
2013-04-20 9.2248
2013-04-21 9.2248
2013-04-22 9.2435
2013-04-23 9.2424
2013-04-24 9.1907
2013-04-25 9.0986
2013-04-26 9.1049
2013-04-27 9.1015
2013-04-28 9.1015
2013-04-29 9.0473
2013-04-30 8.9843
2013-05-01 8.9985
2013-05-02 9.0102
2013-05-03 8.9399
2013-05-04 8.9108
2013-05-05 8.9108
2013-05-06 8.9579
2013-05-07 9.018
2013-05-08 9.0361
2013-05-09 8.9978
2013-05-10 9.0622
2013-05-11 9.1139
2013-05-12 9.1139
2013-05-13 9.1308
2013-05-14 9.1843
2013-05-15 9.2576
2013-05-16 9.2964
2013-05-17 9.3752
2013-05-18 9.4048
2013-05-19 9.4048
2013-05-20 9.4292
2013-05-21 9.5009
2013-05-22 9.5469
2013-05-23 9.5831
2013-05-24 9.5564
2013-05-25 9.5762
2013-05-26 9.5762
2013-05-27 9.6045
2013-05-28 9.6939
2013-05-29 9.8125
2013-05-30 9.8984
2013-05-31 10.0971
2013-06-01 10.0632
2013-06-02 10.0632
2013-06-03 9.9759
2013-06-04 9.7932
2013-06-05 9.8923
2013-06-06 9.9773
2013-06-07 9.9391
2013-06-08 9.963
2013-06-09 9.963
2013-06-10 10.1272
2013-06-11 10.1824
2013-06-12 10.0471
2013-06-13 10.002
2013-06-14 9.8957
2013-06-15 9.9513
2013-06-16 9.9513
2013-06-17 9.9233
2013-06-18 9.9976
2013-06-19 9.996
2013-06-20 10.2325
2013-06-21 10.2098
2013-06-22 10.1627
2013-06-23 10.1627
2013-06-24 10.1713
2013-06-25 10.0463
2013-06-26 10.0986
2013-06-27 10.0284
2013-06-28 9.951
2013-06-29 9.88
2013-06-30 9.88
2013-07-01 9.904
2013-07-02 9.9249
2013-07-03 10.0519
2013-07-04 10.0594
2013-07-05 10.0841
2013-07-06 10.2063
2013-07-07 10.2063
2013-07-08 10.2072
2013-07-09 10.0975
2013-07-10 10.0303
2013-07-11 9.944
2013-07-12 10.0013
2013-07-13 9.9837
2013-07-14 9.9837
2013-07-15 9.9388
2013-07-16 9.8673
2013-07-17 9.8578
2013-07-18 9.8682
2013-07-19 9.8924
2013-07-20 9.8785
2013-07-21 9.8785
2013-07-22 9.8242
2013-07-23 9.7884
2013-07-24 9.7104
2013-07-25 9.7812
2013-07-26 9.7379
2013-07-27 9.7802
2013-07-28 9.7802
2013-07-29 9.7939
2013-07-30 9.8158
2013-07-31 9.8565
2013-08-01 9.9021
2013-08-02 9.9509
2013-08-03 9.8359
2013-08-04 9.8359
2013-08-05 9.8484
2013-08-06 9.8719
2013-08-07 9.9261
2013-08-08 9.8851
2013-08-09 9.8022
2013-08-10 9.8291
2013-08-11 9.8291
2013-08-12 9.8344
2013-08-13 9.9269
2013-08-14 9.9729
2013-08-15 9.963
2013-08-16 10.0045
2013-08-17 10.0913
2013-08-18 10.0913
2013-08-19 10.1331
2013-08-20 10.1777
