"Index" "VC.Open" "VC.High" "VC.Low" "VC.Close" "VC.Volume" "VC.Adjusted"
2013-01-02 54.380001 55.470001 53.77 53.900002 417200 53.900002
2013-01-03 53.009998 53.59 50 53.369999 2407700 53.369999
2013-01-04 53.619999 53.93 52.860001 53.889999 428800 53.889999
2013-01-07 53.549999 54.150002 52.619999 53.66 423400 53.66
2013-01-08 53.709999 54.040001 53.369999 53.68 590200 53.68
2013-01-09 53.959999 54.23 53.490002 53.869999 254300 53.869999
2013-01-10 54.16 54.380001 53.75 54.169998 248200 54.169998
2013-01-11 54.580002 56.73 53.130001 54.77 1233500 54.77
2013-01-14 56.68 57.130001 54.889999 55.919998 748500 55.919998
2013-01-15 56.099998 58.279999 56.099998 57.25 1210500 57.25
2013-01-16 56.91 56.950001 55.75 56.189999 592100 56.189999
2013-01-17 56.5 57.02 56.080002 56.869999 425900 56.869999
2013-01-18 56.599998 56.810001 55.650002 56.610001 293600 56.610001
2013-01-22 56.57 56.59 55.59 55.990002 338500 55.990002
2013-01-23 55.849998 56.529999 55.599998 55.830002 230700 55.830002
2013-01-24 56.349998 57.400002 55.990002 56.93 453800 56.93
2013-01-25 57.18 57.25 56.599998 57.139999 285900 57.139999
2013-01-28 57.290001 57.32 56.68 56.720001 195300 56.720001
2013-01-29 56.52 56.689999 55.75 55.950001 320900 55.950001
2013-01-30 56.029999 56.23 55.419998 55.84 232800 55.84
2013-01-31 55.57 57.459999 54.810001 56.290001 671200 56.290001
2013-02-01 56.82 57.419998 56.48 57.110001 536000 57.110001
2013-02-04 56.740002 56.84 55.32 55.48 264000 55.48
2013-02-05 55.860001 56.5 55.860001 56.139999 476500 56.139999
2013-02-06 55.900002 57.369999 55.779999 56.169998 496800 56.169998
2013-02-07 56.189999 56.75 55.049999 55.490002 315600 55.490002
2013-02-08 55.48 56.689999 55.27 56.490002 147700 56.490002
2013-02-11 56.450001 56.75 56.02 56.700001 91600 56.700001
2013-02-12 56.59 57.09 56.459999 56.959999 133000 56.959999
2013-02-13 56.919998 57.490002 56.240002 56.720001 422300 56.720001
2013-02-14 56.59 56.970001 56.150002 56.299999 148600 56.299999
2013-02-15 56.279999 56.419998 55.959999 56.419998 212800 56.419998
2013-02-19 56.509998 56.720001 55.990002 56.5 189500 56.5
2013-02-20 58.630001 60.290001 57.220001 57.240002 1002000 57.240002
2013-02-21 57.23 57.23 55.52 55.759998 290800 55.759998
2013-02-22 56.040001 57.18 55.880001 57 390400 57
2013-02-25 57.099998 57.610001 55.740002 55.799999 228900 55.799999
2013-02-26 55.860001 56.169998 55.599998 55.700001 358900 55.700001
2013-02-27 55.990002 57.889999 55.919998 57.099998 467500 57.099998
2013-02-28 58.310001 58.93 55.880001 58.279999 813100 58.279999
2013-03-01 58.790001 59.5 57.509998 58.299999 362300 58.299999
2013-03-04 58.330002 58.48 57.599998 58.360001 302300 58.360001
2013-03-05 58.560001 59.5 58.349998 58.57 418400 58.57
2013-03-06 58.849998 59.549999 58.720001 59.27 511800 59.27
2013-03-07 59.549999 60.52 59.41 59.790001 552400 59.790001
