"Index" "VIX.Open" "VIX.High" "VIX.Low" "VIX.Close" "VIX.Volume" "VIX.Adjusted"
2014-12-04 34199.99 36499.98 33900.02 34499.96 735900 31363.6
2014-12-05 32199.97 33399.96 31500.04 31600.03 342400 28727.3
2014-12-08 30600.02 31600.03 28600 28600 333400 26000
2014-12-09 28600 28600 25799.95 25799.95 517800 23454.5
2014-12-10 24000.02 24499.97 23299.98 23399.97 489600 21272.7
2014-12-11 22600.05 23399.97 21099.98 21500.05 955600 19545.5
2014-12-12 21399.95 23399.97 20900 23100 1013200 21000
2014-12-15 23499.96 24100.01 22800.03 23299.98 1156400 21181.8
2014-12-16 22499.95 23100 20999.99 21199.97 777300 19272.7
2014-12-17 20099.97 21500.05 19500.03 19899.99 1228400 18090.9
2014-12-18 19999.98 21399.95 19999.98 21299.96 601300 19363.6
2014-12-19 20999.99 21299.96 19600.02 20299.95 470200 18454.5
2014-12-22 19999.98 20900 19500.03 20400.05 913600 18545.5
2014-12-23 19999.98 22399.96 19999.98 22399.96 1368000 20363.6
2014-12-24 24200 24299.99 22399.96 22800.03 1430700 20727.3
2014-12-25 23000.01 23000.01 22099.99 22299.97 981800 20272.7
2014-12-26 21700.03 22199.98 20600.03 20700.02 635600 18818.2
2014-12-29 19999.98 21700.03 18700 19300.05 1318800 17545.5
2014-12-30 18999.97 20900 17699.99 19899.99 1104600 18090.9
2014-12-31 19300.05 21199.97 19300.05 20500.04 722400 18636.4
2015-01-01 20500.04 20500.04 20500.04 20500.04 0 18636.4
2015-01-02 20500.04 20500.04 20500.04 20500.04 0 18636.4
2015-01-05 19999.98 20999.99 19999.98 20400.05 359800 18545.5
2015-01-06 19999.98 22399.96 18999.97 22399.96 964900 20363.6
2015-01-07 24599.96 24599.96 23000.01 24100.01 1192000 21909.1
2015-01-08 23499.96 26100.03 23499.96 24399.98 840000 22181.8
2015-01-09 25000.03 25900.05 24399.98 25000.03 499700 22727.3
2015-01-12 25499.98 25499.98 22700.04 23000.01 575600 20909.1
2015-01-13 22000 24299.99 21500.05 23900.03 790900 21727.3
2015-01-14 23000.01 24800.05 23000.01 24399.98 1244400 22181.8
2015-01-15 24399.98 26799.96 23800.04 26799.96 1646900 24363.6
