"Index" "WCC.Open" "WCC.High" "WCC.Low" "WCC.Close" "WCC.Volume" "WCC.Adjusted"
2013-01-02 69.059998 70.400002 68.540001 69.199997 688800 69.199997
2013-01-03 69.139999 69.959999 68.410004 68.790001 383000 68.790001
2013-01-04 69.050003 69.389999 68.620003 69 485700 69
2013-01-07 68.800003 69.110001 68.25 69.110001 495800 69.110001
2013-01-08 69.260002 70.400002 69.089996 69.669998 911500 69.669998
2013-01-09 69.970001 70.489998 69.730003 70 434300 70
2013-01-10 68.620003 69.419998 67.059998 67.43 1943600 67.43
2013-01-11 67.209999 68.57 66.93 67.93 1286500 67.93
2013-01-14 67.699997 68.309998 66.629997 67.220001 459000 67.220001
2013-01-15 67.160004 68.650002 66.93 68.620003 579900 68.620003
2013-01-16 68.279999 68.459999 67.709999 67.790001 626000 67.790001
2013-01-17 68.190002 68.980003 67.790001 68.629997 358200 68.629997
2013-01-18 68.580002 69.57 68.18 69.370003 341300 69.370003
2013-01-22 71.010002 73.25 70.260002 72.230003 1943900 72.230003
2013-01-23 72 72.949997 71.5 72.839996 680900 72.839996
2013-01-24 72.199997 74.650002 72.089996 73.269997 1044400 73.269997
2013-01-25 73.480003 74.309998 73.449997 73.879997 796600 73.879997
2013-01-28 74.010002 74.129997 72.980003 73.32 602000 73.32
2013-01-29 73.269997 73.290001 71.989998 73.139999 2776300 73.139999
2013-01-30 72.830002 72.940002 71.809998 72.220001 935300 72.220001
2013-01-31 70.300003 73.129997 70 72.93 1714900 72.93
2013-02-01 73.93 74.449997 72.769997 72.900002 1191100 72.900002
2013-02-04 71.260002 72.089996 70.169998 70.800003 789300 70.800003
2013-02-05 71.410004 72.959999 71.129997 72.870003 675900 72.870003
2013-02-06 72.400002 73.199997 72.18 73.160004 476800 73.160004
2013-02-07 73.330002 73.330002 71.690002 72.860001 1159300 72.860001
2013-02-08 72.989998 74.669998 72.989998 73.730003 448700 73.730003
2013-02-11 73.550003 74.25 73.370003 73.849998 254600 73.849998
2013-02-12 73.75 74.93 73.75 74.599998 622200 74.599998
2013-02-13 75 76.150002 74.220001 75.510002 626500 75.510002
2013-02-14 75.059998 75.989998 75 75.919998 333100 75.919998
2013-02-15 75.870003 76.230003 75.449997 76.160004 409200 76.160004
2013-02-19 76.019997 76.910004 74.43 75.57 483700 75.57
2013-02-20 75.540001 76.610001 74.309998 74.349998 857800 74.349998
2013-02-21 74.07 74.239998 71.68 72.150002 628600 72.150002
2013-02-22 72.879997 74.279999 72.68 73.349998 707100 73.349998
2013-02-25 73.809998 74.050003 71.040001 71.040001 464700 71.040001
2013-02-26 71.309998 72.400002 69.949997 72.260002 670400 72.260002
2013-02-27 72.110001 74.809998 72.019997 74.120003 742100 74.120003
2013-02-28 74.010002 74.68 73.199997 73.900002 450600 73.900002
2013-03-01 73.639999 74.239998 72.68 73.510002 773000 73.510002
2013-03-04 73.43 73.559998 72.059998 72.989998 294400 72.989998
2013-03-05 73.489998 76.059998 73.489998 75.480003 972000 75.480003
2013-03-06 76.040001 76.529999 75.040001 75.190002 556200 75.190002
2013-03-07 75.230003 76.800003 75.190002 76.330002 585900 76.330002
2013-03-08 76.940002 77.550003 76.360001 77.129997 592800 77.129997
