"Index" "WTT.Open" "WTT.High" "WTT.Low" "WTT.Close" "WTT.Volume" "WTT.Adjusted"
2013-01-02 1.19 1.23 1.19 1.23 11100 1.23
2013-01-03 1.2 1.23 1.2 1.23 8500 1.23
2013-01-04 1.19 1.23 1.18 1.23 9900 1.23
2013-01-07 1.19 1.25 1.19 1.25 15600 1.25
2013-01-08 1.22 1.25 1.22 1.25 13900 1.25
2013-01-09 1.25 1.26 1.19 1.24 30600 1.24
2013-01-10 1.24 1.24 1.22 1.23 8300 1.23
2013-01-11 1.22 1.24 1.2 1.2 16600 1.2
2013-01-14 1.2 1.26 1.2 1.23 34200 1.23
2013-01-15 1.22 1.24 1.22 1.23 6000 1.23
2013-01-16 1.21 1.26 1.2 1.26 14200 1.26
2013-01-17 1.22 1.3 1.22 1.28 8800 1.28
2013-01-18 1.22 1.3 1.22 1.29 15900 1.29
2013-01-22 1.26 1.3 1.25 1.29 10100 1.29
2013-01-23 1.27 1.3 1.27 1.29 23100 1.29
2013-01-24 1.27 1.3 1.26 1.29 45500 1.29
2013-01-25 1.29 1.3 1.25 1.3 7500 1.3
2013-01-28 1.28 1.3 1.28 1.3 11000 1.3
2013-01-29 1.25 1.29 1.2 1.28 15000 1.28
2013-01-30 1.25 1.3 1.23 1.3 27000 1.3
2013-01-31 1.29 1.3 1.26 1.3 11300 1.3
2013-02-01 1.27 1.3 1.27 1.29 14800 1.29
2013-02-04 1.29 1.3 1.27 1.28 11800 1.28
2013-02-05 1.3 1.3 1.25 1.27 9200 1.27
2013-02-06 1.26 1.28 1.23 1.26 26600 1.26
2013-02-07 1.24 1.3 1.24 1.29 27500 1.29
2013-02-08 1.28 1.3 1.21 1.21 23500 1.21
2013-02-11 1.24 1.29 1.24 1.25 31100 1.25
2013-02-12 1.28 1.29 1.24 1.29 11300 1.29
2013-02-13 1.28 1.3 1.27 1.3 12100 1.3
2013-02-14 1.3 1.3 1.24 1.3 19300 1.3
2013-02-15 1.25 1.32 1.25 1.29 39600 1.29
2013-02-19 1.32 1.42 1.32 1.39 159600 1.39
2013-02-20 1.42 1.45 1.36 1.36 77500 1.36
2013-02-21 1.33 1.35 1.29 1.29 57900 1.29
2013-02-22 1.31 1.35 1.29 1.33 21500 1.33
2013-02-25 1.34 1.37 1.34 1.35 34900 1.35
2013-02-26 1.37 1.37 1.31 1.35 16900 1.35
2013-02-27 1.34 1.35 1.31 1.32 23500 1.32
2013-02-28 1.34 1.35 1.32 1.33 22000 1.33
2013-03-01 1.33 1.37 1.33 1.37 13200 1.37
2013-03-04 1.37 1.37 1.33 1.36 50000 1.36
2013-03-05 1.4 1.41 1.38 1.4 32800 1.4
2013-03-06 1.4 1.42 1.38 1.42 22900 1.42
2013-03-07 1.39 1.44 1.39 1.44 55800 1.44
2013-03-08 1.45 1.5 1.43 1.48 85600 1.48
2013-03-11 1.46 1.58 1.46 1.53 101000 1.53
2013-03-12 1.5 1.56 1.5 1.56 28900 1.56
2013-03-13 1.56 1.56 1.43 1.47 80200 1.47
2013-03-14 1.46 1.56 1.46 1.54 12900 1.54
2013-03-15 1.53 1.54 1.48 1.5 33600 1.5
2013-03-18 1.53 1.55 1.51 1.51 36600 1.51
2013-03-19 1.5 1.52 1.48 1.48 15200 1.48
2013-03-20 1.48 1.5 1.47 1.49 6000 1.49
2013-03-21 1.46 1.51 1.46 1.49 19700 1.49
2013-03-22 1.52 1.56 1.46 1.47 65200 1.47
2013-03-25 1.51 1.52 1.48 1.5 30000 1.5
2013-03-26 1.5 1.58 1.5 1.5 41600 1.5
2013-03-27 1.51 1.57 1.51 1.56 13800 1.56
2013-03-28 1.56 1.56 1.52 1.56 15300 1.56
2013-04-01 1.59 1.65 1.57 1.63 122200 1.63
