"Index" "XAG.USD"
2013-01-01 30.1403
2013-01-02 30.2877
2013-01-03 30.7447
2013-01-04 30.9269
2013-01-05 29.7335
2013-01-06 30.222
2013-01-07 30.2211
2013-01-08 30.1849
2013-01-09 30.2619
2013-01-10 30.3673
2013-01-11 30.527
2013-01-12 30.6671
2013-01-13 30.4618
2013-01-14 30.4619
2013-01-15 30.7528
2013-01-16 31.2045
2013-01-17 31.3663
2013-01-18 31.5056
2013-01-19 31.8158
2013-01-20 31.8617
2013-01-21 31.8616
2013-01-22 31.9647
2013-01-23 32.0517
2013-01-24 32.2377
2013-01-25 31.9432
2013-01-26 31.5377
2013-01-27 31.1857
2013-01-28 31.1851
2013-01-29 31.0796
2013-01-30 31.0834
2013-01-31 31.5948
2013-02-01 31.8689
2013-02-02 31.5598
2013-02-03 31.8271
2013-02-04 31.827
2013-02-05 31.7272
2013-02-06 31.7949
2013-02-07 31.7672
2013-02-08 31.7477
2013-02-09 31.4896
2013-02-10 31.4169
2013-02-11 31.416
2013-02-12 31.2828
2013-02-13 30.8863
2013-02-14 31.0464
2013-02-15 30.7619
2013-02-16 30.1927
2013-02-17 29.7934
2013-02-18 29.7936
2013-02-19 29.9857
2013-02-20 29.8862
2013-02-21 29.2295
2013-02-22 28.5953
2013-02-23 28.727
2013-02-24 28.7213
2013-02-25 28.7206
2013-02-26 28.9277
2013-02-27 29.041
2013-02-28 29.1914
2013-03-01 28.9101
2013-03-02 28.4728
2013-03-03 28.5991
2013-03-04 28.5996
2013-03-05 28.6303
2013-03-06 28.7636
2013-03-07 28.7848
2013-03-08 28.9462
2013-03-09 28.8656
2013-03-10 28.9821
2013-03-11 28.9823
2013-03-12 28.9528
2013-03-13 29.0778
2013-03-14 29.0992
2013-03-15 28.8341
2013-03-16 28.875
2013-03-17 28.7797
2013-03-18 28.7797
2013-03-19 28.8674
2013-03-20 28.9142
2013-03-21 28.8941
2013-03-22 28.9894
2013-03-23 28.9769
2013-03-24 28.7426
2013-03-25 28.7426
2013-03-26 28.7933
2013-03-27 28.7881
2013-03-28 28.5852
2013-03-29 28.6135
2013-03-30 28.3446
2013-03-31 28.3445
2013-04-01 28.3445
2013-04-02 28.1201
2013-04-03 27.8337
2013-04-04 27.1185
2013-04-05 26.8764
2013-04-06 27.0133
2013-04-07 27.3301
2013-04-08 27.3301
2013-04-09 27.2801
2013-04-10 27.5219
2013-04-11 27.8347
2013-04-12 27.6267
2013-04-13 27.1762
2013-04-14 25.999
2013-04-15 25.999
2013-04-16 24.3193
2013-04-17 23.2122
2013-04-18 23.3973
2013-04-19 23.2478
2013-04-20 23.3916
2013-04-21 23.25
2013-04-22 23.25
2013-04-23 23.4337
2013-04-24 23.0581
2013-04-25 23.0572
2013-04-26 23.5579
2013-04-27 24.2238
2013-04-28 24.0095
2013-04-29 24.0095
2013-04-30 24.2484
2013-05-01 24.3201
2013-05-02 23.9857
2013-05-03 23.7073
2013-05-04 24.0218
2013-05-05 24.1169
2013-05-06 24.1169
2013-05-07 24.1186
2013-05-08 23.8072
2013-05-09 23.9002
2013-05-10 23.9684
2013-05-11 23.6489
2013-05-12 23.8793
2013-05-13 23.8793
2013-05-14 23.7017
2013-05-15 23.5857
2013-05-16 23.0432
2013-05-17 22.5898
2013-05-18 22.5266
2013-05-19 22.261
2013-05-20 22.261
2013-05-21 21.8464
2013-05-22 22.5697
2013-05-23 22.5621
2013-05-24 22.3849
2013-05-25 22.5161
2013-05-26 22.4025
2013-05-27 22.4025
2013-05-28 22.6115
2013-05-29 22.4483
2013-05-30 22.3644
2013-05-31 22.6802
2013-06-01 22.5934
2013-06-02 22.267
2013-06-03 22.267
2013-06-04 22.5258
2013-06-05 22.5837
2013-06-06 22.5718
2013-06-07 22.5543
2013-06-08 22.4043
2013-06-09 21.6662
2013-06-10 21.6662
2013-06-11 21.7888
2013-06-12 21.7796
2013-06-13 21.7856
2013-06-14 21.7997
2013-06-15 21.895
2013-06-16 22.0823
2013-06-17 22.0823
2013-06-18 21.9454
2013-06-19 21.7967
2013-06-20 21.6636
2013-06-21 20.5334
2013-06-22 19.8634
2013-06-23 20.118
2013-06-24 20.118
2013-06-25 19.8131
2013-06-26 19.6838
2013-06-27 18.9432
2013-06-28 18.7263
