"Index" "XAG.USD"
2013-01-01 30.2877
2013-01-02 30.7447
2013-01-03 30.9269
2013-01-04 29.7335
2013-01-05 30.222
2013-01-06 30.2211
2013-01-07 30.1849
2013-01-08 30.2619
2013-01-09 30.3673
2013-01-10 30.527
2013-01-11 30.6671
2013-01-12 30.4618
2013-01-13 30.4619
2013-01-14 30.7528
2013-01-15 31.2045
2013-01-16 31.3663
2013-01-17 31.5056
2013-01-18 31.8158
2013-01-19 31.8617
2013-01-20 31.8616
2013-01-21 31.9647
2013-01-22 32.0517
2013-01-23 32.2377
2013-01-24 31.9432
2013-01-25 31.5377
2013-01-26 31.1857
2013-01-27 31.1851
2013-01-28 31.0796
2013-01-29 31.0834
2013-01-30 31.5948
2013-01-31 31.8689
2013-02-01 31.5598
2013-02-02 31.8271
2013-02-03 31.827
2013-02-04 31.7272
2013-02-05 31.7949
2013-02-06 31.7672
2013-02-07 31.7477
2013-02-08 31.4896
2013-02-09 31.4169
2013-02-10 31.416
2013-02-11 31.2828
2013-02-12 30.8863
2013-02-13 31.0464
2013-02-14 30.7619
2013-02-15 30.1927
2013-02-16 29.7934
2013-02-17 29.7936
2013-02-18 29.9857
2013-02-19 29.8862
2013-02-20 29.2295
2013-02-21 28.5953
2013-02-22 28.727
2013-02-23 28.7213
2013-02-24 28.7206
2013-02-25 28.9277
2013-02-26 29.041
2013-02-27 29.1914
2013-02-28 28.9101
2013-03-01 28.4728
2013-03-02 28.5991
2013-03-03 28.5996
2013-03-04 28.6303
2013-03-05 28.7636
2013-03-06 28.7848
2013-03-07 28.9462
2013-03-08 28.8656
2013-03-09 28.9821
2013-03-10 28.9823
2013-03-11 28.9528
2013-03-12 29.0778
2013-03-13 29.0992
2013-03-14 28.8341
2013-03-15 28.875
2013-03-16 28.7797
2013-03-17 28.7797
2013-03-18 28.8674
2013-03-19 28.9142
2013-03-20 28.8941
2013-03-21 28.9894
2013-03-22 28.9769
2013-03-23 28.7426
2013-03-24 28.7426
2013-03-25 28.7933
2013-03-26 28.7881
2013-03-27 28.5852
2013-03-28 28.6135
