"Index" "XAP.Open" "XAP.High" "XAP.Low" "XAP.Close" "XAP.Volume" "XAP.Adjusted"
2013-01-01 8.59 8.59 8.59 8.59 0 8.59
2013-01-02 8.59 8.59 8.59 8.59 0 8.59
2013-01-03 8.59 8.59 8.59 8.59 0 8.59
2013-01-04 8.59 8.59 8.59 8.59 0 8.59
2013-01-07 8.59 8.59 8.59 8.59 0 8.59
2013-01-08 8.59 8.59 8.59 8.59 0 8.59
2013-01-09 8.59 8.59 8.59 8.59 0 8.59
2013-01-10 8.59 8.59 8.59 8.59 0 8.59
2013-01-11 8.59 8.59 8.59 8.59 0 8.59
2013-01-14 8.59 8.59 8.59 8.59 0 8.59
2013-01-15 8.59 8.59 8.59 8.59 0 8.59
2013-01-16 8.59 8.59 8.59 8.59 0 8.59
2013-01-17 8.59 8.59 8.59 8.59 0 8.59
2013-01-18 8.59 8.59 8.59 8.59 0 8.59
2013-01-21 8.59 8.59 8.59 8.59 0 8.59
2013-01-22 8.59 8.59 8.59 8.59 0 8.59
2013-01-23 8.59 8.59 8.59 8.59 0 8.59
2013-01-24 8.59 8.59 8.59 8.59 0 8.59
2013-01-25 8.59 8.59 8.59 8.59 0 8.59
2013-01-28 8.59 8.59 8.59 8.59 0 8.59
2013-01-29 8.59 8.59 8.59 8.59 0 8.59
2013-01-30 8.59 8.59 8.59 8.59 0 8.59
2013-01-31 8.59 8.59 8.59 8.59 0 8.59
2013-02-01 8.59 8.59 8.59 8.59 0 8.59
2013-02-04 8.59 8.59 8.59 8.59 0 8.59
2013-02-05 8.59 8.59 8.59 8.59 0 8.59
2013-02-06 8.59 8.59 8.59 8.59 0 8.59
2013-02-07 8.59 8.59 8.59 8.59 0 8.59
2013-02-08 8.59 8.59 8.59 8.59 0 8.59
2013-02-11 8.59 8.59 8.59 8.59 0 8.59
2013-02-12 8.59 8.59 8.59 8.59 0 8.59
2013-02-13 8.59 8.59 8.59 8.59 0 8.59
2013-02-14 8.59 8.59 8.59 8.59 0 8.59
2013-02-15 8.59 8.59 8.59 8.59 0 8.59
2013-02-18 8.59 8.59 8.59 8.59 0 8.59
2013-02-19 8.59 8.59 8.59 8.59 0 8.59
2013-02-20 8.59 8.59 8.59 8.59 0 8.59
2013-02-21 8.59 8.59 8.59 8.59 0 8.59
2013-02-22 8.59 8.59 8.59 8.59 0 8.59
2013-02-25 8.59 8.59 8.59 8.59 0 8.59
2013-02-26 8.59 8.59 8.59 8.59 0 8.59
2013-02-27 8.59 8.59 8.59 8.59 0 8.59
2013-02-28 8.59 8.59 8.59 8.59 0 8.59
2013-03-01 8.59 8.59 8.59 8.59 0 8.59
2013-03-04 8.59 8.59 8.59 8.59 0 8.59
2013-03-05 8.59 8.59 8.59 8.59 0 8.59
2013-03-06 8.59 8.59 8.59 8.59 0 8.59
2013-03-07 8.59 8.59 8.59 8.59 0 8.59
2013-03-08 8.59 8.59 8.59 8.59 0 8.59
2013-03-11 8.59 8.59 8.59 8.59 0 8.59
2013-03-12 8.59 8.59 8.59 8.59 0 8.59
2013-03-13 8.59 8.59 8.59 8.59 0 8.59
2013-03-14 8.59 8.59 8.59 8.59 0 8.59
2013-03-15 8.59 8.59 8.59 8.59 0 8.59
2013-03-18 8.59 8.59 8.59 8.59 0 8.59
2013-03-19 8.59 8.59 8.59 8.59 0 8.59
2013-03-20 8.59 8.59 8.59 8.59 0 8.59
2013-03-21 8.59 8.59 8.59 8.59 0 8.59
2013-03-22 8.59 8.59 8.59 8.59 0 8.59
2013-03-25 8.59 8.59 8.59 8.59 0 8.59
2013-03-26 8.59 8.59 8.59 8.59 0 8.59
2013-03-27 8.59 8.59 8.59 8.59 0 8.59
2013-03-28 8.59 8.59 8.59 8.59 0 8.59
2013-03-29 8.59 8.59 8.59 8.59 0 8.59
2013-04-01 8.59 8.59 8.59 8.59 0 8.59
2013-04-02 8.59 8.59 8.59 8.59 0 8.59
2013-04-03 8.59 8.59 8.59 8.59 0 8.59
2013-04-04 8.59 8.59 8.59 8.59 0 8.59
2013-04-05 8.59 8.59 8.59 8.59 0 8.59
2013-04-08 8.59 8.59 8.59 8.59 0 8.59
2013-04-09 8.59 8.59 8.59 8.59 0 8.59
2013-04-10 8.59 8.59 8.59 8.59 0 8.59
2013-04-11 8.59 8.59 8.59 8.59 0 8.59
2013-04-12 8.59 8.59 8.59 8.59 0 8.59
2013-04-15 8.59 8.59 8.59 8.59 0 8.59
2013-04-16 8.59 8.59 8.59 8.59 0 8.59
2013-04-17 8.59 8.59 8.59 8.59 0 8.59
2013-04-18 8.59 8.59 8.59 8.59 0 8.59
2013-04-19 8.59 8.59 8.59 8.59 0 8.59
2013-04-22 8.59 8.59 8.59 8.59 0 8.59
2013-04-23 8.59 8.59 8.59 8.59 0 8.59
2013-04-24 8.59 8.59 8.59 8.59 0 8.59
2013-04-25 8.59 8.59 8.59 8.59 0 8.59
2013-04-26 8.59 8.59 8.59 8.59 0 8.59
2013-04-29 8.59 8.59 8.59 8.59 0 8.59
2013-04-30 8.59 8.59 8.59 8.59 0 8.59
2013-05-01 8.59 8.59 8.59 8.59 0 8.59
2013-05-02 8.59 8.59 8.59 8.59 0 8.59
2013-05-03 8.59 8.59 8.59 8.59 0 8.59
2013-05-06 8.59 8.59 8.59 8.59 0 8.59
2013-05-07 8.59 8.59 8.59 8.59 0 8.59
2013-05-08 8.59 8.59 8.59 8.59 0 8.59
2013-05-09 8.59 8.59 8.59 8.59 0 8.59
2013-05-10 8.59 8.59 8.59 8.59 0 8.59
2013-05-13 8.59 8.59 8.59 8.59 0 8.59
2013-05-14 8.59 8.59 8.59 8.59 0 8.59
2013-05-15 8.59 8.59 8.59 8.59 0 8.59
2013-05-16 8.59 8.59 8.59 8.59 0 8.59
2013-05-17 8.59 8.59 8.59 8.59 0 8.59
2013-05-20 8.59 8.59 8.59 8.59 0 8.59
2013-05-21 8.59 8.59 8.59 8.59 0 8.59
2013-05-22 8.59 8.59 8.59 8.59 0 8.59
2013-05-23 8.59 8.59 8.59 8.59 0 8.59
2013-05-24 8.59 8.59 8.59 8.59 0 8.59
2013-05-27 8.59 8.59 8.59 8.59 0 8.59
2013-05-28 8.59 8.59 8.59 8.59 0 8.59
2013-05-29 8.59 8.59 8.59 8.59 0 8.59
2013-05-30 8.59 8.59 8.59 8.59 0 8.59
2013-05-31 8.59 8.59 8.59 8.59 0 8.59
2013-06-03 8.59 8.59 8.59 8.59 0 8.59
2013-06-04 8.59 8.59 8.59 8.59 0 8.59
2013-06-05 8.59 8.59 8.59 8.59 0 8.59
2013-06-06 8.59 8.59 8.59 8.59 0 8.59
2013-06-07 8.59 8.59 8.59 8.59 0 8.59
2013-06-10 8.59 8.59 8.59 8.59 0 8.59
2013-06-11 8.59 8.59 8.59 8.59 0 8.59
2013-06-12 8.59 8.59 8.59 8.59 0 8.59
2013-06-13 8.59 8.59 8.59 8.59 0 8.59
2013-06-14 8.59 8.59 8.59 8.59 0 8.59
2013-06-17 8.59 8.59 8.59 8.59 0 8.59
2013-06-18 8.59 8.59 8.59 8.59 0 8.59
